"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"02","AK","Alaska","Alaska","state",NA,"January",2019,344073,320262,23811
"02","AK","Alaska","Alaska","state",NA,"February",2019,345233,320946,24287
"02","AK","Alaska","Alaska","state",NA,"March",2019,345061,321606,23455
"02","AK","Alaska","Alaska","state",NA,"April",2019,343620,322011,21609
"02","AK","Alaska","Alaska","state",NA,"May",2019,348619,327590,21029
"02","AK","Alaska","Alaska","state",NA,"June",2019,355191,332930,22261
"02","AK","Alaska","Alaska","state",NA,"July",2019,359113,338963,20150
"02","AK","Alaska","Alaska","state",NA,"August",2019,353859,335054,18805
"02","AK","Alaska","Alaska","state",NA,"September",2019,348825,329519,19306
"02","AK","Alaska","Alaska","state",NA,"October",2019,344605,324904,19701
"02","AK","Alaska","Alaska","state",NA,"November",2019,343483,322573,20910
"02","AK","Alaska","Alaska","state",NA,"December",2019,341670,320804,20866
"02","AK","Alaska","Alaska","state",NA,"January",2020,339445,317141,22304
"02","AK","Alaska","Alaska","state",NA,"February",2020,338951,319053,19898
"02","AK","Alaska","Alaska","state",NA,"March",2020,340653,320700,19953
"02","AK","Alaska","Alaska","state",NA,"April",2020,334391,288431,45960
"02","AK","Alaska","Alaska","state",NA,"May",2020,334106,292153,41953
"02","AK","Alaska","Alaska","state",NA,"June",2020,350583,307521,43062
"02","AK","Alaska","Aleutians East Borough","county","02013","January",2019,1759,1685,74
"02","AK","Alaska","Aleutians East Borough","county","02013","February",2019,3175,3110,65
"02","AK","Alaska","Aleutians East Borough","county","02013","March",2019,2841,2775,66
"02","AK","Alaska","Aleutians East Borough","county","02013","April",2019,2283,2218,65
"02","AK","Alaska","Aleutians East Borough","county","02013","May",2019,1380,1299,81
"02","AK","Alaska","Aleutians East Borough","county","02013","June",2019,2600,2533,67
"02","AK","Alaska","Aleutians East Borough","county","02013","July",2019,3696,3632,64
"02","AK","Alaska","Aleutians East Borough","county","02013","August",2019,3552,3495,57
"02","AK","Alaska","Aleutians East Borough","county","02013","September",2019,3020,2959,61
"02","AK","Alaska","Aleutians East Borough","county","02013","October",2019,2294,2232,62
"02","AK","Alaska","Aleutians East Borough","county","02013","November",2019,1401,1329,72
"02","AK","Alaska","Aleutians East Borough","county","02013","December",2019,1137,1055,82
"02","AK","Alaska","Aleutians East Borough","county","02013","January",2020,1810,1734,76
"02","AK","Alaska","Aleutians East Borough","county","02013","February",2020,3104,3041,63
"02","AK","Alaska","Aleutians East Borough","county","02013","March",2020,2870,2805,65
"02","AK","Alaska","Aleutians East Borough","county","02013","April",2020,2302,2078,224
"02","AK","Alaska","Aleutians East Borough","county","02013","May",2020,1540,1298,242
"02","AK","Alaska","Aleutians East Borough","county","02013","June",2020,2498,2358,140
"02","AK","Alaska","Aleutians West Census Area","county","02016","January",2019,4062,3924,138
"02","AK","Alaska","Aleutians West Census Area","county","02016","February",2019,4759,4632,127
"02","AK","Alaska","Aleutians West Census Area","county","02016","March",2019,4560,4434,126
"02","AK","Alaska","Aleutians West Census Area","county","02016","April",2019,3894,3778,116
"02","AK","Alaska","Aleutians West Census Area","county","02016","May",2019,2659,2503,156
"02","AK","Alaska","Aleutians West Census Area","county","02016","June",2019,3224,3100,124
"02","AK","Alaska","Aleutians West Census Area","county","02016","July",2019,3927,3820,107
"02","AK","Alaska","Aleutians West Census Area","county","02016","August",2019,3907,3803,104
"02","AK","Alaska","Aleutians West Census Area","county","02016","September",2019,3675,3570,105
"02","AK","Alaska","Aleutians West Census Area","county","02016","October",2019,3230,3088,142
"02","AK","Alaska","Aleutians West Census Area","county","02016","November",2019,2848,2701,147
"02","AK","Alaska","Aleutians West Census Area","county","02016","December",2019,2521,2370,151
