"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"01","AL","Alabama","Prattville city","city",NA,"June",2020,16563,15448,1115
"01","AL","Alabama","Prichard city","city",NA,"June",2020,8429,6846,1583
"01","AL","Alabama","Selma city","city",NA,"June",2020,6459,5470,989
"01","AL","Alabama","Tuscaloosa city","city",NA,"June",2020,46985,42061,4924
"01","AL","Alabama","Vestavia Hills city","city",NA,"June",2020,17342,16557,785
"01","AL","Alabama","Athens city","city",NA,"June",2020,11639,11010,629
"01","AL","Alabama","Daphne city","city",NA,"June",2020,12789,11861,928
"01","AL","Alabama","Northport city","city",NA,"June",2020,13170,12226,944
"01","AL","Alabama","Alabama","state",NA,"January",2020,2226903,2154610,72293
"01","AL","Alabama","Autauga County","county","01001","January",2020,25912,25125,787
"01","AL","Alabama","Baldwin County","county","01003","January",2020,95316,92389,2927
"01","AL","Alabama","Barbour County","county","01005","January",2020,8509,8186,323
"01","AL","Alabama","Bibb County","county","01007","January",2020,8629,8342,287
"01","AL","Alabama","Blount County","county","01009","January",2020,25098,24352,746
"01","AL","Alabama","Bullock County","county","01011","January",2020,4674,4480,194
"01","AL","Alabama","Butler County","county","01013","January",2020,9155,8772,383
"01","AL","Alabama","Calhoun County","county","01015","January",2020,46059,44315,1744
"01","AL","Alabama","Chambers County","county","01017","January",2020,15698,15187,511
"01","AL","Alabama","Cherokee County","county","01019","January",2020,11373,10991,382
"01","AL","Alabama","Chilton County","county","01021","January",2020,19591,19032,559
"01","AL","Alabama","Choctaw County","county","01023","January",2020,4511,4269,242
"01","AL","Alabama","Clarke County","county","01025","January",2020,7406,6947,459
"01","AL","Alabama","Clay County","county","01027","January",2020,6065,5867,198
"01","AL","Alabama","Cleburne County","county","01029","January",2020,5682,5490,192
"01","AL","Alabama","Coffee County","county","01031","January",2020,21004,20349,655
"01","AL","Alabama","Colbert County","county","01033","January",2020,23275,22298,977
"01","AL","Alabama","Conecuh County","county","01035","January",2020,4440,4248,192
"01","AL","Alabama","Coosa County","county","01037","January",2020,4452,4297,155
"01","AL","Alabama","Covington County","county","01039","January",2020,15313,14758,555
