Adjusted,Adjusted Tooltip,Area,Area Name,Areadesc,Areaname(exclude),Areatype,Benchmark,Date,Datefield,Display MeasureName,Month,MonthNameS,Period,period (periodTAB),Period (Periodtitle),Periodstitle,Periodtitle,Periodtype,periodtype (periodTAB),Periodtype (Periodtitle),Periodyear,periodyear (periodTAB),Prelim,Selected Areaname,Year,year AL&US,Alemp NSA,Allf NSA,Alrate NSA,Alunem NSA,CMCYRate,CMPYRate,Display Table/Graph,Employment,Labor Force,Number of Records,PMCYRate,Unemployment,unemprate,Usemp NSA,Uslf NSA,Usrate NSA,Usunemp NSA
Not Seasonally Adjusted,not adjusted,0,Alabama,State,Alabama,1,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,2090373,2186869,1,0,96496,4.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,11500,Anniston-Oxford MA,Metropolitan Statistical Area,Anniston-Oxford MA,31,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,43679,45950,1,0,2271,4.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,12220,Auburn-Opelika MA,Metropolitan Statistical Area,Auburn-Opelika MA,31,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,70836,73762,1,0,2926,4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,13820,Birmingham-Hoover MA,Metropolitan Statistical Area,Birmingham-Hoover MA,31,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,518496,540328,1,0,21832,4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,19300,Daphne-Fairhope-Foley MA,Metropolitan Statistical Area,Daphne-Fairhope-Foley MA,31,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,88711,92456,1,0,3745,4.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,19460,Decatur MA,Metropolitan Statistical Area,Decatur MA,31,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,66000,68940,1,0,2940,4.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,22,Tuscaloosa City,Major City,Tuscaloosa City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,43803,46044,1,0,2241,4.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,23,Vestavia Hills City,Major City,Vestavia Hills City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,17096,17594,1,0,498,2.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,24,Athens City,Major City,Athens City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,10966,11407,1,0,441,3.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,25,Daphne City,Major City,Daphne City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,11599,12061,1,0,462,3.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,26,Northport City,Major City,Northport City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,12487,12947,1,0,460,3.6,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,16,Montgomery City,Major City,Montgomery City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,88595,92719,1,0,4124,4.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,17,Opelika City,Major City,Opelika City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,13346,13916,1,0,570,4.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,18,Phenix City,Major City,Phenix City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,14451,15048,1,0,597,4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,19,Prattville City,Major City,Prattville City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,16463,17097,1,0,634,3.7,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,20,Prichard City,Major City,Prichard City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,7392,8039,1,0,647,8,153337000,160320000,4.4,6982000
