"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"05","AR","Arkansas","Arkansas","state",NA,"June",2020,1329793,1220232,109561
"05","AR","Arkansas","Arkansas","state",NA,"May",2020,1349503,1222416,127087
"05","AR","Arkansas","Arkansas County","county","05001","May",2020,9012,8552,460
"05","AR","Arkansas","Ashley County","county","05003","May",2020,7388,6477,911
"05","AR","Arkansas","Baxter County","county","05005","May",2020,16221,14643,1578
"05","AR","Arkansas","Benton County","county","05007","May",2020,135418,125996,9422
"05","AR","Arkansas","Boone County","county","05009","May",2020,15956,14615,1341
"05","AR","Arkansas","Bradley County","county","05011","May",2020,4342,3987,355
"05","AR","Arkansas","Calhoun County","county","05013","May",2020,2336,2183,153
"05","AR","Arkansas","Carroll County","county","05015","May",2020,12731,11537,1194
"05","AR","Arkansas","Chicot County","county","05017","May",2020,3098,2682,416
"05","AR","Arkansas","Clark County","county","05019","May",2020,9540,8698,842
"05","AR","Arkansas","Clay County","county","05021","May",2020,5416,4937,479
"05","AR","Arkansas","Cleburne County","county","05023","May",2020,9178,8084,1094
"05","AR","Arkansas","Cleveland County","county","05025","May",2020,3181,2914,267
"05","AR","Arkansas","Columbia County","county","05027","May",2020,9185,8361,824
"05","AR","Arkansas","Conway County","county","05029","May",2020,8176,7423,753
"05","AR","Arkansas","Craighead County","county","05031","May",2020,55952,51170,4782
"05","AR","Arkansas","Crawford County","county","05033","May",2020,26547,24171,2376
"05","AR","Arkansas","Crittenden County","county","05035","May",2020,21207,18561,2646
"05","AR","Arkansas","Cross County","county","05037","May",2020,7242,6622,620
"05","AR","Arkansas","Dallas County","county","05039","May",2020,2678,2472,206
"05","AR","Arkansas","Desha County","county","05041","May",2020,5188,4695,493
"05","AR","Arkansas","Drew County","county","05043","May",2020,7594,6859,735
"05","AR","Arkansas","Faulkner County","county","05045","May",2020,61220,55554,5666
"05","AR","Arkansas","Franklin County","county","05047","May",2020,7533,6740,793
"05","AR","Arkansas","Fulton County","county","05049","May",2020,4900,4552,348
"05","AR","Arkansas","Garland County","county","05051","May",2020,41695,36040,5655
"05","AR","Arkansas","Grant County","county","05053","May",2020,8053,7444,609
"05","AR","Arkansas","Greene County","county","05055","May",2020,19987,18055,1932
"05","AR","Arkansas","Hempstead County","county","05057","May",2020,9500,8815,685
"05","AR","Arkansas","Hot Spring County","county","05059","May",2020,13754,12528,1226
"05","AR","Arkansas","Howard County","county","05061","May",2020,5354,4998,356
"05","AR","Arkansas","Independence County","county","05063","May",2020,16570,15135,1435
"05","AR","Arkansas","Izard County","county","05065","May",2020,4847,4271,576
"05","AR","Arkansas","Jackson County","county","05067","May",2020,5430,4915,515
"05","AR","Arkansas","Jefferson County","county","05069","May",2020,27851,24963,2888
"05","AR","Arkansas","Johnson County","county","05071","May",2020,10167,9095,1072
"05","AR","Arkansas","Lafayette County","county","05073","May",2020,2408,2159,249
"05","AR","Arkansas","Lawrence County","county","05075","May",2020,6812,6206,606
"05","AR","Arkansas","Lee County","county","05077","May",2020,2689,2404,285
"05","AR","Arkansas","Lincoln County","county","05079","May",2020,3846,3550,296
"05","AR","Arkansas","Little River County","county","05081","May",2020,5437,4965,472
"05","AR","Arkansas","Logan County","county","05083","May",2020,8443,7412,1031
"05","AR","Arkansas","Lonoke County","county","05085","May",2020,33299,30518,2781
"05","AR","Arkansas","Madison County","county","05087","May",2020,7148,6737,411
"05","AR","Arkansas","Marion County","county","05089","May",2020,6567,5949,618
