SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 06",1578593,AR,Arkansas,2020,June,Not Adj,Arkansas,"1,220,232","1,329,793","109,561",8.20%
"2020, 05",1578591,AR,Arkansas,2020,May,Not Adj,Arkansas,"1,222,416","1,349,503","127,087",9.40%
"2020, 05",1578599,AR,Arkansas County,2020,May,Not Adj,Arkansas,"8,552","9,012",460,5.10%
"2020, 05",1578604,AR,Ashley County,2020,May,Not Adj,Arkansas,"6,477","7,388",911,12.30%
"2020, 05",1578609,AR,Baxter County,2020,May,Not Adj,Arkansas,"14,643","16,221","1,578",9.70%
"2020, 05",1578614,AR,Benton County,2020,May,Not Adj,Arkansas,"125,996","135,418","9,422",7.00%
"2020, 05",1578619,AR,Boone County,2020,May,Not Adj,Arkansas,"14,615","15,956","1,341",8.40%
"2020, 05",1578624,AR,Bradley County,2020,May,Not Adj,Arkansas,"3,987","4,342",355,8.20%
"2020, 05",1578629,AR,Calhoun County,2020,May,Not Adj,Arkansas,"2,183","2,336",153,6.50%
"2020, 05",1578634,AR,Carroll County,2020,May,Not Adj,Arkansas,"11,537","12,731","1,194",9.40%
"2020, 05",1578639,AR,Chicot County,2020,May,Not Adj,Arkansas,"2,682","3,098",416,13.40%
"2020, 05",1578644,AR,Clark County,2020,May,Not Adj,Arkansas,"8,698","9,540",842,8.80%
"2020, 05",1578649,AR,Clay County,2020,May,Not Adj,Arkansas,"4,937","5,416",479,8.80%
"2020, 05",1578654,AR,Cleburne County,2020,May,Not Adj,Arkansas,"8,084","9,178","1,094",11.90%
"2020, 05",1578659,AR,Cleveland County,2020,May,Not Adj,Arkansas,"2,914","3,181",267,8.40%
"2020, 05",1578664,AR,Columbia County,2020,May,Not Adj,Arkansas,"8,361","9,185",824,9.00%
"2020, 05",1578669,AR,Conway County,2020,May,Not Adj,Arkansas,"7,423","8,176",753,9.20%
"2020, 05",1578674,AR,Craighead County,2020,May,Not Adj,Arkansas,"51,170","55,952","4,782",8.50%
"2020, 05",1578679,AR,Crawford County,2020,May,Not Adj,Arkansas,"24,171","26,547","2,376",9.00%
