"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"04","AZ","Arizona","Arizona","state",NA,"January",2019,3495956,3316000,179956
"04","AZ","Arizona","Arizona","state",NA,"February",2019,3510890,3345482,165408
"04","AZ","Arizona","Arizona","state",NA,"March",2019,3521017,3355134,165883
"04","AZ","Arizona","Arizona","state",NA,"April",2019,3504642,3347524,157118
"04","AZ","Arizona","Arizona","state",NA,"May",2019,3514657,3353242,161415
"04","AZ","Arizona","Arizona","state",NA,"June",2019,3542293,3363543,178750
"04","AZ","Arizona","Arizona","state",NA,"July",2019,3550152,3369308,180844
"04","AZ","Arizona","Arizona","state",NA,"August",2019,3556056,3377650,178406
"04","AZ","Arizona","Arizona","state",NA,"September",2019,3591467,3426036,165431
"04","AZ","Arizona","Arizona","state",NA,"October",2019,3601094,3439957,161137
"04","AZ","Arizona","Arizona","state",NA,"November",2019,3615186,3460614,154572
"04","AZ","Arizona","Arizona","state",NA,"December",2019,3611711,3459557,152154
"04","AZ","Arizona","Apache County","county","04001","January",2019,20760,18423,2337
"04","AZ","Arizona","Cochise County","county","04003","January",2019,50071,46832,3239
"04","AZ","Arizona","Coconino County","county","04005","January",2019,75917,70660,5257
"04","AZ","Arizona","Gila County","county","04007","January",2019,21528,20160,1368
"04","AZ","Arizona","Graham County","county","04009","January",2019,15127,14264,863
"04","AZ","Arizona","Greenlee County","county","04011","January",2019,4454,4250,204
"04","AZ","Arizona","La Paz County","county","04012","January",2019,9646,9019,627
"04","AZ","Arizona","Maricopa County","county","04013","January",2019,2267023,2165161,101862
"04","AZ","Arizona","Mohave County","county","04015","January",2019,86020,80480,5540
"04","AZ","Arizona","Navajo County","county","04017","January",2019,40751,37090,3661
"04","AZ","Arizona","Pima County","county","04019","January",2019,493385,469270,24115
"04","AZ","Arizona","Pinal County","county","04021","January",2019,185464,175513,9951
"04","AZ","Arizona","Santa Cruz County","county","04023","January",2019,20065,18418,1647
"04","AZ","Arizona","Yavapai County","county","04025","January",2019,104693,99456,5237
