"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"06","CA","California","Mission Viejo city","city",NA,"August",2019,49700,48200,1500
"06","CA","California","Chino city","city",NA,"August",2019,43400,41900,1500
"06","CA","California","Perris city","city",NA,"August",2019,30800,29400,1500
"06","CA","California","Gardena city","city",NA,"August",2019,30400,28900,1500
"06","CA","California","Lodi city","city",NA,"August",2019,30000,28500,1500
"06","CA","California","Cathedral City city","city",NA,"August",2019,26600,25200,1500
"06","CA","California","San Leandro city","city",NA,"August",2019,46600,45100,1600
"06","CA","California","Vacaville city","city",NA,"August",2019,46100,44500,1600
"06","CA","California","Citrus Heights city","city",NA,"August",2019,43800,42200,1600
"06","CA","California","Vista city","city",NA,"August",2019,45100,43500,1600
"06","CA","California","Redondo Beach city","city",NA,"August",2019,41400,39800,1600
"06","CA","California","Redding city","city",NA,"August",2019,40000,38400,1600
"06","CA","California","Pico Rivera city","city",NA,"August",2019,30400,28900,1600
"06","CA","California","Montebello city","city",NA,"August",2019,29100,27500,1600
"06","CA","California","Lynwood city","city",NA,"August",2019,28600,27000,1600
"06","CA","California","Palm Desert city","city",NA,"August",2019,25200,23700,1600
"06","CA","California","Hanford city","city",NA,"August",2019,25100,23600,1600
"06","CA","California","Imperial city","city",NA,"August",2019,8100,6500,1600
"06","CA","California","Carlsbad city","city",NA,"August",2019,55400,53700,1700
"06","CA","California","Turlock city","city",NA,"August",2019,34100,32400,1700
"06","CA","California","Hemet city","city",NA,"August",2019,29500,27800,1700
"06","CA","California","Brawley city","city",NA,"August",2019,10100,8400,1700
"06","CA","California","Santa Clara city","city",NA,"August",2019,72200,70400,1800
"06","CA","California","Costa Mesa city","city",NA,"August",2019,65900,64100,1800
"06","CA","California","Murrieta city","city",NA,"August",2019,55700,53800,1800
"06","CA","California","San Buenaventura (Ventura) city","city",NA,"August",2019,55700,53900,1800
"06","CA","California","Temecula city","city",NA,"August",2019,55100,53300,1800
"06","CA","California","Jurupa Valley city","city",NA,"August",2019,48600,46900,1800
