!Month,!Previous Year,__Id,Area Name,Area Type,Date,Date (Month / Year),Date (Months),Month,Seasonally Adjusted Y N,Status Preliminary Final,Year,Employment,Labor Force,Number of Records,Unemployment,Unemployment Rate
5/1/20,12/31/19,row-tzid~wyqx~p6my,Alameda County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,650600,676600,1,26000,0.038
5/1/20,12/31/19,row-bvy8~6ha2.3bby,Alpine County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,580,600,1,20,0.025
5/1/20,12/31/19,row-5s8g.taej~d8iw,Amador County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,10350,11100,1,760,0.068
5/1/20,12/31/19,row-f4e9-c5p9-hs3s,Butte County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,69400,76800,1,7400,0.096
5/1/20,12/31/19,row-zqmk-p7rf~eyny,Calaveras County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,11840,12980,1,1130,0.087
5/1/20,12/31/19,row-qmj8-jcvs_iz23,Colusa County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,5550,7090,1,1540,0.217
5/1/20,12/31/19,row-pmex.hab6_ykik,Contra Costa County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,418200,434800,1,16600,0.038
5/1/20,12/31/19,row-2qts.y8r8_fe3u,Del Norte County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,7490,9040,1,1550,0.171
5/1/20,12/31/19,row-skph_qpjz.zvf7,El Dorado County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,59700,62900,1,3100,0.05
5/1/20,12/31/19,row-8sag-gxi2_8hy3,Fresno County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,272100,311000,1,38900,0.125
5/1/20,12/31/19,row-sb2e-ijey.q3fv,Glenn County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,9350,10850,1,1500,0.138
5/1/20,12/31/19,row-pvku~6kbs-7mm5,Humboldt County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,50100,55700,1,5600,0.101
5/1/20,12/31/19,row-f6cv-7fmz~j7cj,Imperial County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,37900,48400,1,10500,0.218
5/1/20,12/31/19,row-k7n6.tark-sypm,Inyo County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,6340,6820,1,480,0.071
5/1/20,12/31/19,row-ei34_gzgw.3p6u,Kern County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,219200,246700,1,27600,0.112
5/1/20,12/31/19,row-vpwn_ud9a.y8ik,Kings County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,31000,35500,1,4500,0.127
5/1/20,12/31/19,row-achs~bcdd~jpzf,Lake County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,16860,18890,1,2030,0.108
5/1/20,12/31/19,row-i26z.7pc9-6wc2,Lassen County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,8200,9540,1,1340,0.14
5/1/20,12/31/19,row-wk89~xgxm_ci9u,Los Angeles County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,4229700,4501000,1,271400,0.06
5/1/20,12/31/19,row-3feu-f9pp-f2ex,Los Angeles County,County,1/1/90 0:00,Jan-90,Jan-90,January,Y,Final,1990,4254200,4510500,1,256200,0.057
5/1/20,12/31/19,row-387g.ycms_6hpw,Madera County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,33700,38200,1,4500,0.118
5/1/20,12/31/19,row-f754.ma58-vdxt,Marin County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,128700,131900,1,3200,0.024
5/1/20,12/31/19,row-z2nh_fp65~2ajg,Mariposa County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,5310,5850,1,540,0.092
5/1/20,12/31/19,row-g53q_mz3n_vhgc,Mendocino County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,33470,37330,1,3860,0.103
5/1/20,12/31/19,row-b6ti_kkrh.uupk,Merced County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,63700,74100,1,10400,0.14
5/1/20,12/31/19,row-fzwn~xeme~687e,Modoc County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,3250,3700,1,450,0.122
5/1/20,12/31/19,row-6g5w~kgkz_pn6v,Mono County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,6540,6730,1,190,0.028
5/1/20,12/31/19,row-ghqi~8bjz_z2dp,Monterey County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,143700,166800,1,23100,0.139
5/1/20,12/31/19,row-i4bx_pn62-dhm2,Napa County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,52500,54700,1,2200,0.04
5/1/20,12/31/19,row-c8ff~hw9x.4sck,Nevada County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,32940,34960,1,2020,0.058
5/1/20,12/31/19,row-xtr6_h3q2_xemi,Orange County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,1310700,1350100,1,39500,0.029
5/1/20,12/31/19,row-w4ke-bt32.gz89,Placer County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,84000,87900,1,3900,0.044
5/1/20,12/31/19,row-yu9w.wk52~t27s,Plumas County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,7580,9050,1,1470,0.162
5/1/20,12/31/19,row-tbr9.jq9p-66bu,Riverside County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,493900,521700,1,27800,0.053
5/1/20,12/31/19,row-szyd-esy6~cnmq,Sacramento County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,488200,512200,1,24000,0.047
5/1/20,12/31/19,row-dkv5~x4hg.c3c2,San Benito County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,17000,19400,1,2500,0.128
5/1/20,12/31/19,row-bceu-248t~6v37,San Bernardino County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,594300,623600,1,29300,0.047
5/1/20,12/31/19,row-47yk.i2th_apxj,San Diego County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,1153200,1201200,1,47900,0.04
5/1/20,12/31/19,row-7a5q_sz9b_fjkg,San Francisco County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,394500,409600,1,15100,0.037
5/1/20,12/31/19,row-fs37~qwa3-yntn,San Joaquin County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,193400,216700,1,23300,0.107
5/1/20,12/31/19,row-6xzg_6wcf~rydc,San Luis Obispo County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,92600,96700,1,4100,0.042
5/1/20,12/31/19,row-fjt6~mscn_36hp,San Mateo County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,361000,370300,1,9300,0.025
5/1/20,12/31/19,row-geyq.yq43.ddre,Santa Barbara County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,179700,188900,1,9200,0.049
5/1/20,12/31/19,row-3kk5-75jh~3tvd,Santa Clara County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,817800,847600,1,29800,0.035
5/1/20,12/31/19,row-3khz.gkcn.ms5d,Santa Cruz County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,115300,126800,1,11500,0.091
5/1/20,12/31/19,row-wq27.ady4.krjq,Shasta County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,58000,65300,1,7300,0.112
5/1/20,12/31/19,row-5zrh_mimd.f6ts,Sierra County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,1280,1570,1,290,0.183
5/1/20,12/31/19,row-3ujv_xxni~2i2a,Siskiyou County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,15930,19080,1,3150,0.165
5/1/20,12/31/19,row-gbj4.nebc_34cv,Solano County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,152500,160000,1,7600,0.047
5/1/20,12/31/19,row-h99m-76ts.qz66,Sonoma County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,194500,202600,1,8100,0.04
5/1/20,12/31/19,row-t4zj-rerg-wmga,Stanislaus County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,151000,172400,1,21400,0.124
5/1/20,12/31/19,row-jz34_sxv4.pxh2,Sutter County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,25500,30700,1,5100,0.167
5/1/20,12/31/19,row-v8ek-rtg3.z7zz,Tehama County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,17650,19600,1,1950,0.099
5/1/20,12/31/19,row-qzia~ta6g~npbm,Trinity County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,4420,5450,1,1030,0.189
5/1/20,12/31/19,row-k3mj-v4e4-j473,Tulare County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,118600,135900,1,17300,0.127
5/1/20,12/31/19,row-whxg-peek-swjh,Tuolumne County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,16970,18680,1,1710,0.092
5/1/20,12/31/19,row-kt7r.h96h.vksa,Ventura County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,339300,358700,1,19400,0.054
5/1/20,12/31/19,row-6ywg.5577.bmmh,Yolo County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,65100,71100,1,6000,0.085
5/1/20,12/31/19,row-8xbb.zcb9_inm2,Yuba County,County,1/1/90 0:00,Jan-90,Jan-90,January,N,Final,1990,17800,20300,1,2500,0.124
5/1/20,12/31/19,row-rihj~n9gy_rmgh,Alameda County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,638800,673500,1,34600,0.051
5/1/20,12/31/19,row-vrem~mvbc~c3m4,Alpine County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,510,540,1,30,0.052
5/1/20,12/31/19,row-ncc8-jt6q-umq3,Amador County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,10840,11840,1,990,0.084
5/1/20,12/31/19,row-qhqw_a5ik.6vz9,Butte County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,70400,78900,1,8500,0.108
5/1/20,12/31/19,row-w3b5-69vk.i7xf,Calaveras County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,12380,13840,1,1460,0.105
5/1/20,12/31/19,row-98ht~ne5v~4fqx,Colusa County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,5640,7780,1,2140,0.275
5/1/20,12/31/19,row-c3x9_24ks_r96h,Contra Costa County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,413000,436300,1,23300,0.053
5/1/20,12/31/19,row-zkgr~vm23~ed8d,Del Norte County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,8430,9780,1,1350,0.138
5/1/20,12/31/19,row-g9fm.bby5.y69y,El Dorado County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,60900,65300,1,4400,0.068
5/1/20,12/31/19,row-jk53.hfb7-5irk,Fresno County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,280100,330300,1,50300,0.152
5/1/20,12/31/19,row-rxj6-zt3h~vmh2,Glenn County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,8920,10800,1,1890,0.175
5/1/20,12/31/19,row-zqrt_dttb~3m92,Humboldt County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,50200,56300,1,6100,0.108
5/1/20,12/31/19,row-2fsz~ny63~nez3,Imperial County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,37100,48300,1,11300,0.233
5/1/20,12/31/19,row-5xcx_fu3m_k49g,Inyo County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,6590,7320,1,730,0.1
5/1/20,12/31/19,row-z8fp_is9e-hcnq,Kern County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,227100,260400,1,33300,0.128
5/1/20,12/31/19,row-udrm.b6y7~ybi5,Kings County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,31600,37600,1,5900,0.158
5/1/20,12/31/19,row-fik4~d5di.k5vu,Lake County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,17490,19910,1,2420,0.122
5/1/20,12/31/19,row-krhu_y65a~r5g4,Lassen County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,8690,10240,1,1550,0.151
5/1/20,12/31/19,row-bghg_wsg8~dtmk,Los Angeles County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,4094300,4391300,1,297000,0.068
5/1/20,12/31/19,row-mbab~vwx4.d3ps,Los Angeles County,County,1/1/91 0:00,Jan-91,Jan-91,January,Y,Final,1991,4141000,4450100,1,309100,0.069
5/1/20,12/31/19,row-2jhz-tb76~k6dv,Madera County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,36100,42200,1,6000,0.143
5/1/20,12/31/19,row-rr6j-d99f-usbx,Marin County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,125500,130200,1,4700,0.036
5/1/20,12/31/19,row-hfhm_8pki~rbzq,Mariposa County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,5470,6110,1,640,0.105
5/1/20,12/31/19,row-nmze.kvti~vnxr,Mendocino County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,33350,38480,1,5130,0.133
5/1/20,12/31/19,row-8gap_ju29-btbu,Merced County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,62600,75900,1,13300,0.175
5/1/20,12/31/19,row-q8fn_gyu8.r8v6,Modoc County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,3020,3660,1,650,0.177
5/1/20,12/31/19,row-r948-3sdy-a36r,Mono County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,5940,6390,1,450,0.07
5/1/20,12/31/19,row-zjiy~e2ii.kphz,Monterey County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,140700,171400,1,30700,0.179
5/1/20,12/31/19,row-s2u9~4usj~ugmz,Napa County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,50900,54400,1,3400,0.063
5/1/20,12/31/19,row-68j4_eh7g_y2wn,Nevada County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,34740,37440,1,2700,0.072
5/1/20,12/31/19,row-ajs5-turc.r635,Orange County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,1254100,1317400,1,63300,0.048
