!Month,!Previous Year,__Id,Area Name,Area Type,Date,Month,Seasonally Adjusted Y N,Status Preliminary Final,Year,Employment,Labor Force,Number of Records,Unemployment,Unemployment Rate
5/1/20,12/31/19,row-hun6.dhui-j6ws,California,State,1/1/76 0:00,January,Y,Final,1976,8836000,9734600,1,898600,0.092
5/1/20,12/31/19,row-tnwh~w9xy_hfiy,California,State,1/1/77 0:00,January,Y,Final,1977,9201400,10132600,1,931100,0.092
5/1/20,12/31/19,row-tdhk~7295-tfs5,California,State,1/1/78 0:00,January,Y,Final,1978,9868400,10675100,1,806700,0.076
5/1/20,12/31/19,row-djx5.vkxg_s4jf,California,State,1/1/79 0:00,January,Y,Final,1979,10404200,11130900,1,726700,0.065
5/1/20,12/31/19,row-vtfk-hte5~ii4v,California,State,1/1/80 0:00,January,Y,Final,1980,10774000,11479800,1,705800,0.061
5/1/20,12/31/19,row-32fh~rirn.r8qf,California,State,1/1/81 0:00,January,Y,Final,1981,10899600,11729700,1,830100,0.071
5/1/20,12/31/19,row-wjd7~euhn_wufx,California,State,1/1/82 0:00,January,Y,Final,1982,10941400,11993000,1,1051600,0.088
5/1/20,12/31/19,row-6jzp-j2z4_3s8v,California,State,1/1/83 0:00,January,Y,Final,1983,10900400,12242200,1,1341800,0.11
5/1/20,12/31/19,row-4wc6_4tpp.x3gq,California,State,1/1/84 0:00,January,Y,Final,1984,11384000,12410400,1,1026400,0.083
5/1/20,12/31/19,row-ikhs.uerc_vhf5,California,State,1/1/85 0:00,January,Y,Final,1985,11936200,12875700,1,939500,0.073
5/1/20,12/31/19,row-yxys_yitd-6zq6,California,State,1/1/86 0:00,January,Y,Final,1986,12241900,13136300,1,894400,0.068
5/1/20,12/31/19,row-vc2e.ehzm_2ad2,California,State,1/1/87 0:00,January,Y,Final,1987,12694700,13560400,1,865700,0.064
5/1/20,12/31/19,row-p66n_evcy~sq52,California,State,1/1/88 0:00,January,Y,Final,1988,13205200,13957300,1,752000,0.054
5/1/20,12/31/19,row-x8ka~fx4w.uydz,California,State,1/1/89 0:00,January,Y,Final,1989,13646800,14372300,1,725500,0.05
5/1/20,12/31/19,row-69uh-e52k-9nnw,California,State,1/1/90 0:00,January,N,Final,1990,14099700,14953900,1,854200,0.057
5/1/20,12/31/19,row-rt5c-6tij.kjci,California,State,1/1/90 0:00,January,Y,Final,1990,14230600,15006700,1,776100,0.052
5/1/20,12/31/19,row-q74c-krzr~twp6,California,State,1/1/91 0:00,January,N,Final,1991,13868400,15000000,1,1131600,0.075
5/1/20,12/31/19,row-zkac~vijs_cf6j,California,State,1/1/91 0:00,January,Y,Final,1991,14042900,15115500,1,1072500,0.071
5/1/20,12/31/19,row-hu7h~uhdd_twjp,California,State,1/1/92 0:00,January,N,Final,1992,13763000,15149600,1,1386600,0.092
5/1/20,12/31/19,row-5inb-7b3y_de6s,California,State,1/1/92 0:00,January,Y,Final,1992,13915000,15207300,1,1292300,0.085
5/1/20,12/31/19,row-5yi8.bxgm_i3x5,California,State,1/1/93 0:00,January,N,Final,1993,13637600,15210600,1,1573000,0.103
5/1/20,12/31/19,row-5kxj~66pd-btzz,California,State,1/1/93 0:00,January,Y,Final,1993,13799800,15289400,1,1489600,0.097
5/1/20,12/31/19,row-stc3-4fqh-dqjr,California,State,1/1/94 0:00,January,N,Final,1994,13722100,15237700,1,1515600,0.099
5/1/20,12/31/19,row-i7us.3baw_6vfw,California,State,1/1/94 0:00,January,Y,Final,1994,13870200,15276300,1,1406100,0.092
5/1/20,12/31/19,row-w26u.59hu.c4bn,California,State,1/1/95 0:00,January,N,Final,1995,13867200,15161400,1,1294200,0.085
5/1/20,12/31/19,row-jg6n_pufb~ium8,California,State,1/1/95 0:00,January,Y,Final,1995,14049000,15228800,1,1179800,0.077
5/1/20,12/31/19,row-pnt8-by24~ake5,California,State,1/1/96 0:00,January,N,Final,1996,13910200,15204100,1,1293800,0.085
5/1/20,12/31/19,row-48nk.qqb7_d8nd,California,State,1/1/96 0:00,January,Y,Final,1996,14101400,15284700,1,1183400,0.077
5/1/20,12/31/19,row-pzvy-hrnx_i75i,California,State,1/1/97 0:00,January,N,Final,1997,14387900,15560400,1,1172500,0.075
5/1/20,12/31/19,row-38hw.6249~jbgw,California,State,1/1/97 0:00,January,Y,Final,1997,14551600,15620900,1,1069300,0.068
5/1/20,12/31/19,row-55xt~e8uu_zpwv,California,State,1/1/98 0:00,January,N,Final,1998,14891600,15942300,1,1050700,0.066
5/1/20,12/31/19,row-dzxz-8rnu-hahn,California,State,1/1/98 0:00,January,Y,Final,1998,15030500,15993600,1,963100,0.06
5/1/20,12/31/19,row-j3us~kivx_xi63,California,State,1/1/99 0:00,January,N,Final,1999,15266300,16259300,1,993100,0.061
5/1/20,12/31/19,row-27iz~kiv7~362n,California,State,1/1/99 0:00,January,Y,Final,1999,15369900,16285400,1,915500,0.056
5/1/20,12/31/19,row-xqga~3t3y_zvcr,California,State,1/1/00 0:00,January,N,Final,2000,15753400,16657000,1,903500,0.054
5/1/20,12/31/19,row-iw8c_66k8-rw9f,California,State,1/1/00 0:00,January,Y,Final,2000,15845600,16680200,1,834600,0.05
5/1/20,12/31/19,row-pfak~i86q_k68w,California,State,1/1/01 0:00,January,N,Final,2001,16179800,17079500,1,899600,0.053
