"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"08","CO","Colorado","Adams County","county","08001","May",2020,269207,240101,29106
"08","CO","Colorado","Alamosa County","county","08003","May",2020,7653,7072,581
"08","CO","Colorado","Arapahoe County","county","08005","May",2020,361027,322118,38909
"08","CO","Colorado","Archuleta County","county","08007","May",2020,6659,5912,747
"08","CO","Colorado","Baca County","county","08009","May",2020,1807,1765,42
"08","CO","Colorado","Bent County","county","08011","May",2020,1614,1543,71
"08","CO","Colorado","Boulder County","county","08013","May",2020,194668,178615,16053
"08","CO","Colorado","Broomfield County","county","08014","May",2020,39282,35515,3767
"08","CO","Colorado","Chaffee County","county","08015","May",2020,9423,8475,948
"08","CO","Colorado","Cheyenne County","county","08017","May",2020,1000,979,21
"08","CO","Colorado","Clear Creek County","county","08019","May",2020,6189,5352,837
"08","CO","Colorado","Conejos County","county","08021","May",2020,3610,3380,230
"08","CO","Colorado","Costilla County","county","08023","May",2020,1648,1511,137
"08","CO","Colorado","Crowley County","county","08025","May",2020,1255,1194,61
"08","CO","Colorado","Custer County","county","08027","May",2020,1899,1775,124
"08","CO","Colorado","Delta County","county","08029","May",2020,13300,12240,1060
"08","CO","Colorado","Denver County","county","08031","May",2020,415860,368290,47570
"08","CO","Colorado","Dolores County","county","08033","May",2020,1083,973,110
"08","CO","Colorado","Douglas County","county","08035","May",2020,187496,172106,15390
"08","CO","Colorado","Eagle County","county","08037","May",2020,36603,30138,6465
"08","CO","Colorado","El Paso County","county","08041","May",2020,333630,301629,32001
"08","CO","Colorado","Elbert County","county","08039","May",2020,14289,13431,858
"08","CO","Colorado","Fremont County","county","08043","May",2020,14308,12959,1349
"08","CO","Colorado","Garfield County","county","08045","May",2020,29690,26716,2974
"08","CO","Colorado","Gilpin County","county","08047","May",2020,4258,3351,907
"08","CO","Colorado","Grand County","county","08049","May",2020,9020,7575,1445
"08","CO","Colorado","Gunnison County","county","08051","May",2020,10930,9529,1401
"08","CO","Colorado","Hinsdale County","county","08053","May",2020,345,326,19
"08","CO","Colorado","Huerfano County","county","08055","May",2020,2231,1990,241
"08","CO","Colorado","Jackson County","county","08057","May",2020,884,836,48
"08","CO","Colorado","Jefferson County","county","08059","May",2020,329376,296513,32863
"08","CO","Colorado","Kiowa County","county","08061","May",2020,826,808,18
"08","CO","Colorado","Kit Carson County","county","08063","May",2020,3743,3625,118
"08","CO","Colorado","La Plata County","county","08067","May",2020,29140,26193,2947
"08","CO","Colorado","Lake County","county","08065","May",2020,4859,4130,729
"08","CO","Colorado","Larimer County","county","08069","May",2020,201699,184448,17251
"08","CO","Colorado","Las Animas County","county","08071","May",2020,5761,5230,531
"08","CO","Colorado","Lincoln County","county","08073","May",2020,1941,1843,98
"08","CO","Colorado","Logan County","county","08075","May",2020,9356,8791,565
"08","CO","Colorado","Mesa County","county","08077","May",2020,76142,69276,6866
"08","CO","Colorado","Mineral County","county","08079","May",2020,437,394,43
"08","CO","Colorado","Moffat County","county","08081","May",2020,6231,5734,497
"08","CO","Colorado","Montezuma County","county","08083","May",2020,11027,10006,1021
"08","CO","Colorado","Montrose County","county","08085","May",2020,19225,17435,1790
"08","CO","Colorado","Morgan County","county","08087","May",2020,14170,13216,954
"08","CO","Colorado","Otero County","county","08089","May",2020,7168,6699,469
"08","CO","Colorado","Ouray County","county","08091","May",2020,2358,2042,316
"08","CO","Colorado","Park County","county","08093","May",2020,10759,9873,886
"08","CO","Colorado","Phillips County","county","08095","May",2020,2247,2176,71
"08","CO","Colorado","Pitkin County","county","08097","May",2020,11533,9224,2309
"08","CO","Colorado","Prowers County","county","08099","May",2020,5576,5298,278
"08","CO","Colorado","Pueblo County","county","08101","May",2020,73412,66691,6721
"08","CO","Colorado","Rio Blanco County","county","08103","May",2020,2638,2479,159
"08","CO","Colorado","Rio Grande County","county","08105","May",2020,4866,4459,407
"08","CO","Colorado","Routt County","county","08107","May",2020,15559,13324,2235
"08","CO","Colorado","Saguache County","county","08109","May",2020,3226,3024,202
"08","CO","Colorado","San Juan County","county","08111","May",2020,547,484,63
"08","CO","Colorado","San Miguel County","county","08113","May",2020,5535,4310,1225
"08","CO","Colorado","Sedgwick County","county","08115","May",2020,1090,1052,38
"08","CO","Colorado","Summit County","county","08117","May",2020,23575,19009,4566
"08","CO","Colorado","Teller County","county","08119","May",2020,12835,11302,1533
"08","CO","Colorado","Washington County","county","08121","May",2020,2394,2309,85
"08","CO","Colorado","Weld County","county","08123","May",2020,164395,150242,14153
"08","CO","Colorado","Yuma County","county","08125","May",2020,5177,5038,139
"08","CO","Colorado","Adams County","county","08001","March",2020,274513,258575,15938
"08","CO","Colorado","Alamosa County","county","08003","March",2020,8292,7682,610
"08","CO","Colorado","Arapahoe County","county","08005","March",2020,366875,347814,19061
"08","CO","Colorado","Archuleta County","county","08007","March",2020,6451,6006,445
"08","CO","Colorado","Baca County","county","08009","March",2020,1873,1795,78
