Area,Labor Force,Employed,Unemployed,Unemployment Rate,Month,Year
Adams County,"269,207","240,101","29,106",10.80%,May,"2,020"
Alamosa County,"7,653","7,072",581,7.60%,May,"2,020"
Arapahoe County,"361,027","322,118","38,909",10.80%,May,"2,020"
Archuleta County,"6,659","5,912",747,11.20%,May,"2,020"
Baca County,"1,807","1,765",42,2.30%,May,"2,020"
Bent County,"1,614","1,543",71,4.40%,May,"2,020"
Boulder County,"194,668","178,615","16,053",8.20%,May,"2,020"
Broomfield County,"39,282","35,515","3,767",9.60%,May,"2,020"
Chaffee County,"9,423","8,475",948,10.10%,May,"2,020"
Cheyenne County,"1,000",979,21,2.10%,May,"2,020"
Clear Creek County,"6,189","5,352",837,13.50%,May,"2,020"
Conejos County,"3,610","3,380",230,6.40%,May,"2,020"
Costilla County,"1,648","1,511",137,8.30%,May,"2,020"
Crowley County,"1,255","1,194",61,4.90%,May,"2,020"
Custer County,"1,899","1,775",124,6.50%,May,"2,020"
Delta County,"13,300","12,240","1,060",8.00%,May,"2,020"
Denver County,"415,860","368,290","47,570",11.40%,May,"2,020"
Dolores County,"1,083",973,110,10.20%,May,"2,020"
Douglas County,"187,496","172,106","15,390",8.20%,May,"2,020"
Eagle County,"36,603","30,138","6,465",17.70%,May,"2,020"
El Paso County,"333,630","301,629","32,001",9.60%,May,"2,020"
Elbert County,"14,289","13,431",858,6.00%,May,"2,020"
Fremont County,"14,308","12,959","1,349",9.40%,May,"2,020"
Garfield County,"29,690","26,716","2,974",10.00%,May,"2,020"
Gilpin County,"4,258","3,351",907,21.30%,May,"2,020"
Grand County,"9,020","7,575","1,445",16.00%,May,"2,020"
Gunnison County,"10,930","9,529","1,401",12.80%,May,"2,020"
Hinsdale County,345,326,19,5.50%,May,"2,020"
Huerfano County,"2,231","1,990",241,10.80%,May,"2,020"
Jackson County,884,836,48,5.40%,May,"2,020"
Jefferson County,"329,376","296,513","32,863",10.00%,May,"2,020"
Kiowa County,826,808,18,2.20%,May,"2,020"
Kit Carson County,"3,743","3,625",118,3.20%,May,"2,020"
La Plata County,"29,140","26,193","2,947",10.10%,May,"2,020"
Lake County,"4,859","4,130",729,15.00%,May,"2,020"
Larimer County,"201,699","184,448","17,251",8.60%,May,"2,020"
Las Animas County,"5,761","5,230",531,9.20%,May,"2,020"
Lincoln County,"1,941","1,843",98,5.00%,May,"2,020"
Logan County,"9,356","8,791",565,6.00%,May,"2,020"
Mesa County,"76,142","69,276","6,866",9.00%,May,"2,020"
Mineral County,437,394,43,9.80%,May,"2,020"
Moffat County,"6,231","5,734",497,8.00%,May,"2,020"
Montezuma County,"11,027","10,006","1,021",9.30%,May,"2,020"
Montrose County,"19,225","17,435","1,790",9.30%,May,"2,020"
Morgan County,"14,170","13,216",954,6.70%,May,"2,020"
Otero County,"7,168","6,699",469,6.50%,May,"2,020"
Ouray County,"2,358","2,042",316,13.40%,May,"2,020"
Park County,"10,759","9,873",886,8.20%,May,"2,020"
Phillips County,"2,247","2,176",71,3.20%,May,"2,020"
Pitkin County,"11,533","9,224","2,309",20.00%,May,"2,020"
Prowers County,"5,576","5,298",278,5.00%,May,"2,020"
Pueblo County,"73,412","66,691","6,721",9.20%,May,"2,020"
Rio Blanco County,"2,638","2,479",159,6.00%,May,"2,020"
Rio Grande County,"4,866","4,459",407,8.40%,May,"2,020"
Routt County,"15,559","13,324","2,235",14.40%,May,"2,020"
Saguache County,"3,226","3,024",202,6.30%,May,"2,020"
San Juan County,547,484,63,11.50%,May,"2,020"
San Miguel County,"5,535","4,310","1,225",22.10%,May,"2,020"
Sedgwick County,"1,090","1,052",38,3.50%,May,"2,020"
Summit County,"23,575","19,009","4,566",19.40%,May,"2,020"
Teller County,"12,835","11,302","1,533",11.90%,May,"2,020"
Washington County,"2,394","2,309",85,3.60%,May,"2,020"
Weld County,"164,395","150,242","14,153",8.60%,May,"2,020"
Yuma County,"5,177","5,038",139,2.70%,May,"2,020"
Adams County,"274,513","258,575","15,938",5.80%,March,"2,020"
Alamosa County,"8,292","7,682",610,7.40%,March,"2,020"
Arapahoe County,"366,875","347,814","19,061",5.20%,March,"2,020"
Archuleta County,"6,451","6,006",445,6.90%,March,"2,020"
Baca County,"1,873","1,795",78,4.20%,March,"2,020"
Bent County,"1,681","1,581",100,5.90%,March,"2,020"
Boulder County,"195,614","186,944","8,670",4.40%,March,"2,020"
Broomfield County,"40,273","38,311","1,962",4.90%,March,"2,020"
Chaffee County,"9,229","8,778",451,4.90%,March,"2,020"
Cheyenne County,"1,031",995,36,3.50%,March,"2,020"
