"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"09","CT","Connecticut","Fairfield County","county","09001","Jan","2020",482608,461524,21084
"09","CT","Connecticut","Fairfield County","county","09001","Feb","2020",477917,456971,20946
"09","CT","Connecticut","Fairfield County","county","09001","Mar","2020",479809,462891,16918
"09","CT","Connecticut","Fairfield County","county","09001","Apr","2020",432447,398335,34112
"09","CT","Connecticut","Fairfield County","county","09001","May","2020",437032,396403,40629
"09","CT","Connecticut","Hartford County","county","09003","Jan","2020",485367,463800,21567
"09","CT","Connecticut","Hartford County","county","09003","Feb","2020",486620,465164,21456
"09","CT","Connecticut","Hartford County","county","09003","Mar","2020",487675,469994,17681
"09","CT","Connecticut","Hartford County","county","09003","Apr","2020",455585,419680,35905
"09","CT","Connecticut","Hartford County","county","09003","May","2020",458187,415983,42204
"09","CT","Connecticut","Litchfield County","county","09005","Jan","2020",105903,101206,4697
"09","CT","Connecticut","Litchfield County","county","09005","Feb","2020",104975,100261,4714
"09","CT","Connecticut","Litchfield County","county","09005","Mar","2020",105491,101715,3776
"09","CT","Connecticut","Litchfield County","county","09005","Apr","2020",96949,89741,7208
"09","CT","Connecticut","Litchfield County","county","09005","May","2020",97016,89392,7624
"09","CT","Connecticut","Middlesex County","county","09007","Jan","2020",94519,90691,3828
"09","CT","Connecticut","Middlesex County","county","09007","Feb","2020",94654,90976,3678
"09","CT","Connecticut","Middlesex County","county","09007","Mar","2020",94700,91716,2984
"09","CT","Connecticut","Middlesex County","county","09007","Apr","2020",88083,82021,6062
"09","CT","Connecticut","Middlesex County","county","09007","May","2020",87997,81213,6784
"09","CT","Connecticut","New Haven County","county","09009","Jan","2020",463126,441901,21225
"09","CT","Connecticut","New Haven County","county","09009","Feb","2020",464192,443182,21010
"09","CT","Connecticut","New Haven County","county","09009","Mar","2020",463598,446089,17509
"09","CT","Connecticut","New Haven County","county","09009","Apr","2020",426751,393114,33637
"09","CT","Connecticut","New Haven County","county","09009","May","2020",427043,388305,38738
"09","CT","Connecticut","New London County","county","09011","Jan","2020",137222,131116,6106
"09","CT","Connecticut","New London County","county","09011","Feb","2020",136918,130929,5989
"09","CT","Connecticut","New London County","county","09011","Mar","2020",136964,132017,4947
"09","CT","Connecticut","New London County","county","09011","Apr","2020",120296,105656,14640
"09","CT","Connecticut","New London County","county","09011","May","2020",123091,106238,16853
