"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"10","DE","Delaware","Delaware","state",NA,"January",2019,483380,464500,18880
"10","DE","Delaware","Delaware","state",NA,"February",2019,483342,464827,18515
"10","DE","Delaware","Delaware","state",NA,"March",2019,486109,468240,17869
"10","DE","Delaware","Delaware","state",NA,"April",2019,486111,469229,16882
"10","DE","Delaware","Delaware","state",NA,"May",2019,484877,468619,16258
"10","DE","Delaware","Delaware","state",NA,"June",2019,490751,470852,19899
"10","DE","Delaware","Delaware","state",NA,"July",2019,492940,472697,20243
"10","DE","Delaware","Delaware","state",NA,"August",2019,490824,470590,20234
"10","DE","Delaware","Delaware","state",NA,"September",2019,484356,465447,18909
"10","DE","Delaware","Delaware","state",NA,"October",2019,487774,469025,18749
"10","DE","Delaware","Delaware","state",NA,"November",2019,488408,471118,17290
"10","DE","Delaware","Delaware","state",NA,"December",2019,488289,470989,17300
"10","DE","Delaware","Delaware","state",NA,"January",2020,486541,465899,20642
"10","DE","Delaware","Delaware","state",NA,"February",2020,488387,468625,19762
"10","DE","Delaware","Delaware","state",NA,"March",2020,477155,453071,24084
"10","DE","Delaware","Delaware","state",NA,"April",2020,462965,394505,68460
"10","DE","Delaware","Delaware","state",NA,"May",2020,470988,397964,73024
"10","DE","Delaware","Kent","county","10001","January",2019,79294,76090,3204
"10","DE","Delaware","Kent","county","10001","February",2019,79061,75826,3235
"10","DE","Delaware","Kent","county","10001","March",2019,79490,76375,3115
"10","DE","Delaware","Kent","county","10001","April",2019,79157,76232,2925
"10","DE","Delaware","Kent","county","10001","May",2019,78676,75742,2934
"10","DE","Delaware","Kent","county","10001","June",2019,79134,75389,3745
"10","DE","Delaware","Kent","county","10001","July",2019,79191,75275,3916
"10","DE","Delaware","Kent","county","10001","August",2019,78973,75120,3853
"10","DE","Delaware","Kent","county","10001","September",2019,78818,75393,3425
"10","DE","Delaware","Kent","county","10001","October",2019,80257,76861,3396
"10","DE","Delaware","Kent","county","10001","November",2019,80546,77516,3030
"10","DE","Delaware","Kent","county","10001","December",2019,80327,77341,2986
"10","DE","Delaware","Kent","county","10001","January",2020,80865,77207,3658
"10","DE","Delaware","Kent","county","10001","February",2020,80309,76804,3505
"10","DE","Delaware","Kent","county","10001","March",2020,78164,73760,4404
"10","DE","Delaware","Kent","county","10001","April",2020,77949,65615,12334
"10","DE","Delaware","Kent","county","10001","May",2020,79197,65765,13432
"10","DE","Delaware","New Castle","county","10003","January",2019,300932,290053,10879
"10","DE","Delaware","New Castle","county","10003","February",2019,301679,291042,10637
"10","DE","Delaware","New Castle","county","10003","March",2019,302554,292146,10408
"10","DE","Delaware","New Castle","county","10003","April",2019,302106,292119,9987
"10","DE","Delaware","New Castle","county","10003","May",2019,298507,288526,9981
"10","DE","Delaware","New Castle","county","10003","June",2019,298263,286113,12150
"10","DE","Delaware","New Castle","county","10003","July",2019,299148,286785,12363
"10","DE","Delaware","New Castle","county","10003","August",2019,298079,285618,12461
"10","DE","Delaware","New Castle","county","10003","September",2019,297006,285272,11734
"10","DE","Delaware","New Castle","county","10003","October",2019,300235,288693,11542
"10","DE","Delaware","New Castle","county","10003","November",2019,301843,291497,10346
"10","DE","Delaware","New Castle","county","10003","December",2019,301422,291335,10087
"10","DE","Delaware","New Castle","county","10003","January",2020,299783,287848,11935
"10","DE","Delaware","New Castle","county","10003","February",2020,302963,291572,11391
"10","DE","Delaware","New Castle","county","10003","March",2020,295841,281765,14076
"10","DE","Delaware","New Castle","county","10003","April",2020,285481,245241,40240
"10","DE","Delaware","New Castle","county","10003","May",2020,288634,245544,43090
"10","DE","Delaware","Sussex","county","10005","January",2019,103155,98357,4798
"10","DE","Delaware","Sussex","county","10005","February",2019,102602,97960,4642
"10","DE","Delaware","Sussex","county","10005","March",2019,104065,99719,4346
"10","DE","Delaware","Sussex","county","10005","April",2019,104849,100878,3971
"10","DE","Delaware","Sussex","county","10005","May",2019,107694,104351,3343
"10","DE","Delaware","Sussex","county","10005","June",2019,113355,109350,4005
"10","DE","Delaware","Sussex","county","10005","July",2019,114601,110637,3964
"10","DE","Delaware","Sussex","county","10005","August",2019,113772,109852,3920
"10","DE","Delaware","Sussex","county","10005","September",2019,108531,104781,3750
"10","DE","Delaware","Sussex","county","10005","October",2019,107283,103471,3812
"10","DE","Delaware","Sussex","county","10005","November",2019,106019,102105,3914
"10","DE","Delaware","Sussex","county","10005","December",2019,106540,102313,4227
"10","DE","Delaware","Sussex","county","10005","January",2020,105892,100843,5049
"10","DE","Delaware","Sussex","county","10005","February",2020,105116,100249,4867
"10","DE","Delaware","Sussex","county","10005","March",2020,103150,97545,5605
"10","DE","Delaware","Sussex","county","10005","April",2020,99535,83649,15886
"10","DE","Delaware","Sussex","county","10005","May",2020,103157,86655,16502
"10","DE","Delaware","Dover","city",NA,"January",2019,15871,15058,813
"10","DE","Delaware","Dover","city",NA,"February",2019,15826,15006,820
"10","DE","Delaware","Dover","city",NA,"March",2019,15869,15115,754
"10","DE","Delaware","Dover","city",NA,"April",2019,15798,15087,711
"10","DE","Delaware","Dover","city",NA,"May",2019,15805,14990,815
"10","DE","Delaware","Dover","city",NA,"June",2019,15943,14920,1023
"10","DE","Delaware","Dover","city",NA,"July",2019,15919,14897,1022
"10","DE","Delaware","Dover","city",NA,"August",2019,15858,14866,992
"10","DE","Delaware","Dover","city",NA,"September",2019,15818,14921,897
"10","DE","Delaware","Dover","city",NA,"October",2019,16127,15211,916
"10","DE","Delaware","Dover","city",NA,"November",2019,16134,15341,793
"10","DE","Delaware","Dover","city",NA,"December",2019,16048,15306,742
"10","DE","Delaware","Dover","city",NA,"January",2020,16173,15279,894
"10","DE","Delaware","Dover","city",NA,"February",2020,16069,15200,869
"10","DE","Delaware","Dover","city",NA,"March",2020,15791,14597,1194
"10","DE","Delaware","Dover","city",NA,"April",2020,16020,12985,3035
"10","DE","Delaware","Dover","city",NA,"May",2020,16519,13015,3504
"10","DE","Delaware","Newark","city",NA,"January",2019,16456,15978,478
"10","DE","Delaware","Newark","city",NA,"February",2019,16505,16032,473
"10","DE","Delaware","Newark","city",NA,"March",2019,16648,16093,555
"10","DE","Delaware","Newark","city",NA,"April",2019,16610,16092,518
"10","DE","Delaware","Newark","city",NA,"May",2019,16473,15894,579
"10","DE","Delaware","Newark","city",NA,"June",2019,16445,15761,684
"10","DE","Delaware","Newark","city",NA,"July",2019,16527,15798,729
"10","DE","Delaware","Newark","city",NA,"August",2019,16415,15733,682
"10","DE","Delaware","Newark","city",NA,"September",2019,16414,15714,700
"10","DE","Delaware","Newark","city",NA,"October",2019,16541,15903,638
"10","DE","Delaware","Newark","city",NA,"November",2019,16562,16057,505
"10","DE","Delaware","Newark","city",NA,"December",2019,16469,16048,421
"10","DE","Delaware","Newark","city",NA,"January",2020,16449,15856,593
"10","DE","Delaware","Newark","city",NA,"February",2020,16526,16061,465
"10","DE","Delaware","Newark","city",NA,"March",2020,16355,15521,834
"10","DE","Delaware","Newark","city",NA,"April",2020,14988,13509,1479
"10","DE","Delaware","Newark","city",NA,"May",2020,15156,13526,1630
"10","DE","Delaware","Wilmington","city",NA,"January",2019,33970,32153,1817
"10","DE","Delaware","Wilmington","city",NA,"February",2019,33982,32263,1719
"10","DE","Delaware","Wilmington","city",NA,"March",2019,34250,32385,1865
"10","DE","Delaware","Wilmington","city",NA,"April",2019,34106,32382,1724
"10","DE","Delaware","Wilmington","city",NA,"May",2019,33747,31984,1763
"10","DE","Delaware","Wilmington","city",NA,"June",2019,33837,31716,2121
"10","DE","Delaware","Wilmington","city",NA,"July",2019,33849,31791,2058
"10","DE","Delaware","Wilmington","city",NA,"August",2019,33711,31662,2049
"10","DE","Delaware","Wilmington","city",NA,"September",2019,33524,31623,1901
"10","DE","Delaware","Wilmington","city",NA,"October",2019,33952,32002,1950
"10","DE","Delaware","Wilmington","city",NA,"November",2019,34065,32313,1752
"10","DE","Delaware","Wilmington","city",NA,"December",2019,34075,32295,1780
"10","DE","Delaware","Wilmington","city",NA,"January",2020,33924,31909,2015
"10","DE","Delaware","Wilmington","city",NA,"February",2020,34256,32322,1934
"10","DE","Delaware","Wilmington","city",NA,"March",2020,33514,31234,2280
"10","DE","Delaware","Wilmington","city",NA,"April",2020,32993,27186,5807
"10","DE","Delaware","Wilmington","city",NA,"May",2020,33997,27219,6778
