area_type,Area,Value,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20
state,Delaware,"Labor Force, Delaware",483380,483342,486109,486111,484877,490751,492940,490824,484356,487774,488408,488289,486541,488387,477155,462965,470988
state,Delaware,"Employment, Delaware",464500,464827,468240,469229,468619,470852,472697,470590,465447,469025,471118,470989,465899,468625,453071,394505,397964
state,Delaware,"Unemployment, Delaware",18880,18515,17869,16882,16258,19899,20243,20234,18909,18749,17290,17300,20642,19762,24084,68460,73024
state,Delaware,"Unemployment Rate, Delaware",3.9,3.8,3.7,3.5,3.4,4.1,4.1,4.1,3.9,3.8,3.5,3.5,4.2,4,5,14.8,15.5
county,Kent,"Labor Force, Kent County",79294,79061,79490,79157,78676,79134,79191,78973,78818,80257,80546,80327,80865,80309,78164,77949,79197
county,Kent,"Employment, Kent County",76090,75826,76375,76232,75742,75389,75275,75120,75393,76861,77516,77341,77207,76804,73760,65615,65765
county,Kent,"Unemployment, Kent County",3204,3235,3115,2925,2934,3745,3916,3853,3425,3396,3030,2986,3658,3505,4404,12334,13432
county,Kent,"Unemployment Rate, Kent County",4,4.1,3.9,3.7,3.7,4.7,4.9,4.9,4.3,4.2,3.8,3.7,4.5,4.4,5.6,15.8,17
county,New Castle,"Labor Force, New Castle County",300932,301679,302554,302106,298507,298263,299148,298079,297006,300235,301843,301422,299783,302963,295841,285481,288634
county,New Castle,"Employment, New Castle County",290053,291042,292146,292119,288526,286113,286785,285618,285272,288693,291497,291335,287848,291572,281765,245241,245544
county,New Castle,"Unemployment, New Castle County",10879,10637,10408,9987,9981,12150,12363,12461,11734,11542,10346,10087,11935,11391,14076,40240,43090
county,New Castle,"Unemployment Rate, New Castle County",3.6,3.5,3.4,3.3,3.3,4.1,4.1,4.2,4,3.8,3.4,3.3,4,3.8,4.8,14.1,14.9
county,Sussex,"Labor Force, New Castle County",103155,102602,104065,104849,107694,113355,114601,113772,108531,107283,106019,106540,105892,105116,103150,99535,103157
county,Sussex,"Employment, New Castle County",98357,97960,99719,100878,104351,109350,110637,109852,104781,103471,102105,102313,100843,100249,97545,83649,86655
county,Sussex,"Unemployment, New Castle County",4798,4642,4346,3971,3343,4005,3964,3920,3750,3812,3914,4227,5049,4867,5605,15886,16502
county,Sussex,"Unemployment Rate, New Castle County",4.7,4.5,4.2,3.8,3.1,3.5,3.5,3.4,3.5,3.6,3.7,4,4.8,4.6,5.4,16,16
city,Dover,"Labor Force, City of Dover",15871,15826,15869,15798,15805,15943,15919,15858,15818,16127,16134,16048,16173,16069,15791,16020,16519
city,Dover,"Employment, City of Dover",15058,15006,15115,15087,14990,14920,14897,14866,14921,15211,15341,15306,15279,15200,14597,12985,13015
city,Dover,"Unemployment, City of Dover",813,820,754,711,815,1023,1022,992,897,916,793,742,894,869,1194,3035,3504
city,Dover,"Unemployment Rate, City of Dover",5.1,5.2,4.8,4.5,5.2,6.4,6.4,6.3,5.7,5.7,4.9,4.6,5.5,5.4,7.6,18.9,21.2
city,Newark,"Labor Force, City of Dover",16456,16505,16648,16610,16473,16445,16527,16415,16414,16541,16562,16469,16449,16526,16355,14988,15156
city,Newark,"Employment, City of Dover",15978,16032,16093,16092,15894,15761,15798,15733,15714,15903,16057,16048,15856,16061,15521,13509,13526
city,Newark,"Unemployment, City of Dover",478,473,555,518,579,684,729,682,700,638,505,421,593,465,834,1479,1630
city,Newark,"Unemployment Rate, City of Dover",2.9,2.9,3.3,3.1,3.5,4.2,4.4,4.2,4.3,3.9,3,2.6,3.6,2.8,5.1,9.9,10.8
city,Wilmington,"Labor Force, City of Wilmington",33970,33982,34250,34106,33747,33837,33849,33711,33524,33952,34065,34075,33924,34256,33514,32993,33997
city,Wilmington,"Employment, City of Wilmington",32153,32263,32385,32382,31984,31716,31791,31662,31623,32002,32313,32295,31909,32322,31234,27186,27219
city,Wilmington,"Unemployment, City of Wilmington",1817,1719,1865,1724,1763,2121,2058,2049,1901,1950,1752,1780,2015,1934,2280,5807,6778
city,Wilmington,"Unemployment Rate, City of Wilmington",5.3,5.1,5.4,5.1,5.2,6.3,6.1,6.1,5.7,5.7,5.1,5.2,5.9,5.6,6.8,17.6,19.9
