"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"13","GA","Georgia","Appling County","county","13001","May",2020,9533,9012,521
"13","GA","Georgia","Atkinson County","county","13003","May",2020,4344,4148,196
"13","GA","Georgia","Bacon County","county","13005","May",2020,4812,4568,244
"13","GA","Georgia","Baker County","county","13007","May",2020,1119,1045,74
"13","GA","Georgia","Baldwin County","county","13009","May",2020,17738,16232,1506
"13","GA","Georgia","Banks County","county","13011","May",2020,9725,9076,649
"13","GA","Georgia","Barrow County","county","13013","May",2020,37873,34731,3142
"13","GA","Georgia","Bartow County","county","13015","May",2020,47969,43296,4673
"13","GA","Georgia","Ben Hill County","county","13017","May",2020,5219,4859,360
"13","GA","Georgia","Berrien County","county","13019","May",2020,7254,6773,481
"13","GA","Georgia","Bibb County","county","13021","May",2020,64723,58338,6385
"13","GA","Georgia","Bleckley County","county","13023","May",2020,4311,3999,312
"13","GA","Georgia","Brantley County","county","13025","May",2020,6206,5714,492
"13","GA","Georgia","Brooks County","county","13027","May",2020,6620,6245,375
"13","GA","Georgia","Bryan County","county","13029","May",2020,17000,15534,1466
"13","GA","Georgia","Bulloch County","county","13031","May",2020,36792,33563,3229
"13","GA","Georgia","Burke County","county","13033","May",2020,8763,7981,782
"13","GA","Georgia","Butts County","county","13035","May",2020,10040,9195,845
"13","GA","Georgia","Calhoun County","county","13037","May",2020,2283,2159,124
"13","GA","Georgia","Camden County","county","13039","May",2020,20089,18716,1373
"13","GA","Georgia","Candler County","county","13043","May",2020,5575,5292,283
"13","GA","Georgia","Carroll County","county","13045","May",2020,52318,47185,5133
"13","GA","Georgia","Catoosa County","county","13047","May",2020,32223,30207,2016
"13","GA","Georgia","Charlton County","county","13049","May",2020,4597,4396,201
"13","GA","Georgia","Chatham County","county","13051","May",2020,134397,118178,16219
"13","GA","Georgia","Chattahoochee County","county","13053","May",2020,1845,1699,146
"13","GA","Georgia","Chattooga County","county","13055","May",2020,10167,8878,1289
"13","GA","Georgia","Cherokee County","county","13057","May",2020,126504,116687,9817
"13","GA","Georgia","Clarke County","county","13059","May",2020,57765,52416,5349
"13","GA","Georgia","Clay County","county","13061","May",2020,960,825,135
"13","GA","Georgia","Clayton County","county","13063","May",2020,136010,116768,19242
"13","GA","Georgia","Clinch County","county","13065","May",2020,2579,2438,141
"13","GA","Georgia","Cobb County","county","13067","May",2020,400179,364457,35722
"13","GA","Georgia","Coffee County","county","13069","May",2020,18785,17603,1182
"13","GA","Georgia","Colquitt County","county","13071","May",2020,21403,20324,1079
"13","GA","Georgia","Columbia County","county","13073","May",2020,70432,66289,4143
"13","GA","Georgia","Cook County","county","13075","May",2020,7960,7558,402
"13","GA","Georgia","Coweta County","county","13077","May",2020,71107,64059,7048
"13","GA","Georgia","Crawford County","county","13079","May",2020,5217,4863,354
"13","GA","Georgia","Crisp County","county","13081","May",2020,9450,8803,647
"13","GA","Georgia","Dade County","county","13083","May",2020,7752,7319,433
"13","GA","Georgia","Dawson County","county","13085","May",2020,11489,10586,903
"13","GA","Georgia","Decatur County","county","13087","May",2020,11239,10669,570
"13","GA","Georgia","DeKalb County","county","13089","May",2020,385068,340756,44312
"13","GA","Georgia","Dodge County","county","13091","May",2020,6605,6142,463
"13","GA","Georgia","Dooly County","county","13093","May",2020,5076,4612,464
"13","GA","Georgia","Dougherty County","county","13095","May",2020,36632,32956,3676
"13","GA","Georgia","Douglas County","county","13097","May",2020,70190,62407,7783
"13","GA","Georgia","Early County","county","13099","May",2020,4352,4129,223
"13","GA","Georgia","Echols County","county","13101","May",2020,1859,1766,93
"13","GA","Georgia","Effingham County","county","13103","May",2020,28634,26287,2347
"13","GA","Georgia","Elbert County","county","13105","May",2020,7891,7249,642
"13","GA","Georgia","Emanuel County","county","13107","May",2020,8161,7577,584
"13","GA","Georgia","Evans County","county","13109","May",2020,4826,4534,292
"13","GA","Georgia","Fannin County","county","13111","May",2020,12297,11550,747
"13","GA","Georgia","Fayette County","county","13113","May",2020,54472,49738,4734
"13","GA","Georgia","Floyd County","county","13115","May",2020,44666,40589,4077
"13","GA","Georgia","Forsyth County","county","13117","May",2020,113977,104996,8981
"13","GA","Georgia","Franklin County","county","13119","May",2020,10035,9191,844
"13","GA","Georgia","Fulton County","county","13121","May",2020,537847,475209,62638
"13","GA","Georgia","Gilmer County","county","13123","May",2020,11147,10330,817
"13","GA","Georgia","Glascock County","county","13125","May",2020,1214,1154,60
"13","GA","Georgia","Glynn County","county","13127","May",2020,34822,30614,4208
"13","GA","Georgia","Gordon County","county","13129","May",2020,28445,26330,2115
"13","GA","Georgia","Grady County","county","13131","May",2020,10145,9625,520
"13","GA","Georgia","Greene County","county","13133","May",2020,7062,6531,531
"13","GA","Georgia","Gwinnett County","county","13135","May",2020,464867,419366,45501
"13","GA","Georgia","Habersham County","county","13137","May",2020,18852,17397,1455
"13","GA","Georgia","Hall County","county","13139","May",2020,96628,88911,7717
"13","GA","Georgia","Hancock County","county","13141","May",2020,2530,2278,252
"13","GA","Georgia","Haralson County","county","13143","May",2020,11818,10722,1096
"13","GA","Georgia","Harris County","county","13145","May",2020,15411,14293,1118
"13","GA","Georgia","Hart County","county","13147","May",2020,11011,10220,791
"13","GA","Georgia","Heard County","county","13149","May",2020,4990,4501,489
"13","GA","Georgia","Henry County","county","13151","May",2020,111424,98603,12821
"13","GA","Georgia","Houston County","county","13153","May",2020,65950,61218,4732
"13","GA","Georgia","Irwin County","county","13155","May",2020,3391,3184,207
"13","GA","Georgia","Jackson County","county","13157","May",2020,36419,33665,2754
