Month,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary,
May,Appling County,"9,533","9,012",521,5.50%,Yes,
May,Atkinson County,"4,344","4,148",196,4.50%,Yes,
May,Bacon County,"4,812","4,568",244,5.10%,Yes,
May,Baker County,"1,119","1,045",74,6.60%,Yes,
May,Baldwin County,"17,738","16,232","1,506",8.50%,Yes,
May,Banks County,"9,725","9,076",649,6.70%,Yes,
May,Barrow County,"37,873","34,731","3,142",8.30%,Yes,
May,Bartow County,"47,969","43,296","4,673",9.70%,Yes,
May,Ben Hill County,"5,219","4,859",360,6.90%,Yes,
May,Berrien County,"7,254","6,773",481,6.60%,Yes,
May,Bibb County,"64,723","58,338","6,385",9.90%,Yes,
May,Bleckley County,"4,311","3,999",312,7.20%,Yes,
May,Brantley County,"6,206","5,714",492,7.90%,Yes,
May,Brooks County,"6,620","6,245",375,5.70%,Yes,
May,Bryan County,"17,000","15,534","1,466",8.60%,Yes,
May,Bulloch County,"36,792","33,563","3,229",8.80%,Yes,
May,Burke County,"8,763","7,981",782,8.90%,Yes,
May,Butts County,"10,040","9,195",845,8.40%,Yes,
May,Calhoun County,"2,283","2,159",124,5.40%,Yes,
May,Camden County,"20,089","18,716","1,373",6.80%,Yes,
May,Candler County,"5,575","5,292",283,5.10%,Yes,
May,Carroll County,"52,318","47,185","5,133",9.80%,Yes,
May,Catoosa County,"32,223","30,207","2,016",6.30%,Yes,
May,Charlton County,"4,597","4,396",201,4.40%,Yes,
May,Chatham County,"134,397","118,178","16,219",12.10%,Yes,
May,Chattahoochee County,"1,845","1,699",146,7.90%,Yes,
May,Chattooga County,"10,167","8,878","1,289",12.70%,Yes,
May,Cherokee County,"126,504","116,687","9,817",7.80%,Yes,
May,Clarke County,"57,765","52,416","5,349",9.30%,Yes,
May,Clay County,960,825,135,14.10%,Yes,
May,Clayton County,"136,010","116,768","19,242",14.10%,Yes,
May,Clinch County,"2,579","2,438",141,5.50%,Yes,
May,Cobb County,"400,179","364,457","35,722",8.90%,Yes,
May,Coffee County,"18,785","17,603","1,182",6.30%,Yes,
May,Colquitt County,"21,403","20,324","1,079",5.00%,Yes,
May,Columbia County,"70,432","66,289","4,143",5.90%,Yes,
May,Cook County,"7,960","7,558",402,5.10%,Yes,
May,Coweta County,"71,107","64,059","7,048",9.90%,Yes,
May,Crawford County,"5,217","4,863",354,6.80%,Yes,
May,Crisp County,"9,450","8,803",647,6.80%,Yes,
May,Dade County,"7,752","7,319",433,5.60%,Yes,
May,Dawson County,"11,489","10,586",903,7.90%,Yes,
May,Decatur County,"11,239","10,669",570,5.10%,Yes,
May,DeKalb County,"385,068","340,756","44,312",11.50%,Yes,
May,Dodge County,"6,605","6,142",463,7.00%,Yes,
May,Dooly County,"5,076","4,612",464,9.10%,Yes,
May,Dougherty County,"36,632","32,956","3,676",10.00%,Yes,
May,Douglas County,"70,190","62,407","7,783",11.10%,Yes,
May,Early County,"4,352","4,129",223,5.10%,Yes,
May,Echols County,"1,859","1,766",93,5.00%,Yes,
May,Effingham County,"28,634","26,287","2,347",8.20%,Yes,
May,Elbert County,"7,891","7,249",642,8.10%,Yes,
May,Emanuel County,"8,161","7,577",584,7.20%,Yes,
May,Evans County,"4,826","4,534",292,6.10%,Yes,
May,Fannin County,"12,297","11,550",747,6.10%,Yes,
May,Fayette County,"54,472","49,738","4,734",8.70%,Yes,
May,Floyd County,"44,666","40,589","4,077",9.10%,Yes,
May,Forsyth County,"113,977","104,996","8,981",7.90%,Yes,
May,Franklin County,"10,035","9,191",844,8.40%,Yes,
May,Fulton County,"537,847","475,209","62,638",11.60%,Yes,
May,Gilmer County,"11,147","10,330",817,7.30%,Yes,
May,Glascock County,"1,214","1,154",60,4.90%,Yes,
May,Glynn County,"34,822","30,614","4,208",12.10%,Yes,
May,Gordon County,"28,445","26,330","2,115",7.40%,Yes,
May,Grady County,"10,145","9,625",520,5.10%,Yes,
May,Greene County,"7,062","6,531",531,7.50%,Yes,
May,Gwinnett County,"464,867","419,366","45,501",9.80%,Yes,
May,Habersham County,"18,852","17,397","1,455",7.70%,Yes,
May,Hall County,"96,628","88,911","7,717",8.00%,Yes,
May,Hancock County,"2,530","2,278",252,10.00%,Yes,
May,Haralson County,"11,818","10,722","1,096",9.30%,Yes,
May,Harris County,"15,411","14,293","1,118",7.30%,Yes,
May,Hart County,"11,011","10,220",791,7.20%,Yes,
May,Heard County,"4,990","4,501",489,9.80%,Yes,
May,Henry County,"111,424","98,603","12,821",11.50%,Yes,
