"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"15","HI","Hawaii","Hawaii","state",NA,"January",2019,667650,648550,19150
"15","HI","Hawaii","Hawaii","state",NA,"February",2019,664850,647000,17850
"15","HI","Hawaii","Hawaii","state",NA,"March",2019,665500,647550,17950
"15","HI","Hawaii","Hawaii","state",NA,"April",2019,663200,646000,17250
"15","HI","Hawaii","Hawaii","state",NA,"May",2019,660700,643650,17100
"15","HI","Hawaii","Hawaii","state",NA,"June",2019,665600,643500,22100
"15","HI","Hawaii","Hawaii","state",NA,"July",2019,667200,648800,18450
"15","HI","Hawaii","Hawaii","state",NA,"August",2019,663700,645900,17800
"15","HI","Hawaii","Hawaii","state",NA,"September",2019,662550,643700,18850
"15","HI","Hawaii","Hawaii","state",NA,"October",2019,663750,646200,17550
"15","HI","Hawaii","Hawaii","state",NA,"November",2019,667850,650500,17350
"15","HI","Hawaii","Hawaii","state",NA,"December",2019,667350,652350,15000
"15","HI","Hawaii","Hawaii","state",NA,"January",2020,673450,654000,19450
"15","HI","Hawaii","Hawaii","state",NA,"February",2020,669100,651350,17750
"15","HI","Hawaii","Hawaii","state",NA,"March",2020,667550,652500,15050
"15","HI","Hawaii","Hawaii","state",NA,"April",2020,634100,484200,149900
"15","HI","Hawaii","Hawaii","state",NA,"May",2020,631600,489750,141850
"15","HI","Hawaii","Hawaii County","county","15001","January",2019,90250,87050,3200
"15","HI","Hawaii","Hawaii County","county","15001","February",2019,90800,87750,3050
"15","HI","Hawaii","Hawaii County","county","15001","March",2019,90600,87500,3050
"15","HI","Hawaii","Hawaii County","county","15001","April",2019,91000,87950,3050
"15","HI","Hawaii","Hawaii County","county","15001","May",2019,91400,88450,2950
"15","HI","Hawaii","Hawaii County","county","15001","June",2019,91350,87500,3850
"15","HI","Hawaii","Hawaii County","county","15001","July",2019,91650,88250,3450
"15","HI","Hawaii","Hawaii County","county","15001","August",2019,90550,87450,3100
"15","HI","Hawaii","Hawaii County","county","15001","September",2019,91600,88400,3200
"15","HI","Hawaii","Hawaii County","county","15001","October",2019,91000,87800,3200
"15","HI","Hawaii","Hawaii County","county","15001","November",2019,92000,89000,3000
"15","HI","Hawaii","Hawaii County","county","15001","December",2019,91700,89100,2600
"15","HI","Hawaii","Hawaii County","county","15001","January",2020,91800,88550,3250
"15","HI","Hawaii","Hawaii County","county","15001","February",2020,91800,88750,3050
"15","HI","Hawaii","Hawaii County","county","15001","March",2020,91550,88900,2650
"15","HI","Hawaii","Hawaii County","county","15001","April",2020,88800,69100,20750
"15","HI","Hawaii","Hawaii County","county","15001","May",2020,88400,69700,18700
"15","HI","Hawaii","Honolulu County","county","15003","January",2019,453300,440950,12400
