"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"19","IA","Iowa","Appanoose County","county",19007,"January",2019,6020,5720,300
"19","IA","Iowa","Appanoose County","county",19007,"February",2019,5990,5790,200
"19","IA","Iowa","Appanoose County","county",19007,"March",2019,5970,5740,230
"19","IA","Iowa","Appanoose County","county",19007,"April",2019,6010,5840,170
"19","IA","Iowa","Appanoose County","county",19007,"May",2019,6070,5900,180
"19","IA","Iowa","Appanoose County","county",19007,"June",2019,6270,6060,210
"19","IA","Iowa","Appanoose County","county",19007,"July",2019,6210,5980,230
"19","IA","Iowa","Appanoose County","county",19007,"August",2019,6060,5810,250
"19","IA","Iowa","Appanoose County","county",19007,"September",2019,5780,5570,210
"19","IA","Iowa","Appanoose County","county",19007,"October",2019,6080,5870,210
"19","IA","Iowa","Appanoose County","county",19007,"November",2019,6050,5860,190
"19","IA","Iowa","Appanoose County","county",19007,"December",2019,6040,5820,210
"19","IA","Iowa","Appanoose County","county",19007,"January",2020,6050,5780,270
"19","IA","Iowa","Appanoose County","county",19007,"February",2020,6010,5800,220
"19","IA","Iowa","Appanoose County","county",19007,"March",2020,5980,5720,260
"19","IA","Iowa","Appanoose County","county",19007,"April",2020,6020,5390,630
"19","IA","Iowa","Appanoose County","county",19007,"May",2020,5980,5410,570
"19","IA","Iowa","Appanoose County","county",19007,"June",2020,5830,5350,480
"19","IA","Iowa","Audubon County","county",19009,"January",2019,3230,3130,110
"19","IA","Iowa","Audubon County","county",19009,"February",2019,3250,3150,100
"19","IA","Iowa","Audubon County","county",19009,"March",2019,3170,3060,100
"19","IA","Iowa","Audubon County","county",19009,"April",2019,3100,3030,70
"19","IA","Iowa","Audubon County","county",19009,"May",2019,3150,3080,70
"19","IA","Iowa","Audubon County","county",19009,"June",2019,3170,3100,80
"19","IA","Iowa","Audubon County","county",19009,"July",2019,3180,3100,80
"19","IA","Iowa","Audubon County","county",19009,"August",2019,3170,3090,80
"19","IA","Iowa","Audubon County","county",19009,"September",2019,3100,3040,70
"19","IA","Iowa","Audubon County","county",19009,"October",2019,3150,3080,70
"19","IA","Iowa","Audubon County","county",19009,"November",2019,3190,3120,60
"19","IA","Iowa","Audubon County","county",19009,"December",2019,3210,3130,80
"19","IA","Iowa","Audubon County","county",19009,"January",2020,3150,3050,110
"19","IA","Iowa","Audubon County","county",19009,"February",2020,3130,3050,80
"19","IA","Iowa","Audubon County","county",19009,"March",2020,3080,2980,100
"19","IA","Iowa","Audubon County","county",19009,"April",2020,3030,2840,190
"19","IA","Iowa","Audubon County","county",19009,"May",2020,3020,2850,170
"19","IA","Iowa","Audubon County","county",19009,"June",2020,2910,2770,140
"19","IA","Iowa","Iowa","state",NA,"January",2019,1706900,1647700,59200
"19","IA","Iowa","Iowa","state",NA,"February",2019,1717000,1663300,53800
"19","IA","Iowa","Iowa","state",NA,"March",2019,1723600,1668200,55400
"19","IA","Iowa","Iowa","state",NA,"April",2019,1724100,1681300,42800
"19","IA","Iowa","Iowa","state",NA,"May",2019,1726200,1685200,41100
"19","IA","Iowa","Iowa","state",NA,"June",2019,1750400,1702100,48300
"19","IA","Iowa","Iowa","state",NA,"July",2019,1763400,1714600,48700
"19","IA","Iowa","Iowa","state",NA,"August",2019,1748000,1699700,48300
"19","IA","Iowa","Iowa","state",NA,"September",2019,1748300,1706800,41500
"19","IA","Iowa","Iowa","state",NA,"October",2019,1759300,1718500,40700
"19","IA","Iowa","Iowa","state",NA,"November",2019,1753000,1710300,42700
"19","IA","Iowa","Iowa","state",NA,"December",2019,1745700,1694400,51300
"19","IA","Iowa","Iowa","state",NA,"January",2020,1738100,1673900,64200
"19","IA","Iowa","Iowa","state",NA,"February",2020,1734300,1679800,54600
"19","IA","Iowa","Iowa","state",NA,"March",2020,1716500,1654600,61900
"19","IA","Iowa","Iowa","state",NA,"April",2020,1710000,1525300,184600
"19","IA","Iowa","Iowa","state",NA,"May",2020,1688200,1520600,167600
"19","IA","Iowa","Iowa","state",NA,"June",2020,1651800,1520900,131000
"19","IA","Iowa","Adair County","county",19001,"January",2019,4200,4070,130
"19","IA","Iowa","Adair County","county",19001,"February",2019,4250,4100,140
"19","IA","Iowa","Adair County","county",19001,"March",2019,4140,4010,130
"19","IA","Iowa","Adair County","county",19001,"April",2019,4150,4060,100
"19","IA","Iowa","Adair County","county",19001,"May",2019,4290,4200,90
"19","IA","Iowa","Adair County","county",19001,"June",2019,4380,4280,100
"19","IA","Iowa","Adair County","county",19001,"July",2019,4360,4270,90
"19","IA","Iowa","Adair County","county",19001,"August",2019,4320,4230,90
"19","IA","Iowa","Adair County","county",19001,"September",2019,4270,4190,80
"19","IA","Iowa","Adair County","county",19001,"October",2019,4300,4230,70
"19","IA","Iowa","Adair County","county",19001,"November",2019,4360,4280,80
"19","IA","Iowa","Adair County","county",19001,"December",2019,4360,4250,110
"19","IA","Iowa","Adair County","county",19001,"January",2020,4250,4130,130
"19","IA","Iowa","Adair County","county",19001,"February",2020,4290,4160,130
"19","IA","Iowa","Adair County","county",19001,"March",2020,4210,4070,140
"19","IA","Iowa","Adair County","county",19001,"April",2020,4120,3750,380
"19","IA","Iowa","Adair County","county",19001,"May",2020,4140,3810,330
"19","IA","Iowa","Adair County","county",19001,"June",2020,4000,3780,230
"19","IA","Iowa","Adams County","county",19003,"January",2019,2170,2120,50
"19","IA","Iowa","Adams County","county",19003,"February",2019,2180,2130,50
"19","IA","Iowa","Adams County","county",19003,"March",2019,2150,2100,50
"19","IA","Iowa","Adams County","county",19003,"April",2019,2170,2140,30
"19","IA","Iowa","Adams County","county",19003,"May",2019,2230,2190,40
"19","IA","Iowa","Adams County","county",19003,"June",2019,2310,2270,40
"19","IA","Iowa","Adams County","county",19003,"July",2019,2270,2230,40
"19","IA","Iowa","Adams County","county",19003,"August",2019,2230,2200,30
"19","IA","Iowa","Adams County","county",19003,"September",2019,2200,2170,30
"19","IA","Iowa","Adams County","county",19003,"October",2019,2190,2150,30
"19","IA","Iowa","Adams County","county",19003,"November",2019,2210,2180,30
"19","IA","Iowa","Adams County","county",19003,"December",2019,2220,2180,40
"19","IA","Iowa","Adams County","county",19003,"January",2020,2190,2140,50
"19","IA","Iowa","Adams County","county",19003,"February",2020,2180,2140,40
"19","IA","Iowa","Adams County","county",19003,"March",2020,2150,2100,50
"19","IA","Iowa","Adams County","county",19003,"April",2020,2090,1940,150
"19","IA","Iowa","Adams County","county",19003,"May",2020,2110,1950,160
"19","IA","Iowa","Adams County","county",19003,"June",2020,2060,1950,110
"19","IA","Iowa","Allamakee County","county",19005,"January",2019,7490,7050,440
"19","IA","Iowa","Allamakee County","county",19005,"February",2019,7570,7150,420
"19","IA","Iowa","Allamakee County","county",19005,"March",2019,7430,7030,410
"19","IA","Iowa","Allamakee County","county",19005,"April",2019,7320,7050,270
"19","IA","Iowa","Allamakee County","county",19005,"May",2019,7400,7200,200
"19","IA","Iowa","Allamakee County","county",19005,"June",2019,7500,7280,220
"19","IA","Iowa","Allamakee County","county",19005,"July",2019,7470,7260,210
"19","IA","Iowa","Allamakee County","county",19005,"August",2019,7400,7200,200
"19","IA","Iowa","Allamakee County","county",19005,"September",2019,7490,7320,170
"19","IA","Iowa","Allamakee County","county",19005,"October",2019,7540,7380,160
"19","IA","Iowa","Allamakee County","county",19005,"November",2019,7600,7410,190
"19","IA","Iowa","Allamakee County","county",19005,"December",2019,7670,7380,280
"19","IA","Iowa","Allamakee County","county",19005,"January",2020,7600,7170,430
"19","IA","Iowa","Allamakee County","county",19005,"February",2020,7600,7220,390
"19","IA","Iowa","Allamakee County","county",19005,"March",2020,7530,7100,430
"19","IA","Iowa","Allamakee County","county",19005,"April",2020,7320,6580,740
"19","IA","Iowa","Allamakee County","county",19005,"May",2020,7150,6560,590
"19","IA","Iowa","Allamakee County","county",19005,"June",2020,6910,6460,450
"19","IA","Iowa","Boone County","county",19015,"January",2019,14850,14410,440
"19","IA","Iowa","Boone County","county",19015,"February",2019,15090,14670,430
"19","IA","Iowa","Boone County","county",19015,"March",2019,15100,14680,420
"19","IA","Iowa","Boone County","county",19015,"April",2019,15150,14840,320
"19","IA","Iowa","Boone County","county",19015,"May",2019,15120,14790,330
"19","IA","Iowa","Boone County","county",19015,"June",2019,15100,14700,400
"19","IA","Iowa","Boone County","county",19015,"July",2019,15260,14870,390
"19","IA","Iowa","Boone County","county",19015,"August",2019,14980,14640,340
"19","IA","Iowa","Boone County","county",19015,"September",2019,15320,15040,280
"19","IA","Iowa","Boone County","county",19015,"October",2019,15380,15090,300
"19","IA","Iowa","Boone County","county",19015,"November",2019,15280,14970,310
"19","IA","Iowa","Boone County","county",19015,"December",2019,15180,14810,370
"19","IA","Iowa","Boone County","county",19015,"January",2020,15080,14600,480
"19","IA","Iowa","Boone County","county",19015,"February",2020,15110,14700,410
"19","IA","Iowa","Boone County","county",19015,"March",2020,14900,14470,430
