STFIPS,AREATYNAME,AREANAME,YEAR,MONTH,ADJUSTED,PRELIM,LABORFORCE,EMP,UNEMP,UNEMPRATE,LABFORCE_PARTRATE
19,County,Buchanan County,2001,September,0,0,10790,10400,390,3.6,
19,County,Buchanan County,2001,October,0,0,11010,10650,360,3.3,
19,County,Buchanan County,2001,November,0,0,10830,10410,420,3.9,
19,County,Buchanan County,2001,December,0,0,10830,10340,490,4.5,
19,County,Buchanan County,2002,January,0,0,10910,10220,690,6.3,
19,County,Buchanan County,2002,February,0,0,10930,10250,680,6.2,
19,County,Buchanan County,2002,March,0,0,10850,10210,640,5.9,
19,County,Buchanan County,2002,April,0,0,10890,10420,470,4.4,
19,County,Buchanan County,2002,May,0,0,10770,10400,380,3.5,
19,County,Buchanan County,2002,June,0,0,10940,10500,440,4,
19,County,Buchanan County,2002,July,0,0,11140,10710,440,3.9,
19,County,Buchanan County,2002,August,0,0,10930,10520,410,3.7,
19,County,Buchanan County,2002,September,0,0,10960,10540,410,3.8,
19,County,Buchanan County,2002,October,0,0,10890,10490,400,3.7,
19,County,Buchanan County,2002,November,0,0,10760,10330,430,4,
19,County,Buchanan County,2002,December,0,0,10700,10190,500,4.7,
19,County,Buchanan County,2003,January,0,0,10890,10220,680,6.2,
19,County,Buchanan County,2003,February,0,0,10840,10200,640,5.9,
19,County,Buchanan County,2003,March,0,0,10810,10160,650,6,
19,County,Buchanan County,2003,April,0,0,10870,10380,500,4.6,
19,County,Buchanan County,2003,May,0,0,10860,10440,420,3.8,
19,County,Buchanan County,2003,June,0,0,11080,10630,460,4.1,
19,County,Buchanan County,2003,July,0,0,11060,10650,410,3.7,
19,County,Buchanan County,2003,August,0,0,10890,10470,430,3.9,
19,County,Buchanan County,2003,September,0,0,10740,10350,390,3.7,
19,County,Buchanan County,2003,October,0,0,10880,10440,450,4.1,
19,County,Buchanan County,2003,November,0,0,10760,10320,450,4.1,
19,County,Buchanan County,2003,December,0,0,10720,10230,490,4.6,
19,County,Buchanan County,2004,January,0,0,10700,10060,640,6,
19,County,Buchanan County,2004,February,0,0,10740,10120,620,5.8,
19,County,Buchanan County,2004,March,0,0,10780,10170,610,5.7,
19,County,Buchanan County,2004,April,0,0,10870,10450,430,3.9,
19,County,Buchanan County,2004,May,0,0,10820,10420,400,3.7,
19,County,Buchanan County,2004,June,0,0,11040,10570,470,4.3,
19,County,Buchanan County,2004,July,0,0,11010,10570,440,4,
19,County,Buchanan County,2004,August,0,0,10880,10420,460,4.3,
19,County,Buchanan County,2004,September,0,0,10770,10330,440,4.1,
19,County,Buchanan County,2004,October,0,0,10860,10440,410,3.8,
19,County,Buchanan County,2004,November,0,0,10880,10410,470,4.3,
19,County,Buchanan County,2004,December,0,0,10790,10280,510,4.7,
19,County,Buchanan County,2005,January,0,0,10850,10150,700,6.4,
19,County,Buchanan County,2005,February,0,0,10900,10250,650,5.9,
19,County,Buchanan County,2005,March,0,0,10980,10360,620,5.7,
19,County,Buchanan County,2005,April,0,0,11140,10660,480,4.3,
19,County,Buchanan County,2005,May,0,0,11090,10640,450,4.1,
19,County,Buchanan County,2005,June,0,0,11320,10830,490,4.4,
19,County,Buchanan County,2005,July,0,0,11300,10870,430,3.8,
19,County,Buchanan County,2005,August,0,0,11160,10700,470,4.2,
19,County,Buchanan County,2005,September,0,0,11130,10700,430,3.8,
19,County,Buchanan County,2005,October,0,0,11290,10890,400,3.5,
19,County,Buchanan County,2005,November,0,0,11350,10910,440,3.9,
19,County,Buchanan County,2005,December,0,0,11480,10910,570,4.9,
19,County,Buchanan County,2006,January,0,0,11400,10800,600,5.3,
19,County,Buchanan County,2006,February,0,0,11410,10830,580,5,
19,County,Buchanan County,2006,March,0,0,11500,10980,520,4.5,
19,County,Buchanan County,2006,April,0,0,11410,10910,500,4.3,
19,County,Buchanan County,2006,May,0,0,11300,10860,430,3.8,
19,County,Buchanan County,2006,June,0,0,11360,10910,450,3.9,
19,County,Buchanan County,2006,July,0,0,11340,10910,420,3.7,
19,County,Buchanan County,2006,August,0,0,11230,10780,450,4,
19,County,Buchanan County,2006,September,0,0,11200,10720,480,4.3,
19,County,Buchanan County,2006,October,0,0,11100,10700,400,3.6,
19,County,Buchanan County,2006,November,0,0,10980,10560,420,3.8,
19,County,Buchanan County,2006,December,0,0,10950,10430,520,4.7,
19,County,Buchanan County,2007,January,0,0,10860,10240,620,5.7,
19,County,Buchanan County,2007,February,0,0,10840,10200,640,5.9,
19,County,Buchanan County,2007,March,0,0,10880,10320,560,5.2,
19,County,Buchanan County,2007,April,0,0,10890,10450,450,4.1,
19,County,Buchanan County,2007,May,0,0,10940,10550,390,3.5,
19,County,Buchanan County,2007,June,0,0,11200,10730,470,4.2,
19,County,Buchanan County,2007,July,0,0,11260,10870,390,3.5,
19,County,Buchanan County,2007,August,0,0,11090,10680,410,3.7,
19,County,Buchanan County,2007,September,0,0,11100,10720,380,3.5,
19,County,Buchanan County,2007,October,0,0,11120,10750,370,3.3,
19,County,Buchanan County,2007,November,0,0,11110,10740,370,3.3,
19,County,Buchanan County,2007,December,0,0,11090,10610,480,4.3,
19,County,Buchanan County,2008,January,0,0,10990,10410,580,5.3,
19,County,Buchanan County,2008,February,0,0,10890,10340,550,5.1,
19,County,Buchanan County,2008,March,0,0,10940,10400,540,5,
19,County,Buchanan County,2008,April,0,0,11110,10680,440,3.9,
19,County,Buchanan County,2008,May,0,0,11110,10750,370,3.3,
19,County,Buchanan County,2008,June,0,0,11390,10960,430,3.7,
19,County,Buchanan County,2008,July,0,0,11500,11100,390,3.4,
19,County,Buchanan County,2008,August,0,0,11250,10840,420,3.7,
19,County,Buchanan County,2008,September,0,0,11180,10770,410,3.6,
19,County,Buchanan County,2008,October,0,0,11290,10900,390,3.4,
19,County,Buchanan County,2008,November,0,0,11220,10800,420,3.8,
19,County,Buchanan County,2008,December,0,0,11250,10680,570,5.1,
19,County,Buchanan County,2009,January,0,0,11090,10340,760,6.8,
19,County,Buchanan County,2009,February,0,0,11080,10290,790,7.1,
19,County,Buchanan County,2009,March,0,0,11220,10350,870,7.7,
19,County,Buchanan County,2009,April,0,0,11280,10590,700,6.2,
19,County,Buchanan County,2009,May,0,0,11300,10620,680,6,
19,County,Buchanan County,2009,June,0,0,11470,10730,730,6.4,
19,County,Buchanan County,2009,July,0,0,11480,10720,760,6.6,
19,County,Buchanan County,2009,August,0,0,11230,10550,680,6.1,
19,County,Buchanan County,2009,September,0,0,11060,10430,620,5.6,
19,County,Buchanan County,2009,October,0,0,11310,10350,960,8.5,
19,County,Buchanan County,2009,November,0,0,11080,10470,620,5.6,
19,County,Buchanan County,2009,December,0,0,11190,10440,750,6.7,
19,County,Buchanan County,2010,January,0,0,11300,10430,870,7.7,
19,County,Buchanan County,2010,February,0,0,11330,10470,860,7.6,
19,County,Buchanan County,2010,March,0,0,11400,10570,830,7.3,
19,County,Buchanan County,2010,April,0,0,11360,10710,640,5.6,
19,County,Buchanan County,2010,May,0,0,11370,10780,590,5.2,
19,County,Buchanan County,2010,June,0,0,11520,10900,620,5.3,
19,County,Buchanan County,2010,July,0,0,11500,10900,590,5.2,
19,County,Buchanan County,2010,August,0,0,11330,10700,630,5.6,
19,County,Buchanan County,2010,September,0,0,11300,10700,600,5.3,
19,County,Buchanan County,2010,October,0,0,11300,10730,570,5.1,
19,County,Buchanan County,2010,November,0,0,11270,10640,630,5.6,
19,County,Buchanan County,2010,December,0,0,11230,10530,700,6.2,
