"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"16","ID","Idaho","Idaho","state",NA,"May",2020,"884,204","808,311","75,893"
"16","ID","Idaho","Ada County","county","16001","May",2020,"258,113","234,340","23,773"
"16","ID","Idaho","Adams County","county","16003","May",2020,"1,749","1,506","243"
"16","ID","Idaho","Bannock County","county","16005","May",2020,"40,444","37,356","3,088"
"16","ID","Idaho","Bear Lake County","county","16007","May",2020,"2,991","2,816","175"
"16","ID","Idaho","Benewah County","county","16009","May",2020,"4,142","3,696","446"
"16","ID","Idaho","Bingham County","county","16011","May",2020,"23,815","22,477","1,338"
"16","ID","Idaho","Blaine County","county","16013","May",2020,"12,886","10,970","1,916"
"16","ID","Idaho","Boise County","county","16015","May",2020,"3,612","3,191","421"
"16","ID","Idaho","Bonner County","county","16017","May",2020,"20,883","18,282","2,601"
"16","ID","Idaho","Bonneville County","county","16019","May",2020,"59,199","55,763","3,436"
"16","ID","Idaho","Boundary County","county","16021","May",2020,"5,516","5,018","498"
"16","ID","Idaho","Butte County","county","16023","May",2020,"1,456","1,385","71"
"16","ID","Idaho","Camas County","county","16025","May",2020,"699","645","54"
"16","ID","Idaho","Canyon County","county","16027","May",2020,"105,162","95,531","9,631"
"16","ID","Idaho","Caribou County","county","16029","May",2020,"4,086","3,904","182"
"16","ID","Idaho","Cassia County","county","16031","May",2020,"12,067","11,380","687"
"16","ID","Idaho","Clark County","county","16033","May",2020,"383","367","16"
"16","ID","Idaho","Clearwater County","county","16035","May",2020,"2,896","2,530","366"
"16","ID","Idaho","Custer County","county","16037","May",2020,"2,153","2,006","147"
"16","ID","Idaho","Elmore County","county","16039","May",2020,"11,647","10,836","811"
"16","ID","Idaho","Franklin County","county","16041","May",2020,"6,936","6,617","319"
"16","ID","Idaho","Fremont County","county","16043","May",2020,"7,772","7,353","419"
"16","ID","Idaho","Gem County","county","16045","May",2020,"8,351","7,633","718"
"16","ID","Idaho","Gooding County","county","16047","May",2020,"8,163","7,729","434"
"16","ID","Idaho","Idaho County","county","16049","May",2020,"6,796","6,141","655"
"16","ID","Idaho","Jefferson County","county","16051","May",2020,"14,434","13,792","642"
"16","ID","Idaho","Jerome County","county","16053","May",2020,"11,986","11,337","649"
"16","ID","Idaho","Kootenai County","county","16055","May",2020,"79,566","70,666","8,900"
"16","ID","Idaho","Latah County","county","16057","May",2020,"19,701","18,206","1,495"
"16","ID","Idaho","Lemhi County","county","16059","May",2020,"3,587","3,245","342"
"16","ID","Idaho","Lewis County","county","16061","May",2020,"1,735","1,554","181"
"16","ID","Idaho","Lincoln County","county","16063","May",2020,"2,649","2,441","208"
"16","ID","Idaho","Madison County","county","16065","May",2020,"21,103","20,251","852"
"16","ID","Idaho","Minidoka County","county","16067","May",2020,"11,316","10,685","631"
"16","ID","Idaho","Nez Perce County","county","16069","May",2020,"19,393","17,761","1,632"
"16","ID","Idaho","Oneida County","county","16071","May",2020,"2,383","2,229","154"
"16","ID","Idaho","Owyhee County","county","16073","May",2020,"5,741","5,241","500"
"16","ID","Idaho","Payette County","county","16075","May",2020,"11,638","10,729","909"
"16","ID","Idaho","Power County","county","16077","May",2020,"4,009","3,798","211"
"16","ID","Idaho","Shoshone County","county","16079","May",2020,"5,123","4,328","795"
"16","ID","Idaho","Teton County","county","16081","May",2020,"6,659","5,913","746"
"16","ID","Idaho","Twin Falls County","county","16083","May",2020,"40,895","37,428","3,467"
"16","ID","Idaho","Valley County","county","16085","May",2020,"5,772","5,000","772"
"16","ID","Idaho","Washington (ID) County","county","16087","May",2020,"4,598","4,236","362"
"16","ID","Idaho","Asotin Wa County","county",NA,"May",2020,"9,631","8,828","803"
"16","ID","Idaho","Boise","city",NA,"May",2020,"134,987","122,078","12,909"
"16","ID","Idaho","Caldwell","city",NA,"May",2020,"26,966","24,486","2,480"
"16","ID","Idaho","Coeur D' Alene","city",NA,"May",2020,"26,319","23,041","3,278"
"16","ID","Idaho","Eagle","city",NA,"May",2020,"13,735","12,662","1,073"
"16","ID","Idaho","Idaho Falls","city",NA,"May",2020,"31,863","29,876","1,987"
"16","ID","Idaho","Lewiston","city",NA,"May",2020,"16,409","15,009","1,400"
"16","ID","Idaho","Meridian","city",NA,"May",2020,"55,541","50,531","5,010"
"16","ID","Idaho","Moscow","city",NA,"May",2020,"12,859","11,826","1,033"
"16","ID","Idaho","Nampa","city",NA,"May",2020,"44,725","40,453","4,272"
"16","ID","Idaho","Pocatello","city",NA,"May",2020,"27,296","25,192","2,104"
"16","ID","Idaho","Post Falls","city",NA,"May",2020,"18,165","16,232","1,933"
"16","ID","Idaho","Rexburg","city",NA,"May",2020,"15,276","14,666","610"
"16","ID","Idaho","Twin  Falls","city",NA,"May",2020,"24,063","21,791","2,272"
"16","ID","Idaho","Idaho","state",NA,"April",2020,"881,168","776,635","104,533"
"16","ID","Idaho","Ada County","county","16001","April",2020,"256,201","224,948","31,253"
"16","ID","Idaho","Adams County","county","16003","April",2020,"1,766","1,387","379"
"16","ID","Idaho","Bannock County","county","16005","April",2020,"39,698","35,589","4,109"
"16","ID","Idaho","Bear Lake County","county","16007","April",2020,"2,904","2,661","243"
"16","ID","Idaho","Benewah County","county","16009","April",2020,"4,263","3,501","762"
"16","ID","Idaho","Bingham County","county","16011","April",2020,"23,345","21,825","1,520"
"16","ID","Idaho","Blaine County","county","16013","April",2020,"13,616","10,573","3,043"
"16","ID","Idaho","Boise County","county","16015","April",2020,"3,662","3,068","594"
"16","ID","Idaho","Bonner County","county","16017","April",2020,"20,970","17,310","3,660"
