date,area_type,area,labor_force,unemployment,percent_unemp,employment
20-May,state,Idaho,"884,204","75,893",8.6,"808,311"
20-May,county,  ADA (1),"258,113","23,773",9.2,"234,340"
20-May,county,  ADAMS,"1,749",243,13.9,"1,506"
20-May,county,  BANNOCK (5),"40,444","3,088",7.6,"37,356"
20-May,county,  BEAR LAKE ,"2,991",175,5.9,"2,816"
20-May,county,  BENEWAH ,"4,142",446,10.8,"3,696"
20-May,county,  BINGHAM (7),"23,815","1,338",5.6,"22,477"
20-May,county,  BLAINE (9),"12,886","1,916",14.9,"10,970"
20-May,county,  BOISE (1),"3,612",421,11.7,"3,191"
20-May,county,  BONNER (13),"20,883","2,601",12.5,"18,282"
20-May,county,  BONNEVILLE (3),"59,199","3,436",5.8,"55,763"
20-May,county,  BOUNDARY,"5,516",498,9,"5,018"
20-May,county,  BUTTE (3),"1,456",71,4.9,"1,385"
20-May,county,  CAMAS (9),699,54,7.7,645
20-May,county,  CANYON (1),"105,162","9,631",9.2,"95,531"
20-May,county,  CARIBOU,"4,086",182,4.5,"3,904"
20-May,county,  CASSIA (8),"12,067",687,5.7,"11,380"
20-May,county,  CLARK,383,16,4.2,367
20-May,county,  CLEARWATER,"2,896",366,12.6,"2,530"
20-May,county,  CUSTER,"2,153",147,6.8,"2,006"
20-May,county,  ELMORE (11),"11,647",811,7,"10,836"
20-May,county,  FRANKLIN,"6,936",319,4.6,"6,617"
20-May,county,  FREMONT (12),"7,772",419,5.4,"7,353"
20-May,county,  GEM (1),"8,351",718,8.6,"7,633"
20-May,county,  GOODING,"8,163",434,5.3,"7,729"
20-May,county,  IDAHO (14),"6,796",655,9.6,"6,141"
20-May,county,  JEFFERSON (3),"14,434",642,4.4,"13,792"
20-May,county,  JEROME (6),"11,986",649,5.4,"11,337"
20-May,county,  KOOTENAI (2),"79,566","8,900",11.2,"70,666"
20-May,county,  LATAH (10),"19,701","1,495",7.6,"18,206"
20-May,county,  LEMHI,"3,587",342,9.5,"3,245"
20-May,county,  LEWIS (14),"1,735",181,10.4,"1,554"
20-May,county,  LINCOLN (9),"2,649",208,7.9,"2,441"
20-May,county,  MADISON (12),"21,103",852,4,"20,251"
20-May,county,  MINIDOKA (8),"11,316",631,5.6,"10,685"
20-May,county,  NEZ PERCE (4),"19,393","1,632",8.4,"17,761"
20-May,county,  ONEIDA,"2,383",154,6.5,"2,229"
20-May,county,  OWYHEE (1),"5,741",500,8.7,"5,241"
20-May,county,  PAYETTE,"11,638",909,7.8,"10,729"
20-May,county,  POWER,"4,009",211,5.3,"3,798"
20-May,county,  SHOSHONE,"5,123",795,15.5,"4,328"
20-May,county,  TETON,"6,659",746,11.2,"5,913"
20-May,county,  TWIN FALLS (6),"40,895","3,467",8.5,"37,428"
20-May,county,  VALLEY,"5,772",772,13.4,"5,000"
20-May,county,  WASHINGTON,"4,598",362,7.9,"4,236"
20-May,county,  ASOTIN WA (4),"9,631",803,8.3,"8,828"
20-May,city,  BOISE,"134,987","12,909",9.6,"122,078"
20-May,city,  CALDWELL,"26,966","2,480",9.2,"24,486"
20-May,city,  COEUR D' ALENE,"26,319","3,278",12.5,"23,041"
20-May,city,  EAGLE,"13,735","1,073",7.8,"12,662"
20-May,city,  IDAHO FALLS,"31,863","1,987",6.2,"29,876"
20-May,city,  LEWISTON,"16,409","1,400",8.5,"15,009"
20-May,city,  MERIDIAN,"55,541","5,010",9,"50,531"
20-May,city,  MOSCOW,"12,859","1,033",8,"11,826"
20-May,city,  NAMPA,"44,725","4,272",9.6,"40,453"
20-May,city,  POCATELLO,"27,296","2,104",7.7,"25,192"
20-May,city,  POST FALLS,"18,165","1,933",10.6,"16,232"
20-May,city,  REXBURG,"15,276",610,4,"14,666"
20-May,city,  TWIN  FALLS,"24,063","2,272",9.4,"21,791"
20-Apr,state,Idaho,"881,168","104,533",11.9,"776,635"
20-Apr,county,  ADA (1),"256,201","31,253",12.2,"224,948"
20-Apr,county,  ADAMS,"1,766",379,21.5,"1,387"
20-Apr,county,  BANNOCK (5),"39,698","4,109",10.4,"35,589"
20-Apr,county,  BEAR LAKE ,"2,904",243,8.4,"2,661"
20-Apr,county,  BENEWAH ,"4,263",762,17.9,"3,501"
20-Apr,county,  BINGHAM (7),"23,345","1,520",6.5,"21,825"
20-Apr,county,  BLAINE (9),"13,616","3,043",22.3,"10,573"
20-Apr,county,  BOISE (1),"3,662",594,16.2,"3,068"
20-Apr,county,  BONNER (13),"20,970","3,660",17.5,"17,310"
20-Apr,county,  BONNEVILLE (3),"57,947","4,837",8.3,"53,110"
20-Apr,county,  BOUNDARY,"5,404",646,12,"4,758"
20-Apr,county,  BUTTE (3),"1,400",78,5.6,"1,322"
20-Apr,county,  CAMAS (9),724,94,13,630
20-Apr,county,  CANYON (1),"105,183","13,257",12.6,"91,926"
20-Apr,county,  CARIBOU,"3,975",255,6.4,"3,720"
20-Apr,county,  CASSIA (8),"11,838",867,7.3,"10,971"
20-Apr,county,  CLARK,363,20,5.5,343
20-Apr,county,  CLEARWATER,"2,935",549,18.7,"2,386"
20-Apr,county,  CUSTER,"1,994",202,10.1,"1,792"
20-Apr,county,  ELMORE (11),"11,393","1,089",9.6,"10,304"
20-Apr,county,  FRANKLIN,"7,100",580,8.2,"6,520"
20-Apr,county,  FREMONT (12),"7,595",556,7.3,"7,039"
20-Apr,county,  GEM (1),"8,357","1,001",12,"7,356"
20-Apr,county,  GOODING,"8,103",557,6.9,"7,546"
20-Apr,county,  IDAHO (14),"6,667",869,13,"5,798"
20-Apr,county,  JEFFERSON (3),"14,007",897,6.4,"13,110"
20-Apr,county,  JEROME (6),"12,178",928,7.6,"11,250"
20-Apr,county,  KOOTENAI (2),"80,902","13,736",17,"67,166"
20-Apr,county,  LATAH (10),"20,033","1,979",9.9,"18,054"
20-Apr,county,  LEMHI,"3,407",413,12.1,"2,994"
20-Apr,county,  LEWIS (14),"1,723",258,15,"1,465"
20-Apr,county,  LINCOLN (9),"2,738",364,13.3,"2,374"
20-Apr,county,  MADISON (12),"20,309",979,4.8,"19,330"
20-Apr,county,  MINIDOKA (8),"11,125",790,7.1,"10,335"
20-Apr,county,  NEZ PERCE (4),"19,873","2,373",11.9,"17,500"
20-Apr,county,  ONEIDA,"2,327",173,7.4,"2,154"
20-Apr,county,  OWYHEE (1),"5,648",620,11,"5,028"
20-Apr,county,  PAYETTE,"11,616","1,132",9.7,"10,484"
20-Apr,county,  POWER,"3,989",248,6.2,"3,741"
20-Apr,county,  SHOSHONE,"5,289","1,095",20.7,"4,194"
20-Apr,county,  TETON,"6,544","1,067",16.3,"5,477"
20-Apr,county,  TWIN FALLS (6),"41,633","4,735",11.4,"36,898"
20-Apr,county,  VALLEY,"5,873","1,291",22,"4,582"
20-Apr,county,  WASHINGTON,"4,552",436,9.6,"4,116"
20-Apr,county,  ASOTIN WA (4),"9,667",859,8.9,"8,808"
20-Apr,city,  BOISE,"134,148","16,963",12.6,"117,185"
20-Apr,city,  CALDWELL,"27,030","3,468",12.8,"23,562"
20-Apr,city,  COEUR D' ALENE,"27,040","5,141",19,"21,899"
20-Apr,city,  EAGLE,"13,488","1,333",9.9,"12,155"
20-Apr,city,  IDAHO FALLS,"31,336","2,881",9.2,"28,455"
20-Apr,city,  LEWISTON,"16,821","2,032",12.1,"14,789"
20-Apr,city,  MERIDIAN,"55,173","6,668",12.1,"48,505"
20-Apr,city,  MOSCOW,"13,028","1,300",10,"11,728"
20-Apr,city,  NAMPA,"44,945","6,019",13.4,"38,926"
20-Apr,city,  POCATELLO,"26,812","2,812",10.5,"24,000"
20-Apr,city,  POST FALLS,"18,405","2,977",16.2,"15,428"
20-Apr,city,  REXBURG,"14,671",672,4.6,"13,999"
20-Apr,city,  TWIN  FALLS,"24,660","3,178",12.9,"21,482"
20-Mar,state,Idaho,"889,902","27,030",3,"862,872"
20-Mar,county,  ADA (1),"258,487","6,048",2.3,"252,439"
20-Mar,county,  ADAMS,"1,695",155,9.1,"1,540"
20-Mar,county,  BANNOCK (5),"43,505","1,259",2.9,"42,246"
20-Mar,county,  BEAR LAKE ,"2,976",100,3.4,"2,876"
20-Mar,county,  BENEWAH ,"4,129",321,7.8,"3,808"
20-Mar,county,  BINGHAM (7),"23,739",656,2.8,"23,083"
20-Mar,county,  BLAINE (9),"12,649",405,3.2,"12,244"
20-Mar,county,  BOISE (1),"3,630",194,5.3,"3,436"
20-Mar,county,  BONNER (13),"20,510","1,113",5.4,"19,397"
20-Mar,county,  BONNEVILLE (3),"58,307","1,487",2.6,"56,820"
20-Mar,county,  BOUNDARY,"5,338",318,6,"5,020"
20-Mar,county,  BUTTE (3),"1,388",29,2.1,"1,359"
20-Mar,county,  CAMAS (9),694,21,3,673
20-Mar,county,  CANYON (1),"105,693","3,217",3,"102,476"
20-Mar,county,  CARIBOU,"4,088",125,3.1,"3,963"
20-Mar,county,  CASSIA (8),"12,012",286,2.4,"11,726"
20-Mar,county,  CLARK,359,18,5,341
20-Mar,county,  CLEARWATER,"2,911",280,9.6,"2,631"
20-Mar,county,  CUSTER,"1,988",92,4.6,"1,896"
20-Mar,county,  ELMORE (11),"11,803",393,3.3,"11,410"
20-Mar,county,  FRANKLIN,"7,088",170,2.4,"6,918"
20-Mar,county,  FREMONT (12),"7,961",230,2.9,"7,731"
20-Mar,county,  GEM (1),"8,408",290,3.4,"8,118"
20-Mar,county,  GOODING,"8,213",220,2.7,"7,993"
20-Mar,county,  IDAHO (14),"6,631",358,5.4,"6,273"
20-Mar,county,  JEFFERSON (3),"14,153",342,2.4,"13,811"
20-Mar,county,  JEROME (6),"12,068",334,2.8,"11,734"
20-Mar,county,  KOOTENAI (2),"80,041","3,254",4.1,"76,787"
20-Mar,county,  LATAH (10),"20,864",585,2.8,"20,279"
20-Mar,county,  LEMHI,"3,494",222,6.4,"3,272"
20-Mar,county,  LEWIS (14),"1,637",107,6.5,"1,530"
20-Mar,county,  LINCOLN (9),"2,695",117,4.3,"2,578"
20-Mar,county,  MADISON (12),"22,406",400,1.8,"22,006"
20-Mar,county,  MINIDOKA (8),"11,327",295,2.6,"11,032"
20-Mar,county,  NEZ PERCE (4),"20,923",644,3.1,"20,279"
20-Mar,county,  ONEIDA,"2,370",75,3.2,"2,295"
20-Mar,county,  OWYHEE (1),"5,514",197,3.6,"5,317"
20-Mar,county,  PAYETTE,"11,839",396,3.3,"11,443"
20-Mar,county,  POWER,"3,926",117,3,"3,809"
20-Mar,county,  SHOSHONE,"5,185",361,7,"4,824"
20-Mar,county,  TETON,"6,150",136,2.2,"6,014"
20-Mar,county,  TWIN FALLS (6),"40,884","1,218",3,"39,666"
