"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"17","IL","Illinois","Adams County","county","17001","January",2020,31648,30590,1058
"17","IL","Illinois","Adams County","county","17001","February",2020,31415,30545,870
"17","IL","Illinois","Adams County","county","17001","March",2020,29968,29227,741
"17","IL","Illinois","Adams County","county","17001","April",2020,30257,26625,3632
"17","IL","Illinois","Adams County","county","17001","May",2020,31362,28109,3253
"17","IL","Illinois","Alexander County","county","17003","January",2020,2036,1922,114
"17","IL","Illinois","Alexander County","county","17003","February",2020,2030,1927,103
"17","IL","Illinois","Alexander County","county","17003","March",2020,1920,1825,95
"17","IL","Illinois","Alexander County","county","17003","April",2020,1811,1531,280
"17","IL","Illinois","Alexander County","county","17003","May",2020,1843,1584,259
"17","IL","Illinois","Bond County","county","17005","January",2020,7666,7378,288
"17","IL","Illinois","Bond County","county","17005","February",2020,7568,7327,241
"17","IL","Illinois","Bond County","county","17005","March",2020,7185,6989,196
"17","IL","Illinois","Bond County","county","17005","April",2020,6835,5979,856
"17","IL","Illinois","Bond County","county","17005","May",2020,7343,6451,892
"17","IL","Illinois","Boone County","county","17007","January",2020,26142,23607,2535
"17","IL","Illinois","Boone County","county","17007","February",2020,25411,24024,1387
"17","IL","Illinois","Boone County","county","17007","March",2020,23910,22770,1140
"17","IL","Illinois","Boone County","county","17007","April",2020,24993,19201,5792
"17","IL","Illinois","Boone County","county","17007","May",2020,25607,20494,5113
"17","IL","Illinois","Brown County","county","17009","January",2020,2944,2878,66
"17","IL","Illinois","Brown County","county","17009","February",2020,2929,2873,56
"17","IL","Illinois","Brown County","county","17009","March",2020,2820,2770,50
"17","IL","Illinois","Brown County","county","17009","April",2020,2564,2352,212
"17","IL","Illinois","Brown County","county","17009","May",2020,2669,2487,182
"17","IL","Illinois","Bureau County","county","17011","January",2020,16793,15862,931
"17","IL","Illinois","Bureau County","county","17011","February",2020,16496,15773,723
"17","IL","Illinois","Bureau County","county","17011","March",2020,15905,15282,623
"17","IL","Illinois","Bureau County","county","17011","April",2020,16060,13870,2190
"17","IL","Illinois","Bureau County","county","17011","May",2020,16935,14970,1965
"17","IL","Illinois","Calhoun County","county","17013","January",2020,2289,2182,107
"17","IL","Illinois","Calhoun County","county","17013","February",2020,2260,2173,87
"17","IL","Illinois","Calhoun County","county","17013","March",2020,2152,2079,73
"17","IL","Illinois","Calhoun County","county","17013","April",2020,2133,1769,364
"17","IL","Illinois","Calhoun County","county","17013","May",2020,2211,1906,305
"17","IL","Illinois","Carroll County","county","17015","January",2020,7125,6788,337
"17","IL","Illinois","Carroll County","county","17015","February",2020,7020,6736,284
"17","IL","Illinois","Carroll County","county","17015","March",2020,6770,6535,235
"17","IL","Illinois","Carroll County","county","17015","April",2020,6997,5838,1159
"17","IL","Illinois","Carroll County","county","17015","May",2020,7368,6412,956
"17","IL","Illinois","Cass County","county","17017","January",2020,6002,5751,251
"17","IL","Illinois","Cass County","county","17017","February",2020,5917,5697,220
"17","IL","Illinois","Cass County","county","17017","March",2020,5625,5447,178
"17","IL","Illinois","Cass County","county","17017","April",2020,5575,4995,580
"17","IL","Illinois","Cass County","county","17017","May",2020,5896,5305,591
"17","IL","Illinois","Champaign County","county","17019","January",2020,105273,101731,3542
"17","IL","Illinois","Champaign County","county","17019","February",2020,110763,107875,2888
"17","IL","Illinois","Champaign County","county","17019","March",2020,104582,102067,2515
"17","IL","Illinois","Champaign County","county","17019","April",2020,99593,88741,10852
"17","IL","Illinois","Champaign County","county","17019","May",2020,101043,90862,10181
"17","IL","Illinois","Christian County","county","17021","January",2020,13963,13256,707
"17","IL","Illinois","Christian County","county","17021","February",2020,13879,13280,599
"17","IL","Illinois","Christian County","county","17021","March",2020,13265,12758,507
"17","IL","Illinois","Christian County","county","17021","April",2020,13110,11281,1829
"17","IL","Illinois","Christian County","county","17021","May",2020,13630,12034,1596
"17","IL","Illinois","Clark County","county","17023","January",2020,7441,7095,346
"17","IL","Illinois","Clark County","county","17023","February",2020,7370,7074,296
"17","IL","Illinois","Clark County","county","17023","March",2020,7130,6872,258
"17","IL","Illinois","Clark County","county","17023","April",2020,7205,5717,1488
"17","IL","Illinois","Clark County","county","17023","May",2020,7520,6527,993
"17","IL","Illinois","Clay County","county","17025","January",2020,6309,5998,311
"17","IL","Illinois","Clay County","county","17025","February",2020,6206,5939,267
"17","IL","Illinois","Clay County","county","17025","March",2020,5892,5669,223
"17","IL","Illinois","Clay County","county","17025","April",2020,6231,4757,1474
"17","IL","Illinois","Clay County","county","17025","May",2020,6444,5149,1295
"17","IL","Illinois","Clinton County","county","17027","January",2020,20280,19626,654
"17","IL","Illinois","Clinton County","county","17027","February",2020,20085,19532,553
"17","IL","Illinois","Clinton County","county","17027","March",2020,19034,18607,427
"17","IL","Illinois","Clinton County","county","17027","April",2020,18376,15880,2496
"17","IL","Illinois","Clinton County","county","17027","May",2020,19127,17021,2106
"17","IL","Illinois","Coles County","county","17029","January",2020,23909,23084,825
"17","IL","Illinois","Coles County","county","17029","February",2020,23876,23204,672
"17","IL","Illinois","Coles County","county","17029","March",2020,22614,22015,599
"17","IL","Illinois","Coles County","county","17029","April",2020,22445,19692,2753
"17","IL","Illinois","Coles County","county","17029","May",2020,22209,19758,2451
"17","IL","Illinois","Cook County","county","17031","January",2020,2537056,2444539,92517
"17","IL","Illinois","Cook County","county","17031","February",2020,2564954,2476865,88089
"17","IL","Illinois","Cook County","county","17031","March",2020,2615106,2488391,126715
"17","IL","Illinois","Cook County","county","17031","April",2020,2541433,2081865,459568
"17","IL","Illinois","Cook County","county","17031","May",2020,2604778,2183208,421570
"17","IL","Illinois","Crawford County","county","17033","January",2020,8498,8136,362
"17","IL","Illinois","Crawford County","county","17033","February",2020,8432,8138,294
"17","IL","Illinois","Crawford County","county","17033","March",2020,8084,7822,262
"17","IL","Illinois","Crawford County","county","17033","April",2020,8148,6843,1305
"17","IL","Illinois","Crawford County","county","17033","May",2020,8166,7302,864
"17","IL","Illinois","Cumberland County","county","17035","January",2020,6081,5872,209
"17","IL","Illinois","Cumberland County","county","17035","February",2020,6029,5847,182
"17","IL","Illinois","Cumberland County","county","17035","March",2020,5760,5614,146
"17","IL","Illinois","Cumberland County","county","17035","April",2020,5673,5084,589
"17","IL","Illinois","Cumberland County","county","17035","May",2020,5867,5357,510
"17","IL","Illinois","Dekalb County","county","17037","January",2020,54922,52458,2464
"17","IL","Illinois","Dekalb County","county","17037","February",2020,54265,52363,1902
"17","IL","Illinois","Dekalb County","county","17037","March",2020,51532,49881,1651
"17","IL","Illinois","Dekalb County","county","17037","April",2020,48324,41080,7244
"17","IL","Illinois","Dekalb County","county","17037","May",2020,50467,43766,6701
"17","IL","Illinois","De Witt County","county","17039","January",2020,7250,6949,301
"17","IL","Illinois","De Witt County","county","17039","February",2020,7225,6980,245
"17","IL","Illinois","De Witt County","county","17039","March",2020,6862,6653,209
"17","IL","Illinois","De Witt County","county","17039","April",2020,6376,5652,724
"17","IL","Illinois","De Witt County","county","17039","May",2020,6735,6087,648
"17","IL","Illinois","Douglas County","county","17041","January",2020,9936,9612,324
"17","IL","Illinois","Douglas County","county","17041","February",2020,10041,9785,256
"17","IL","Illinois","Douglas County","county","17041","March",2020,9588,9361,227
"17","IL","Illinois","Douglas County","county","17041","April",2020,9416,8438,978
"17","IL","Illinois","Douglas County","county","17041","May",2020,9790,8920,870
"17","IL","Illinois","Dupage County","county","17043","January",2020,496735,482721,14014
"17","IL","Illinois","Dupage County","county","17043","February",2020,502242,488992,13250
"17","IL","Illinois","Dupage County","county","17043","March",2020,510213,491122,19091
"17","IL","Illinois","Dupage County","county","17043","April",2020,481858,411051,70807
"17","IL","Illinois","Dupage County","county","17043","May",2020,493045,431072,61973
"17","IL","Illinois","Edgar County","county","17045","January",2020,8525,8179,346
"17","IL","Illinois","Edgar County","county","17045","February",2020,8399,8119,280
"17","IL","Illinois","Edgar County","county","17045","March",2020,7955,7717,238
"17","IL","Illinois","Edgar County","county","17045","April",2020,8473,7139,1334
"17","IL","Illinois","Edgar County","county","17045","May",2020,8719,7556,1163
"17","IL","Illinois","Edwards County","county","17047","January",2020,2619,2503,116
"17","IL","Illinois","Edwards County","county","17047","February",2020,2639,2530,109
"17","IL","Illinois","Edwards County","county","17047","March",2020,2520,2427,93
"17","IL","Illinois","Edwards County","county","17047","April",2020,2692,2088,604
"17","IL","Illinois","Edwards County","county","17047","May",2020,2690,2279,411
"17","IL","Illinois","Effingham County","county","17049","January",2020,19217,18595,622
"17","IL","Illinois","Effingham County","county","17049","February",2020,19083,18548,535
"17","IL","Illinois","Effingham County","county","17049","March",2020,18207,17779,428
"17","IL","Illinois","Effingham County","county","17049","April",2020,18484,15894,2590
"17","IL","Illinois","Effingham County","county","17049","May",2020,19155,16807,2348
"17","IL","Illinois","Fayette County","county","17051","January",2020,9626,9175,451
"17","IL","Illinois","Fayette County","county","17051","February",2020,9550,9168,382
"17","IL","Illinois","Fayette County","county","17051","March",2020,9144,8836,308
"17","IL","Illinois","Fayette County","county","17051","April",2020,9353,8073,1280
"17","IL","Illinois","Fayette County","county","17051","May",2020,9835,8688,1147
"17","IL","Illinois","Ford County","county","17053","January",2020,6127,5847,280
"17","IL","Illinois","Ford County","county","17053","February",2020,6359,6137,222
"17","IL","Illinois","Ford County","county","17053","March",2020,6070,5884,186
"17","IL","Illinois","Ford County","county","17053","April",2020,5792,5112,680
"17","IL","Illinois","Ford County","county","17053","May",2020,6077,5415,662
"17","IL","Illinois","Franklin County","county","17055","January",2020,15998,15167,831
"17","IL","Illinois","Franklin County","county","17055","February",2020,16079,15378,701
"17","IL","Illinois","Franklin County","county","17055","March",2020,15325,14702,623
"17","IL","Illinois","Franklin County","county","17055","April",2020,16704,12762,3942
"17","IL","Illinois","Franklin County","county","17055","May",2020,16599,13427,3172
"17","IL","Illinois","Fulton County","county","17057","January",2020,14852,13962,890
"17","IL","Illinois","Fulton County","county","17057","February",2020,14759,13977,782
"17","IL","Illinois","Fulton County","county","17057","March",2020,14040,13366,674
"17","IL","Illinois","Fulton County","county","17057","April",2020,13982,11718,2264
"17","IL","Illinois","Fulton County","county","17057","May",2020,14435,12588,1847
"17","IL","Illinois","Gallatin County","county","17059","January",2020,2309,2193,116
"17","IL","Illinois","Gallatin County","county","17059","February",2020,2291,2187,104
"17","IL","Illinois","Gallatin County","county","17059","March",2020,2185,2096,89
"17","IL","Illinois","Gallatin County","county","17059","April",2020,2145,1824,321
"17","IL","Illinois","Gallatin County","county","17059","May",2020,2235,1938,297
"17","IL","Illinois","Greene County","county","17061","January",2020,5827,5581,246
"17","IL","Illinois","Greene County","county","17061","February",2020,5796,5600,196
"17","IL","Illinois","Greene County","county","17061","March",2020,5612,5443,169
"17","IL","Illinois","Greene County","county","17061","April",2020,5497,4860,637
"17","IL","Illinois","Greene County","county","17061","May",2020,5820,5273,547
"17","IL","Illinois","Grundy County","county","17063","January",2020,24982,23719,1263
"17","IL","Illinois","Grundy County","county","17063","February",2020,25176,23999,1177
"17","IL","Illinois","Grundy County","county","17063","March",2020,25646,24119,1527
"17","IL","Illinois","Grundy County","county","17063","April",2020,24284,20216,4068
"17","IL","Illinois","Grundy County","county","17063","May",2020,24686,21279,3407
"17","IL","Illinois","Hamilton County","county","17065","January",2020,4335,4187,148
"17","IL","Illinois","Hamilton County","county","17065","February",2020,4305,4167,138
"17","IL","Illinois","Hamilton County","county","17065","March",2020,4120,4000,120
"17","IL","Illinois","Hamilton County","county","17065","April",2020,3989,3295,694
"17","IL","Illinois","Hamilton County","county","17065","May",2020,4131,3603,528
"17","IL","Illinois","Hancock County","county","17067","January",2020,8063,7679,384
"17","IL","Illinois","Hancock County","county","17067","February",2020,7955,7614,341
"17","IL","Illinois","Hancock County","county","17067","March",2020,7695,7395,300
"17","IL","Illinois","Hancock County","county","17067","April",2020,7880,6708,1172
"17","IL","Illinois","Hancock County","county","17067","May",2020,8199,7289,910
"17","IL","Illinois","Hardin County","county","17069","January",2020,1287,1201,86
"17","IL","Illinois","Hardin County","county","17069","February",2020,1286,1214,72
"17","IL","Illinois","Hardin County","county","17069","March",2020,1227,1166,61
"17","IL","Illinois","Hardin County","county","17069","April",2020,1245,1068,177
"17","IL","Illinois","Hardin County","county","17069","May",2020,1280,1131,149
"17","IL","Illinois","Henderson County","county","17071","January",2020,3465,3293,172
"17","IL","Illinois","Henderson County","county","17071","February",2020,3427,3264,163
"17","IL","Illinois","Henderson County","county","17071","March",2020,3372,3239,133
"17","IL","Illinois","Henderson County","county","17071","April",2020,3435,2903,532
"17","IL","Illinois","Henderson County","county","17071","May",2020,3624,3204,420
"17","IL","Illinois","Henry County","county","17073","January",2020,24574,23333,1241
"17","IL","Illinois","Henry County","county","17073","February",2020,24186,23139,1047
"17","IL","Illinois","Henry County","county","17073","March",2020,23075,22197,878
"17","IL","Illinois","Henry County","county","17073","April",2020,22400,18996,3404
"17","IL","Illinois","Henry County","county","17073","May",2020,23503,20431,3072
"17","IL","Illinois","Iroquois County","county","17075","January",2020,13822,13132,690
"17","IL","Illinois","Iroquois County","county","17075","February",2020,13680,13101,579
"17","IL","Illinois","Iroquois County","county","17075","March",2020,13272,12816,456
"17","IL","Illinois","Iroquois County","county","17075","April",2020,13028,11621,1407
"17","IL","Illinois","Iroquois County","county","17075","May",2020,13809,12635,1174
"17","IL","Illinois","Jackson County","county","17077","January",2020,27376,26425,951
"17","IL","Illinois","Jackson County","county","17077","February",2020,27776,27005,771
"17","IL","Illinois","Jackson County","county","17077","March",2020,26348,25665,683
"17","IL","Illinois","Jackson County","county","17077","April",2020,25735,22101,3634
"17","IL","Illinois","Jackson County","county","17077","May",2020,26484,23042,3442
"17","IL","Illinois","Jasper County","county","17079","January",2020,4661,4460,201
"17","IL","Illinois","Jasper County","county","17079","February",2020,4614,4447,167
"17","IL","Illinois","Jasper County","county","17079","March",2020,4514,4377,137
"17","IL","Illinois","Jasper County","county","17079","April",2020,4509,4037,472
"17","IL","Illinois","Jasper County","county","17079","May",2020,4845,4408,437
"17","IL","Illinois","Jefferson County","county","17081","January",2020,17240,16521,719
"17","IL","Illinois","Jefferson County","county","17081","February",2020,17171,16557,614
"17","IL","Illinois","Jefferson County","county","17081","March",2020,16270,15765,505
"17","IL","Illinois","Jefferson County","county","17081","April",2020,16671,12194,4477
"17","IL","Illinois","Jefferson County","county","17081","May",2020,17214,13886,3328
"17","IL","Illinois","Jersey County","county","17083","January",2020,10934,10457,477
"17","IL","Illinois","Jersey County","county","17083","February",2020,10838,10434,404
"17","IL","Illinois","Jersey County","county","17083","March",2020,10256,9942,314
"17","IL","Illinois","Jersey County","county","17083","April",2020,9989,8456,1533
"17","IL","Illinois","Jersey County","county","17083","May",2020,10348,9016,1332
"17","IL","Illinois","Jo Daviess County","county","17085","January",2020,10356,9790,566
"17","IL","Illinois","Jo Daviess County","county","17085","February",2020,10243,9795,448
"17","IL","Illinois","Jo Daviess County","county","17085","March",2020,9780,9380,400
"17","IL","Illinois","Jo Daviess County","county","17085","April",2020,9898,8148,1750
"17","IL","Illinois","Jo Daviess County","county","17085","May",2020,10690,9095,1595
"17","IL","Illinois","Johnson County","county","17087","January",2020,4170,3927,243
"17","IL","Illinois","Johnson County","county","17087","February",2020,4220,4001,219
"17","IL","Illinois","Johnson County","county","17087","March",2020,4011,3833,178
"17","IL","Illinois","Johnson County","county","17087","April",2020,4151,3468,683
"17","IL","Illinois","Johnson County","county","17087","May",2020,4216,3599,617
"17","IL","Illinois","Kane County","county","17089","January",2020,272714,259845,12869
"17","IL","Illinois","Kane County","county","17089","February",2020,270431,259442,10989
"17","IL","Illinois","Kane County","county","17089","March",2020,256167,246640,9527
"17","IL","Illinois","Kane County","county","17089","April",2020,244269,203149,41120
"17","IL","Illinois","Kane County","county","17089","May",2020,253626,215596,38030
"17","IL","Illinois","Kankakee County","county","17091","January",2020,55939,52918,3021
"17","IL","Illinois","Kankakee County","county","17091","February",2020,55329,52822,2507
"17","IL","Illinois","Kankakee County","county","17091","March",2020,52708,50603,2105
"17","IL","Illinois","Kankakee County","county","17091","April",2020,51690,43590,8100
"17","IL","Illinois","Kankakee County","county","17091","May",2020,53899,46711,7188
"17","IL","Illinois","Kendall County","county","17093","January",2020,67283,64940,2343
"17","IL","Illinois","Kendall County","county","17093","February",2020,67885,65626,2259
"17","IL","Illinois","Kendall County","county","17093","March",2020,68854,65736,3118
"17","IL","Illinois","Kendall County","county","17093","April",2020,66082,55239,10843
"17","IL","Illinois","Kendall County","county","17093","May",2020,67249,57982,9267
"17","IL","Illinois","Knox County","county","17095","January",2020,21038,20025,1013
"17","IL","Illinois","Knox County","county","17095","February",2020,20838,19961,877
"17","IL","Illinois","Knox County","county","17095","March",2020,19874,19083,791
"17","IL","Illinois","Knox County","county","17095","April",2020,20131,17193,2938
"17","IL","Illinois","Knox County","county","17095","May",2020,21010,18299,2711
"17","IL","Illinois","Lake County","county","17097","January",2020,371213,354917,16296
"17","IL","Illinois","Lake County","county","17097","February",2020,368187,354390,13797
"17","IL","Illinois","Lake County","county","17097","March",2020,347558,335435,12123
"17","IL","Illinois","Lake County","county","17097","April",2020,333459,284523,48936
"17","IL","Illinois","Lake County","county","17097","May",2020,347446,302714,44732
"17","IL","Illinois","Lasalle County","county","17099","January",2020,54389,51196,3193
"17","IL","Illinois","Lasalle County","county","17099","February",2020,53486,50914,2572
"17","IL","Illinois","Lasalle County","county","17099","March",2020,50927,48722,2205
"17","IL","Illinois","Lasalle County","county","17099","April",2020,51506,42071,9435
"17","IL","Illinois","Lasalle County","county","17099","May",2020,53132,44854,8278
"17","IL","Illinois","Lawrence County","county","17101","January",2020,5811,5520,291
"17","IL","Illinois","Lawrence County","county","17101","February",2020,5772,5536,236
"17","IL","Illinois","Lawrence County","county","17101","March",2020,5483,5285,198
"17","IL","Illinois","Lawrence County","county","17101","April",2020,5710,4348,1362
"17","IL","Illinois","Lawrence County","county","17101","May",2020,5854,4912,942
"17","IL","Illinois","Lee County","county","17103","January",2020,17604,16886,718
"17","IL","Illinois","Lee County","county","17103","February",2020,17296,16732,564
"17","IL","Illinois","Lee County","county","17103","March",2020,16423,15952,471
"17","IL","Illinois","Lee County","county","17103","April",2020,16354,14266,2088
"17","IL","Illinois","Lee County","county","17103","May",2020,16855,14933,1922
"17","IL","Illinois","Livingston County","county","17105","January",2020,16040,15342,698
"17","IL","Illinois","Livingston County","county","17105","February",2020,15858,15292,566
"17","IL","Illinois","Livingston County","county","17105","March",2020,15152,14662,490
"17","IL","Illinois","Livingston County","county","17105","April",2020,15192,13352,1840
"17","IL","Illinois","Livingston County","county","17105","May",2020,15836,14297,1539
"17","IL","Illinois","Logan County","county","17107","January",2020,12293,11792,501
"17","IL","Illinois","Logan County","county","17107","February",2020,12279,11862,417
"17","IL","Illinois","Logan County","county","17107","March",2020,11707,11343,364
"17","IL","Illinois","Logan County","county","17107","April",2020,11617,10271,1346
"17","IL","Illinois","Logan County","county","17107","May",2020,12005,10818,1187
"17","IL","Illinois","Mcdonough County","county","17109","January",2020,12999,12492,507
"17","IL","Illinois","Mcdonough County","county","17109","February",2020,13084,12664,420
"17","IL","Illinois","Mcdonough County","county","17109","March",2020,12416,11932,484
"17","IL","Illinois","Mcdonough County","county","17109","April",2020,12434,10993,1441
"17","IL","Illinois","Mcdonough County","county","17109","May",2020,12896,11621,1275
"17","IL","Illinois","Mchenry County","county","17111","January",2020,162258,156451,5807
"17","IL","Illinois","Mchenry County","county","17111","February",2020,164000,158432,5568
"17","IL","Illinois","Mchenry County","county","17111","March",2020,166916,159254,7662
"17","IL","Illinois","Mchenry County","county","17111","April",2020,159520,133314,26206
"17","IL","Illinois","Mchenry County","county","17111","May",2020,161500,140089,21411
"17","IL","Illinois","Mclean County","county","17113","January",2020,86598,83713,2885
"17","IL","Illinois","Mclean County","county","17113","February",2020,86658,84274,2384
"17","IL","Illinois","Mclean County","county","17113","March",2020,81858,79735,2123
"17","IL","Illinois","Mclean County","county","17113","April",2020,77937,67798,10139
"17","IL","Illinois","Mclean County","county","17113","May",2020,80839,71950,8889
"17","IL","Illinois","Macon County","county","17115","January",2020,47733,45306,2427
"17","IL","Illinois","Macon County","county","17115","February",2020,47129,45087,2042
"17","IL","Illinois","Macon County","county","17115","March",2020,44958,43083,1875
"17","IL","Illinois","Macon County","county","17115","April",2020,42401,35739,6662
"17","IL","Illinois","Macon County","county","17115","May",2020,44703,38075,6628
"17","IL","Illinois","Macoupin County","county","17117","January",2020,22780,21825,955
"17","IL","Illinois","Macoupin County","county","17117","February",2020,22534,21738,796
"17","IL","Illinois","Macoupin County","county","17117","March",2020,21410,20729,681
"17","IL","Illinois","Macoupin County","county","17117","April",2020,20483,17665,2818
"17","IL","Illinois","Macoupin County","county","17117","May",2020,21347,18930,2417
"17","IL","Illinois","Madison County","county","17119","January",2020,134051,129205,4846
"17","IL","Illinois","Madison County","county","17119","February",2020,132902,128877,4025
"17","IL","Illinois","Madison County","county","17119","March",2020,125727,122309,3418
"17","IL","Illinois","Madison County","county","17119","April",2020,122282,104257,18025
"17","IL","Illinois","Madison County","county","17119","May",2020,127315,110571,16744
"17","IL","Illinois","Marion County","county","17121","January",2020,17205,16473,732
"17","IL","Illinois","Marion County","county","17121","February",2020,17054,16447,607
