"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"18","IN","Indiana","Adams County","county","18001","January",2020,16917,16413,504
"18","IN","Indiana","Adams County","county","18001","February",2020,16925,16406,519
"18","IN","Indiana","Adams County","county","18001","March",2020,16288,15858,430
"18","IN","Indiana","Adams County","county","18001","April",2020,16874,13465,3409
"18","IN","Indiana","Adams County","county","18001","May",2020,16835,15197,1638
"18","IN","Indiana","Adams County","county","18001","June",2020,17102,15749,1353
"18","IN","Indiana","Allen County","county","18003","January",2020,186225,179876,6349
"18","IN","Indiana","Allen County","county","18003","February",2020,187748,181348,6400
"18","IN","Indiana","Allen County","county","18003","March",2020,180077,174567,5510
"18","IN","Indiana","Allen County","county","18003","April",2020,184380,147853,36527
"18","IN","Indiana","Allen County","county","18003","May",2020,190202,163635,26567
"18","IN","Indiana","Allen County","county","18003","June",2020,189587,166826,22761
"18","IN","Indiana","Bartholomew County","county","18005","January",2020,45195,43941,1254
"18","IN","Indiana","Bartholomew County","county","18005","February",2020,45236,44108,1128
"18","IN","Indiana","Bartholomew County","county","18005","March",2020,43594,42562,1032
"18","IN","Indiana","Bartholomew County","county","18005","April",2020,44242,36642,7600
"18","IN","Indiana","Bartholomew County","county","18005","May",2020,45662,39880,5782
"18","IN","Indiana","Bartholomew County","county","18005","June",2020,45608,40765,4843
"18","IN","Indiana","Benton County","county","18007","January",2020,4556,4408,148
"18","IN","Indiana","Benton County","county","18007","February",2020,4660,4526,134
"18","IN","Indiana","Benton County","county","18007","March",2020,4417,4297,120
"18","IN","Indiana","Benton County","county","18007","April",2020,3944,3509,435
"18","IN","Indiana","Benton County","county","18007","May",2020,4243,3860,383
"18","IN","Indiana","Benton County","county","18007","June",2020,4302,3969,333
"18","IN","Indiana","Blackford County","county","18009","January",2020,4824,4600,224
"18","IN","Indiana","Blackford County","county","18009","February",2020,4816,4609,207
"18","IN","Indiana","Blackford County","county","18009","March",2020,4696,4500,196
"18","IN","Indiana","Blackford County","county","18009","April",2020,4908,3820,1088
"18","IN","Indiana","Blackford County","county","18009","May",2020,5027,4211,816
"18","IN","Indiana","Blackford County","county","18009","June",2020,5009,4352,657
"18","IN","Indiana","Boone County","county","18011","January",2020,36390,35421,969
"18","IN","Indiana","Boone County","county","18011","February",2020,36326,35469,857
"18","IN","Indiana","Boone County","county","18011","March",2020,35084,34271,813
"18","IN","Indiana","Boone County","county","18011","April",2020,32213,29258,2955
"18","IN","Indiana","Boone County","county","18011","May",2020,34492,32166,2326
"18","IN","Indiana","Boone County","county","18011","June",2020,36153,33564,2589
"18","IN","Indiana","Brown County","county","18013","January",2020,7785,7509,276
