IDWD Research and Analysis,,,,,,,,,
,,,,,,,,,
Local Area Unemployment Statistics,,,,,,,,,
,,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,Labor Force,Employed,Unemployed,Rate
"Adams County, IN",18,1,2020,January,1,"16,917","16,413",504,3
"Adams County, IN",18,1,2020,February,2,"16,925","16,406",519,3.1
"Adams County, IN",18,1,2020,March,3,"16,288","15,858",430,2.6
"Adams County, IN",18,1,2020,April,4,"16,874","13,465","3,409",20.2
"Adams County, IN",18,1,2020,May,5,"16,835","15,197","1,638",9.7
"Adams County, IN",18,1,2020,June,6,"17,102","15,749","1,353",7.9
"Allen County, IN",18,3,2020,January,1,"186,225","179,876","6,349",3.4
"Allen County, IN",18,3,2020,February,2,"187,748","181,348","6,400",3.4
"Allen County, IN",18,3,2020,March,3,"180,077","174,567","5,510",3.1
"Allen County, IN",18,3,2020,April,4,"184,380","147,853","36,527",19.8
"Allen County, IN",18,3,2020,May,5,"190,202","163,635","26,567",14
"Allen County, IN",18,3,2020,June,6,"189,587","166,826","22,761",12
"Bartholomew County, IN",18,5,2020,January,1,"45,195","43,941","1,254",2.8
"Bartholomew County, IN",18,5,2020,February,2,"45,236","44,108","1,128",2.5
"Bartholomew County, IN",18,5,2020,March,3,"43,594","42,562","1,032",2.4
"Bartholomew County, IN",18,5,2020,April,4,"44,242","36,642","7,600",17.2
"Bartholomew County, IN",18,5,2020,May,5,"45,662","39,880","5,782",12.7
"Bartholomew County, IN",18,5,2020,June,6,"45,608","40,765","4,843",10.6
"Benton County, IN",18,7,2020,January,1,"4,556","4,408",148,3.2
"Benton County, IN",18,7,2020,February,2,"4,660","4,526",134,2.9
"Benton County, IN",18,7,2020,March,3,"4,417","4,297",120,2.7
"Benton County, IN",18,7,2020,April,4,"3,944","3,509",435,11
"Benton County, IN",18,7,2020,May,5,"4,243","3,860",383,9
"Benton County, IN",18,7,2020,June,6,"4,302","3,969",333,7.7
"Blackford County, IN",18,9,2020,January,1,"4,824","4,600",224,4.6
"Blackford County, IN",18,9,2020,February,2,"4,816","4,609",207,4.3
"Blackford County, IN",18,9,2020,March,3,"4,696","4,500",196,4.2
"Blackford County, IN",18,9,2020,April,4,"4,908","3,820","1,088",22.2
"Blackford County, IN",18,9,2020,May,5,"5,027","4,211",816,16.2
"Blackford County, IN",18,9,2020,June,6,"5,009","4,352",657,13.1
"Boone County, IN",18,11,2020,January,1,"36,390","35,421",969,2.7
"Boone County, IN",18,11,2020,February,2,"36,326","35,469",857,2.4
"Boone County, IN",18,11,2020,March,3,"35,084","34,271",813,2.3
"Boone County, IN",18,11,2020,April,4,"32,213","29,258","2,955",9.2
"Boone County, IN",18,11,2020,May,5,"34,492","32,166","2,326",6.7
"Boone County, IN",18,11,2020,June,6,"36,153","33,564","2,589",7.2
"Brown County, IN",18,13,2020,January,1,"7,785","7,509",276,3.5
"Brown County, IN",18,13,2020,February,2,"7,746","7,492",254,3.3
"Brown County, IN",18,13,2020,March,3,"7,466","7,234",232,3.1
"Brown County, IN",18,13,2020,April,4,"7,355","6,169","1,186",16.1
"Brown County, IN",18,13,2020,May,5,"7,756","6,784",972,12.5
"Brown County, IN",18,13,2020,June,6,"8,005","7,127",878,11
"Carroll County, IN",18,15,2020,January,1,"10,366","10,013",353,3.4
"Carroll County, IN",18,15,2020,February,2,"10,634","10,293",341,3.2
"Carroll County, IN",18,15,2020,March,3,"10,120","9,799",321,3.2
"Carroll County, IN",18,15,2020,April,4,"9,354","7,932","1,422",15.2
"Carroll County, IN",18,15,2020,May,5,"9,890","8,627","1,263",12.8
"Carroll County, IN",18,15,2020,June,6,"9,760","8,899",861,8.8
"Cass County, IN",18,17,2020,January,1,"17,707","16,983",724,4.1
"Cass County, IN",18,17,2020,February,2,"17,807","17,123",684,3.8
"Cass County, IN",18,17,2020,March,3,"17,007","16,368",639,3.8
"Cass County, IN",18,17,2020,April,4,"16,831","13,887","2,944",17.5
"Cass County, IN",18,17,2020,May,5,"18,000","15,707","2,293",12.7
"Cass County, IN",18,17,2020,June,6,"18,278","16,314","1,964",10.7
"Clark County, IN",18,19,2020,January,1,"62,053","59,922","2,131",3.4
"Clark County, IN",18,19,2020,February,2,"62,203","60,231","1,972",3.2
"Clark County, IN",18,19,2020,March,3,"59,999","58,167","1,832",3.1
"Clark County, IN",18,19,2020,April,4,"56,908","46,519","10,389",18.3
"Clark County, IN",18,19,2020,May,5,"58,517","50,952","7,565",12.9
"Clark County, IN",18,19,2020,June,6,"61,929","54,662","7,267",11.7
"Clay County, IN",18,21,2020,January,1,"12,010","11,537",473,3.9
"Clay County, IN",18,21,2020,February,2,"12,096","11,638",458,3.8
"Clay County, IN",18,21,2020,March,3,"11,649","11,227",422,3.6
"Clay County, IN",18,21,2020,April,4,"10,953","9,410","1,543",14.1
"Clay County, IN",18,21,2020,May,5,"11,701","10,475","1,226",10.5
"Clay County, IN",18,21,2020,June,6,"11,849","10,689","1,160",9.8
"Clinton County, IN",18,23,2020,January,1,"17,016","16,514",502,3
"Clinton County, IN",18,23,2020,February,2,"17,130","16,675",455,2.7
"Clinton County, IN",18,23,2020,March,3,"16,682","16,263",419,2.5
"Clinton County, IN",18,23,2020,April,4,"15,761","13,628","2,133",13.5
"Clinton County, IN",18,23,2020,May,5,"17,143","15,191","1,952",11.4
"Clinton County, IN",18,23,2020,June,6,"17,404","15,795","1,609",9.2
"Crawford County, IN",18,25,2020,January,1,"4,901","4,601",300,6.1
"Crawford County, IN",18,25,2020,February,2,"4,889","4,613",276,5.6
"Crawford County, IN",18,25,2020,March,3,"4,704","4,494",210,4.5
"Crawford County, IN",18,25,2020,April,4,"4,444","3,717",727,16.4
"Crawford County, IN",18,25,2020,May,5,"4,665","4,163",502,10.8
"Crawford County, IN",18,25,2020,June,6,"4,924","4,398",526,10.7
"Daviess County, IN",18,27,2020,January,1,"16,749","16,245",504,3
"Daviess County, IN",18,27,2020,February,2,"16,705","16,244",461,2.8
"Daviess County, IN",18,27,2020,March,3,"16,234","15,818",416,2.6
"Daviess County, IN",18,27,2020,April,4,"14,592","13,373","1,219",8.4
"Daviess County, IN",18,27,2020,May,5,"16,069","15,161",908,5.7
"Daviess County, IN",18,27,2020,June,6,"16,745","15,784",961,5.7
"Dearborn County, IN",18,29,2020,January,1,"25,884","24,853","1,031",4
"Dearborn County, IN",18,29,2020,February,2,"25,886","24,881","1,005",3.9
"Dearborn County, IN",18,29,2020,March,3,"24,773","23,885",888,3.6
"Dearborn County, IN",18,29,2020,April,4,"24,242","19,829","4,413",18.2
"Dearborn County, IN",18,29,2020,May,5,"24,999","22,134","2,865",11.5
"Dearborn County, IN",18,29,2020,June,6,"26,036","23,079","2,957",11.4
"Decatur County, IN",18,31,2020,January,1,"14,805","14,319",486,3.3
"Decatur County, IN",18,31,2020,February,2,"14,797","14,331",466,3.1
"Decatur County, IN",18,31,2020,March,3,"14,691","14,278",413,2.8
"Decatur County, IN",18,31,2020,April,4,"16,017","12,131","3,886",24.3
"Decatur County, IN",18,31,2020,May,5,"16,277","13,607","2,670",16.4
"Decatur County, IN",18,31,2020,June,6,"15,782","14,082","1,700",10.8
"DeKalb County, IN",18,33,2020,January,1,"22,750","22,054",696,3.1
"DeKalb County, IN",18,33,2020,February,2,"22,819","22,154",665,2.9
"DeKalb County, IN",18,33,2020,March,3,"21,909","21,299",610,2.8
"DeKalb County, IN",18,33,2020,April,4,"22,869","17,994","4,875",21.3
"DeKalb County, IN",18,33,2020,May,5,"23,434","20,117","3,317",14.2
"DeKalb County, IN",18,33,2020,June,6,"23,086","20,780","2,306",10
"Delaware County, IN",18,35,2020,January,1,"54,379","52,115","2,264",4.2
"Delaware County, IN",18,35,2020,February,2,"54,905","52,728","2,177",4
"Delaware County, IN",18,35,2020,March,3,"52,957","50,960","1,997",3.8
"Delaware County, IN",18,35,2020,April,4,"52,748","44,174","8,574",16.3
