"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"20","KS","Kansas","Allen County","county",20001,"May",2020,6570,6076,494
"20","KS","Kansas","Anderson County","county",20003,"May",2020,4148,3918,230
"20","KS","Kansas","Atchison County","county",20005,"May",2020,7045,6341,704
"20","KS","Kansas","Barber County","county",20007,"May",2020,2272,2166,106
"20","KS","Kansas","Barton County","county",20009,"May",2020,13738,12820,918
"20","KS","Kansas","Bourbon County","county",20011,"May",2020,6603,6084,519
"20","KS","Kansas","Brown County","county",20013,"May",2020,5427,5027,400
"20","KS","Kansas","Butler County","county",20015,"May",2020,32961,29345,3616
"20","KS","Kansas","Chase County","county",20017,"May",2020,1677,1554,123
"20","KS","Kansas","Chautauqua County","county",20019,"May",2020,1482,1351,131
"20","KS","Kansas","Cherokee County","county",20021,"May",2020,10194,9299,895
"20","KS","Kansas","Cheyenne County","county",20023,"May",2020,1251,1213,38
"20","KS","Kansas","Clark County","county",20025,"May",2020,1017,991,26
"20","KS","Kansas","Clay County","county",20027,"May",2020,3756,3506,250
"20","KS","Kansas","Cloud County","county",20029,"May",2020,3743,3537,206
"20","KS","Kansas","Coffey County","county",20031,"May",2020,3851,3578,273
"20","KS","Kansas","Comanche County","county",20033,"May",2020,886,846,40
"20","KS","Kansas","Cowley County","county",20035,"May",2020,16914,15113,1801
"20","KS","Kansas","Crawford County","county",20037,"May",2020,19052,17468,1584
"20","KS","Kansas","Decatur County","county",20039,"May",2020,1201,1137,64
"20","KS","Kansas","Dickinson County","county",20041,"May",2020,8954,8317,637
"20","KS","Kansas","Doniphan County","county",20043,"May",2020,4064,3761,303
"20","KS","Kansas","Douglas County","county",20045,"May",2020,66036,59185,6851
"20","KS","Kansas","Edwards County","county",20047,"May",2020,1287,1231,56
"20","KS","Kansas","Elk County","county",20049,"May",2020,1158,1077,81
"20","KS","Kansas","Ellis County","county",20051,"May",2020,16914,15929,985
"20","KS","Kansas","Ellsworth County","county",20053,"May",2020,2658,2553,105
"20","KS","Kansas","Finney County","county",20055,"May",2020,20363,19331,1032
"20","KS","Kansas","Ford County","county",20057,"May",2020,16775,15997,778
"20","KS","Kansas","Franklin County","county",20059,"May",2020,14228,13054,1174
"20","KS","Kansas","Geary County","county",20061,"May",2020,11485,10258,1227
"20","KS","Kansas","Gove County","county",20063,"May",2020,1457,1405,52
"20","KS","Kansas","Graham County","county",20065,"May",2020,1114,1040,74
"20","KS","Kansas","Grant County","county",20067,"May",2020,3055,2902,153
"20","KS","Kansas","Gray County","county",20069,"May",2020,3189,3110,79
"20","KS","Kansas","Greeley County","county",20071,"May",2020,789,774,15
"20","KS","Kansas","Greenwood County","county",20073,"May",2020,3263,3011,252
"20","KS","Kansas","Hamilton County","county",20075,"May",2020,1554,1528,26
"20","KS","Kansas","Harper County","county",20077,"May",2020,2854,2684,170
"20","KS","Kansas","Harvey County","county",20079,"May",2020,16826,15406,1420
"20","KS","Kansas","Haskell County","county",20081,"May",2020,2164,2094,70
"20","KS","Kansas","Hodgeman County","county",20083,"May",2020,982,951,31
"20","KS","Kansas","Jackson County","county",20085,"May",2020,7292,6473,819
"20","KS","Kansas","Jefferson County","county",20087,"May",2020,9899,9115,784
"20","KS","Kansas","Jewell County","county",20089,"May",2020,1264,1210,54
"20","KS","Kansas","Johnson County","county",20091,"May",2020,335847,304656,31191
