area_type,period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
county,May,ALLEN COUNTY,"6,570","6,076",494,7.50%,Yes
county,May,ANDERSON COUNTY,"4,148","3,918",230,5.50%,Yes
county,May,ATCHISON COUNTY,"7,045","6,341",704,10.00%,Yes
county,May,BARBER COUNTY,"2,272","2,166",106,4.70%,Yes
county,May,BARTON COUNTY,"13,738","12,820",918,6.70%,Yes
county,May,BOURBON COUNTY,"6,603","6,084",519,7.90%,Yes
county,May,BROWN COUNTY,"5,427","5,027",400,7.40%,Yes
county,May,BUTLER COUNTY,"32,961","29,345","3,616",11.00%,Yes
county,May,CHASE COUNTY,"1,677","1,554",123,7.30%,Yes
county,May,CHAUTAUQUA COUNTY,"1,482","1,351",131,8.80%,Yes
county,May,CHEROKEE COUNTY,"10,194","9,299",895,8.80%,Yes
county,May,CHEYENNE COUNTY,"1,251","1,213",38,3.00%,Yes
county,May,CLARK COUNTY,"1,017",991,26,2.60%,Yes
county,May,CLAY COUNTY,"3,756","3,506",250,6.70%,Yes
county,May,CLOUD COUNTY,"3,743","3,537",206,5.50%,Yes
county,May,COFFEY COUNTY,"3,851","3,578",273,7.10%,Yes
county,May,COMANCHE COUNTY,886,846,40,4.50%,Yes
county,May,COWLEY COUNTY,"16,914","15,113","1,801",10.60%,Yes
county,May,CRAWFORD COUNTY,"19,052","17,468","1,584",8.30%,Yes
county,May,DECATUR COUNTY,"1,201","1,137",64,5.30%,Yes
county,May,DICKINSON COUNTY,"8,954","8,317",637,7.10%,Yes
county,May,DONIPHAN COUNTY,"4,064","3,761",303,7.50%,Yes
county,May,DOUGLAS COUNTY,"66,036","59,185","6,851",10.40%,Yes
county,May,EDWARDS COUNTY,"1,287","1,231",56,4.40%,Yes
county,May,ELK COUNTY,"1,158","1,077",81,7.00%,Yes
county,May,ELLIS COUNTY,"16,914","15,929",985,5.80%,Yes
county,May,ELLSWORTH COUNTY,"2,658","2,553",105,4.00%,Yes
county,May,FINNEY COUNTY,"20,363","19,331","1,032",5.10%,Yes
county,May,FORD COUNTY,"16,775","15,997",778,4.60%,Yes
county,May,FRANKLIN COUNTY,"14,228","13,054","1,174",8.30%,Yes
county,May,GEARY COUNTY,"11,485","10,258","1,227",10.70%,Yes
county,May,GOVE COUNTY,"1,457","1,405",52,3.60%,Yes
county,May,GRAHAM COUNTY,"1,114","1,040",74,6.60%,Yes
county,May,GRANT COUNTY,"3,055","2,902",153,5.00%,Yes
county,May,GRAY COUNTY,"3,189","3,110",79,2.50%,Yes
county,May,GREELEY COUNTY,789,774,15,1.90%,Yes
county,May,GREENWOOD COUNTY,"3,263","3,011",252,7.70%,Yes
county,May,HAMILTON COUNTY,"1,554","1,528",26,1.70%,Yes
county,May,HARPER COUNTY,"2,854","2,684",170,6.00%,Yes
county,May,HARVEY COUNTY,"16,826","15,406","1,420",8.40%,Yes
