"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"21","KY","Kentucky","Adair County","county",21001,"January",2020,7060,6608,452
"21","KY","Kentucky","Adair County","county",21001,"February",2020,7203,6786,417
"21","KY","Kentucky","Adair County","county",21001,"March",2020,7213,6732,481
"21","KY","Kentucky","Adair County","county",21001,"April",2020,7394,6173,1221
"21","KY","Kentucky","Adair County","county",21001,"May",2020,7310,6519,791
"21","KY","Kentucky","Allen County","county",21003,"January",2020,9011,8608,403
"21","KY","Kentucky","Allen County","county",21003,"February",2020,8998,8645,353
"21","KY","Kentucky","Allen County","county",21003,"March",2020,8982,8540,442
"21","KY","Kentucky","Allen County","county",21003,"April",2020,8122,6979,1143
"21","KY","Kentucky","Allen County","county",21003,"May",2020,8610,7836,774
"21","KY","Kentucky","Anderson County","county",21005,"January",2020,12152,11628,524
"21","KY","Kentucky","Anderson County","county",21005,"February",2020,12280,11798,482
"21","KY","Kentucky","Anderson County","county",21005,"March",2020,12117,11521,596
"21","KY","Kentucky","Anderson County","county",21005,"April",2020,12422,10609,1813
"21","KY","Kentucky","Anderson County","county",21005,"May",2020,12087,10951,1136
"21","KY","Kentucky","Ballard County","county",21007,"January",2020,3530,3304,226
"21","KY","Kentucky","Ballard County","county",21007,"February",2020,3509,3305,204
"21","KY","Kentucky","Ballard County","county",21007,"March",2020,3523,3292,231
"21","KY","Kentucky","Ballard County","county",21007,"April",2020,3445,2938,507
"21","KY","Kentucky","Ballard County","county",21007,"May",2020,3405,3085,320
"21","KY","Kentucky","Barren County","county",21009,"January",2020,18811,17835,976
"21","KY","Kentucky","Barren County","county",21009,"February",2020,18826,17935,891
"21","KY","Kentucky","Barren County","county",21009,"March",2020,18932,17880,1052
"21","KY","Kentucky","Barren County","county",21009,"April",2020,18783,15336,3447
"21","KY","Kentucky","Barren County","county",21009,"May",2020,18569,16340,2229
"21","KY","Kentucky","Bath County","county",21011,"January",2020,4702,4302,400
"21","KY","Kentucky","Bath County","county",21011,"February",2020,4651,4272,379
"21","KY","Kentucky","Bath County","county",21011,"March",2020,4674,4265,409
"21","KY","Kentucky","Bath County","county",21011,"April",2020,4809,3924,885
"21","KY","Kentucky","Bath County","county",21011,"May",2020,4810,4230,580
"21","KY","Kentucky","Bell County","county",21013,"January",2020,8522,7859,663
"21","KY","Kentucky","Bell County","county",21013,"February",2020,8526,7919,607
"21","KY","Kentucky","Bell County","county",21013,"March",2020,8595,7892,703
"21","KY","Kentucky","Bell County","county",21013,"April",2020,8732,7313,1419
