"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"22","LA","Louisiana","Acadia Parish","county",22001,"April",2020,21195,18791,2404
"22","LA","Louisiana","Allen Parish","county",22003,"April",2020,8212,6935,1277
"22","LA","Louisiana","Ascension Parish","county",22005,"April",2020,59009,51447,7562
"22","LA","Louisiana","Assumption Parish","county",22007,"April",2020,8458,7102,1356
"22","LA","Louisiana","Avoyelles Parish","county",22009,"April",2020,14100,12069,2031
"22","LA","Louisiana","Beauregard Parish","county",22011,"April",2020,13054,11663,1391
"22","LA","Louisiana","Bienville Parish","county",22013,"April",2020,4769,4310,459
"22","LA","Louisiana","Bossier Parish","county",22015,"April",2020,52711,46489,6222
"22","LA","Louisiana","Caddo Parish","county",22017,"April",2020,96113,82513,13600
"22","LA","Louisiana","Calcasieu Parish","county",22019,"April",2020,92959,79315,13644
"22","LA","Louisiana","Caldwell Parish","county",22021,"April",2020,3304,2979,325
"22","LA","Louisiana","Cameron Parish","county",22023,"April",2020,3246,2953,293
"22","LA","Louisiana","Catahoula Parish","county",22025,"April",2020,3029,2729,300
"22","LA","Louisiana","Claiborne Parish","county",22027,"April",2020,4961,4579,382
"22","LA","Louisiana","Concordia Parish","county",22029,"April",2020,6296,5589,707
"22","LA","Louisiana","De Soto Parish","county",22031,"April",2020,9618,8604,1014
"22","LA","Louisiana","East Baton Rouge Parish","county",22033,"April",2020,213017,184860,28157
"22","LA","Louisiana","East Carroll Parish","county",22035,"April",2020,1581,1395,186
"22","LA","Louisiana","East Feliciana Parish","county",22037,"April",2020,7141,6379,762
"22","LA","Louisiana","Evangeline Parish","county",22039,"April",2020,10431,9234,1197
"22","LA","Louisiana","Franklin Parish","county",22041,"April",2020,6484,5809,675
"22","LA","Louisiana","Grant Parish","county",22043,"April",2020,7382,6665,717
"22","LA","Louisiana","Iberia Parish","county",22045,"April",2020,25765,22107,3658
"22","LA","Louisiana","Iberville Parish","county",22047,"April",2020,12909,11087,1822
"22","LA","Louisiana","Jackson Parish","county",22049,"April",2020,5835,5414,421
"22","LA","Louisiana","Jefferson Davis Parish","county",22053,"April",2020,11796,10315,1481
"22","LA","Louisiana","Jefferson Parish","county",22051,"April",2020,201568,163766,37802
"22","LA","Louisiana","La Salle Parish","county",22059,"April",2020,5922,5493,429
"22","LA","Louisiana","Lafayette Parish","county",22055,"April",2020,104191,90397,13794
"22","LA","Louisiana","Lafourche Parish","county",22057,"April",2020,39034,34694,4340
"22","LA","Louisiana","Lincoln Parish","county",22061,"April",2020,18240,16562,1678
"22","LA","Louisiana","Livingston Parish","county",22063,"April",2020,63581,55289,8292
