period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
April,Acadia Parish,"21,195","18,791","2,404",11.3%,Yes
April,Allen Parish,"8,212","6,935","1,277",15.6%,Yes
April,Ascension Parish,"59,009","51,447","7,562",12.8%,Yes
April,Assumption Parish,"8,458","7,102","1,356",16.0%,Yes
April,Avoyelles Parish,"14,100","12,069","2,031",14.4%,Yes
April,Beauregard Parish,"13,054","11,663","1,391",10.7%,Yes
April,Bienville Parish,"4,769","4,310",459,9.6%,Yes
April,Bossier Parish,"52,711","46,489","6,222",11.8%,Yes
April,Caddo Parish,"96,113","82,513","13,600",14.2%,Yes
April,Calcasieu Parish,"92,959","79,315","13,644",14.7%,Yes
April,Caldwell Parish,"3,304","2,979",325,9.8%,Yes
April,Cameron Parish,"3,246","2,953",293,9.0%,Yes
April,Catahoula Parish,"3,029","2,729",300,9.9%,Yes
April,Claiborne Parish,"4,961","4,579",382,7.7%,Yes
April,Concordia Parish,"6,296","5,589",707,11.2%,Yes
April,De Soto Parish,"9,618","8,604","1,014",10.5%,Yes
April,East Baton Rouge Parish,"213,017","184,860","28,157",13.2%,Yes
April,East Carroll Parish,"1,581","1,395",186,11.8%,Yes
April,East Feliciana Parish,"7,141","6,379",762,10.7%,Yes
April,Evangeline Parish,"10,431","9,234","1,197",11.5%,Yes
April,Franklin Parish,"6,484","5,809",675,10.4%,Yes
April,Grant Parish,"7,382","6,665",717,9.7%,Yes
April,Iberia Parish,"25,765","22,107","3,658",14.2%,Yes
April,Iberville Parish,"12,909","11,087","1,822",14.1%,Yes
April,Jackson Parish,"5,835","5,414",421,7.2%,Yes
April,Jefferson Davis Parish,"11,796","10,315","1,481",12.6%,Yes
April,Jefferson Parish,"201,568","163,766","37,802",18.8%,Yes
April,La Salle Parish,"5,922","5,493",429,7.2%,Yes
April,Lafayette Parish,"104,191","90,397","13,794",13.2%,Yes
April,Lafourche Parish,"39,034","34,694","4,340",11.1%,Yes
April,Lincoln Parish,"18,240","16,562","1,678",9.2%,Yes
April,Livingston Parish,"63,581","55,289","8,292",13.0%,Yes
April,Madison Parish,"3,100","2,748",352,11.4%,Yes
April,Morehouse Parish,"8,866","7,714","1,152",13.0%,Yes
April,Natchitoches Parish,"13,985","12,627","1,358",9.7%,Yes
April,Orleans Parish,"174,608","136,075","38,533",22.1%,Yes
April,Ouachita Parish,"64,768","57,094","7,674",11.8%,Yes
April,Plaquemines Parish,"9,061","7,708","1,353",14.9%,Yes
April,Pointe Coupee Parish,"8,962","7,836","1,126",12.6%,Yes
April,Rapides Parish,"50,298","45,316","4,982",9.9%,Yes
April,Red River Parish,"3,251","3,013",238,7.3%,Yes
April,Richland Parish,"7,240","6,465",775,10.7%,Yes
April,Sabine Parish,"7,958","7,316",642,8.1%,Yes
April,St. Bernard Parish,"18,798","15,118","3,680",19.6%,Yes
April,St. Charles Parish,"22,788","19,233","3,555",15.6%,Yes
April,St. Helena Parish,"4,011","3,367",644,16.1%,Yes
April,St. James Parish,"8,099","6,938","1,161",14.3%,Yes
April,St. John the Baptist Parish,"18,123","14,826","3,297",18.2%,Yes
April,St. Landry Parish,"28,858","25,044","3,814",13.2%,Yes
April,St. Martin Parish,"20,292","17,530","2,762",13.6%,Yes
April,St. Mary Parish,"18,012","15,411","2,601",14.4%,Yes
April,St. Tammany Parish,"107,599","91,474","16,125",15.0%,Yes
April,Tangipahoa Parish,"52,028","43,131","8,897",17.1%,Yes
April,Tensas Parish,"1,178","1,068",110,9.3%,Yes
April,Terrebonne Parish,"44,084","38,192","5,892",13.4%,Yes
April,Union Parish,"8,135","7,373",762,9.4%,Yes
April,Vermilion Parish,"21,775","19,019","2,756",12.7%,Yes
April,Vernon Parish,"13,993","12,448","1,545",11.0%,Yes
April,Washington Parish,"14,963","13,194","1,769",11.8%,Yes
