"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"25","MA","Massachusetts","Barnstable County","county",25001,"January",2020,109469,102821,6648
"25","MA","Massachusetts","Barnstable County","county",25001,"February",2020,108982,102318,6664
"25","MA","Massachusetts","Barnstable County","county",25001,"March",2020,106531,100918,5613
"25","MA","Massachusetts","Barnstable County","county",25001,"April",2020,97849,76816,21033
"25","MA","Massachusetts","Barnstable County","county",25001,"May",2020,103678,83398,20280
"25","MA","Massachusetts","Barnstable County","county",25001,"January",2019,109744,102419,7325
"25","MA","Massachusetts","Barnstable County","county",25001,"February",2019,108476,101481,6995
"25","MA","Massachusetts","Barnstable County","county",25001,"March",2019,108374,102156,6218
"25","MA","Massachusetts","Barnstable County","county",25001,"April",2019,110193,105664,4529
"25","MA","Massachusetts","Barnstable County","county",25001,"May",2019,114572,110723,3849
"25","MA","Massachusetts","Barnstable County","county",25001,"June",2019,123191,119389,3802
"25","MA","Massachusetts","Barnstable County","county",25001,"July",2019,130016,126407,3609
"25","MA","Massachusetts","Barnstable County","county",25001,"August",2019,128334,125122,3212
"25","MA","Massachusetts","Barnstable County","county",25001,"September",2019,117049,113991,3058
"25","MA","Massachusetts","Barnstable County","county",25001,"October",2019,113834,110928,2906
"25","MA","Massachusetts","Barnstable County","county",25001,"November",2019,110574,106945,3629
"25","MA","Massachusetts","Barnstable County","county",25001,"December",2019,110894,106645,4249
"25","MA","Massachusetts","Barnstable County","county",25001,"Annual",2019,115437,110989,4448
"25","MA","Massachusetts","Berkshire County","county",25003,"January",2020,64661,61830,2831
"25","MA","Massachusetts","Berkshire County","county",25003,"February",2020,64344,61568,2776
"25","MA","Massachusetts","Berkshire County","county",25003,"March",2020,62705,60273,2432
"25","MA","Massachusetts","Berkshire County","county",25003,"April",2020,57684,48028,9656
"25","MA","Massachusetts","Berkshire County","county",25003,"May",2020,59491,50191,9300
"25","MA","Massachusetts","Berkshire County","county",25003,"January",2019,65300,62147,3153
"25","MA","Massachusetts","Berkshire County","county",25003,"February",2019,64872,61886,2986
"25","MA","Massachusetts","Berkshire County","county",25003,"March",2019,64618,61843,2775
"25","MA","Massachusetts","Berkshire County","county",25003,"April",2019,63940,61676,2264
"25","MA","Massachusetts","Berkshire County","county",25003,"May",2019,64590,62426,2164
"25","MA","Massachusetts","Berkshire County","county",25003,"June",2019,67243,64910,2333
"25","MA","Massachusetts","Berkshire County","county",25003,"July",2019,68184,65961,2223
"25","MA","Massachusetts","Berkshire County","county",25003,"August",2019,67213,65112,2101
"25","MA","Massachusetts","Berkshire County","county",25003,"September",2019,64397,62472,1925
"25","MA","Massachusetts","Berkshire County","county",25003,"October",2019,64223,62524,1699
"25","MA","Massachusetts","Berkshire County","county",25003,"November",2019,64189,62416,1773
"25","MA","Massachusetts","Berkshire County","county",25003,"December",2019,65063,63043,2020
"25","MA","Massachusetts","Berkshire County","county",25003,"Annual",2019,65320,63035,2285
"25","MA","Massachusetts","Bristol County","county",25005,"January",2020,305670,291691,13979
"25","MA","Massachusetts","Bristol County","county",25005,"February",2020,305873,291868,14005
"25","MA","Massachusetts","Bristol County","county",25005,"March",2020,300557,288609,11948
"25","MA","Massachusetts","Bristol County","county",25005,"April",2020,283606,226043,57563
"25","MA","Massachusetts","Bristol County","county",25005,"May",2020,290922,234471,56451
"25","MA","Massachusetts","Bristol County","county",25005,"January",2019,304451,289192,15259
"25","MA","Massachusetts","Bristol County","county",25005,"February",2019,305392,290930,14462
"25","MA","Massachusetts","Bristol County","county",25005,"March",2019,304292,290983,13309
"25","MA","Massachusetts","Bristol County","county",25005,"April",2019,302134,291682,10452
"25","MA","Massachusetts","Bristol County","county",25005,"May",2019,302177,291532,10645
"25","MA","Massachusetts","Bristol County","county",25005,"June",2019,305427,293661,11766
"25","MA","Massachusetts","Bristol County","county",25005,"July",2019,304687,292829,11858
"25","MA","Massachusetts","Bristol County","county",25005,"August",2019,304588,293687,10901
"25","MA","Massachusetts","Bristol County","county",25005,"September",2019,302483,292607,9876
"25","MA","Massachusetts","Bristol County","county",25005,"October",2019,303400,294432,8968
"25","MA","Massachusetts","Bristol County","county",25005,"November",2019,305287,296490,8797
"25","MA","Massachusetts","Bristol County","county",25005,"December",2019,306280,296654,9626
"25","MA","Massachusetts","Bristol County","county",25005,"Annual",2019,304217,292890,11327
"25","MA","Massachusetts","Dukes County","county",25007,"January",2020,8507,7891,616
"25","MA","Massachusetts","Dukes County","county",25007,"February",2020,8486,7867,619
"25","MA","Massachusetts","Dukes County","county",25007,"March",2020,8367,7866,501
"25","MA","Massachusetts","Dukes County","county",25007,"April",2020,8515,6588,1927
"25","MA","Massachusetts","Dukes County","county",25007,"May",2020,9214,7715,1499
"25","MA","Massachusetts","Dukes County","county",25007,"January",2019,8520,7804,716
"25","MA","Massachusetts","Dukes County","county",25007,"February",2019,8206,7510,696
"25","MA","Massachusetts","Dukes County","county",25007,"March",2019,8155,7561,594
"25","MA","Massachusetts","Dukes County","county",25007,"April",2019,8555,8130,425
"25","MA","Massachusetts","Dukes County","county",25007,"May",2019,9472,9140,332
"25","MA","Massachusetts","Dukes County","county",25007,"June",2019,11158,10851,307
"25","MA","Massachusetts","Dukes County","county",25007,"July",2019,12627,12363,264
"25","MA","Massachusetts","Dukes County","county",25007,"August",2019,12404,12178,226
"25","MA","Massachusetts","Dukes County","county",25007,"September",2019,10322,10094,228
"25","MA","Massachusetts","Dukes County","county",25007,"October",2019,9258,9036,222
"25","MA","Massachusetts","Dukes County","county",25007,"November",2019,8563,8229,334
"25","MA","Massachusetts","Dukes County","county",25007,"December",2019,8560,8163,397
"25","MA","Massachusetts","Dukes County","county",25007,"Annual",2019,9650,9255,395
"25","MA","Massachusetts","Essex County","county",25009,"January",2020,428998,414612,14386
"25","MA","Massachusetts","Essex County","county",25009,"February",2020,429373,415131,14242
"25","MA","Massachusetts","Essex County","county",25009,"March",2020,423430,410676,12754
"25","MA","Massachusetts","Essex County","county",25009,"April",2020,387673,318847,68826
"25","MA","Massachusetts","Essex County","county",25009,"May",2020,403931,331186,72745
"25","MA","Massachusetts","Essex County","county",25009,"January",2019,428902,412601,16301
"25","MA","Massachusetts","Essex County","county",25009,"February",2019,428814,413859,14955
