Area Type,Area,Year,Month,Labor Force,Employed,Unemployed,Area Rate,Massachusetts Rate
County,BARNSTABLE COUNTY,2020,January,109469,102821,6648,6.1,3.4
County,BARNSTABLE COUNTY,2020,February,108982,102318,6664,6.1,3.3
County,BARNSTABLE COUNTY,2020,March,106531,100918,5613,5.3,3
County,BARNSTABLE COUNTY,2020,April,97849,76816,21033,21.5,16
County,BARNSTABLE COUNTY,2020,May,103678,83398,20280,19.6,16.3
County,BARNSTABLE COUNTY,2019,January,109744,102419,7325,6.7,3.7
County,BARNSTABLE COUNTY,2019,February,108476,101481,6995,6.4,3.4
County,BARNSTABLE COUNTY,2019,March,108374,102156,6218,5.7,3.3
County,BARNSTABLE COUNTY,2019,April,110193,105664,4529,4.1,2.7
County,BARNSTABLE COUNTY,2019,May,114572,110723,3849,3.4,2.9
County,BARNSTABLE COUNTY,2019,June,123191,119389,3802,3.1,3.1
County,BARNSTABLE COUNTY,2019,July,130016,126407,3609,2.8,3.1
County,BARNSTABLE COUNTY,2019,August,128334,125122,3212,2.5,2.8
County,BARNSTABLE COUNTY,2019,September,117049,113991,3058,2.6,2.7
County,BARNSTABLE COUNTY,2019,October,113834,110928,2906,2.6,2.4
County,BARNSTABLE COUNTY,2019,November,110574,106945,3629,3.3,2.3
County,BARNSTABLE COUNTY,2019,December,110894,106645,4249,3.8,2.4
County,BARNSTABLE COUNTY,2019,Annual,115437,110989,4448,3.9,2.9
County,BERKSHIRE COUNTY,2020,January,64661,61830,2831,4.4,3.4
County,BERKSHIRE COUNTY,2020,February,64344,61568,2776,4.3,3.3
County,BERKSHIRE COUNTY,2020,March,62705,60273,2432,3.9,3
County,BERKSHIRE COUNTY,2020,April,57684,48028,9656,16.7,16
County,BERKSHIRE COUNTY,2020,May,59491,50191,9300,15.6,16.3
County,BERKSHIRE COUNTY,2019,January,65300,62147,3153,4.8,3.7
County,BERKSHIRE COUNTY,2019,February,64872,61886,2986,4.6,3.4
County,BERKSHIRE COUNTY,2019,March,64618,61843,2775,4.3,3.3
County,BERKSHIRE COUNTY,2019,April,63940,61676,2264,3.5,2.7
County,BERKSHIRE COUNTY,2019,May,64590,62426,2164,3.4,2.9
County,BERKSHIRE COUNTY,2019,June,67243,64910,2333,3.5,3.1
County,BERKSHIRE COUNTY,2019,July,68184,65961,2223,3.3,3.1
County,BERKSHIRE COUNTY,2019,August,67213,65112,2101,3.1,2.8
County,BERKSHIRE COUNTY,2019,September,64397,62472,1925,3,2.7
County,BERKSHIRE COUNTY,2019,October,64223,62524,1699,2.6,2.4
County,BERKSHIRE COUNTY,2019,November,64189,62416,1773,2.8,2.3
County,BERKSHIRE COUNTY,2019,December,65063,63043,2020,3.1,2.4
County,BERKSHIRE COUNTY,2019,Annual,65320,63035,2285,3.5,2.9
County,BRISTOL COUNTY,2020,January,305670,291691,13979,4.6,3.4
County,BRISTOL COUNTY,2020,February,305873,291868,14005,4.6,3.3
County,BRISTOL COUNTY,2020,March,300557,288609,11948,4,3
County,BRISTOL COUNTY,2020,April,283606,226043,57563,20.3,16
County,BRISTOL COUNTY,2020,May,290922,234471,56451,19.4,16.3
County,BRISTOL COUNTY,2019,January,304451,289192,15259,5,3.7
County,BRISTOL COUNTY,2019,February,305392,290930,14462,4.7,3.4
County,BRISTOL COUNTY,2019,March,304292,290983,13309,4.4,3.3
County,BRISTOL COUNTY,2019,April,302134,291682,10452,3.5,2.7
County,BRISTOL COUNTY,2019,May,302177,291532,10645,3.5,2.9
County,BRISTOL COUNTY,2019,June,305427,293661,11766,3.9,3.1
County,BRISTOL COUNTY,2019,July,304687,292829,11858,3.9,3.1
County,BRISTOL COUNTY,2019,August,304588,293687,10901,3.6,2.8
County,BRISTOL COUNTY,2019,September,302483,292607,9876,3.3,2.7
County,BRISTOL COUNTY,2019,October,303400,294432,8968,3,2.4
County,BRISTOL COUNTY,2019,November,305287,296490,8797,2.9,2.3
County,BRISTOL COUNTY,2019,December,306280,296654,9626,3.1,2.4
County,BRISTOL COUNTY,2019,Annual,304217,292890,11327,3.7,2.9
County,DUKES COUNTY,2020,January,8507,7891,616,7.2,3.4
County,DUKES COUNTY,2020,February,8486,7867,619,7.3,3.3
County,DUKES COUNTY,2020,March,8367,7866,501,6,3
County,DUKES COUNTY,2020,April,8515,6588,1927,22.6,16
County,DUKES COUNTY,2020,May,9214,7715,1499,16.3,16.3
County,DUKES COUNTY,2019,January,8520,7804,716,8.4,3.7
County,DUKES COUNTY,2019,February,8206,7510,696,8.5,3.4
County,DUKES COUNTY,2019,March,8155,7561,594,7.3,3.3
County,DUKES COUNTY,2019,April,8555,8130,425,5,2.7
County,DUKES COUNTY,2019,May,9472,9140,332,3.5,2.9
County,DUKES COUNTY,2019,June,11158,10851,307,2.8,3.1
County,DUKES COUNTY,2019,July,12627,12363,264,2.1,3.1
County,DUKES COUNTY,2019,August,12404,12178,226,1.8,2.8
County,DUKES COUNTY,2019,September,10322,10094,228,2.2,2.7
County,DUKES COUNTY,2019,October,9258,9036,222,2.4,2.4
County,DUKES COUNTY,2019,November,8563,8229,334,3.9,2.3
County,DUKES COUNTY,2019,December,8560,8163,397,4.6,2.4
County,DUKES COUNTY,2019,Annual,9650,9255,395,4.1,2.9
County,ESSEX COUNTY,2020,January,428998,414612,14386,3.4,3.4
County,ESSEX COUNTY,2020,February,429373,415131,14242,3.3,3.3
County,ESSEX COUNTY,2020,March,423430,410676,12754,3,3
County,ESSEX COUNTY,2020,April,387673,318847,68826,17.8,16
County,ESSEX COUNTY,2020,May,403931,331186,72745,18,16.3
County,ESSEX COUNTY,2019,January,428902,412601,16301,3.8,3.7
County,ESSEX COUNTY,2019,February,428814,413859,14955,3.5,3.4
County,ESSEX COUNTY,2019,March,429545,415295,14250,3.3,3.3
County,ESSEX COUNTY,2019,April,426586,414450,12136,2.8,2.7
County,ESSEX COUNTY,2019,May,426862,414146,12716,3,2.9
County,ESSEX COUNTY,2019,June,432801,418856,13945,3.2,3.1
County,ESSEX COUNTY,2019,July,433536,419799,13737,3.2,3.1
County,ESSEX COUNTY,2019,August,432776,420405,12371,2.9,2.8
