"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"24","MD","Maryland","Maryland","state",NA,"January",2019,3229802,3090690,139112
"24","MD","Maryland","Maryland","state",NA,"February",2019,3231432,3101719,129713
"24","MD","Maryland","Maryland","state",NA,"March",2019,3239714,3118299,121415
"24","MD","Maryland","Maryland","state",NA,"April",2019,3226095,3122286,103809
"24","MD","Maryland","Maryland","state",NA,"May",2019,3244597,3133543,111054
"24","MD","Maryland","Maryland","state",NA,"June",2019,3285538,3158914,126624
"24","MD","Maryland","Maryland","state",NA,"July",2019,3316105,3187778,128327
"24","MD","Maryland","Maryland","state",NA,"August",2019,3280077,3157520,122557
"24","MD","Maryland","Maryland","state",NA,"September",2019,3264649,3157750,106899
"24","MD","Maryland","Maryland","state",NA,"October",2019,3278073,3169655,108418
"24","MD","Maryland","Maryland","state",NA,"November",2019,3270600,3166241,104359
"24","MD","Maryland","Maryland","state",NA,"December",2019,3261324,3163208,98116
"24","MD","Maryland","Maryland","state",NA,"January",2020,3269371,3153245,116126
"24","MD","Maryland","Maryland","state",NA,"February",2020,3272916,3156904,116012
"24","MD","Maryland","Maryland","state",NA,"March",2020,3276247,3161530,114717
"24","MD","Maryland","Maryland","state",NA,"April",2020,3089838,2787269,302569
"24","MD","Maryland","Maryland","state",NA,"May",2020,3103222,2802977,300245
"24","MD","Maryland","Allegany County","county",24001,"January",2019,32316,30364,1952
"24","MD","Maryland","Allegany County","county",24001,"February",2019,32552,30672,1880
"24","MD","Maryland","Allegany County","county",24001,"March",2019,32727,31006,1721
"24","MD","Maryland","Allegany County","county",24001,"April",2019,32377,30955,1422
"24","MD","Maryland","Allegany County","county",24001,"May",2019,32451,30996,1455
"24","MD","Maryland","Allegany County","county",24001,"June",2019,32496,30662,1834
"24","MD","Maryland","Allegany County","county",24001,"July",2019,32782,30903,1879
"24","MD","Maryland","Allegany County","county",24001,"August",2019,32512,30607,1905
"24","MD","Maryland","Allegany County","county",24001,"September",2019,32578,30988,1590
"24","MD","Maryland","Allegany County","county",24001,"October",2019,32660,31089,1571
"24","MD","Maryland","Allegany County","county",24001,"November",2019,32409,30906,1503
"24","MD","Maryland","Allegany County","county",24001,"December",2019,32023,30591,1432
"24","MD","Maryland","Allegany County","county",24001,"January",2020,32137,30343,1794
"24","MD","Maryland","Allegany County","county",24001,"February",2020,32447,30695,1752
"24","MD","Maryland","Allegany County","county",24001,"March",2020,32475,30742,1733
"24","MD","Maryland","Allegany County","county",24001,"April",2020,30474,26189,4285
"24","MD","Maryland","Allegany County","county",24001,"May",2020,NA,NA,NA
"24","MD","Maryland","Anne Arundel County","county",24003,"January",2019,314464,303107,11357
"24","MD","Maryland","Anne Arundel County","county",24003,"February",2019,314333,303736,10597
"24","MD","Maryland","Anne Arundel County","county",24003,"March",2019,315309,305268,10041
"24","MD","Maryland","Anne Arundel County","county",24003,"April",2019,314372,305913,8459
"24","MD","Maryland","Anne Arundel County","county",24003,"May",2019,316806,307393,9413
"24","MD","Maryland","Anne Arundel County","county",24003,"June",2019,320643,309956,10687
"24","MD","Maryland","Anne Arundel County","county",24003,"July",2019,322394,311348,11046
"24","MD","Maryland","Anne Arundel County","county",24003,"August",2019,320234,309808,10426
"24","MD","Maryland","Anne Arundel County","county",24003,"September",2019,318034,309103,8931
"24","MD","Maryland","Anne Arundel County","county",24003,"October",2019,319286,310232,9054
"24","MD","Maryland","Anne Arundel County","county",24003,"November",2019,318901,310287,8614
"24","MD","Maryland","Anne Arundel County","county",24003,"December",2019,318588,310668,7920
"24","MD","Maryland","Anne Arundel County","county",24003,"January",2020,319375,309895,9480
"24","MD","Maryland","Anne Arundel County","county",24003,"February",2020,319049,309354,9695
"24","MD","Maryland","Anne Arundel County","county",24003,"March",2020,318746,309357,9389
"24","MD","Maryland","Anne Arundel County","county",24003,"April",2020,292743,263486,29257
"24","MD","Maryland","Anne Arundel County","county",24003,"May",2020,NA,NA,NA
"24","MD","Maryland","Baltimore city","county",24510,"January",2019,287780,271110,16670
"24","MD","Maryland","Baltimore city","county",24510,"February",2019,286855,271286,15569
"24","MD","Maryland","Baltimore city","county",24510,"March",2019,287840,272923,14917
"24","MD","Maryland","Baltimore city","county",24510,"April",2019,287396,273845,13551
"24","MD","Maryland","Baltimore city","county",24510,"May",2019,289733,275498,14235
"24","MD","Maryland","Baltimore city","county",24510,"June",2019,294244,278182,16062
"24","MD","Maryland","Baltimore city","county",24510,"July",2019,295652,279307,16345
"24","MD","Maryland","Baltimore city","county",24510,"August",2019,294759,277884,16875
"24","MD","Maryland","Baltimore city","county",24510,"September",2019,290883,277012,13871
"24","MD","Maryland","Baltimore city","county",24510,"October",2019,291957,277812,14145
"24","MD","Maryland","Baltimore city","county",24510,"November",2019,291299,277897,13402
"24","MD","Maryland","Baltimore city","county",24510,"December",2019,290523,278177,12346
"24","MD","Maryland","Baltimore city","county",24510,"January",2020,291738,277376,14362
"24","MD","Maryland","Baltimore city","county",24510,"February",2020,290560,276865,13695
"24","MD","Maryland","Baltimore city","county",24510,"March",2020,291181,276898,14283
"24","MD","Maryland","Baltimore city","county",24510,"April",2020,267613,235862,31751
"24","MD","Maryland","Baltimore city","county",24510,"May",2020,NA,NA,NA
