Area Type,Metric,Series title,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20
State,Unemployment, Maryland ,139112,129713,121415,103809,111054,126624,128327,122557,106899,108418,104359,98116,116126,116012,114717,302569,"302,371","267,300"
County,Unemployment, Allegany County,1952,1880,1721,1422,1455,1834,1879,1905,1590,1571,1503,1432,1794,1752,1733,4285,"3,531",
County,Unemployment, Anne Arundel County,11357,10597,10041,8459,9413,10687,11046,10426,8931,9054,8614,7920,9480,9695,9389,29257,"27,550",
County,Unemployment, Baltimore city,16670,15569,14917,13551,14235,16062,16345,16875,13871,14145,13402,12346,14362,13695,14283,31751,"30,360",
County,Unemployment, Baltimore County,19372,18569,17609,15337,16403,18469,18495,17938,15696,15893,15124,14099,16630,16596,16526,45477,"43,138",
County,Unemployment, Calvert County,1899,1766,1644,1379,1524,1813,1882,1733,1442,1426,1363,1281,1518,1528,1466,3954,"3,699",
County,Unemployment, Caroline County,815,839,736,613,591,694,713,646,543,561,584,557,688,690,656,1526,"1,377",
County,Unemployment, Carroll County,3407,3352,3015,2376,2626,3106,3253,2963,2499,2523,2425,2309,2875,2967,2701,8332,"7,460",
County,Unemployment, Cecil County,2431,2515,2349,1898,1957,2275,2415,2329,1897,1893,1841,1757,2143,2219,2125,4606,"4,176",
County,Unemployment, Charles County,3964,3355,3214,2760,2946,3384,3653,3596,2947,2965,2870,2675,3105,3137,3180,7782,"8,171",
County,Unemployment, Dorchester County,904,910,824,735,706,831,756,716,620,668,641,637,784,749,801,1550,"1,425",
County,Unemployment, Frederick County,5194,4917,4502,3704,4133,4752,4796,4370,3969,4013,3785,3564,4340,4373,4124,12670,"11,939",
County,Unemployment, Garrett County,880,910,802,588,587,700,740,695,582,589,630,700,833,848,828,1964,"1,556",
County,Unemployment, Harford County,5301,5275,4951,4173,4590,5213,5562,5182,4362,4423,4116,3857,4746,4834,4704,13713,"12,265",
County,Unemployment, Howard County,6121,5670,5363,4493,5010,5861,5958,5451,4804,4834,4540,4191,4919,5066,4836,13931,"13,936",
County,Unemployment, Kent County,596,583,461,378,343,416,405,371,335,334,326,361,530,509,439,932,842,
County,Unemployment, Montgomery County,19862,18381,17269,14381,16137,18598,18366,16443,15353,15585,14763,13539,16075,16480,15905,45277,"48,504",
County,Unemployment, Prince George's County,23965,20693,19408,17289,18422,20583,20572,20036,18159,18366,17553,16407,18627,18650,19178,49053,"53,862",
County,Unemployment, Queen Anne's County,1060,1026,952,746,823,935,963,890,771,768,757,733,943,939,858,2669,"2,468",
County,Unemployment, Somerset County,716,661,597,515,498,623,607,593,484,488,478,499,630,557,546,979,914,
