"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"23","ME","Maine","Gorham","city",NA,"Jan",2019,10393,10108,285
"23","ME","Maine","Portland","city",NA,"Jan",2019,37880,36812,1068
"23","ME","Maine","Scarborough","city",NA,"Jan",2019,11019,10699,320
"23","ME","Maine","South Portland","city",NA,"Jan",2019,14545,14118,427
"23","ME","Maine","Windham","city",NA,"Jan",2019,10401,10080,321
"23","ME","Maine","Saco","city",NA,"Jan",2019,11601,11229,372
"23","ME","Maine","Brunswick","city",NA,"Jan",2019,10754,10400,354
"23","ME","Maine","Biddeford","city",NA,"Jan",2019,12229,11787,442
"23","ME","Maine","Auburn","city",NA,"Jan",2019,11947,11500,447
"23","ME","Maine","Bangor","city",NA,"Jan",2019,16498,15887,611
"23","ME","Maine","Lewiston","city",NA,"Jan",2019,17019,16382,637
"23","ME","Maine","Portland","city",NA,"Jun",2019,39129,38261,868
"23","ME","Maine","Windham","city",NA,"Jun",2019,10714,10477,237
"23","ME","Maine","Saco","city",NA,"Jun",2019,11940,11671,269
"23","ME","Maine","Biddeford","city",NA,"Jun",2019,12552,12251,301
"23","ME","Maine","Gorham","city",NA,"Jun",2019,10759,10505,254
"23","ME","Maine","Scarborough","city",NA,"Jun",2019,11392,11120,272
"23","ME","Maine","South Portland","city",NA,"Jun",2019,15028,14674,354
"23","ME","Maine","Auburn","city",NA,"Jun",2019,11934,11606,328
"23","ME","Maine","Brunswick","city",NA,"Jun",2019,10972,10675,297
"23","ME","Maine","Maine","state",NA,"Jan",2019,685064,657261,27803
"23","ME","Maine","Maine","state",NA,"Jan",2020,685269,657181,28088
"23","ME","Maine","Maine","state",NA,"Feb",2019,684088,656960,27128
"23","ME","Maine","Maine","state",NA,"Feb",2020,687867,658408,29459
"23","ME","Maine","Maine","state",NA,"Mar",2019,685242,658765,26477
"23","ME","Maine","Maine","state",NA,"Mar",2020,688274,663217,25057
"23","ME","Maine","Maine","state",NA,"Apr",2019,685039,662063,22976
"23","ME","Maine","Maine","state",NA,"Apr",2020,652223,581759,70464
"23","ME","Maine","Maine","state",NA,"May",2019,688088,667444,20644
"23","ME","Maine","Maine","state",NA,"May",2020,662567,600057,62510
"23","ME","Maine","Maine","state",NA,"Jun",2019,701100,681752,19348
"23","ME","Maine","Maine","state",NA,"Jun",2020,678778,635399,43379
"23","ME","Maine","Maine","state",NA,"Jul",2019,708797,689906,18891
"23","ME","Maine","Maine","state",NA,"Aug",2019,708364,692083,16281
"23","ME","Maine","Maine","state",NA,"Sep",2019,692599,676574,16025
"23","ME","Maine","Maine","state",NA,"Oct",2019,695929,679180,16749
"23","ME","Maine","Maine","state",NA,"Nov",2019,689655,670139,19516
"23","ME","Maine","Maine","state",NA,"Dec",2019,688899,668979,19920
"23","ME","Maine","Gorham","city",NA,"Mar",2019,10370,10099,271
"23","ME","Maine","Portland","city",NA,"Mar",2019,37842,36781,1061
"23","ME","Maine","South Portland","city",NA,"Mar",2019,14516,14106,410
"23","ME","Maine","Windham","city",NA,"Mar",2019,10375,10072,303
"23","ME","Maine","Brunswick","city",NA,"Mar",2019,10779,10454,325
"23","ME","Maine","Scarborough","city",NA,"Mar",2019,11015,10689,326
"23","ME","Maine","Saco","city",NA,"Mar",2019,11579,11219,360
"23","ME","Maine","Biddeford","city",NA,"Mar",2019,12186,11777,409
"23","ME","Maine","Bangor","city",NA,"Mar",2019,16779,16184,595
"23","ME","Maine","Auburn","city",NA,"Mar",2019,11926,11472,454
"23","ME","Maine","Lewiston","city",NA,"Mar",2019,17001,16341,660
"23","ME","Maine","Portland","city",NA,"Jul",2019,39370,38535,835
"23","ME","Maine","Gorham","city",NA,"Jul",2019,10820,10581,239
"23","ME","Maine","Scarborough","city",NA,"Jul",2019,11457,11200,257
"23","ME","Maine","Biddeford","city",NA,"Jul",2019,12629,12339,290
"23","ME","Maine","Saco","city",NA,"Jul",2019,12026,11754,272
"23","ME","Maine","South Portland","city",NA,"Jul",2019,15120,14779,341
"23","ME","Maine","Windham","city",NA,"Jul",2019,10798,10552,246
"23","ME","Maine","Brunswick","city",NA,"Jul",2019,11064,10792,272
"23","ME","Maine","Bangor","city",NA,"Jul",2019,16720,16283,437
"23","ME","Maine","Gorham","city",NA,"Apr",2019,10435,10193,242
"23","ME","Maine","South Portland","city",NA,"Apr",2019,14591,14237,354
"23","ME","Maine","Windham","city",NA,"Apr",2019,10417,10165,252
"23","ME","Maine","Portland","city",NA,"Apr",2019,38077,37122,955
"23","ME","Maine","Scarborough","city",NA,"Apr",2019,11070,10789,281
"23","ME","Maine","Saco","city",NA,"Apr",2019,11629,11323,306
"23","ME","Maine","Brunswick","city",NA,"Apr",2019,10779,10488,291
"23","ME","Maine","Biddeford","city",NA,"Apr",2019,12233,11887,346
"23","ME","Maine","Bangor","city",NA,"Apr",2019,17034,16511,523
"23","ME","Maine","Auburn","city",NA,"Apr",2019,11966,11570,396
"23","ME","Maine","Lewiston","city",NA,"Apr",2019,17052,16482,570
"23","ME","Maine","Sanford","city",NA,"Apr",2019,10396,10005,391
"23","ME","Maine","Sanford","city",NA,"Jan",2019,10330,9781,549
"23","ME","Maine","Scarborough","city",NA,"Jan",2020,11029,10739,290
"23","ME","Maine","Portland","city",NA,"Jan",2020,37993,36952,1041
"23","ME","Maine","Gorham","city",NA,"Jan",2020,10444,10146,298
"23","ME","Maine","South Portland","city",NA,"Jan",2020,14616,14172,444
"23","ME","Maine","Windham","city",NA,"Jan",2020,10433,10119,314
"23","ME","Maine","Brunswick","city",NA,"Jan",2020,10683,10348,335
"23","ME","Maine","Auburn","city",NA,"Jan",2020,11938,11543,395
"23","ME","Maine","Saco","city",NA,"Jan",2020,11664,11272,392
"23","ME","Maine","Biddeford","city",NA,"Jan",2020,12265,11832,433
"23","ME","Maine","Lewiston","city",NA,"Jan",2020,17065,16444,621
"23","ME","Maine","Bangor","city",NA,"Jan",2020,16835,16197,638
"23","ME","Maine","Bangor","city",NA,"Jun",2019,16789,16323,466
"23","ME","Maine","Sanford","city",NA,"Jun",2019,10700,10388,312
"23","ME","Maine","Lewiston","city",NA,"Jun",2019,17059,16532,527
"23","ME","Maine","Gorham","city",NA,"Jun",2020,10047,9516,531
"23","ME","Maine","Brunswick","city",NA,"Jun",2020,11015,10399,616
