"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
26,"MI","Michigan","Michigan","state",NA,"January",2019,4909000,4662000,247000
26,"MI","Michigan","Michigan","state",NA,"February",2019,4933000,4710000,223000
26,"MI","Michigan","Michigan","state",NA,"March",2019,4937000,4709000,229000
26,"MI","Michigan","Michigan","state",NA,"April",2019,4885000,4705000,179000
26,"MI","Michigan","Michigan","state",NA,"May",2019,4924000,4739000,185000
26,"MI","Michigan","Michigan","state",NA,"June",2019,4971000,4759000,212000
26,"MI","Michigan","Michigan","state",NA,"January",2020,4924000,4714000,211000
26,"MI","Michigan","Michigan","state",NA,"February",2020,4953000,4774000,180000
26,"MI","Michigan","Michigan","state",NA,"March",2020,4900000,4702000,198000
26,"MI","Michigan","Michigan","state",NA,"April",2020,4553000,3477000,1076000
26,"MI","Michigan","Michigan","state",NA,"May",2020,4754000,3769000,985000
26,"MI","Michigan","Michigan","state",NA,"July",2019,4995000,4743000,253000
26,"MI","Michigan","Michigan","state",NA,"August",2019,4965000,4756000,209000
26,"MI","Michigan","Michigan","state",NA,"September",2019,4931000,4758000,173000
26,"MI","Michigan","Michigan","state",NA,"October",2019,4943000,4770000,174000
26,"MI","Michigan","Michigan","state",NA,"November",2019,4931000,4772000,159000
26,"MI","Michigan","Michigan","state",NA,"December",2019,4922000,4747000,175000
26,"MI","Michigan","Alcona County","county",26001,"January",2019,3798,3443,355
26,"MI","Michigan","Alcona County","county",26001,"February",2019,3774,3457,317
26,"MI","Michigan","Alcona County","county",26001,"March",2019,3780,3461,319
26,"MI","Michigan","Alcona County","county",26001,"April",2019,3747,3516,231
26,"MI","Michigan","Alcona County","county",26001,"May",2019,3985,3766,219
26,"MI","Michigan","Alcona County","county",26001,"June",2019,4060,3817,243
26,"MI","Michigan","Alcona County","county",26001,"January",2020,3826,3493,333
26,"MI","Michigan","Alcona County","county",26001,"February",2020,3839,3560,279
26,"MI","Michigan","Alcona County","county",26001,"March",2020,3732,3477,255
26,"MI","Michigan","Alcona County","county",26001,"April",2020,3455,2605,850
26,"MI","Michigan","Alcona County","county",26001,"May",2020,3851,3123,728
26,"MI","Michigan","Alcona County","county",26001,"July",2019,4091,3825,266
26,"MI","Michigan","Alcona County","county",26001,"August",2019,4029,3812,217
26,"MI","Michigan","Alcona County","county",26001,"September",2019,3926,3751,175
26,"MI","Michigan","Alcona County","county",26001,"October",2019,3820,3652,168
26,"MI","Michigan","Alcona County","county",26001,"November",2019,3791,3602,189
