Number of Records,Region,Adjustment,area,Area,Area Type,areatype,Employed,Labor Force,Period,periodtype,Year,Period Type,Preliminary or Final,stfips,Unemployed,Unemployment Rate
1,MI,Not Adj,0,Michigan,State,1,4662000,4909000,January,3,2019,Monthly,Final,26,247000,5.00%
1,MI,Not Adj,0,Michigan,State,1,4710000,4933000,February,3,2019,Monthly,Final,26,223000,4.50%
1,MI,Not Adj,0,Michigan,State,1,4709000,4937000,March,3,2019,Monthly,Final,26,229000,4.60%
1,MI,Not Adj,0,Michigan,State,1,4705000,4885000,April,3,2019,Monthly,Final,26,179000,3.70%
1,MI,Not Adj,0,Michigan,State,1,4739000,4924000,May,3,2019,Monthly,Final,26,185000,3.70%
1,MI,Not Adj,0,Michigan,State,1,4759000,4971000,June,3,2019,Monthly,Final,26,212000,4.30%
1,MI,Not Adj,0,Michigan,State,1,4714000,4924000,January,3,2020,Monthly,Final,26,211000,4.30%
1,MI,Not Adj,0,Michigan,State,1,4774000,4953000,February,3,2020,Monthly,Final,26,180000,3.60%
1,MI,Not Adj,0,Michigan,State,1,4702000,4900000,March,3,2020,Monthly,Final,26,198000,4.00%
1,MI,Not Adj,0,Michigan,State,1,3477000,4553000,April,3,2020,Monthly,Final,26,1076000,23.60%
1,MI,Not Adj,0,Michigan,State,1,3769000,4754000,May,3,2020,Monthly,Preliminary,26,985000,20.70%
1,MI,Not Adj,0,Michigan,State,1,4743000,4995000,July,3,2019,Monthly,Final,26,253000,5.10%
1,MI,Not Adj,0,Michigan,State,1,4756000,4965000,August,3,2019,Monthly,Final,26,209000,4.20%
1,MI,Not Adj,0,Michigan,State,1,4758000,4931000,September,3,2019,Monthly,Final,26,173000,3.50%
1,MI,Not Adj,0,Michigan,State,1,4770000,4943000,October,3,2019,Monthly,Final,26,174000,3.50%
1,MI,Not Adj,0,Michigan,State,1,4772000,4931000,November,3,2019,Monthly,Final,26,159000,3.20%
1,MI,Not Adj,0,Michigan,State,1,4747000,4922000,December,3,2019,Monthly,Final,26,175000,3.60%
1,MI,Not Adj,1,"Alcona County, MI",County,4,3443,3798,January,3,2019,Monthly,Final,26,355,9.30%
1,MI,Not Adj,1,"Alcona County, MI",County,4,3457,3774,February,3,2019,Monthly,Final,26,317,8.40%
