"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"27","MN","Minnesota","Becker County","county",27005,"May","2020",20171,18598,1573
"27","MN","Minnesota","Martin County","county",27091,"May","2020",10172,9517,655
"27","MN","Minnesota","Minnesota","state",NA,"May","2020",3060535,2773601,286934
"27","MN","Minnesota","Carlton County","county",27017,"May","2020",17134,15234,1900
"27","MN","Minnesota","Lac qui Parle County","county",27073,"May","2020",3706,3550,156
"27","MN","Minnesota","Douglas County","county",27041,"May","2020",22498,21083,1415
"27","MN","Minnesota","Cook County","county",27031,"May","2020",3326,2903,423
"27","MN","Minnesota","Isanti County","county",27059,"May","2020",20407,18431,1976
"27","MN","Minnesota","Big Stone County","county",27011,"May","2020",2510,2404,106
"27","MN","Minnesota","Mahnomen County","county",27087,"May","2020",2724,2274,450
"27","MN","Minnesota","Kittson County","county",27069,"May","2020",2403,2305,98
"27","MN","Minnesota","Cass County","county",27021,"May","2020",15430,13676,1754
"27","MN","Minnesota","Lincoln County","county",27081,"May","2020",3323,3205,118
"27","MN","Minnesota","Cottonwood County","county",27033,"May","2020",6417,6102,315
"27","MN","Minnesota","Meeker County","county",27093,"May","2020",13743,12956,787
"27","MN","Minnesota","Benton County","county",27009,"May","2020",21679,19583,2096
"27","MN","Minnesota","Koochiching County","county",27071,"May","2020",6124,5565,559
"27","MN","Minnesota","Blue Earth County","county",27013,"May","2020",39714,36231,3483
"27","MN","Minnesota","Beltrami County","county",27007,"May","2020",26382,24244,2138
"27","MN","Minnesota","Carver County","county",27019,"May","2020",56061,51386,4675
"27","MN","Minnesota","Brown County","county",27015,"May","2020",15407,14423,984
"27","MN","Minnesota","Hennepin County","county",27053,"May","2020",690939,617700,73239
"27","MN","Minnesota","Aitkin County","county",27001,"May","2020",7607,6833,774
"27","MN","Minnesota","Grant County","county",27051,"May","2020",3488,3306,182
"27","MN","Minnesota","Kanabec County","county",27065,"May","2020",9204,8373,831
"27","MN","Minnesota","Lyon County","county",27083,"May","2020",15274,14525,749
"27","MN","Minnesota","Fillmore County","county",27045,"May","2020",11342,10541,801
"27","MN","Minnesota","Crow Wing County","county",27035,"May","2020",34969,31647,3322
"27","MN","Minnesota","Dodge County","county",27039,"May","2020",11746,10756,990
"27","MN","Minnesota","Lake of the Woods County","county",27077,"May","2020",2541,2350,191
"27","MN","Minnesota","Chisago County","county",27025,"May","2020",28712,26007,2705
"27","MN","Minnesota","Itasca County","county",27061,"May","2020",22637,20070,2567
"27","MN","Minnesota","Clearwater County","county",27029,"May","2020",4580,4135,445
"27","MN","Minnesota","McLeod County","county",27085,"May","2020",19810,18412,1398
"27","MN","Minnesota","Marshall County","county",27089,"May","2020",5515,5162,353
"27","MN","Minnesota","Jackson County","county",27063,"May","2020",5993,5726,267
"27","MN","Minnesota","Faribault County","county",27043,"May","2020",7257,6694,563
"27","MN","Minnesota","Dakota County","county",27037,"May","2020",235564,211180,24384
"27","MN","Minnesota","Chippewa County","county",27023,"May","2020",7277,6837,440
"27","MN","Minnesota","Clay County","county",27027,"May","2020",34834,33566,1268
"27","MN","Minnesota","Le Sueur County","county",27079,"May","2020",15366,13989,1377
"27","MN","Minnesota","Hubbard County","county",27057,"May","2020",10401,9556,845
"27","MN","Minnesota","Freeborn County","county",27047,"May","2020",17462,16225,1237
"27","MN","Minnesota","Lake County","county",27075,"May","2020",5784,5108,676
"27","MN","Minnesota","Mille Lacs County","county",27095,"May","2020",12446,11049,1397
"27","MN","Minnesota","Houston County","county",27055,"May","2020",9401,8983,418
"27","MN","Minnesota","Goodhue County","county",27049,"May","2020",28432,25808,2624
"27","MN","Minnesota","Kandiyohi County","county",27067,"May","2020",25737,24298,1439
"27","MN","Minnesota","Anoka County","county",27003,"May","2020",191793,172416,19377
"27","MN","Minnesota","Red Lake County","county",27125,"May","2020",2311,2124,187
"27","MN","Minnesota","Norman County","county",27107,"May","2020",3355,3132,223
"27","MN","Minnesota","Swift County","county",27151,"May","2020",5037,4772,265
"27","MN","Minnesota","Pennington County","county",27113,"May","2020",9251,8472,779
"27","MN","Minnesota","Otter Tail County","county",27111,"May","2020",32670,30772,1898
"27","MN","Minnesota","Sherburne County","county",27141,"May","2020",50252,45590,4662
"27","MN","Minnesota","Stearns County","county",27145,"May","2020",89274,81321,7953
