Year-Month,Becker County,Martin County,Carlton County,Lac qui Parle County,Douglas County,Cook County,Isanti County,Big Stone County,Mahnomen County,Kittson County,Cass County,Lincoln County,Cottonwood County,Meeker County,Morrison County,Benton County,Koochiching County,Blue Earth County,Beltrami County,Carver County,Brown County,Hennepin County,Aitkin County,Grant County,Kanabec County,Lyon County,Fillmore County,Crow Wing County,Dodge County,Lake of the Woods County,Chisago County,Itasca County,Clearwater County,McLeod County,Marshall County,Mower County,Jackson County,Faribault County,Dakota County,Chippewa County,Clay County,Le Sueur County,Hubbard County,Freeborn County,Lake County,Mille Lacs County,Houston County,Goodhue County,Kandiyohi County,Anoka County,Red Lake County,Norman County,Swift County,Pennington County,Otter Tail County,Sherburne County,Stearns County,Pine County,Rock County,Traverse County,Murray County,Steele County,Waseca County,Saint Louis County,Rice County,Watonwan County,Yellow Medicine County,Redwood County,Stevens County,Nobles County,Todd County,Pipestone County,Winona County,Nicollet County,Wilkin County,Wadena County,Wright County,Wabasha County,Polk County,Ramsey County,Roseau County,Pope County,Washington County,Renville County,Scott County,Olmsted County,Sibley County,Minnesota,"Rochester, Olmsted","Minneapolis, Hennepin","Saint Paul, Ramsey"
2020-06,"19,043","10,188","18,032","3,576","21,102","3,123","21,238","2,432","2,557","2,349","14,560","3,225","6,134","13,223","17,574","22,746","5,761","41,695","24,564","58,666","14,452","725,393","7,247","3,354","8,936","14,480","11,817","32,499","12,175","2,409","29,995","21,640","4,302","19,182","5,296","20,944","5,901","7,030","245,510","6,842","36,553","16,007","9,853","16,529","5,545","12,904","10,179","27,421","24,232","200,193","2,041","3,072","4,586","7,934","29,078","48,207","86,845","13,609","5,483","1,717","4,426","20,029","8,447","93,541","35,011","6,171","5,066","7,234","5,121","10,840","12,938","4,548","27,029","19,970","3,325","5,610","69,917","11,791","15,440","267,619","7,348","6,165","132,605","7,955","77,363","84,350","8,012","2,867,807","62,523","224,798","146,660"
2020-05,"18,575","9,794","17,543","3,470","20,571","3,086","20,865","2,357","2,528","2,336","14,218","3,127","5,924","12,898","17,284","22,201","5,637","40,162","24,131","57,328","14,155","705,938","7,117","3,236","8,814","14,047","11,579","32,004","11,948","2,339","29,385","21,206","4,245","18,674","5,225","20,351","5,610","6,870","240,727","6,705","36,158","15,703","9,571","16,131","5,423","12,709","9,892","27,033","23,560","195,974","1,980","2,995","4,425","7,681","28,085","46,745","83,578","13,170","5,328","1,667","4,301","19,418","8,148","89,632","33,900","6,001","4,904","7,020","4,970","10,513","12,497","4,404","26,163","19,025","3,302","5,396","67,689","11,430","15,152","259,152","7,121","5,977","128,599","7,751","74,973","81,789","7,785","2,775,380","60,625","217,554","142,020"
2020-04,"18,925","9,788","17,583","3,515","20,868","3,145","21,049","2,389","2,524","2,282","14,438","3,141","5,927","13,057","17,517","22,220","5,714","40,461","24,396","57,160","14,218","699,395","7,189","3,281","9,024","14,184","11,456","32,472","11,721","2,427","29,571","21,258","4,411","18,812","5,300","20,307","5,562","6,872","239,696","6,839","35,278","15,952","9,776","16,146","5,312","12,839","9,786","26,873","23,771","195,729","1,992","2,989","4,428","7,754","28,260","47,021","83,513","13,263","5,332","1,667","4,317","19,626","8,203","90,103","34,201","6,040","4,920","7,054","4,998","10,576","12,535","4,420","26,395","19,266","3,310","5,417","68,006","11,414","15,305","260,567","7,186","6,020","129,390","7,792","75,410","82,003","7,792","2,790,199","60,783","218,679","142,796"
2020-03,"18,391","9,676","17,844","3,472","20,918","2,878","21,554","2,361","2,282","2,287","13,837","3,108","5,952","13,281","17,317","22,230","5,766","41,446","24,569","58,556","14,129","707,798","7,189","3,184","9,083","14,192","11,371","31,712","11,816","2,553","30,272","22,216","4,492","19,042","5,258","20,288","5,598","6,775","242,629","6,868","36,571","16,248","9,720","16,110","5,349","13,098","10,355","26,992","23,934","198,612","2,035","2,930","4,499","8,197","29,520","50,674","87,727","14,044","5,362","1,596","4,355","20,752","8,413","97,555","36,129","5,975","5,014","7,135","5,047","10,707","12,795","4,540","27,870","20,722","3,230","5,568","73,169","11,656","15,660","281,678","7,512","6,224","139,623","7,745","81,443","86,619","7,975","2,978,932","64,205","236,576","154,365"
2020-02,"18,624","9,729","18,100","3,526","20,944","2,908","21,750","2,383","2,291","2,303","13,975","3,163","5,886","13,352","17,514","22,396","5,738","41,744","24,609","58,954","14,156","711,762","7,243","3,213","9,218","14,171","11,508","31,795","11,886","2,587","30,555","22,203","4,605","19,163","5,320","20,258","5,644","6,804","243,949","6,907","36,597","16,498","9,778","16,102","5,378","13,341","10,484","27,124","23,966","199,884","2,039","2,938","4,517","8,156","29,368","50,993","87,935","14,048","5,354","1,603","4,330","20,706","8,432","98,398","36,062","5,966","5,035","7,108","5,026","10,701","12,788","4,517","27,827","20,899","3,230","5,550","73,725","11,729","15,777","283,591","7,502","6,222","140,470","7,723","81,965","86,664","8,071","2,992,840","64,238","238,254","155,413"
2020-01,"18,564","9,708","17,924","3,479","20,895","2,908","21,783","2,409","2,295","2,299","14,004","3,165","5,873","13,403","17,536","22,323","5,757","41,307","24,503","58,814","14,157","709,425","7,280","3,225","9,407","14,160","11,480","31,920","11,877","2,596","30,552","22,242","4,682","19,237","5,383","20,200","5,636","6,867","243,412","6,916","36,247","16,538","9,789","16,130","5,352","13,366","10,282","27,162","24,028","199,485","2,035","2,915","4,493","8,159","29,230","50,888","87,438","14,007","5,367","1,607","4,333","20,813","8,401","97,240","35,919","5,995","5,025","7,076","4,958","10,698","12,724","4,541","27,580","20,688","3,206","5,512","73,542","11,691","15,831","282,944","7,469","6,201","140,187","7,740","81,790","86,480","8,047","2,983,505","64,102","237,684","155,059"
2019-12,"19,057","10,355","17,988","3,553","20,961","2,984","21,635","2,486","2,377","2,415","14,459","3,393","6,160","13,502","18,201","22,378","5,989","41,627","25,083","58,587","14,695","710,791","7,441","3,378","9,303","15,057","11,731","32,741","12,066","2,522","30,283","22,364","4,683","19,592","5,606","20,638","5,745","7,084","242,855","7,185","36,739","16,473","10,020","16,173","5,363","13,217","10,860","27,425","25,655","199,164","2,132","3,278","4,917","8,508","30,396","50,507","88,854","14,197","5,710","1,696","4,810","19,933","8,420","98,726","36,482","6,533","5,358","7,400","5,387","11,167","13,360","4,910","28,249","20,943","3,459","5,693","73,088","12,052","16,424","283,589","7,719","6,432","139,635","8,663","81,474","86,768","8,257","3,015,523","64,195","237,393","155,502"
2019-11,"19,014","10,379","18,058","3,568","20,926","2,982","21,439","2,492","2,355","2,385","14,487","3,336","6,132","13,331","17,985","22,405","5,962","42,227","25,107","58,831","14,753","716,330","7,359","3,345","9,098","15,060","11,736","32,778","12,074","2,378","30,161","22,362","4,540","19,515","5,530","20,782","5,732","7,068","244,058","7,113","36,854","16,149","9,997","16,213","5,453","13,004","10,869","27,333","25,435","199,966","2,178","3,254","4,979","8,709","30,701","50,936","90,312","14,364","5,718","1,731","4,834","20,091","8,552","100,419","36,824","6,520","5,382","7,371","5,472","11,242","13,472","5,010","28,639","21,365","3,524","5,781","73,745","12,215","16,601","286,046","7,719","6,488","140,807","8,988","82,169","87,823","8,345","3,035,527","64,975","239,477","156,849"
2019-10,"19,067","10,563","18,013","3,685","21,033","3,130","21,359","2,589","2,363","2,472","14,688","3,474","6,122","13,446","18,096","22,449","6,058","42,522","25,002","59,052","15,000","715,875","7,332","3,440","9,015","15,349","12,031","32,954","12,249","2,441","30,046","22,272","4,528","19,618","5,651","20,840","5,887","7,358","243,894","7,214","36,909","16,131","10,084","16,414","5,551","12,872","10,921","27,586","25,737","199,638","2,213","3,412","5,124","8,790","31,331","51,024","91,298","14,567","5,864","1,796","5,029","20,144","8,849","100,828","36,947","6,672","5,528","7,592","5,651","11,476","13,767","5,146","28,760","21,568","3,723","5,795","73,942","12,530","16,887","286,033","7,816","6,659","140,941","9,505","82,210","88,321","8,603","3,044,190","65,344","239,365","156,842"
2019-09,"18,881","10,311","17,870","3,488","21,118","3,322","21,281","2,517","2,354","2,370","15,090","3,331","6,012","13,260","17,725","22,233","6,088","41,469","24,973","58,820","14,840","715,306","7,211","3,309","8,864","15,082","11,717","33,398","12,048","2,396","29,938","22,276","4,449","19,539","5,434","20,688","5,737","7,179","243,627","7,053","36,645","15,960","10,276","16,107","5,642","12,786","10,705","27,320","25,517","199,364","2,163","3,264","4,940","8,738","31,360","50,928","90,285","14,430","5,746","1,727","4,887","20,034","8,736","100,463","36,914","6,403","5,322","7,402","5,457","11,242","13,469","5,061","28,599","20,956","3,546","5,737","73,739","12,246","16,533","285,995","7,732","6,482","140,783","8,927","82,156","87,982","8,354","3,029,648","65,093","239,434","156,821"
