Year-Month,Becker County,Martin County,Carlton County,Lac qui Parle County,Douglas County,Cook County,Isanti County,Big Stone County,Mahnomen County,Kittson County,Cass County,Lincoln County,Cottonwood County,Meeker County,Morrison County,Benton County,Koochiching County,Blue Earth County,Beltrami County,Carver County,Brown County,Hennepin County,Aitkin County,Grant County,Kanabec County,Lyon County,Fillmore County,Crow Wing County,Dodge County,Lake of the Woods County,Chisago County,Itasca County,Clearwater County,McLeod County,Marshall County,Mower County,Jackson County,Faribault County,Dakota County,Chippewa County,Clay County,Le Sueur County,Hubbard County,Freeborn County,Lake County,Mille Lacs County,Houston County,Goodhue County,Kandiyohi County,Anoka County,Red Lake County,Norman County,Swift County,Pennington County,Otter Tail County,Sherburne County,Stearns County,Pine County,Rock County,Traverse County,Murray County,Steele County,Waseca County,Saint Louis County,Rice County,Watonwan County,Yellow Medicine County,Redwood County,Stevens County,Nobles County,Todd County,Pipestone County,Winona County,Nicollet County,Wilkin County,Wadena County,Wright County,Wabasha County,Polk County,Ramsey County,Roseau County,Pope County,Washington County,Renville County,Scott County,Olmsted County,Sibley County,Minnesota,"Rochester, Olmsted","Minneapolis, Hennepin","Saint Paul, Ramsey"
2020-06,"19,043","10,188","18,032","3,576","21,102","3,123","21,238","2,432","2,557","2,349","14,560","3,225","6,134","13,223","17,574","22,746","5,761","41,695","24,564","58,666","14,452","725,393","7,247","3,354","8,936","14,480","11,817","32,499","12,175","2,409","29,995","21,640","4,302","19,182","5,296","20,944","5,901","7,030","245,510","6,842","36,553","16,007","9,853","16,529","5,545","12,904","10,179","27,421","24,232","200,193","2,174","3,322","4,857","8,472","30,977","52,249","93,762","14,985","5,724","1,806","4,649","21,497","9,173","103,798","37,708","6,571","5,336","7,739","5,325","11,527","13,774","4,743","28,915","21,388","3,504","6,077","75,233","12,677","16,576","297,826","8,113","6,481","144,201","8,511","84,475","92,192","8,543","3,135,487","68,718","253,806","165,167"
2020-05,"18,575","9,794","17,543","3,470","20,571","3,086","20,865","2,357","2,528","2,336","14,218","3,127","5,924","12,898","17,284","22,201","5,637","40,162","24,131","57,328","14,155","705,938","7,117","3,236","8,814","14,047","11,579","32,004","11,948","2,339","29,385","21,206","4,245","18,674","5,225","20,351","5,610","6,870","240,727","6,705","36,158","15,703","9,571","16,131","5,423","12,709","9,892","27,033","23,560","195,974","2,171","3,251","4,691","8,466","30,053","51,386","91,462","14,954","5,564","1,745","4,533","21,056","8,907","101,091","36,637","6,378","5,208","7,690","5,144","11,146","13,390","4,619","28,238","20,529","3,480","5,928","73,697","12,496","16,393","289,863","7,772","6,327","141,320","8,359","83,249","90,720","8,359","3,062,634","67,697","246,221","160,621"
2020-04,"18,925","9,788","17,583","3,515","20,868","3,145","21,049","2,389","2,524","2,282","14,438","3,141","5,927","13,057","17,517","22,220","5,714","40,461","24,396","57,160","14,218","699,395","7,189","3,281","9,024","14,184","11,456","32,472","11,721","2,427","29,571","21,258","4,411","18,812","5,300","20,307","5,562","6,872","239,696","6,839","35,278","15,952","9,776","16,146","5,312","12,839","9,786","26,873","23,771","195,729","2,197","3,232","4,824","8,622","30,657","51,692","90,726","15,089","5,518","1,750","4,604","21,100","8,929","100,599","36,771","6,394","5,320","7,739","5,196","11,045","13,386","4,625","28,438","20,703","3,427","6,098","74,191","12,342","16,313","287,111","7,850","6,407","141,074","8,398","83,010","88,086","8,407","3,053,423","65,482","243,013","158,486"
2020-03,"18,391","9,676","17,844","3,472","20,918","2,878","21,554","2,361","2,282","2,287","13,837","3,108","5,952","13,281","17,317","22,230","5,766","41,446","24,569","58,556","14,129","707,798","7,189","3,184","9,083","14,192","11,371","31,712","11,816","2,553","30,272","22,216","4,492","19,042","5,258","20,288","5,598","6,775","242,629","6,868","36,571","16,248","9,720","16,110","5,349","13,098","10,355","26,992","23,934","198,612","2,170","3,109","4,729","8,667","31,063","52,824","90,963","15,078","5,485","1,680","4,611","21,474","8,842","101,889","37,454","6,240","5,210","7,443","5,217","11,031","13,459","4,744","28,753","21,282","3,342","6,013","76,026","12,139","16,413","290,494","7,802","6,442","143,937","8,207","83,845","89,006","8,339","3,086,604","65,877","243,349","159,376"
2020-02,"18,624","9,729","18,100","3,526","20,944","2,908","21,750","2,383","2,291","2,303","13,975","3,163","5,886","13,352","17,514","22,396","5,738","41,744","24,609","58,954","14,156","711,762","7,243","3,213","9,218","14,171","11,508","31,795","11,886","2,587","30,555","22,203","4,605","19,163","5,320","20,258","5,644","6,804","243,949","6,907","36,597","16,498","9,778","16,102","5,378","13,341","10,484","27,124","23,966","199,884","2,221","3,124","4,777","8,757","31,113","53,315","91,396","15,241","5,494","1,693","4,625","21,443","8,883","102,899","37,401","6,251","5,264","7,427","5,194","11,078","13,517","4,755","28,703","21,463","3,351","6,057","76,776","12,258","16,530","291,966","7,899","6,464","144,732","8,226","84,398","89,019","8,486","3,103,816","65,867","244,522","160,109"
2020-01,"18,564","9,708","17,924","3,479","20,895","2,908","21,783","2,409","2,295","2,299","14,004","3,165","5,873","13,403","17,536","22,323","5,757","41,307","24,503","58,814","14,157","709,425","7,280","3,225","9,407","14,160","11,480","31,920","11,877","2,596","30,552","22,242","4,682","19,237","5,383","20,200","5,636","6,867","243,412","6,916","36,247","16,538","9,789","16,130","5,352","13,366","10,282","27,162","24,028","199,485","2,230","3,129","4,790","8,863","31,110","53,292","91,052","15,281","5,514","1,702","4,652","21,589","8,906","101,786","37,319","6,309","5,250","7,402","5,137","11,068","13,504","4,782","28,475","21,240","3,329","6,048","76,692","12,235","16,582","291,202","7,837","6,456","144,425","8,253","84,197","88,745","8,475","3,096,839","65,630","243,699","159,700"
2019-12,"19,057","10,355","17,988","3,553","20,961","2,984","21,635","2,486","2,377","2,415","14,459","3,393","6,160","13,502","18,201","22,378","5,989","41,627","25,083","58,587","14,695","710,791","7,441","3,378","9,303","15,057","11,731","32,741","12,066","2,522","30,283","22,364","4,683","19,592","5,606","20,638","5,745","7,084","242,855","7,185","36,739","16,473","10,020","16,173","5,363","13,217","10,860","27,425","25,655","199,164","2,276","3,459","5,230","9,082","32,127","52,687","92,067","15,347","5,860","1,770","5,076","20,652","8,864","103,206","37,846","6,794","5,574","7,702","5,567","11,489","14,150","5,090","29,107","21,482","3,583","6,188","75,985","12,560","17,096","292,021","8,056","6,672","143,742","9,127","83,864","89,063","8,681","3,123,709","65,790","243,782","160,222"
2019-11,"19,014","10,379","18,058","3,568","20,926","2,982","21,439","2,492","2,355","2,385","14,487","3,336","6,132","13,331","17,985","22,405","5,962","42,227","25,107","58,831","14,753","716,330","7,359","3,345","9,098","15,060","11,736","32,778","12,074","2,378","30,161","22,362","4,540","19,515","5,530","20,782","5,732","7,068","244,058","7,113","36,854","16,149","9,997","16,213","5,453","13,004","10,869","27,333","25,435","199,966","2,264","3,375","5,243","8,990","31,829","52,512","92,731","15,053","5,833","1,784","4,961","20,646","8,872","104,457","37,740","6,754","5,539","7,605","5,598","11,540","14,054","5,127","29,392","21,782","3,605","6,105","75,934","12,623","17,104","294,070","7,945","6,674","144,399","9,283","84,255","89,752","8,615","3,123,662","66,387","245,793","161,380"
2019-10,"19,067","10,563","18,013","3,685","21,033","3,130","21,359","2,589","2,363","2,472","14,688","3,474","6,122","13,446","18,096","22,449","6,058","42,522","25,002","59,052","15,000","715,875","7,332","3,440","9,015","15,349","12,031","32,954","12,249","2,441","30,046","22,272","4,528","19,618","5,651","20,840","5,887","7,358","243,894","7,214","36,909","16,131","10,084","16,414","5,551","12,872","10,921","27,586","25,737","199,638","2,294","3,493","5,269","9,030","32,172","52,350","93,384","15,100","5,972","1,835","5,146","20,665","9,123","104,071","37,774","6,870","5,675","7,790","5,752","11,810","14,129","5,248","29,422","21,974","3,804","6,003","75,782","12,821","17,314","293,970","8,019","6,793","144,401","9,754","84,156","90,138","8,826","3,125,946","66,692","245,763","161,371"
2019-09,"18,881","10,311","17,870","3,488","21,118","3,322","21,281","2,517","2,354","2,370","15,090","3,331","6,012","13,260","17,725","22,233","6,088","41,469","24,973","58,820","14,840","715,306","7,211","3,309","8,864","15,082","11,717","33,398","12,048","2,396","29,938","22,276","4,449","19,539","5,434","20,688","5,737","7,179","243,627","7,053","36,645","15,960","10,276","16,107","5,642","12,786","10,705","27,320","25,517","199,364","2,234","3,349","5,097","8,932","32,136","52,194","92,490","14,907","5,849","1,770","5,022","20,558","8,980","103,510","37,803","6,572","5,460","7,593","5,567","11,528","13,805","5,167","29,295","21,401","3,624","5,933","75,488","12,532","16,958","293,718","7,931","6,626","144,213","9,170","84,086","89,803","8,570","3,110,208","66,439","245,634","161,245"
