Year/Month,Becker County                   ,Martin County                   ,Carlton County                  ,Lac qui Parle County            ,Douglas County                  ,Cook County                     ,Isanti County                   ,Big Stone County                ,Mahnomen County                 ,Kittson County                  ,Cass County                     ,Lincoln County                  ,Cottonwood County               ,Meeker County                   ,Morrison County                 ,Benton County                   ,Koochiching County              ,Blue Earth County               ,Beltrami County                 ,Carver County                   ,Brown County                    ,Hennepin County                 ,Aitkin County                   ,Grant County                    ,Kanabec County                  ,Lyon County                     ,Fillmore County                 ,Crow Wing County                ,Dodge County                    ,Lake of the Woods County        ,Chisago County                  ,Itasca County                   ,Clearwater County               ,McLeod County                   ,Marshall County                 ,Jackson County                  ,Faribault County                ,Dakota County                   ,Chippewa County                 ,Clay County                     ,Le Sueur County                 ,Hubbard County                  ,Freeborn County                 ,Lake County                     ,Mille Lacs County               ,Houston County                  ,Goodhue County                  ,Kandiyohi County                ,Anoka County                    ,Red Lake County,Norman County,Swift County,Minnesota,Pennington County,Otter Tail County,Sherburne County,Stearns County,Pine County,Rock County,Traverse County,Murray County,Morrison County,Steele County,Waseca County,Saint Louis County,Rice County,Watonwan County,Yellow Medicine County,Redwood County,Stevens County,Nobles County,Todd County,Pipestone County,Winona County,Nicollet County,Wilkin County,Wadena County,Wright County,Mower County,Wabasha County,Polk County,Ramsey County,Roseau County,Pope County,Washington County,Renville County,Scott County,Olmsted County,Sibley County,"Rochester, Olmsted","Minneapolis, Hennepin","Saint Paul, Ramsey"
2020/05,1573,655,1900,156,1415,423,1976,106,450,98,1754,118,315,787,1405,2096,559,3483,2138,4675,984,73239,774,182,831,749,801,3322,990,191,2705,2567,445,1398,353,267,563,24384,440,1268,1377,845,1237,676,1397,418,2624,1439,19377,187,223,265,"286,934",779,"1,898","4,662","7,953","1,789",191,72,224,"1,405","1,636",758,"11,459","2,752",360,300,662,173,604,887,168,"2,015","1,516",116,515,"6,067","1,434","1,071","1,053","30,971",642,345,"12,733",609,"8,341","9,006",579,"7,130","28,924","18,759"
2020/04,1861,640,1880,207,1588,482,2051,152,436,103,1923,145,285,870,1586,2115,613,3217,2231,4216,943,62774,823,221,986,793,724,3590,746,265,2794,2464,611,1400,434,262,572,21839,535,1253,1566,1025,1231,527,1464,495,2319,1462,17891,205,243,396,"263,224",868,"2,397","4,671","7,213","1,826",186,83,287,"1,586","1,474",726,"10,496","2,570",354,400,685,198,469,851,205,"2,043","1,437",117,681,"6,185","1,230",928,"1,008","26,544",664,387,"11,684",606,"7,600","6,083",615,"4,699","24,334","15,690"
2020/03,878,356,891,157,754,150,1104,135,136,89,972,157,212,615,1114,1032,365,1201,1136,1674,642,19077,519,161,717,506,474,1655,463,91,1451,1453,468,801,392,192,330,7242,272,1214,949,611,589,209,897,397,917,961,6496,135,179,230,"107,672",470,"1,543","2,150","3,236","1,034",123,84,256,"1,114",722,429,"4,334","1,325",265,196,308,170,324,664,204,883,560,112,445,"2,857",670,483,753,"8,816",290,218,"4,314",462,"2,402","2,387",364,"1,672","6,773","5,011"
2020/02,1042,380,984,203,804,162,1159,147,159,105,1080,187,225,690,1338,1141,352,1224,1234,1656,674,18155,576,189,846,538,541,1788,498,98,1503,1546,545,899,468,215,365,7122,342,1225,1060,694,600,225,1042,435,1022,1079,6562,182,186,260,"110,976",601,"1,745","2,322","3,461","1,193",140,90,295,"1,338",737,451,"4,501","1,339",285,229,319,168,377,729,238,876,564,121,507,"3,051",691,529,753,"8,375",397,242,"4,262",503,"2,433","2,355",415,"1,629","6,268","4,696"
2020/01,1058,389,1013,190,836,177,1237,175,173,102,1158,203,243,775,1455,1192,398,1185,1317,1650,713,17477,659,211,964,605,547,1969,518,102,1575,1647,637,955,537,224,397,7072,348,1320,1143,769,655,256,1099,449,1075,1136,6569,195,214,297,"113,334",704,"1,880","2,404","3,614","1,274",147,95,319,"1,455",776,505,"4,546","1,400",314,225,326,179,370,780,241,895,552,123,536,"3,150",695,544,751,"8,258",368,255,"4,238",513,"2,407","2,265",428,"1,528","6,015","4,641"
2019/12,977,349,973,139,823,193,1110,147,140,109,1094,172,205,708,1366,1077,411,1086,1255,1662,592,18757,619,183,819,530,447,1882,462,122,1366,1535,479,840,440,178,366,7035,319,1119,1048,695,603,227,944,369,940,1033,6313,144,181,313,"108,186",574,"1,731","2,180","3,213","1,150",150,74,266,"1,366",719,444,"4,480","1,364",261,216,302,180,322,790,180,858,539,124,495,"2,897",647,508,672,"8,432",337,240,"4,107",464,"2,390","2,295",424,"1,595","6,389","4,720"
2019/11,656,283,748,98,562,133,736,88,115,69,820,109,158,422,884,749,413,884,1022,1402,420,18219,429,117,498,370,298,1411,322,124,980,1342,310,586,267,127,293,6255,217,835,577,548,532,224,617,258,687,644,5480,86,121,264,"88,135",281,"1,128","1,576","2,419",689,115,53,127,884,555,320,"4,038",916,234,157,234,126,298,582,117,753,417,81,324,"2,189",550,408,503,"8,024",226,186,"3,592",295,"2,086","1,929",270,"1,412","6,316","4,531"
2019/10,454,279,604,92,456,85,609,51,78,62,509,79,171,321,549,604,357,887,758,1422,359,18092,284,102,298,314,261,943,284,83,793,902,217,507,168,120,208,6037,203,749,415,357,417,150,431,237,593,542,5088,81,81,145,"81,756",240,841,"1,326","2,086",533,108,39,117,549,521,274,"3,243",827,198,147,198,101,334,362,102,662,406,81,208,"1,840",498,291,427,"7,937",203,134,"3,460",249,"1,946","1,817",223,"1,348","6,398","4,529"
2019/09,458,281,549,79,464,74,581,54,75,60,445,78,183,321,492,586,290,945,714,1392,349,17323,234,94,236,343,252,904,271,63,759,861,177,515,153,130,200,5871,183,849,384,316,389,135,400,259,586,580,4916,71,85,157,"80,560",194,776,"1,266","2,205",477,103,43,135,492,524,244,"3,047",889,169,138,191,110,286,336,106,696,445,78,196,"1,749",486,286,425,"7,723",199,144,"3,430",243,"1,930","1,821",216,"1,346","6,200","4,424"
2019/08,544,371,690,101,567,91,688,65,70,80,576,101,219,403,586,660,365,1162,901,1631,426,20936,306,108,293,433,306,1051,354,112,937,1145,241,652,186,165,240,7105,228,964,479,371,485,169,479,272,743,721,5840,86,125,160,"94,260",222,"1,021","1,506","2,563",572,127,55,165,586,658,300,"3,840","1,158",247,184,243,135,340,439,124,865,530,122,264,"2,025",570,371,591,"9,166",306,164,"3,979",329,"2,249","2,278",251,"1,717","7,449","5,305"
