Year/Month,Becker County                   ,Martin County                   ,Minnesota                       ,Carlton County                  ,Lac qui Parle County            ,Douglas County                  ,Cook County                     ,Isanti County                   ,Big Stone County                ,Mahnomen County                 ,Kittson County                  ,Cass County                     ,Lincoln County                  ,Cottonwood County               ,Meeker County                   ,Benton County                   ,Koochiching County              ,Blue Earth County               ,Beltrami County                 ,Carver County                   ,Brown County                    ,Hennepin County                 ,Aitkin County                   ,Grant County                    ,Kanabec County                  ,Lyon County                     ,Fillmore County                 ,Crow Wing County                ,Dodge County                    ,Lake of the Woods County        ,Chisago County                  ,Itasca County                   ,Clearwater County               ,McLeod County                   ,Marshall County                 ,Jackson County                  ,Faribault County                ,Dakota County                   ,Chippewa County                 ,Clay County                     ,Le Sueur County                 ,Hubbard County                  ,Freeborn County                 ,Lake County                     ,Mille Lacs County               ,Houston County                  ,Goodhue County                  ,Kandiyohi County                ,Anoka County                    ,Red Lake County,Norman County,Swift County,Pennington County,Otter Tail County,Sherburne County,Stearns County,Pine County,Rock County,Traverse County,Murray County,Morrison County,Steele County,Waseca County,Saint Louis County,Rice County,Watonwan County,Yellow Medicine County,Redwood County,Stevens County,Nobles County,Todd County,"Rochester, Olmsted",Pipestone County,Winona County,Nicollet County,Wilkin County,Wadena County,Wright County,Mower County,Wabasha County,Polk County,Ramsey County,Roseau County,"Minneapolis, Hennepin","Saint Paul, Ramsey",Pope County,Washington County,Renville County,Scott County,Olmsted County,Sibley County
2020/05,18598,9517,2773601,15234,3550,21083,2903,18431,2404,2274,2305,13676,3205,6102,12956,19583,5565,36231,24244,51386,14423,617700,6833,3306,8373,14525,10541,31647,10756,2350,26007,20070,4135,18412,5162,5726,6694,211180,6837,33566,13989,9556,16225,5108,11049,8983,25808,24298,172416,"2,124","3,132","4,772","8,472","30,772","45,590","81,321","14,006","5,624","1,778","4,791","16,848","21,462","8,754","87,320","36,216","6,527","5,312","7,614","5,398","11,453","13,323","59,466","4,776","28,810","18,773","3,378","5,894","66,022","20,432","11,210","14,910","252,749","7,839","212,180","138,511","6,535","125,420","8,379","73,121","80,226","7,599"
2020/04,17064,9148,2790199,15703,3308,19280,2663,18998,2237,2088,2179,12515,2996,5642,12187,20105,5101,37244,22165,52944,13275,636621,6366,3060,8038,13391,10732,28882,10975,2162,26777,18794,3800,17412,4866,5300,6300,217857,6304,34025,14386,8751,14915,4785,11375,9291,24554,22309,177838,"1,992","2,989","4,428","7,754","28,260","47,021","83,513","13,263","5,332","1,667","4,317","15,931","19,626","8,203","90,103","34,201","6,040","4,920","7,054","4,998","10,576","12,535","60,783","4,420","26,395","19,266","3,310","5,417","68,006","19,077","11,414","15,305","260,567","7,186","218,679","142,796","6,020","129,390","7,792","75,410","82,003","7,792"
2020/03,17513,9320,2978932,16953,3315,20164,2728,20450,2226,2146,2198,12865,2951,5740,12666,21198,5401,40245,23433,56882,13487,688721,6670,3023,8366,13686,10897,30057,11353,2462,28821,20763,4024,18241,4866,5406,6445,235387,6596,35357,15299,9109,15521,5140,12201,9958,26075,22973,192116,"2,035","2,930","4,499","8,197","29,520","50,674","87,727","14,044","5,362","1,596","4,355","16,203","20,752","8,413","97,555","36,129","5,975","5,014","7,135","5,047","10,707","12,795","64,205","4,540","27,870","20,722","3,230","5,568","73,169","19,618","11,656","15,660","281,678","7,512","236,576","154,365","6,224","139,623","7,745","81,443","86,619","7,975"
2020/02,17582,9349,2992840,17116,3323,20140,2746,20591,2236,2132,2198,12895,2976,5661,12662,21255,5386,40520,23375,57298,13482,693607,6667,3024,8372,13633,10967,30007,11388,2489,29052,20657,4060,18264,4852,5429,6439,236827,6565,35372,15438,9084,15502,5153,12299,10049,26102,22887,193322,"2,039","2,938","4,517","8,156","29,368","50,993","87,935","14,048","5,354","1,603","4,330","16,176","20,706","8,432","98,398","36,062","5,966","5,035","7,108","5,026","10,701","12,788","64,238","4,517","27,827","20,899","3,230","5,550","73,725","19,567","11,729","15,777","283,591","7,502","238,254","155,413","6,222","140,470","7,723","81,965","86,664","8,071"
2020/01,17506,9319,2983505,16911,3289,20059,2731,20546,2234,2122,2197,12846,2962,5630,12628,21131,5359,40122,23186,57164,13444,691948,6621,3014,8443,13555,10933,29951,11359,2494,28977,20595,4045,18282,4846,5412,6470,236340,6568,34927,15395,9020,15475,5096,12267,9833,26087,22892,192916,"2,035","2,915","4,493","8,159","29,230","50,888","87,438","14,007","5,367","1,607","4,333","16,081","20,813","8,401","97,240","35,919","5,995","5,025","7,076","4,958","10,698","12,724","64,102","4,541","27,580","20,688","3,206","5,512","73,542","19,505","11,691","15,831","282,944","7,469","237,684","155,059","6,201","140,187","7,740","81,790","86,480","8,047"
2019/12,18080,10006,3015523,17015,3414,20138,2791,20525,2339,2237,2306,13365,3221,5955,12794,21301,5578,40541,23828,56925,14103,692034,6822,3195,8484,14527,11284,30859,11604,2400,28917,20829,4204,18752,5166,5567,6718,235820,6866,35620,15425,9325,15570,5136,12273,10491,26485,24622,192851,"2,132","3,278","4,917","8,508","30,396","50,507","88,854","14,197","5,710","1,696","4,810","16,835","19,933","8,420","98,726","36,482","6,533","5,358","7,400","5,387","11,167","13,360","64,195","4,910","28,249","20,943","3,459","5,693","73,088","19,991","12,052","16,424","283,589","7,719","237,393","155,502","6,432","139,635","8,663","81,474","86,768","8,257"
2019/11,18358,10096,3035527,17310,3470,20364,2849,20703,2404,2240,2316,13667,3227,5974,12909,21656,5549,41343,24085,57429,14333,698111,6930,3228,8600,14690,11438,31367,11752,2254,29181,21020,4230,18929,5263,5605,6775,237803,6896,36019,15572,9449,15681,5229,12387,10611,26646,24791,194486,"2,178","3,254","4,979","8,709","30,701","50,936","90,312","14,364","5,718","1,731","4,834","17,101","20,091","8,552","100,419","36,824","6,520","5,382","7,371","5,472","11,242","13,472","64,975","5,010","28,639","21,365","3,524","5,781","73,745","20,232","12,215","16,601","286,046","7,719","239,477","156,849","6,488","140,807","8,988","82,169","87,823","8,345"
2019/10,18613,10284,3044190,17409,3593,20577,3045,20750,2538,2285,2410,14179,3395,5951,13125,21845,5701,41635,24244,57630,14641,697783,7048,3338,8717,15035,11770,32011,11965,2358,29253,21370,4311,19111,5483,5767,7150,237857,7011,36160,15716,9727,15997,5401,12441,10684,26993,25195,194550,"2,213","3,412","5,124","8,790","31,331","51,024","91,298","14,567","5,864","1,796","5,029","17,547","20,144","8,849","100,828","36,947","6,672","5,528","7,592","5,651","11,476","13,767","65,344","5,146","28,760","21,568","3,723","5,795","73,942","20,342","12,530","16,887","286,033","7,816","239,365","156,842","6,659","140,941","9,505","82,210","88,321","8,603"
2019/09,18423,10030,3029648,17321,3409,20654,3248,20700,2463,2279,2310,14645,3253,5829,12939,21647,5798,40524,24259,57428,14491,697983,6977,3215,8628,14739,11465,32494,11777,2333,29179,21415,4272,19024,5281,5607,6979,237756,6870,35796,15576,9960,15718,5507,12386,10446,26734,24937,194448,"2,163","3,264","4,940","8,738","31,360","50,928","90,285","14,430","5,746","1,727","4,887","17,233","20,034","8,736","100,463","36,914","6,403","5,322","7,402","5,457","11,242","13,469","65,093","5,061","28,599","20,956","3,546","5,737","73,739","20,202","12,246","16,533","285,995","7,732","239,434","156,821","6,482","140,783","8,927","82,156","87,982","8,354"
2019/08,19093,10168,3028464,17099,3276,21065,3331,20702,2441,2201,2278,14867,3212,5584,12878,21398,5768,39013,23967,57431,14375,698825,6938,3200,8616,14250,11533,32730,11872,2346,29210,21465,4170,19010,5095,5583,6932,237780,6699,35105,15569,10030,15426,5619,12390,10299,26652,24590,194489,"2,120","3,210","4,918","8,579","31,585","50,917","89,157","14,286","5,608","1,698","4,758","17,071","19,879","8,646","99,129","36,281","6,290","5,189","7,325","5,362","10,990","13,301","65,823","5,026","27,954","20,209","3,431","5,666","73,782","19,989","12,332","15,897","286,221","7,526","239,722","156,945","6,474","140,754","8,619","82,178","88,969","8,307"
2019/07,18647,10382,3042822,17220,3439,21226,3361,20789,2564,2215,2350,15017,3376,5868,13046,21459,5812,39055,23882,57746,14537,700134,6975,3301,8659,14523,11845,32744,12053,2404,29360,21467,4235,19158,5284,5779,7024,238194,6832,35242,15753,10241,15710,5648,12474,10436,26813,24956,194870,"2,146","3,378","5,090","8,565","32,328","51,079","89,560","14,416","5,777","1,790","4,921","17,406","19,812","8,715","99,610","36,447","6,544","5,396","7,622","5,523","11,235","13,583","65,993","5,167","28,015","20,307","3,579","5,681","74,149","20,090","12,628","16,136","286,799","7,600","240,171","157,262","6,614","141,082","8,712","82,358","89,198","8,579"
2019/06,18731,10251,3025762,17018,3526,20896,3129,20567,2530,2239,2356,14746,3296,6009,12977,21224,5822,39422,23712,57071,14488,692640,7017,3303,8660,14658,11566,32775,11852,2415,28978,21456,4237,19081,5381,5674,6979,236099,6918,34975,15502,10048,15889,5538,12310,10253,26564,24908,193088,"2,165","3,352","5,050","8,701","32,014","50,598","88,618","14,387","5,784","1,789","4,941","17,283","19,929","8,671","98,667","36,738","6,552","5,403","7,600","5,463","11,134","13,454","65,279","5,140","27,894","20,405","3,542","5,746","73,249","20,259","12,339","16,170","283,888","7,705","237,601","155,666","6,618","139,844","8,701","81,580","88,234","8,375"
2019/05,18558,10246,3011036,17021,3535,20529,2900,20423,2515,2294,2378,14120,3336,6002,12979,21395,5676,39685,23743,56697,14389,686982,6943,3304,8587,14828,11502,31892,11729,2348,28773,21115,4211,18962,5396,5707,6841,234266,6884,35309,15436,9726,15883,5288,12235,10412,26612,24826,191593,"2,176","3,377","5,020","8,684","31,547","50,235","89,406","14,336","5,789","1,806","4,962","17,336","19,739","8,601","98,639","36,470","6,550","5,415","7,541","5,454","11,289","13,553","64,238","5,093","28,404","20,552","3,576","5,780","72,743","20,203","12,252","16,387","281,630","7,723","235,660","154,428","6,581","138,802","8,820","80,952","86,827","8,409"
2019/04,17801,9993,2990812,16983,3414,19979,2705,20350,2364,2243,2290,13317,3191,5833,12730,21400,5460,39863,23424,56440,14131,685242,6692,3171,8450,14555,11309,30805,11624,2236,28633,20573,4082,18708,5143,5538,6639,233842,6747,34881,15299,9229,15585,5094,12164,10379,26221,24342,191204,"2,109","3,238","4,859","8,444","30,282","50,101","89,363","14,039","5,649","1,720","4,765","16,940","19,552","8,436","98,599","36,190","6,422","5,258","7,306","5,330","11,121","13,352","64,184","4,891","28,433","20,578","3,469","5,664","72,418","20,032","12,067","16,187","280,953","7,633","235,063","154,057","6,389","138,513","8,587","80,772","86,754","8,233"
2019/03,17387,9717,2969138,16863,3278,19631,2653,20246,2253,2204,2210,12839,3022,5665,12439,21076,5498,39452,23197,56097,13799,683285,6627,3030,8337,14126,11038,30056,11452,2393,28483,20538,4016,18504,4963,5404,6466,233057,6639,34594,15131,8992,15340,5087,12080,10197,25925,23805,190545,"2,062","3,097","4,690","8,381","29,407","49,873","87,863","13,805","5,501","1,619","4,521","16,459","19,392","8,251","98,040","35,817","6,185","5,110","7,075","5,166","10,837","13,065","63,900","4,686","27,911","20,321","3,360","5,569","72,025","19,736","11,809","15,967","280,060","7,596","234,392","153,567","6,153","137,967","8,346","80,483","86,369","8,000"
2019/02,17397,9680,2966256,16897,3246,19582,2657,20253,2238,2188,2190,12846,3005,5588,12396,21069,5481,39390,23243,56117,13763,683929,6617,3014,8309,14053,10966,30072,11386,2411,28504,20518,4021,18466,4909,5391,6423,233164,6578,34635,15132,8971,15298,5106,12085,10172,25863,23736,190641,"2,057","3,066","4,670","8,355","29,206","49,886","87,794","13,789","5,456","1,597","4,461","16,375","19,344","8,240","98,235","35,771","6,135","5,084","6,992","5,123","10,782","12,997","63,603","4,628","27,897","20,295","3,335","5,521","72,067","19,674","11,739","15,938","280,271","7,596","234,613","153,683","6,145","138,011","8,285","80,525","85,968","7,977"
2019/01,17262,9673,2950697,16725,3248,19485,2655,20170,2245,2170,2190,12788,3013,5568,12347,20779,5446,38999,22961,55901,13702,681021,6558,3020,8275,13948,10972,29883,11369,2406,28401,20424,4007,18418,4902,5388,6452,232098,6550,34125,15091,8906,15248,5023,12043,9951,25826,23680,189783,"2,049","3,065","4,674","8,304","29,004","49,668","86,593","13,754","5,474","1,613","4,465","16,245","19,326","8,220","97,174","35,465","6,164","5,084","6,973","5,077","10,772","12,927","63,388","4,661","27,604","20,113","3,317","5,464","71,792","19,569","11,742","15,933","279,057","7,549","233,615","153,017","6,110","137,385","8,305","80,167","85,677","7,978"
