"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"29","MO","Missouri","Adair County","county",29001,"May",2020,9883,9268,615
"29","MO","Missouri","Adair County","county",29001,"April",2020,10047,9338,709
"29","MO","Missouri","Adair County","county",29001,"March",2020,10400,9989,411
"29","MO","Missouri","Adair County","county",29001,"February",2020,10246,9866,380
"29","MO","Missouri","Adair County","county",29001,"January",2020,10240,9794,446
"29","MO","Missouri","Adair County","county",29001,"Annual Averages",2019,10345,9945,400
"29","MO","Missouri","Adair County","county",29001,"December",2019,10369,10030,339
"29","MO","Missouri","Adair County","county",29001,"November",2019,10433,10105,328
"29","MO","Missouri","Adair County","county",29001,"October",2019,10442,10162,280
"29","MO","Missouri","Adair County","county",29001,"September",2019,10238,9938,300
"29","MO","Missouri","Adair County","county",29001,"August",2019,9932,9486,446
"29","MO","Missouri","Adair County","county",29001,"July",2019,10140,9613,527
"29","MO","Missouri","Adair County","county",29001,"June",2019,10318,9817,501
"29","MO","Missouri","Adair County","county",29001,"May",2019,10483,10067,416
"29","MO","Missouri","Adair County","county",29001,"April",2019,10523,10215,308
"29","MO","Missouri","Adair County","county",29001,"March",2019,10437,9964,473
"29","MO","Missouri","Adair County","county",29001,"February",2019,10422,10000,422
"29","MO","Missouri","Adair County","county",29001,"January",2019,10399,9939,460
"29","MO","Missouri","Andrew County","county",29003,"May",2020,9404,8905,499
"29","MO","Missouri","Andrew County","county",29003,"April",2020,9482,8907,575
"29","MO","Missouri","Andrew County","county",29003,"March",2020,9865,9538,327
"29","MO","Missouri","Andrew County","county",29003,"February",2020,9778,9452,326
"29","MO","Missouri","Andrew County","county",29003,"January",2020,9798,9452,346
"29","MO","Missouri","Andrew County","county",29003,"Annual Averages",2019,9767,9494,273
"29","MO","Missouri","Andrew County","county",29003,"December",2019,9789,9528,261
"29","MO","Missouri","Andrew County","county",29003,"November",2019,9764,9540,224
"29","MO","Missouri","Andrew County","county",29003,"October",2019,9843,9629,214
"29","MO","Missouri","Andrew County","county",29003,"September",2019,9679,9484,195
"29","MO","Missouri","Andrew County","county",29003,"August",2019,9686,9426,260
"29","MO","Missouri","Andrew County","county",29003,"July",2019,9941,9614,327
"29","MO","Missouri","Andrew County","county",29003,"June",2019,9845,9541,304
"29","MO","Missouri","Andrew County","county",29003,"May",2019,9707,9460,247
"29","MO","Missouri","Andrew County","county",29003,"April",2019,9753,9512,241
"29","MO","Missouri","Andrew County","county",29003,"March",2019,9744,9413,331
"29","MO","Missouri","Andrew County","county",29003,"February",2019,9760,9416,344
"29","MO","Missouri","Andrew County","county",29003,"January",2019,9691,9366,325
"29","MO","Missouri","Atchison County","county",29005,"May",2020,2750,2606,144
"29","MO","Missouri","Atchison County","county",29005,"April",2020,2850,2683,167
"29","MO","Missouri","Atchison County","county",29005,"March",2020,2769,2681,88
"29","MO","Missouri","Atchison County","county",29005,"February",2020,2716,2628,88
"29","MO","Missouri","Atchison County","county",29005,"January",2020,2710,2610,100
"29","MO","Missouri","Atchison County","county",29005,"Annual Averages",2019,2703,2603,100
"29","MO","Missouri","Atchison County","county",29005,"December",2019,2662,2573,89
"29","MO","Missouri","Atchison County","county",29005,"November",2019,2677,2596,81
"29","MO","Missouri","Atchison County","county",29005,"October",2019,2784,2712,72
"29","MO","Missouri","Atchison County","county",29005,"September",2019,2603,2539,64
"29","MO","Missouri","Atchison County","county",29005,"August",2019,2515,2408,107
"29","MO","Missouri","Atchison County","county",29005,"July",2019,2623,2469,154
"29","MO","Missouri","Atchison County","county",29005,"June",2019,2686,2546,140
"29","MO","Missouri","Atchison County","county",29005,"May",2019,2802,2698,104
"29","MO","Missouri","Atchison County","county",29005,"April",2019,2836,2727,109
"29","MO","Missouri","Atchison County","county",29005,"March",2019,2764,2670,94
"29","MO","Missouri","Atchison County","county",29005,"February",2019,2747,2652,95
"29","MO","Missouri","Atchison County","county",29005,"January",2019,2739,2646,93
"29","MO","Missouri","Audrain County","county",29007,"May",2020,10746,9634,1112
"29","MO","Missouri","Audrain County","county",29007,"April",2020,10904,9782,1122
"29","MO","Missouri","Audrain County","county",29007,"March",2020,10844,10444,400
"29","MO","Missouri","Audrain County","county",29007,"February",2020,10737,10308,429
"29","MO","Missouri","Audrain County","county",29007,"January",2020,10759,10308,451
"29","MO","Missouri","Audrain County","county",29007,"Annual Averages",2019,10697,10337,360
"29","MO","Missouri","Audrain County","county",29007,"December",2019,10678,10333,345
"29","MO","Missouri","Audrain County","county",29007,"November",2019,10678,10351,327
"29","MO","Missouri","Audrain County","county",29007,"October",2019,10759,10476,283
"29","MO","Missouri","Audrain County","county",29007,"September",2019,10529,10253,276
"29","MO","Missouri","Audrain County","county",29007,"August",2019,10344,9987,357
"29","MO","Missouri","Audrain County","county",29007,"July",2019,10659,10239,420
"29","MO","Missouri","Audrain County","county",29007,"June",2019,10711,10319,392
"29","MO","Missouri","Audrain County","county",29007,"May",2019,10841,10481,360
"29","MO","Missouri","Audrain County","county",29007,"April",2019,10811,10535,276
"29","MO","Missouri","Audrain County","county",29007,"March",2019,10794,10389,405
"29","MO","Missouri","Audrain County","county",29007,"February",2019,10793,10359,434
"29","MO","Missouri","Audrain County","county",29007,"January",2019,10773,10327,446
"29","MO","Missouri","Barry County","county",29009,"May",2020,15945,14349,1596
"29","MO","Missouri","Barry County","county",29009,"April",2020,15966,14547,1419
"29","MO","Missouri","Barry County","county",29009,"March",2020,16255,15401,854
"29","MO","Missouri","Barry County","county",29009,"February",2020,15829,15150,679
"29","MO","Missouri","Barry County","county",29009,"January",2020,15864,15056,808
"29","MO","Missouri","Barry County","county",29009,"Annual Averages",2019,15589,15044,545
"29","MO","Missouri","Barry County","county",29009,"December",2019,15483,14889,594
"29","MO","Missouri","Barry County","county",29009,"November",2019,15536,14984,552
"29","MO","Missouri","Barry County","county",29009,"October",2019,15719,15255,464
"29","MO","Missouri","Barry County","county",29009,"September",2019,15405,14958,447
