Area,Year,Month,PeriodType,Period,LaborForce,Employment,Unemployment,UnemploymentRate,SeasonalAdjustment
Adair County,2020,May,3,5,9883,9268,615,6.2,Not seasonally adjusted
Adair County,2020,April,3,4,10047,9338,709,7.1,Not seasonally adjusted
Adair County,2020,March,3,3,10400,9989,411,4,Not seasonally adjusted
Adair County,2020,February,3,2,10246,9866,380,3.7,Not seasonally adjusted
Adair County,2020,January,3,1,10240,9794,446,4.4,Not seasonally adjusted
Adair County,2019,Annual Averages,1,0,10345,9945,400,3.9,Not seasonally adjusted
Adair County,2019,December,3,12,10369,10030,339,3.3,Not seasonally adjusted
Adair County,2019,November,3,11,10433,10105,328,3.1,Not seasonally adjusted
Adair County,2019,October,3,10,10442,10162,280,2.7,Not seasonally adjusted
Adair County,2019,September,3,9,10238,9938,300,2.9,Not seasonally adjusted
Adair County,2019,August,3,8,9932,9486,446,4.5,Not seasonally adjusted
Adair County,2019,July,3,7,10140,9613,527,5.2,Not seasonally adjusted
Adair County,2019,June,3,6,10318,9817,501,4.9,Not seasonally adjusted
Adair County,2019,May,3,5,10483,10067,416,4,Not seasonally adjusted
Adair County,2019,April,3,4,10523,10215,308,2.9,Not seasonally adjusted
Adair County,2019,March,3,3,10437,9964,473,4.5,Not seasonally adjusted
Adair County,2019,February,3,2,10422,10000,422,4,Not seasonally adjusted
Adair County,2019,January,3,1,10399,9939,460,4.4,Not seasonally adjusted
Andrew County,2020,May,3,5,9404,8905,499,5.3,Not seasonally adjusted
Andrew County,2020,April,3,4,9482,8907,575,6.1,Not seasonally adjusted
Andrew County,2020,March,3,3,9865,9538,327,3.3,Not seasonally adjusted
Andrew County,2020,February,3,2,9778,9452,326,3.3,Not seasonally adjusted
Andrew County,2020,January,3,1,9798,9452,346,3.5,Not seasonally adjusted
Andrew County,2019,Annual Averages,1,0,9767,9494,273,2.8,Not seasonally adjusted
Andrew County,2019,December,3,12,9789,9528,261,2.7,Not seasonally adjusted
Andrew County,2019,November,3,11,9764,9540,224,2.3,Not seasonally adjusted
Andrew County,2019,October,3,10,9843,9629,214,2.2,Not seasonally adjusted
Andrew County,2019,September,3,9,9679,9484,195,2,Not seasonally adjusted
Andrew County,2019,August,3,8,9686,9426,260,2.7,Not seasonally adjusted
Andrew County,2019,July,3,7,9941,9614,327,3.3,Not seasonally adjusted
Andrew County,2019,June,3,6,9845,9541,304,3.1,Not seasonally adjusted
Andrew County,2019,May,3,5,9707,9460,247,2.5,Not seasonally adjusted
Andrew County,2019,April,3,4,9753,9512,241,2.5,Not seasonally adjusted
Andrew County,2019,March,3,3,9744,9413,331,3.4,Not seasonally adjusted
Andrew County,2019,February,3,2,9760,9416,344,3.5,Not seasonally adjusted
Andrew County,2019,January,3,1,9691,9366,325,3.4,Not seasonally adjusted
Atchison County,2020,May,3,5,2750,2606,144,5.2,Not seasonally adjusted
Atchison County,2020,April,3,4,2850,2683,167,5.9,Not seasonally adjusted
Atchison County,2020,March,3,3,2769,2681,88,3.2,Not seasonally adjusted
Atchison County,2020,February,3,2,2716,2628,88,3.2,Not seasonally adjusted
Atchison County,2020,January,3,1,2710,2610,100,3.7,Not seasonally adjusted
Atchison County,2019,Annual Averages,1,0,2703,2603,100,3.7,Not seasonally adjusted
Atchison County,2019,December,3,12,2662,2573,89,3.3,Not seasonally adjusted
Atchison County,2019,November,3,11,2677,2596,81,3,Not seasonally adjusted
Atchison County,2019,October,3,10,2784,2712,72,2.6,Not seasonally adjusted
Atchison County,2019,September,3,9,2603,2539,64,2.5,Not seasonally adjusted
Atchison County,2019,August,3,8,2515,2408,107,4.3,Not seasonally adjusted
Atchison County,2019,July,3,7,2623,2469,154,5.9,Not seasonally adjusted
Atchison County,2019,June,3,6,2686,2546,140,5.2,Not seasonally adjusted
Atchison County,2019,May,3,5,2802,2698,104,3.7,Not seasonally adjusted
Atchison County,2019,April,3,4,2836,2727,109,3.8,Not seasonally adjusted
Atchison County,2019,March,3,3,2764,2670,94,3.4,Not seasonally adjusted
Atchison County,2019,February,3,2,2747,2652,95,3.5,Not seasonally adjusted
Atchison County,2019,January,3,1,2739,2646,93,3.4,Not seasonally adjusted
Audrain County,2020,May,3,5,10746,9634,1112,10.3,Not seasonally adjusted
Audrain County,2020,April,3,4,10904,9782,1122,10.3,Not seasonally adjusted
Audrain County,2020,March,3,3,10844,10444,400,3.7,Not seasonally adjusted
Audrain County,2020,February,3,2,10737,10308,429,4,Not seasonally adjusted
Audrain County,2020,January,3,1,10759,10308,451,4.2,Not seasonally adjusted
Audrain County,2019,Annual Averages,1,0,10697,10337,360,3.4,Not seasonally adjusted
Audrain County,2019,December,3,12,10678,10333,345,3.2,Not seasonally adjusted
Audrain County,2019,November,3,11,10678,10351,327,3.1,Not seasonally adjusted
Audrain County,2019,October,3,10,10759,10476,283,2.6,Not seasonally adjusted
Audrain County,2019,September,3,9,10529,10253,276,2.6,Not seasonally adjusted
Audrain County,2019,August,3,8,10344,9987,357,3.5,Not seasonally adjusted
Audrain County,2019,July,3,7,10659,10239,420,3.9,Not seasonally adjusted
Audrain County,2019,June,3,6,10711,10319,392,3.7,Not seasonally adjusted
Audrain County,2019,May,3,5,10841,10481,360,3.3,Not seasonally adjusted
Audrain County,2019,April,3,4,10811,10535,276,2.6,Not seasonally adjusted
Audrain County,2019,March,3,3,10794,10389,405,3.8,Not seasonally adjusted
Audrain County,2019,February,3,2,10793,10359,434,4,Not seasonally adjusted
Audrain County,2019,January,3,1,10773,10327,446,4.1,Not seasonally adjusted
Barry County,2020,May,3,5,15945,14349,1596,10,Not seasonally adjusted
Barry County,2020,April,3,4,15966,14547,1419,8.9,Not seasonally adjusted
Barry County,2020,March,3,3,16255,15401,854,5.3,Not seasonally adjusted
Barry County,2020,February,3,2,15829,15150,679,4.3,Not seasonally adjusted
Barry County,2020,January,3,1,15864,15056,808,5.1,Not seasonally adjusted
Barry County,2019,Annual Averages,1,0,15589,15044,545,3.5,Not seasonally adjusted
Barry County,2019,December,3,12,15483,14889,594,3.8,Not seasonally adjusted
Barry County,2019,November,3,11,15536,14984,552,3.6,Not seasonally adjusted
Barry County,2019,October,3,10,15719,15255,464,3,Not seasonally adjusted
Barry County,2019,September,3,9,15405,14958,447,2.9,Not seasonally adjusted
Barry County,2019,August,3,8,14912,14361,551,3.7,Not seasonally adjusted
Barry County,2019,July,3,7,15378,14804,574,3.7,Not seasonally adjusted
Barry County,2019,June,3,6,15557,15071,486,3.1,Not seasonally adjusted
Barry County,2019,May,3,5,15730,15283,447,2.8,Not seasonally adjusted
Barry County,2019,April,3,4,15798,15366,432,2.7,Not seasonally adjusted
Barry County,2019,March,3,3,15828,15138,690,4.4,Not seasonally adjusted
Barry County,2019,February,3,2,15938,15260,678,4.3,Not seasonally adjusted
Barry County,2019,January,3,1,15783,15161,622,3.9,Not seasonally adjusted
Barton County,2020,May,3,5,5169,4813,356,6.9,Not seasonally adjusted
Barton County,2020,April,3,4,5327,4875,452,8.5,Not seasonally adjusted
Barton County,2020,March,3,3,5308,5102,206,3.9,Not seasonally adjusted
Barton County,2020,February,3,2,5273,5100,173,3.3,Not seasonally adjusted
Barton County,2020,January,3,1,5335,5126,209,3.9,Not seasonally adjusted
Barton County,2019,Annual Averages,1,0,5202,5026,176,3.4,Not seasonally adjusted
Barton County,2019,December,3,12,5192,5013,179,3.4,Not seasonally adjusted
Barton County,2019,November,3,11,5193,5031,162,3.1,Not seasonally adjusted
Barton County,2019,October,3,10,5301,5167,134,2.5,Not seasonally adjusted
Barton County,2019,September,3,9,5127,4995,132,2.6,Not seasonally adjusted
Barton County,2019,August,3,8,5004,4810,194,3.9,Not seasonally adjusted
Barton County,2019,July,3,7,5084,4848,236,4.6,Not seasonally adjusted
Barton County,2019,June,3,6,5206,4996,210,4,Not seasonally adjusted
Barton County,2019,May,3,5,5332,5151,181,3.4,Not seasonally adjusted
Barton County,2019,April,3,4,5297,5156,141,2.7,Not seasonally adjusted
Barton County,2019,March,3,3,5198,5001,197,3.8,Not seasonally adjusted
Barton County,2019,February,3,2,5216,5042,174,3.3,Not seasonally adjusted
Barton County,2019,January,3,1,5273,5099,174,3.3,Not seasonally adjusted
Bates County,2020,May,3,5,7497,7005,492,6.6,Not seasonally adjusted
