"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"28","MS","Mississippi","Adams County","county",28001,"March",2020,11182,10438,744
"28","MS","Mississippi","Alcorn County","county",28003,"March",2020,16080,15365,715
"28","MS","Mississippi","Amite County","county",28005,"March",2020,4447,4162,285
"28","MS","Mississippi","Attala County","county",28007,"March",2020,7009,6593,416
"28","MS","Mississippi","Benton County","county",28009,"March",2020,3004,2834,170
"28","MS","Mississippi","Bolivar County","county",28011,"March",2020,12168,11335,833
"28","MS","Mississippi","Calhoun County","county",28013,"March",2020,5714,5405,309
"28","MS","Mississippi","Carroll County","county",28015,"March",2020,3496,3287,209
"28","MS","Mississippi","Chickasaw County","county",28017,"March",2020,6809,6460,349
"28","MS","Mississippi","Choctaw County","county",28019,"March",2020,3700,3514,186
"28","MS","Mississippi","Claiborne County","county",28021,"March",2020,2959,2687,272
"28","MS","Mississippi","Clarke County","county",28023,"March",2020,5906,5552,354
"28","MS","Mississippi","Clay County","county",28025,"March",2020,7743,7193,550
"28","MS","Mississippi","Coahoma County","county",28027,"March",2020,8294,7683,611
"28","MS","Mississippi","Copiah County","county",28029,"March",2020,10989,10341,648
"28","MS","Mississippi","Covington County","county",28031,"March",2020,8050,7682,368
"28","MS","Mississippi","DeSoto County","county",28033,"March",2020,89911,86245,3666
"28","MS","Mississippi","Forrest County","county",28035,"March",2020,33164,31638,1526
"28","MS","Mississippi","Franklin County","county",28037,"March",2020,2768,2599,169
"28","MS","Mississippi","George County","county",28039,"March",2020,8776,8226,550
"28","MS","Mississippi","Greene County","county",28041,"March",2020,4362,4060,302
"28","MS","Mississippi","Grenada County","county",28043,"March",2020,9330,8888,442
"28","MS","Mississippi","Hancock County","county",28045,"March",2020,18641,17683,958
"28","MS","Mississippi","Harrison County","county",28047,"March",2020,85611,81537,4074
"28","MS","Mississippi","Hinds County","county",28049,"March",2020,104498,99315,5183
"28","MS","Mississippi","Holmes County","county",28051,"March",2020,5679,5155,524
"28","MS","Mississippi","Humphreys County","county",28053,"March",2020,2305,2070,235
"28","MS","Mississippi","Issaquena County","county",28055,"March",2020,387,355,32
"28","MS","Mississippi","Itawamba County","county",28057,"March",2020,10503,10005,498
"28","MS","Mississippi","Jackson County","county",28059,"March",2020,57805,54652,3153
"28","MS","Mississippi","Jasper County","county",28061,"March",2020,6132,5717,415
"28","MS","Mississippi","Jefferson County","county",28063,"March",2020,1946,1702,244
"28","MS","Mississippi","Jefferson Davis County","county",28065,"March",2020,4106,3850,256
"28","MS","Mississippi","Jones County","county",28067,"March",2020,25875,24552,1323
"28","MS","Mississippi","Kemper County","county",28069,"March",2020,3570,3297,273
"28","MS","Mississippi","Lafayette County","county",28071,"March",2020,28365,27233,1132
"28","MS","Mississippi","Lamar County","county",28073,"March",2020,30673,29448,1225
"28","MS","Mississippi","Lauderdale County","county",28075,"March",2020,30095,28614,1481
"28","MS","Mississippi","Lawrence County","county",28077,"March",2020,4537,4254,283
"28","MS","Mississippi","Leake County","county",28079,"March",2020,7936,7524,412
"28","MS","Mississippi","Lee County","county",28081,"March",2020,40762,39080,1682
"28","MS","Mississippi","Leflore County","county",28083,"March",2020,9999,9304,695
"28","MS","Mississippi","Lincoln County","county",28085,"March",2020,14379,13660,719
"28","MS","Mississippi","Lowndes County","county",28087,"March",2020,25035,23792,1243
"28","MS","Mississippi","Madison County","county",28089,"March",2020,52133,49945,2188
"28","MS","Mississippi","Marion County","county",28091,"March",2020,9917,9419,498
"28","MS","Mississippi","Marshall County","county",28093,"March",2020,14268,13540,728
"28","MS","Mississippi","Monroe County","county",28095,"March",2020,15449,14679,770
"28","MS","Mississippi","Montgomery County","county",28097,"March",2020,3909,3687,222
"28","MS","Mississippi","Neshoba County","county",28099,"March",2020,10203,9621,582
"28","MS","Mississippi","Newton County","county",28101,"March",2020,8821,8369,452
"28","MS","Mississippi","Noxubee County","county",28103,"March",2020,3829,3559,270
"28","MS","Mississippi","Oktibbeha County","county",28105,"March",2020,21914,20792,1122
"28","MS","Mississippi","Panola County","county",28107,"March",2020,12331,11571,760
"28","MS","Mississippi","Pearl River County","county",28109,"March",2020,23651,22519,1132
"28","MS","Mississippi","Perry County","county",28111,"March",2020,4302,4030,272
"28","MS","Mississippi","Pike County","county",28113,"March",2020,14463,13606,857
"28","MS","Mississippi","Pontotoc County","county",28115,"March",2020,14676,14083,593
"28","MS","Mississippi","Prentiss County","county",28117,"March",2020,11270,10728,542
"28","MS","Mississippi","Quitman County","county",28119,"March",2020,2394,2227,167
"28","MS","Mississippi","Rankin County","county",28121,"March",2020,74428,71637,2791
"28","MS","Mississippi","Scott County","county",28123,"March",2020,12645,12116,529
"28","MS","Mississippi","Sharkey County","county",28125,"March",2020,1628,1501,127
"28","MS","Mississippi","Simpson County","county",28127,"March",2020,10596,10057,539
"28","MS","Mississippi","Smith County","county",28129,"March",2020,6872,6546,326
"28","MS","Mississippi","Stone County","county",28131,"March",2020,6916,6504,412
"28","MS","Mississippi","Sunflower County","county",28133,"March",2020,7787,7131,656
"28","MS","Mississippi","Tallahatchie County","county",28135,"March",2020,5308,4999,309
"28","MS","Mississippi","Tate County","county",28137,"March",2020,12256,11629,627
"28","MS","Mississippi","Tippah County","county",28139,"March",2020,9337,8905,432
"28","MS","Mississippi","Tishomingo County","county",28141,"March",2020,8576,8108,468
"28","MS","Mississippi","Tunica County","county",28143,"March",2020,4437,4181,256
"28","MS","Mississippi","Union County","county",28145,"March",2020,14286,13718,568
"28","MS","Mississippi","Walthall County","county",28147,"March",2020,4797,4474,323
"28","MS","Mississippi","Warren County","county",28149,"March",2020,19905,18878,1027
"28","MS","Mississippi","Washington County","county",28151,"March",2020,16878,15698,1180
"28","MS","Mississippi","Wayne County","county",28153,"March",2020,7513,7082,431
"28","MS","Mississippi","Webster County","county",28155,"March",2020,3955,3732,223
"28","MS","Mississippi","Wilkinson County","county",28157,"March",2020,2777,2525,252
"28","MS","Mississippi","Winston County","county",28159,"March",2020,7401,6978,423
"28","MS","Mississippi","Yalobusha County","county",28161,"March",2020,4900,4659,241
"28","MS","Mississippi","Yazoo County","county",28163,"March",2020,9337,8787,550
"28","MS","Mississippi","Adams County","county",28001,"February",2020,11150,10420,730
"28","MS","Mississippi","Alcorn County","county",28003,"February",2020,16148,15422,726
"28","MS","Mississippi","Amite County","county",28005,"February",2020,4357,4056,301
"28","MS","Mississippi","Attala County","county",28007,"February",2020,6958,6513,445
"28","MS","Mississippi","Benton County","county",28009,"February",2020,3024,2845,179
"28","MS","Mississippi","Bolivar County","county",28011,"February",2020,11978,11133,845
"28","MS","Mississippi","Calhoun County","county",28013,"February",2020,5535,5228,307
"28","MS","Mississippi","Carroll County","county",28015,"February",2020,3444,3232,212
"28","MS","Mississippi","Chickasaw County","county",28017,"February",2020,6753,6413,340
"28","MS","Mississippi","Choctaw County","county",28019,"February",2020,3646,3449,197
"28","MS","Mississippi","Claiborne County","county",28021,"February",2020,2951,2669,282
"28","MS","Mississippi","Clarke County","county",28023,"February",2020,5925,5559,366
"28","MS","Mississippi","Clay County","county",28025,"February",2020,7606,7066,540
"28","MS","Mississippi","Coahoma County","county",28027,"February",2020,8211,7549,662
"28","MS","Mississippi","Copiah County","county",28029,"February",2020,11031,10366,665
"28","MS","Mississippi","Covington County","county",28031,"February",2020,8030,7634,396
"28","MS","Mississippi","DeSoto County","county",28033,"February",2020,90466,86751,3715
"28","MS","Mississippi","Forrest County","county",28035,"February",2020,33277,31731,1546
"28","MS","Mississippi","Franklin County","county",28037,"February",2020,2736,2560,176
"28","MS","Mississippi","George County","county",28039,"February",2020,8717,8091,626
"28","MS","Mississippi","Greene County","county",28041,"February",2020,4324,3978,346
"28","MS","Mississippi","Grenada County","county",28043,"February",2020,9285,8840,445
"28","MS","Mississippi","Hancock County","county",28045,"February",2020,18743,17755,988
"28","MS","Mississippi","Harrison County","county",28047,"February",2020,86198,81992,4206
"28","MS","Mississippi","Hinds County","county",28049,"February",2020,105551,100470,5081
"28","MS","Mississippi","Holmes County","county",28051,"February",2020,5599,5081,518
"28","MS","Mississippi","Humphreys County","county",28053,"February",2020,2228,1970,258
"28","MS","Mississippi","Issaquena County","county",28055,"February",2020,365,335,30
"28","MS","Mississippi","Itawamba County","county",28057,"February",2020,10475,9985,490
"28","MS","Mississippi","Jackson County","county",28059,"February",2020,58261,54990,3271
