"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
30,"MT","Montana","Beaverhead","city",NA,"June",2020,4974,4754,220
30,"MT","Montana","Beaverhead","city",NA,"May",2020,4831,4581,250
30,"MT","Montana","Beaverhead","city",NA,"April",2020,4744,4400,344
30,"MT","Montana","Beaverhead","city",NA,"March",2020,5095,4920,175
30,"MT","Montana","Beaverhead","city",NA,"February",2020,5024,4853,171
30,"MT","Montana","Beaverhead","city",NA,"January",2020,4981,4798,183
30,"MT","Montana","Beaverhead","city",NA,"December",2019,5009,4843,166
30,"MT","Montana","Beaverhead","city",NA,"November",2019,5080,4925,155
30,"MT","Montana","Beaverhead","city",NA,"October",2019,5105,4974,131
30,"MT","Montana","Beaverhead","city",NA,"September",2019,5056,4932,124
30,"MT","Montana","Beaverhead","city",NA,"August",2019,5132,5007,125
30,"MT","Montana","Beaverhead","city",NA,"July",2019,5164,5038,126
30,"MT","Montana","Beaverhead","city",NA,"June",2019,5062,4921,141
30,"MT","Montana","Beaverhead","city",NA,"May",2019,5058,4935,123
30,"MT","Montana","Beaverhead","city",NA,"April",2019,5038,4894,144
30,"MT","Montana","Beaverhead","city",NA,"March",2019,5011,4836,175
30,"MT","Montana","Beaverhead","city",NA,"February",2019,5060,4899,161
30,"MT","Montana","Beaverhead","city",NA,"January",2019,5071,4858,213
30,"MT","Montana","Big Horn","city",NA,"June",2020,4584,4207,377
30,"MT","Montana","Big Horn","city",NA,"May",2020,4520,4099,421
30,"MT","Montana","Big Horn","city",NA,"April",2020,4362,3900,462
30,"MT","Montana","Big Horn","city",NA,"March",2020,4755,4391,364
30,"MT","Montana","Big Horn","city",NA,"February",2020,4657,4310,347
30,"MT","Montana","Big Horn","city",NA,"January",2020,4657,4318,339
30,"MT","Montana","Big Horn","city",NA,"December",2019,4740,4424,316
30,"MT","Montana","Big Horn","city",NA,"November",2019,4834,4513,321
30,"MT","Montana","Big Horn","city",NA,"October",2019,4849,4541,308
30,"MT","Montana","Big Horn","city",NA,"September",2019,4854,4546,308
