Number of Records,Region,Adjustment,area,Area,Area Type,areatype,Employed,Labor Force,Period,periodtype,Year,Period Type,Preliminary or Final,stfips,Unemployed,Unemployment Rate
1,MT,Not Adj,0,Montana,State,1,502439,526011,January,3,2019,Monthly,Final,30,23572,4.50%
1,MT,Not Adj,0,Montana,State,1,504628,526862,February,3,2019,Monthly,Final,30,22234,4.20%
1,MT,Not Adj,0,Montana,State,1,505541,527703,March,3,2019,Monthly,Final,30,22162,4.20%
1,MT,Not Adj,0,Montana,State,1,510921,528624,April,3,2019,Monthly,Final,30,17703,3.30%
1,MT,Not Adj,0,Montana,State,1,516822,532019,May,3,2019,Monthly,Final,30,15197,2.90%
1,MT,Not Adj,0,Montana,State,1,521553,539659,June,3,2019,Monthly,Final,30,18106,3.40%
1,MT,Not Adj,0,Montana,State,1,527026,543860,July,3,2019,Monthly,Final,30,16834,3.10%
1,MT,Not Adj,0,Montana,State,1,525258,542082,August,3,2019,Monthly,Final,30,16824,3.10%
1,MT,Not Adj,0,Montana,State,1,518723,534592,September,3,2019,Monthly,Final,30,15869,3.00%
1,MT,Not Adj,0,Montana,State,1,518171,535076,October,3,2019,Monthly,Final,30,16905,3.20%
1,MT,Not Adj,0,Montana,State,1,516106,534315,November,3,2019,Monthly,Final,30,18209,3.40%
1,MT,Not Adj,0,Montana,State,1,511817,531156,December,3,2019,Monthly,Final,30,19339,3.60%
1,MT,Not Adj,0,Montana,State,1,510463,534089,January,3,2020,Monthly,Final,30,23626,4.40%
1,MT,Not Adj,0,Montana,State,1,512749,535223,February,3,2020,Monthly,Final,30,22474,4.20%
1,MT,Not Adj,0,Montana,State,1,512504,535146,March,3,2020,Monthly,Final,30,22642,4.20%
1,MT,Not Adj,0,Montana,State,1,456449,518037,April,3,2020,Monthly,Final,30,61588,11.90%
1,MT,Not Adj,0,Montana,State,1,477874,522050,May,3,2020,Monthly,Preliminary,30,44176,8.50%
1,MT,Not Adj,1,Beaverhead,County,4,4858,5071,January,3,2019,Monthly,Final,30,213,4.20%
1,MT,Not Adj,1,Beaverhead,County,4,4899,5060,February,3,2019,Monthly,Final,30,161,3.20%
