"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"37","NC","North Carolina","Morrisville town","city",NA,"January","2019",15756,15250,506
"37","NC","North Carolina","Morrisville town","city",NA,"February","2019",15862,15394,468
"37","NC","North Carolina","Morrisville town","city",NA,"March","2019",15946,15500,446
"37","NC","North Carolina","Morrisville town","city",NA,"April","2019",15873,15475,398
"37","NC","North Carolina","Morrisville town","city",NA,"May","2019",15955,15501,454
"37","NC","North Carolina","Morrisville town","city",NA,"June","2019",16045,15559,486
"37","NC","North Carolina","Morrisville town","city",NA,"July","2019",16235,15727,508
"37","NC","North Carolina","Morrisville town","city",NA,"August","2019",16114,15610,504
"37","NC","North Carolina","Morrisville town","city",NA,"September","2019",16157,15723,434
"37","NC","North Carolina","Morrisville town","city",NA,"October","2019",16259,15835,424
"37","NC","North Carolina","Morrisville town","city",NA,"November","2019",16099,15715,384
"37","NC","North Carolina","Morrisville town","city",NA,"December","2019",15982,15626,356
"37","NC","North Carolina","Morrisville town","city",NA,"January","2020",16106,15653,453
"37","NC","North Carolina","Morrisville town","city",NA,"February","2020",16273,15869,404
"37","NC","North Carolina","Morrisville town","city",NA,"March","2020",15797,15335,462
"37","NC","North Carolina","Morrisville town","city",NA,"April","2020",13973,12859,1114
"37","NC","North Carolina","Alamance County","county",37001,"January","2019",81572,78024,3548
"37","NC","North Carolina","Alamance County","county",37001,"February","2019",82393,79050,3343
"37","NC","North Carolina","Alamance County","county",37001,"March","2019",82651,79408,3243
"37","NC","North Carolina","Alamance County","county",37001,"April","2019",81976,79147,2829
"37","NC","North Carolina","Alamance County","county",37001,"May","2019",82382,79241,3141
"37","NC","North Carolina","Alamance County","county",37001,"June","2019",82450,78976,3474
"37","NC","North Carolina","Alamance County","county",37001,"July","2019",83371,79733,3638
"37","NC","North Carolina","Alamance County","county",37001,"August","2019",82566,79154,3412
"37","NC","North Carolina","Alamance County","county",37001,"September","2019",82832,80042,2790
"37","NC","North Carolina","Alamance County","county",37001,"October","2019",83405,80555,2850
"37","NC","North Carolina","Alamance County","county",37001,"November","2019",82915,80149,2766
"37","NC","North Carolina","Alamance County","county",37001,"December","2019",82658,80033,2625
"37","NC","North Carolina","Alamance County","county",37001,"January","2020",82489,79307,3182
"37","NC","North Carolina","Alamance County","county",37001,"February","2020",83276,80318,2958
"37","NC","North Carolina","Alamance County","county",37001,"March","2020",81202,77849,3353
"37","NC","North Carolina","Alamance County","county",37001,"April","2020",73413,64082,9331
"37","NC","North Carolina","Alexander County","county",37003,"January","2019",18011,17339,672
"37","NC","North Carolina","Alexander County","county",37003,"February","2019",18188,17537,651
"37","NC","North Carolina","Alexander County","county",37003,"March","2019",18224,17591,633
"37","NC","North Carolina","Alexander County","county",37003,"April","2019",18143,17589,554
"37","NC","North Carolina","Alexander County","county",37003,"May","2019",18229,17604,625
"37","NC","North Carolina","Alexander County","county",37003,"June","2019",18223,17557,666
"37","NC","North Carolina","Alexander County","county",37003,"July","2019",18249,17589,660
"37","NC","North Carolina","Alexander County","county",37003,"August","2019",17987,17338,649
"37","NC","North Carolina","Alexander County","county",37003,"September","2019",18129,17595,534
"37","NC","North Carolina","Alexander County","county",37003,"October","2019",18212,17651,561
"37","NC","North Carolina","Alexander County","county",37003,"November","2019",18187,17666,521
"37","NC","North Carolina","Alexander County","county",37003,"December","2019",18128,17626,502
"37","NC","North Carolina","Alexander County","county",37003,"January","2020",18185,17588,597
"37","NC","North Carolina","Alexander County","county",37003,"February","2020",18275,17728,547
"37","NC","North Carolina","Alexander County","county",37003,"March","2020",17731,17109,622
"37","NC","North Carolina","Alexander County","county",37003,"April","2020",17388,13890,3498
"37","NC","North Carolina","Alleghany County","county",37005,"January","2019",4277,4038,239
"37","NC","North Carolina","Alleghany County","county",37005,"February","2019",4439,4213,226
"37","NC","North Carolina","Alleghany County","county",37005,"March","2019",4304,4085,219
"37","NC","North Carolina","Alleghany County","county",37005,"April","2019",4361,4160,201
"37","NC","North Carolina","Alleghany County","county",37005,"May","2019",4471,4266,205
"37","NC","North Carolina","Alleghany County","county",37005,"June","2019",4462,4238,224
"37","NC","North Carolina","Alleghany County","county",37005,"July","2019",4491,4265,226
"37","NC","North Carolina","Alleghany County","county",37005,"August","2019",4417,4200,217
"37","NC","North Carolina","Alleghany County","county",37005,"September","2019",4455,4276,179
"37","NC","North Carolina","Alleghany County","county",37005,"October","2019",4438,4242,196
"37","NC","North Carolina","Alleghany County","county",37005,"November","2019",4470,4282,188
"37","NC","North Carolina","Alleghany County","county",37005,"December","2019",4396,4199,197
"37","NC","North Carolina","Alleghany County","county",37005,"January","2020",4351,4109,242
"37","NC","North Carolina","Alleghany County","county",37005,"February","2020",4428,4199,229
"37","NC","North Carolina","Alleghany County","county",37005,"March","2020",4304,4047,257
"37","NC","North Carolina","Alleghany County","county",37005,"April","2020",4364,3904,460
"37","NC","North Carolina","Anson County","county",37007,"January","2019",10832,10293,539
"37","NC","North Carolina","Anson County","county",37007,"February","2019",10890,10393,497
"37","NC","North Carolina","Anson County","county",37007,"March","2019",10865,10415,450
"37","NC","North Carolina","Anson County","county",37007,"April","2019",10737,10335,402
"37","NC","North Carolina","Anson County","county",37007,"May","2019",10863,10431,432
"37","NC","North Carolina","Anson County","county",37007,"June","2019",10753,10286,467
"37","NC","North Carolina","Anson County","county",37007,"July","2019",10801,10312,489
"37","NC","North Carolina","Anson County","county",37007,"August","2019",10701,10228,473
"37","NC","North Carolina","Anson County","county",37007,"September","2019",10773,10359,414
"37","NC","North Carolina","Anson County","county",37007,"October","2019",10926,10505,421
"37","NC","North Carolina","Anson County","county",37007,"November","2019",10942,10511,431
"37","NC","North Carolina","Anson County","county",37007,"December","2019",10925,10507,418
"37","NC","North Carolina","Anson County","county",37007,"January","2020",11061,10528,533
"37","NC","North Carolina","Anson County","county",37007,"February","2020",11099,10606,493
"37","NC","North Carolina","Anson County","county",37007,"March","2020",10728,10190,538
"37","NC","North Carolina","Anson County","county",37007,"April","2020",10052,9226,826
"37","NC","North Carolina","Apex","city",NA,"January","2019",29139,28158,981
"37","NC","North Carolina","Apex","city",NA,"February","2019",29368,28425,943
"37","NC","North Carolina","Apex","city",NA,"March","2019",29561,28620,941
"37","NC","North Carolina","Apex","city",NA,"April","2019",29389,28575,814
"37","NC","North Carolina","Apex","city",NA,"May","2019",29485,28623,862
"37","NC","North Carolina","Apex","city",NA,"June","2019",29657,28729,928
"37","NC","North Carolina","Apex","city",NA,"July","2019",30019,29040,979
"37","NC","North Carolina","Apex","city",NA,"August","2019",29788,28823,965
"37","NC","North Carolina","Apex","city",NA,"September","2019",29834,29031,803
"37","NC","North Carolina","Apex","city",NA,"October","2019",30041,29239,802
"37","NC","North Carolina","Apex","city",NA,"November","2019",29820,29018,802
"37","NC","North Carolina","Apex","city",NA,"December","2019",29588,28853,735
"37","NC","North Carolina","Apex","city",NA,"January","2020",29843,28903,940
"37","NC","North Carolina","Apex","city",NA,"February","2020",30177,29301,876
"37","NC","North Carolina","Apex","city",NA,"March","2020",29332,28315,1017
"37","NC","North Carolina","Apex","city",NA,"April","2020",26120,23743,2377
"37","NC","North Carolina","Ashe County","county",37009,"January","2019",12625,12019,606
"37","NC","North Carolina","Ashe County","county",37009,"February","2019",12856,12275,581
"37","NC","North Carolina","Ashe County","county",37009,"March","2019",12693,12147,546
