"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"38","ND","North Dakota","Bismarck city","city",NA,"January",2020,37498,36434,1064
"38","ND","North Dakota","Fargo city","city",NA,"January",2020,69966,68222,1744
"38","ND","North Dakota","Grand Forks city","city",NA,"January",2020,31063,30425,638
"38","ND","North Dakota","Minot city","city",NA,"January",2020,22646,21999,647
"38","ND","North Dakota","West Fargo city","city",NA,"January",2020,21380,20847,533
"38","ND","North Dakota","Williston city","city",NA,"January",2020,18224,17827,397
"38","ND","North Dakota","Bismarck city","city",NA,"February",2020,37578,36505,1073
"38","ND","North Dakota","Fargo city","city",NA,"February",2020,70606,69008,1598
"38","ND","North Dakota","Grand Forks city","city",NA,"February",2020,30865,30200,665
"38","ND","North Dakota","Minot city","city",NA,"February",2020,22701,22044,657
"38","ND","North Dakota","West Fargo city","city",NA,"February",2020,21576,21087,489
"38","ND","North Dakota","Williston city","city",NA,"February",2020,18237,17843,394
"38","ND","North Dakota","Bismarck city","city",NA,"March",2020,37498,36489,1009
"38","ND","North Dakota","Fargo city","city",NA,"March",2020,70597,68979,1618
"38","ND","North Dakota","Grand Forks city","city",NA,"March",2020,30838,30150,688
"38","ND","North Dakota","Minot city","city",NA,"March",2020,22996,22364,632
"38","ND","North Dakota","West Fargo city","city",NA,"March",2020,21537,21078,459
"38","ND","North Dakota","Williston city","city",NA,"March",2020,17802,17403,399
"38","ND","North Dakota","Bismarck city","city",NA,"April",2020,37512,33815,3697
"38","ND","North Dakota","Fargo city","city",NA,"April",2020,71431,64593,6838
"38","ND","North Dakota","Grand Forks city","city",NA,"April",2020,31004,28065,2939
"38","ND","North Dakota","Minot city","city",NA,"April",2020,23517,21002,2515
"38","ND","North Dakota","West Fargo city","city",NA,"April",2020,21633,19738,1895
"38","ND","North Dakota","Williston city","city",NA,"April",2020,18482,16309,2173
"38","ND","North Dakota","Bismarck city","city",NA,"May",2020,37187,34169,3018
"38","ND","North Dakota","Fargo city","city",NA,"May",2020,71869,65814,6055
"38","ND","North Dakota","Grand Forks city","city",NA,"May",2020,30814,28079,2735
"38","ND","North Dakota","Minot city","city",NA,"May",2020,23507,21000,2507
