Area,Time Period,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
Bismarck city,"January, 2020","37,498","36,434","1,064",2.80%,No
Fargo city,"January, 2020","69,966","68,222","1,744",2.50%,No
Grand Forks city,"January, 2020","31,063","30,425",638,2.10%,No
Minot city,"January, 2020","22,646","21,999",647,2.90%,No
West Fargo city,"January, 2020","21,380","20,847",533,2.50%,No
Williston city,"January, 2020","18,224","17,827",397,2.20%,No
Bismarck city,"February, 2020","37,578","36,505","1,073",2.90%,No
Fargo city,"February, 2020","70,606","69,008","1,598",2.30%,No
Grand Forks city,"February, 2020","30,865","30,200",665,2.20%,No
Minot city,"February, 2020","22,701","22,044",657,2.90%,No
West Fargo city,"February, 2020","21,576","21,087",489,2.30%,No
Williston city,"February, 2020","18,237","17,843",394,2.20%,No
Bismarck city,"March, 2020","37,498","36,489","1,009",2.70%,No
Fargo city,"March, 2020","70,597","68,979","1,618",2.30%,No
Grand Forks city,"March, 2020","30,838","30,150",688,2.20%,No
Minot city,"March, 2020","22,996","22,364",632,2.70%,No
West Fargo city,"March, 2020","21,537","21,078",459,2.10%,No
Williston city,"March, 2020","17,802","17,403",399,2.20%,No
Bismarck city,"April, 2020","37,512","33,815","3,697",9.90%,No
Fargo city,"April, 2020","71,431","64,593","6,838",9.60%,No
Grand Forks city,"April, 2020","31,004","28,065","2,939",9.50%,No
Minot city,"April, 2020","23,517","21,002","2,515",10.70%,No
West Fargo city,"April, 2020","21,633","19,738","1,895",8.80%,No
Williston city,"April, 2020","18,482","16,309","2,173",11.80%,No
Bismarck city,"May, 2020","37,187","34,169","3,018",8.10%,Yes
Fargo city,"May, 2020","71,869","65,814","6,055",8.40%,Yes
Grand Forks city,"May, 2020","30,814","28,079","2,735",8.90%,Yes
Minot city,"May, 2020","23,507","21,000","2,507",10.70%,Yes
West Fargo city,"May, 2020","21,616","20,111","1,505",7.00%,Yes
Williston city,"May, 2020","19,405","16,327","3,078",15.90%,Yes
Adams County,"January, 2020","1,046","1,018",28,2.70%,No
Barnes County,"January, 2020","5,095","4,952",143,2.80%,No
Benson County,"January, 2020","2,301","2,194",107,4.70%,No
Billings County,"January, 2020",352,340,12,3.40%,No
Bottineau County,"January, 2020","2,828","2,722",106,3.70%,No
Bowman County,"January, 2020","1,675","1,642",33,2.00%,No
Burke County,"January, 2020","1,039","1,005",34,3.30%,No
Burleigh County,"January, 2020","49,079","47,676","1,403",2.90%,No
Cass County,"January, 2020","102,111","99,549","2,562",2.50%,No
Cavalier County,"January, 2020","1,837","1,780",57,3.10%,No
Dickey County,"January, 2020","2,230","2,185",45,2.00%,No
Divide County,"January, 2020","1,344","1,323",21,1.60%,No
Dunn County,"January, 2020","3,123","3,075",48,1.50%,No
Eddy County,"January, 2020","1,179","1,121",58,4.90%,No
Emmons County,"January, 2020","1,417","1,332",85,6.00%,No
Foster County,"January, 2020","1,448","1,400",48,3.30%,No
Golden Valley County,"January, 2020",804,790,14,1.70%,No
Grand Forks County,"January, 2020","37,330","36,498",832,2.20%,No
Adams County,"February, 2020","1,059","1,027",32,3.00%,No
Barnes County,"February, 2020","5,148","5,013",135,2.60%,No
Benson County,"February, 2020","2,293","2,187",106,4.60%,No
Billings County,"February, 2020",351,341,10,2.80%,No
Bottineau County,"February, 2020","2,841","2,721",120,4.20%,No
Bowman County,"February, 2020","1,694","1,661",33,1.90%,No
Burke County,"February, 2020","1,037","1,007",30,2.90%,No
Burleigh County,"February, 2020","49,182","47,770","1,412",2.90%,No
Cass County,"February, 2020","103,043","100,696","2,347",2.30%,No
Cavalier County,"February, 2020","1,837","1,774",63,3.40%,No
Dickey County,"February, 2020","2,234","2,190",44,2.00%,No
Divide County,"February, 2020","1,345","1,326",19,1.40%,No
Dunn County,"February, 2020","3,137","3,083",54,1.70%,No
Eddy County,"February, 2020","1,180","1,125",55,4.70%,No
Emmons County,"February, 2020","1,414","1,332",82,5.80%,No
Foster County,"February, 2020","1,442","1,399",43,3.00%,No
Golden Valley County,"February, 2020",811,794,17,2.10%,No
Grand Forks County,"February, 2020","37,090","36,228",862,2.30%,No
Adams County,"March, 2020","1,059","1,033",26,2.50%,No
Barnes County,"March, 2020","5,152","5,024",128,2.50%,No
Benson County,"March, 2020","2,340","2,227",113,4.80%,No
Billings County,"March, 2020",370,359,11,3.00%,No
Bottineau County,"March, 2020","2,878","2,757",121,4.20%,No
Bowman County,"March, 2020","1,616","1,585",31,1.90%,No
Burke County,"March, 2020","1,040","1,006",34,3.30%,No
Burleigh County,"March, 2020","49,057","47,748","1,309",2.70%,No
Cass County,"March, 2020","102,982","100,654","2,328",2.30%,No
Cavalier County,"March, 2020","1,892","1,834",58,3.10%,No
Dickey County,"March, 2020","2,287","2,246",41,1.80%,No
Divide County,"March, 2020","1,381","1,364",17,1.20%,No
Dunn County,"March, 2020","3,352","3,300",52,1.60%,No
Eddy County,"March, 2020","1,222","1,169",53,4.30%,No
Emmons County,"March, 2020","1,452","1,370",82,5.60%,No
Foster County,"March, 2020","1,491","1,446",45,3.00%,No
Golden Valley County,"March, 2020",837,823,14,1.70%,No
Grand Forks County,"March, 2020","37,068","36,169",899,2.40%,No
Adams County,"April, 2020","1,029",977,52,5.10%,No
Barnes County,"April, 2020","5,125","4,756",369,7.20%,No
Benson County,"April, 2020","2,409","2,124",285,11.80%,No
Billings County,"April, 2020",363,341,22,6.10%,No
Bottineau County,"April, 2020","2,871","2,610",261,9.10%,No
Bowman County,"April, 2020","1,606","1,497",109,6.80%,No
Burke County,"April, 2020","1,050",960,90,8.60%,No
Burleigh County,"April, 2020","48,795","44,249","4,546",9.30%,No
Cass County,"April, 2020","103,756","94,254","9,502",9.20%,No
Cavalier County,"April, 2020","1,870","1,762",108,5.80%,No
Dickey County,"April, 2020","2,362","2,131",231,9.80%,No
Divide County,"April, 2020","1,377","1,303",74,5.40%,No
Dunn County,"April, 2020","3,285","3,129",156,4.70%,No
Eddy County,"April, 2020","1,210","1,119",91,7.50%,No
Emmons County,"April, 2020","1,422","1,309",113,7.90%,No
Foster County,"April, 2020","1,464","1,370",94,6.40%,No
Golden Valley County,"April, 2020",823,785,38,4.60%,No
Grand Forks County,"April, 2020","37,084","33,667","3,417",9.20%,No
Adams County,"May, 2020","1,009",961,48,4.80%,Yes
Barnes County,"May, 2020","4,976","4,665",311,6.30%,Yes
Benson County,"May, 2020","2,375","2,091",284,12.00%,Yes
Billings County,"May, 2020",356,333,23,6.50%,Yes
Bottineau County,"May, 2020","2,815","2,588",227,8.10%,Yes
Bowman County,"May, 2020","1,572","1,485",87,5.50%,Yes
Burke County,"May, 2020","1,038",949,89,8.60%,Yes
Burleigh County,"May, 2020","48,450","44,712","3,738",7.70%,Yes
Cass County,"May, 2020","104,158","96,035","8,123",7.80%,Yes
Cavalier County,"May, 2020","1,828","1,724",104,5.70%,Yes
Dickey County,"May, 2020","2,221","2,105",116,5.20%,Yes
Divide County,"May, 2020","1,340","1,277",63,4.70%,Yes
Dunn County,"May, 2020","3,312","3,093",219,6.60%,Yes
Eddy County,"May, 2020","1,178","1,097",81,6.90%,Yes
Emmons County,"May, 2020","1,376","1,279",97,7.00%,Yes
Foster County,"May, 2020","1,429","1,352",77,5.40%,Yes
Golden Valley County,"May, 2020",805,766,39,4.80%,Yes
