"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"31","NE","Nebraska","Adams County","county",31001,"May",2020,17629,16765,864
"31","NE","Nebraska","Antelope County","county",31003,"May",2020,3717,3642,75
"31","NE","Nebraska","Arthur County","county",31005,"May",2020,228,220,8
"31","NE","Nebraska","Banner County","county",31007,"May",2020,387,376,11
"31","NE","Nebraska","Blaine County","county",31009,"May",2020,258,253,5
"31","NE","Nebraska","Boone County","county",31011,"May",2020,3038,2968,70
"31","NE","Nebraska","Box Butte County","county",31013,"May",2020,5662,5368,294
"31","NE","Nebraska","Boyd County","county",31015,"May",2020,1110,1080,30
"31","NE","Nebraska","Brown County","county",31017,"May",2020,1443,1408,35
"31","NE","Nebraska","Buffalo County","county",31019,"May",2020,29484,27769,1715
"31","NE","Nebraska","Burt County","county",31021,"May",2020,3599,3466,133
"31","NE","Nebraska","Butler County","county",31023,"May",2020,4774,4577,197
"31","NE","Nebraska","Cass County","county",31025,"May",2020,13531,12859,672
"31","NE","Nebraska","Cedar County","county",31027,"May",2020,4645,4522,123
"31","NE","Nebraska","Chase County","county",31029,"May",2020,2343,2305,38
"31","NE","Nebraska","Cherry County","county",31031,"May",2020,3442,3359,83
"31","NE","Nebraska","Cheyenne County","county",31033,"May",2020,4457,4248,209
"31","NE","Nebraska","Clay County","county",31035,"May",2020,3407,3289,118
"31","NE","Nebraska","Colfax County","county",31037,"May",2020,5821,5611,210
"31","NE","Nebraska","Cuming County","county",31039,"May",2020,4968,4836,132
"31","NE","Nebraska","Custer County","county",31041,"May",2020,6607,6441,166
"31","NE","Nebraska","Dakota County","county",31043,"May",2020,10899,10306,593
"31","NE","Nebraska","Dawes County","county",31045,"May",2020,5073,4931,142
"31","NE","Nebraska","Dawson County","county",31047,"May",2020,13651,13108,543
"31","NE","Nebraska","Deuel County","county",31049,"May",2020,990,962,28
"31","NE","Nebraska","Dixon County","county",31051,"May",2020,3035,2923,112
"31","NE","Nebraska","Dodge County","county",31053,"May",2020,20659,19884,775
"31","NE","Nebraska","Douglas County","county",31055,"May",2020,303194,284080,19114
"31","NE","Nebraska","Dundy County","county",31057,"May",2020,1186,1165,21
"31","NE","Nebraska","Fillmore County","county",31059,"May",2020,3275,3167,108
"31","NE","Nebraska","Franklin County","county",31061,"May",2020,1527,1476,51
"31","NE","Nebraska","Frontier County","county",31063,"May",2020,1579,1537,42
"31","NE","Nebraska","Furnas County","county",31065,"May",2020,2643,2568,75
"31","NE","Nebraska","Gage County","county",31067,"May",2020,11309,10840,469
"31","NE","Nebraska","Garden County","county",31069,"May",2020,1093,1054,39
"31","NE","Nebraska","Garfield County","county",31071,"May",2020,1150,1128,22
"31","NE","Nebraska","Gosper County","county",31073,"May",2020,1140,1104,36
"31","NE","Nebraska","Grant County","county",31075,"May",2020,418,412,6
"31","NE","Nebraska","Greeley County","county",31077,"May",2020,1268,1230,38
"31","NE","Nebraska","Hall County","county",31079,"May",2020,32659,29970,2689
"31","NE","Nebraska","Hamilton County","county",31081,"May",2020,4718,4508,210
"31","NE","Nebraska","Harlan County","county",31083,"May",2020,1893,1826,67
"31","NE","Nebraska","Hayes County","county",31085,"May",2020,633,623,10
"31","NE","Nebraska","Hitchcock County","county",31087,"May",2020,1297,1257,40
"31","NE","Nebraska","Holt County","county",31089,"May",2020,5923,5781,142
"31","NE","Nebraska","Hooker County","county",31091,"May",2020,388,377,11
"31","NE","Nebraska","Howard County","county",31093,"May",2020,3361,3166,195
"31","NE","Nebraska","Jefferson County","county",31095,"May",2020,4333,4201,132
"31","NE","Nebraska","Johnson County","county",31097,"May",2020,2115,2034,81
"31","NE","Nebraska","Kearney County","county",31099,"May",2020,3994,3840,154
"31","NE","Nebraska","Keith County","county",31101,"May",2020,4739,4575,164
"31","NE","Nebraska","Keya Paha County","county",31103,"May",2020,599,591,8
"31","NE","Nebraska","Kimball County","county",31105,"May",2020,2061,1988,73
"31","NE","Nebraska","Knox County","county",31107,"May",2020,4777,4646,131
"31","NE","Nebraska","Lancaster County","county",31109,"May",2020,179740,170776,8964
"31","NE","Nebraska","Lincoln County","county",31111,"May",2020,19315,18394,921
"31","NE","Nebraska","Logan County","county",31113,"May",2020,479,464,15
"31","NE","Nebraska","Loup County","county",31115,"May",2020,407,399,8
"31","NE","Nebraska","Madison County","county",31119,"May",2020,20675,19913,762
"31","NE","Nebraska","McPherson County","county",31117,"May",2020,457,446,11
"31","NE","Nebraska","Merrick County","county",31121,"May",2020,3995,3788,207
"31","NE","Nebraska","Morrill County","county",31123,"May",2020,2727,2622,105
"31","NE","Nebraska","Nance County","county",31125,"May",2020,2070,1994,76
"31","NE","Nebraska","Nemaha County","county",31127,"May",2020,3690,3545,145
"31","NE","Nebraska","Nuckolls County","county",31129,"May",2020,2431,2378,53
"31","NE","Nebraska","Otoe County","county",31131,"May",2020,8611,8281,330
"31","NE","Nebraska","Pawnee County","county",31133,"May",2020,1522,1479,43
"31","NE","Nebraska","Perkins County","county",31135,"May",2020,1863,1832,31
"31","NE","Nebraska","Phelps County","county",31137,"May",2020,5162,4979,183
"31","NE","Nebraska","Pierce County","county",31139,"May",2020,4243,4130,113
"31","NE","Nebraska","Platte County","county",31141,"May",2020,18557,17591,966
"31","NE","Nebraska","Polk County","county",31143,"May",2020,3051,2939,112
"31","NE","Nebraska","Red Willow County","county",31145,"May",2020,6072,5859,213
"31","NE","Nebraska","Richardson County","county",31147,"May",2020,4373,4249,124
"31","NE","Nebraska","Rock County","county",31149,"May",2020,896,877,19
"31","NE","Nebraska","Saline County","county",31151,"May",2020,7642,7342,300
"31","NE","Nebraska","Sarpy County","county",31153,"May",2020,96985,91955,5030
"31","NE","Nebraska","Saunders County","county",31155,"May",2020,11072,10642,430
"31","NE","Nebraska","Scotts Bluff County","county",31157,"May",2020,18760,17936,824
"31","NE","Nebraska","Seward County","county",31159,"May",2020,9033,8589,444
"31","NE","Nebraska","Sheridan County","county",31161,"May",2020,2674,2620,54
"31","NE","Nebraska","Sherman County","county",31163,"May",2020,1692,1635,57
"31","NE","Nebraska","Sioux County","county",31165,"May",2020,744,732,12
"31","NE","Nebraska","Stanton County","county",31167,"May",2020,3638,3522,116
"31","NE","Nebraska","Thayer County","county",31169,"May",2020,2827,2757,70
"31","NE","Nebraska","Thomas County","county",31171,"May",2020,431,418,13
"31","NE","Nebraska","Thurston County","county",31173,"May",2020,3264,3048,216
"31","NE","Nebraska","Valley County","county",31175,"May",2020,2230,2167,63
"31","NE","Nebraska","Washington County","county",31177,"May",2020,11199,10741,458
"31","NE","Nebraska","Wayne County","county",31179,"May",2020,5831,5661,170
"31","NE","Nebraska","Webster County","county",31181,"May",2020,1731,1661,70
"31","NE","Nebraska","Wheeler County","county",31183,"May",2020,566,555,11
"31","NE","Nebraska","York County","county",31185,"May",2020,7622,7311,311
"31","NE","Nebraska","Adams County","county",31001,"April",2020,17588,16127,1461
"31","NE","Nebraska","Antelope County","county",31003,"April",2020,3769,3641,128
"31","NE","Nebraska","Arthur County","county",31005,"April",2020,244,227,17
"31","NE","Nebraska","Banner County","county",31007,"April",2020,402,382,20
"31","NE","Nebraska","Blaine County","county",31009,"April",2020,273,265,8
"31","NE","Nebraska","Boone County","county",31011,"April",2020,3075,2961,114
"31","NE","Nebraska","Box Butte County","county",31013,"April",2020,5606,5175,431
"31","NE","Nebraska","Boyd County","county",31015,"April",2020,1143,1092,51
"31","NE","Nebraska","Brown County","county",31017,"April",2020,1443,1395,48
"31","NE","Nebraska","Buffalo County","county",31019,"April",2020,29859,26911,2948
"31","NE","Nebraska","Burt County","county",31021,"April",2020,3609,3387,222
"31","NE","Nebraska","Butler County","county",31023,"April",2020,4826,4504,322
"31","NE","Nebraska","Cass County","county",31025,"April",2020,13535,12391,1144
"31","NE","Nebraska","Cedar County","county",31027,"April",2020,4658,4410,248
"31","NE","Nebraska","Chase County","county",31029,"April",2020,2347,2292,55
"31","NE","Nebraska","Cherry County","county",31031,"April",2020,3475,3331,144
"31","NE","Nebraska","Cheyenne County","county",31033,"April",2020,4498,4131,367
"31","NE","Nebraska","Clay County","county",31035,"April",2020,3444,3234,210
"31","NE","Nebraska","Colfax County","county",31037,"April",2020,5687,5429,258
"31","NE","Nebraska","Cuming County","county",31039,"April",2020,4952,4737,215
"31","NE","Nebraska","Custer County","county",31041,"April",2020,6580,6301,279
"31","NE","Nebraska","Dakota County","county",31043,"April",2020,10657,9832,825
"31","NE","Nebraska","Dawes County","county",31045,"April",2020,5021,4797,224
"31","NE","Nebraska","Dawson County","county",31047,"April",2020,13508,12764,744
"31","NE","Nebraska","Deuel County","county",31049,"April",2020,994,941,53
"31","NE","Nebraska","Dixon County","county",31051,"April",2020,3056,2870,186
"31","NE","Nebraska","Dodge County","county",31053,"April",2020,20480,19091,1389
"31","NE","Nebraska","Douglas County","county",31055,"April",2020,304076,272165,31911
"31","NE","Nebraska","Dundy County","county",31057,"April",2020,1222,1189,33
"31","NE","Nebraska","Fillmore County","county",31059,"April",2020,3280,3122,158
"31","NE","Nebraska","Franklin County","county",31061,"April",2020,1551,1469,82
"31","NE","Nebraska","Frontier County","county",31063,"April",2020,1613,1553,60
"31","NE","Nebraska","Furnas County","county",31065,"April",2020,2687,2549,138
"31","NE","Nebraska","Gage County","county",31067,"April",2020,11554,10476,1078
"31","NE","Nebraska","Garden County","county",31069,"April",2020,1105,1043,62
"31","NE","Nebraska","Garfield County","county",31071,"April",2020,1131,1097,34
"31","NE","Nebraska","Gosper County","county",31073,"April",2020,1103,1054,49
"31","NE","Nebraska","Grant County","county",31075,"April",2020,435,425,10
"31","NE","Nebraska","Greeley County","county",31077,"April",2020,1280,1217,63
"31","NE","Nebraska","Hall County","county",31079,"April",2020,33108,29157,3951
"31","NE","Nebraska","Hamilton County","county",31081,"April",2020,4816,4461,355
"31","NE","Nebraska","Harlan County","county",31083,"April",2020,1832,1753,79
"31","NE","Nebraska","Hayes County","county",31085,"April",2020,651,634,17
"31","NE","Nebraska","Hitchcock County","county",31087,"April",2020,1286,1223,63
"31","NE","Nebraska","Holt County","county",31089,"April",2020,5942,5704,238
"31","NE","Nebraska","Hooker County","county",31091,"April",2020,388,368,20
"31","NE","Nebraska","Howard County","county",31093,"April",2020,3484,3130,354
"31","NE","Nebraska","Jefferson County","county",31095,"April",2020,4277,4073,204
"31","NE","Nebraska","Johnson County","county",31097,"April",2020,2132,1990,142
"31","NE","Nebraska","Kearney County","county",31099,"April",2020,4028,3751,277
"31","NE","Nebraska","Keith County","county",31101,"April",2020,4677,4376,301
"31","NE","Nebraska","Keya Paha County","county",31103,"April",2020,630,612,18
"31","NE","Nebraska","Kimball County","county",31105,"April",2020,2026,1933,93
"31","NE","Nebraska","Knox County","county",31107,"April",2020,4787,4563,224
"31","NE","Nebraska","Lancaster County","county",31109,"April",2020,180731,163826,16905
"31","NE","Nebraska","Lincoln County","county",31111,"April",2020,19034,17598,1436
"31","NE","Nebraska","Logan County","county",31113,"April",2020,502,473,29
"31","NE","Nebraska","Loup County","county",31115,"April",2020,419,407,12
"31","NE","Nebraska","Madison County","county",31119,"April",2020,20495,19195,1300
"31","NE","Nebraska","McPherson County","county",31117,"April",2020,456,439,17
"31","NE","Nebraska","Merrick County","county",31121,"April",2020,4113,3751,362
"31","NE","Nebraska","Morrill County","county",31123,"April",2020,2718,2570,148
"31","NE","Nebraska","Nance County","county",31125,"April",2020,2066,1955,111
"31","NE","Nebraska","Nemaha County","county",31127,"April",2020,3704,3481,223
"31","NE","Nebraska","Nuckolls County","county",31129,"April",2020,2457,2357,100
"31","NE","Nebraska","Otoe County","county",31131,"April",2020,8604,8007,597
"31","NE","Nebraska","Pawnee County","county",31133,"April",2020,1530,1459,71
"31","NE","Nebraska","Perkins County","county",31135,"April",2020,1876,1832,44
"31","NE","Nebraska","Phelps County","county",31137,"April",2020,5148,4863,285
"31","NE","Nebraska","Pierce County","county",31139,"April",2020,4217,4013,204
"31","NE","Nebraska","Platte County","county",31141,"April",2020,18565,17021,1544
"31","NE","Nebraska","Polk County","county",31143,"April",2020,3099,2918,181
"31","NE","Nebraska","Red Willow County","county",31145,"April",2020,5966,5669,297
"31","NE","Nebraska","Richardson County","county",31147,"April",2020,4355,4122,233
"31","NE","Nebraska","Rock County","county",31149,"April",2020,914,877,37
"31","NE","Nebraska","Saline County","county",31151,"April",2020,7604,7140,464
"31","NE","Nebraska","Sarpy County","county",31153,"April",2020,96954,88105,8849
"31","NE","Nebraska","Saunders County","county",31155,"April",2020,11148,10290,858
"31","NE","Nebraska","Scotts Bluff County","county",31157,"April",2020,18618,17233,1385
"31","NE","Nebraska","Seward County","county",31159,"April",2020,9111,8364,747
"31","NE","Nebraska","Sheridan County","county",31161,"April",2020,2700,2612,88
"31","NE","Nebraska","Sherman County","county",31163,"April",2020,1724,1624,100
"31","NE","Nebraska","Sioux County","county",31165,"April",2020,780,747,33
"31","NE","Nebraska","Stanton County","county",31167,"April",2020,3618,3423,195
"31","NE","Nebraska","Thayer County","county",31169,"April",2020,2888,2738,150
"31","NE","Nebraska","Thomas County","county",31171,"April",2020,429,417,12
"31","NE","Nebraska","Thurston County","county",31173,"April",2020,3289,2968,321
"31","NE","Nebraska","Valley County","county",31175,"April",2020,2238,2117,121
"31","NE","Nebraska","Washington County","county",31177,"April",2020,11160,10372,788
"31","NE","Nebraska","Wayne County","county",31179,"April",2020,5875,5604,271
"31","NE","Nebraska","Webster County","county",31181,"April",2020,1759,1650,109
"31","NE","Nebraska","Wheeler County","county",31183,"April",2020,616,597,19
"31","NE","Nebraska","York County","county",31185,"April",2020,7591,7123,468
"31","NE","Nebraska","Adams County","county",31001,"March",2020,16954,16223,731
"31","NE","Nebraska","Antelope County","county",31003,"March",2020,3705,3578,127
"31","NE","Nebraska","Arthur County","county",31005,"March",2020,243,227,16
"31","NE","Nebraska","Banner County","county",31007,"March",2020,403,385,18
"31","NE","Nebraska","Blaine County","county",31009,"March",2020,285,267,18
"31","NE","Nebraska","Boone County","county",31011,"March",2020,3082,2973,109
"31","NE","Nebraska","Box Butte County","county",31013,"March",2020,5445,5190,255
"31","NE","Nebraska","Boyd County","county",31015,"March",2020,1147,1103,44
"31","NE","Nebraska","Brown County","county",31017,"March",2020,1436,1376,60
"31","NE","Nebraska","Buffalo County","county",31019,"March",2020,27863,26859,1004
"31","NE","Nebraska","Burt County","county",31021,"March",2020,3559,3372,187
"31","NE","Nebraska","Butler County","county",31023,"March",2020,4636,4443,193
"31","NE","Nebraska","Cass County","county",31025,"March",2020,13966,13280,686
"31","NE","Nebraska","Cedar County","county",31027,"March",2020,4643,4474,169
"31","NE","Nebraska","Chase County","county",31029,"March",2020,2389,2318,71
"31","NE","Nebraska","Cherry County","county",31031,"March",2020,3499,3384,115
"31","NE","Nebraska","Cheyenne County","county",31033,"March",2020,4368,4153,215
"31","NE","Nebraska","Clay County","county",31035,"March",2020,3402,3255,147
"31","NE","Nebraska","Colfax County","county",31037,"March",2020,5676,5476,200
"31","NE","Nebraska","Cuming County","county",31039,"March",2020,4826,4646,180
"31","NE","Nebraska","Custer County","county",31041,"March",2020,6627,6414,213
"31","NE","Nebraska","Dakota County","county",31043,"March",2020,10995,10384,611
"31","NE","Nebraska","Dawes County","county",31045,"March",2020,5052,4865,187
"31","NE","Nebraska","Dawson County","county",31047,"March",2020,13425,12899,526
"31","NE","Nebraska","Deuel County","county",31049,"March",2020,983,941,42
"31","NE","Nebraska","Dixon County","county",31051,"March",2020,3151,3007,144
"31","NE","Nebraska","Dodge County","county",31053,"March",2020,19899,19057,842
"31","NE","Nebraska","Douglas County","county",31055,"March",2020,306479,292228,14251
"31","NE","Nebraska","Dundy County","county",31057,"March",2020,1238,1198,40
"31","NE","Nebraska","Fillmore County","county",31059,"March",2020,3222,3104,118
"31","NE","Nebraska","Franklin County","county",31061,"March",2020,1511,1451,60
"31","NE","Nebraska","Frontier County","county",31063,"March",2020,1706,1628,78
"31","NE","Nebraska","Furnas County","county",31065,"March",2020,2642,2542,100
"31","NE","Nebraska","Gage County","county",31067,"March",2020,11271,10749,522
"31","NE","Nebraska","Garden County","county",31069,"March",2020,1131,1069,62
"31","NE","Nebraska","Garfield County","county",31071,"March",2020,1180,1140,40
"31","NE","Nebraska","Gosper County","county",31073,"March",2020,1127,1089,38
"31","NE","Nebraska","Grant County","county",31075,"March",2020,452,439,13
"31","NE","Nebraska","Greeley County","county",31077,"March",2020,1284,1231,53
"31","NE","Nebraska","Hall County","county",31079,"March",2020,32165,30601,1564
"31","NE","Nebraska","Hamilton County","county",31081,"March",2020,4870,4663,207
"31","NE","Nebraska","Harlan County","county",31083,"March",2020,1838,1760,78
"31","NE","Nebraska","Hayes County","county",31085,"March",2020,659,635,24
"31","NE","Nebraska","Hitchcock County","county",31087,"March",2020,1304,1244,60
"31","NE","Nebraska","Holt County","county",31089,"March",2020,5991,5793,198
"31","NE","Nebraska","Hooker County","county",31091,"March",2020,403,385,18
"31","NE","Nebraska","Howard County","county",31093,"March",2020,3410,3270,140
"31","NE","Nebraska","Jefferson County","county",31095,"March",2020,4273,4126,147
"31","NE","Nebraska","Johnson County","county",31097,"March",2020,2126,2026,100
"31","NE","Nebraska","Kearney County","county",31099,"March",2020,3899,3772,127
"31","NE","Nebraska","Keith County","county",31101,"March",2020,4577,4393,184
"31","NE","Nebraska","Keya Paha County","county",31103,"March",2020,648,628,20
"31","NE","Nebraska","Kimball County","county",31105,"March",2020,2061,1974,87
"31","NE","Nebraska","Knox County","county",31107,"March",2020,4789,4589,200
"31","NE","Nebraska","Lancaster County","county",31109,"March",2020,182330,175602,6728
"31","NE","Nebraska","Lincoln County","county",31111,"March",2020,18580,17756,824
"31","NE","Nebraska","Logan County","county",31113,"March",2020,497,479,18
"31","NE","Nebraska","Loup County","county",31115,"March",2020,433,413,20
"31","NE","Nebraska","Madison County","county",31119,"March",2020,20095,19289,806
"31","NE","Nebraska","McPherson County","county",31117,"March",2020,465,445,20
"31","NE","Nebraska","Merrick County","county",31121,"March",2020,4067,3918,149
"31","NE","Nebraska","Morrill County","county",31123,"March",2020,2722,2598,124
"31","NE","Nebraska","Nance County","county",31125,"March",2020,2051,1967,84
"31","NE","Nebraska","Nemaha County","county",31127,"March",2020,3713,3555,158
"31","NE","Nebraska","Nuckolls County","county",31129,"March",2020,2520,2413,107
"31","NE","Nebraska","Otoe County","county",31131,"March",2020,8674,8319,355
"31","NE","Nebraska","Pawnee County","county",31133,"March",2020,1528,1475,53
"31","NE","Nebraska","Perkins County","county",31135,"March",2020,1885,1829,56
"31","NE","Nebraska","Phelps County","county",31137,"March",2020,5134,4970,164
"31","NE","Nebraska","Pierce County","county",31139,"March",2020,4179,4024,155
"31","NE","Nebraska","Platte County","county",31141,"March",2020,17991,17307,684
"31","NE","Nebraska","Polk County","county",31143,"March",2020,3048,2933,115
"31","NE","Nebraska","Red Willow County","county",31145,"March",2020,5985,5765,220
"31","NE","Nebraska","Richardson County","county",31147,"March",2020,4350,4175,175
"31","NE","Nebraska","Rock County","county",31149,"March",2020,922,891,31
"31","NE","Nebraska","Saline County","county",31151,"March",2020,7627,7263,364
"31","NE","Nebraska","Sarpy County","county",31153,"March",2020,98595,94579,4016
"31","NE","Nebraska","Saunders County","county",31155,"March",2020,11475,11024,451
