Period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
May,Adams County,"17,629","16,765",864,4.9%,Yes
May,Antelope County,"3,717","3,642",75,2.0%,Yes
May,Arthur County,228,220,8,3.5%,Yes
May,Banner County,387,376,11,2.8%,Yes
May,Blaine County,258,253,5,1.9%,Yes
May,Boone County,"3,038","2,968",70,2.3%,Yes
May,Box Butte County,"5,662","5,368",294,5.2%,Yes
May,Boyd County,"1,110","1,080",30,2.7%,Yes
May,Brown County,"1,443","1,408",35,2.4%,Yes
May,Buffalo County,"29,484","27,769","1,715",5.8%,Yes
May,Burt County,"3,599","3,466",133,3.7%,Yes
May,Butler County,"4,774","4,577",197,4.1%,Yes
May,Cass County,"13,531","12,859",672,5.0%,Yes
May,Cedar County,"4,645","4,522",123,2.6%,Yes
May,Chase County,"2,343","2,305",38,1.6%,Yes
May,Cherry County,"3,442","3,359",83,2.4%,Yes
May,Cheyenne County,"4,457","4,248",209,4.7%,Yes
May,Clay County,"3,407","3,289",118,3.5%,Yes
May,Colfax County,"5,821","5,611",210,3.6%,Yes
May,Cuming County,"4,968","4,836",132,2.7%,Yes
May,Custer County,"6,607","6,441",166,2.5%,Yes
May,Dakota County,"10,899","10,306",593,5.4%,Yes
May,Dawes County,"5,073","4,931",142,2.8%,Yes
May,Dawson County,"13,651","13,108",543,4.0%,Yes
May,Deuel County,990,962,28,2.8%,Yes
May,Dixon County,"3,035","2,923",112,3.7%,Yes
May,Dodge County,"20,659","19,884",775,3.8%,Yes
May,Douglas County,"303,194","284,080","19,114",6.3%,Yes
May,Dundy County,"1,186","1,165",21,1.8%,Yes
May,Fillmore County,"3,275","3,167",108,3.3%,Yes
May,Franklin County,"1,527","1,476",51,3.3%,Yes
May,Frontier County,"1,579","1,537",42,2.7%,Yes
May,Furnas County,"2,643","2,568",75,2.8%,Yes
May,Gage County,"11,309","10,840",469,4.1%,Yes
May,Garden County,"1,093","1,054",39,3.6%,Yes
May,Garfield County,"1,150","1,128",22,1.9%,Yes
May,Gosper County,"1,140","1,104",36,3.2%,Yes
May,Grant County,418,412,6,1.4%,Yes
May,Greeley County,"1,268","1,230",38,3.0%,Yes
May,Hall County,"32,659","29,970","2,689",8.2%,Yes
May,Hamilton County,"4,718","4,508",210,4.5%,Yes
May,Harlan County,"1,893","1,826",67,3.5%,Yes
May,Hayes County,633,623,10,1.6%,Yes
May,Hitchcock County,"1,297","1,257",40,3.1%,Yes
May,Holt County,"5,923","5,781",142,2.4%,Yes
May,Hooker County,388,377,11,2.8%,Yes
May,Howard County,"3,361","3,166",195,5.8%,Yes
May,Jefferson County,"4,333","4,201",132,3.0%,Yes
May,Johnson County,"2,115","2,034",81,3.8%,Yes
May,Kearney County,"3,994","3,840",154,3.9%,Yes
May,Keith County,"4,739","4,575",164,3.5%,Yes
May,Keya Paha County,599,591,8,1.3%,Yes
May,Kimball County,"2,061","1,988",73,3.5%,Yes
May,Knox County,"4,777","4,646",131,2.7%,Yes
May,Lancaster County,"179,740","170,776","8,964",5.0%,Yes
May,Lincoln County,"19,315","18,394",921,4.8%,Yes
May,Logan County,479,464,15,3.1%,Yes
May,Loup County,407,399,8,2.0%,Yes
May,Madison County,"20,675","19,913",762,3.7%,Yes
May,McPherson County,457,446,11,2.4%,Yes
May,Merrick County,"3,995","3,788",207,5.2%,Yes
May,Morrill County,"2,727","2,622",105,3.9%,Yes
May,Nance County,"2,070","1,994",76,3.7%,Yes
May,Nemaha County,"3,690","3,545",145,3.9%,Yes
May,Nuckolls County,"2,431","2,378",53,2.2%,Yes
May,Otoe County,"8,611","8,281",330,3.8%,Yes
May,Pawnee County,"1,522","1,479",43,2.8%,Yes
May,Perkins County,"1,863","1,832",31,1.7%,Yes
May,Phelps County,"5,162","4,979",183,3.5%,Yes
May,Pierce County,"4,243","4,130",113,2.7%,Yes
May,Platte County,"18,557","17,591",966,5.2%,Yes
May,Polk County,"3,051","2,939",112,3.7%,Yes
May,Red Willow County,"6,072","5,859",213,3.5%,Yes
May,Richardson County,"4,373","4,249",124,2.8%,Yes
May,Rock County,896,877,19,2.1%,Yes
May,Saline County,"7,642","7,342",300,3.9%,Yes
May,Sarpy County,"96,985","91,955","5,030",5.2%,Yes
May,Saunders County,"11,072","10,642",430,3.9%,Yes
May,Scotts Bluff County,"18,760","17,936",824,4.4%,Yes
May,Seward County,"9,033","8,589",444,4.9%,Yes
May,Sheridan County,"2,674","2,620",54,2.0%,Yes
May,Sherman County,"1,692","1,635",57,3.4%,Yes
May,Sioux County,744,732,12,1.6%,Yes
May,Stanton County,"3,638","3,522",116,3.2%,Yes
May,Thayer County,"2,827","2,757",70,2.5%,Yes
May,Thomas County,431,418,13,3.0%,Yes
May,Thurston County,"3,264","3,048",216,6.6%,Yes
May,Valley County,"2,230","2,167",63,2.8%,Yes
May,Washington County,"11,199","10,741",458,4.1%,Yes
May,Wayne County,"5,831","5,661",170,2.9%,Yes
May,Webster County,"1,731","1,661",70,4.0%,Yes
May,Wheeler County,566,555,11,1.9%,Yes
May,York County,"7,622","7,311",311,4.1%,Yes
April,Adams County,"17,588","16,127","1,461",8.30%,No
April,Antelope County,"3,769","3,641",128,3.40%,No
April,Arthur County,244,227,17,7.00%,No
April,Banner County,402,382,20,5.00%,No
April,Blaine County,273,265,8,2.90%,No
April,Boone County,"3,075","2,961",114,3.70%,No
April,Box Butte County,"5,606","5,175",431,7.70%,No
April,Boyd County,"1,143","1,092",51,4.50%,No
April,Brown County,"1,443","1,395",48,3.30%,No
April,Buffalo County,"29,859","26,911","2,948",9.90%,No
April,Burt County,"3,609","3,387",222,6.20%,No
April,Butler County,"4,826","4,504",322,6.70%,No
April,Cass County,"13,535","12,391","1,144",8.50%,No
April,Cedar County,"4,658","4,410",248,5.30%,No
April,Chase County,"2,347","2,292",55,2.30%,No
April,Cherry County,"3,475","3,331",144,4.10%,No
April,Cheyenne County,"4,498","4,131",367,8.20%,No
April,Clay County,"3,444","3,234",210,6.10%,No
April,Colfax County,"5,687","5,429",258,4.50%,No
April,Cuming County,"4,952","4,737",215,4.30%,No
April,Custer County,"6,580","6,301",279,4.20%,No
April,Dakota County,"10,657","9,832",825,7.70%,No
April,Dawes County,"5,021","4,797",224,4.50%,No
April,Dawson County,"13,508","12,764",744,5.50%,No
April,Deuel County,994,941,53,5.30%,No
April,Dixon County,"3,056","2,870",186,6.10%,No
April,Dodge County,"20,480","19,091","1,389",6.80%,No
April,Douglas County,"304,076","272,165","31,911",10.50%,No
April,Dundy County,"1,222","1,189",33,2.70%,No
April,Fillmore County,"3,280","3,122",158,4.80%,No
April,Franklin County,"1,551","1,469",82,5.30%,No
April,Frontier County,"1,613","1,553",60,3.70%,No
April,Furnas County,"2,687","2,549",138,5.10%,No
April,Gage County,"11,554","10,476","1,078",9.30%,No
April,Garden County,"1,105","1,043",62,5.60%,No
April,Garfield County,"1,131","1,097",34,3.00%,No
April,Gosper County,"1,103","1,054",49,4.40%,No
April,Grant County,435,425,10,2.30%,No
April,Greeley County,"1,280","1,217",63,4.90%,No
April,Hall County,"33,108","29,157","3,951",11.90%,No
April,Hamilton County,"4,816","4,461",355,7.40%,No
April,Harlan County,"1,832","1,753",79,4.30%,No
April,Hayes County,651,634,17,2.60%,No
April,Hitchcock County,"1,286","1,223",63,4.90%,No
April,Holt County,"5,942","5,704",238,4.00%,No
April,Hooker County,388,368,20,5.20%,No
April,Howard County,"3,484","3,130",354,10.20%,No
April,Jefferson County,"4,277","4,073",204,4.80%,No
April,Johnson County,"2,132","1,990",142,6.70%,No
April,Kearney County,"4,028","3,751",277,6.90%,No
April,Keith County,"4,677","4,376",301,6.40%,No
April,Keya Paha County,630,612,18,2.90%,No
April,Kimball County,"2,026","1,933",93,4.60%,No
April,Knox County,"4,787","4,563",224,4.70%,No
April,Lancaster County,"180,731","163,826","16,905",9.40%,No
April,Lincoln County,"19,034","17,598","1,436",7.50%,No
April,Logan County,502,473,29,5.80%,No
April,Loup County,419,407,12,2.90%,No
April,Madison County,"20,495","19,195","1,300",6.30%,No
April,McPherson County,456,439,17,3.70%,No
April,Merrick County,"4,113","3,751",362,8.80%,No
April,Morrill County,"2,718","2,570",148,5.40%,No
April,Nance County,"2,066","1,955",111,5.40%,No
April,Nemaha County,"3,704","3,481",223,6.00%,No
April,Nuckolls County,"2,457","2,357",100,4.10%,No
April,Otoe County,"8,604","8,007",597,6.90%,No
April,Pawnee County,"1,530","1,459",71,4.60%,No
April,Perkins County,"1,876","1,832",44,2.30%,No
April,Phelps County,"5,148","4,863",285,5.50%,No
April,Pierce County,"4,217","4,013",204,4.80%,No
April,Platte County,"18,565","17,021","1,544",8.30%,No
April,Polk County,"3,099","2,918",181,5.80%,No
April,Red Willow County,"5,966","5,669",297,5.00%,No
April,Richardson County,"4,355","4,122",233,5.40%,No
April,Rock County,914,877,37,4.00%,No
April,Saline County,"7,604","7,140",464,6.10%,No
April,Sarpy County,"96,954","88,105","8,849",9.10%,No
April,Saunders County,"11,148","10,290",858,7.70%,No
April,Scotts Bluff County,"18,618","17,233","1,385",7.40%,No
April,Seward County,"9,111","8,364",747,8.20%,No
April,Sheridan County,"2,700","2,612",88,3.30%,No
April,Sherman County,"1,724","1,624",100,5.80%,No
April,Sioux County,780,747,33,4.20%,No
April,Stanton County,"3,618","3,423",195,5.40%,No
April,Thayer County,"2,888","2,738",150,5.20%,No
April,Thomas County,429,417,12,2.80%,No
April,Thurston County,"3,289","2,968",321,9.80%,No
April,Valley County,"2,238","2,117",121,5.40%,No
April,Washington County,"11,160","10,372",788,7.10%,No
April,Wayne County,"5,875","5,604",271,4.60%,No
April,Webster County,"1,759","1,650",109,6.20%,No
April,Wheeler County,616,597,19,3.10%,No
April,York County,"7,591","7,123",468,6.20%,No
March,Adams County,"16,954","16,223",731,4.30%,No
March,Antelope County,"3,705","3,578",127,3.40%,No
March,Arthur County,243,227,16,6.60%,No
March,Banner County,403,385,18,4.50%,No
March,Blaine County,285,267,18,6.30%,No
March,Boone County,"3,082","2,973",109,3.50%,No
March,Box Butte County,"5,445","5,190",255,4.70%,No
March,Boyd County,"1,147","1,103",44,3.80%,No
March,Brown County,"1,436","1,376",60,4.20%,No
March,Buffalo County,"27,863","26,859","1,004",3.60%,No
March,Burt County,"3,559","3,372",187,5.30%,No
March,Butler County,"4,636","4,443",193,4.20%,No
March,Cass County,"13,966","13,280",686,4.90%,No
