"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"33","NH","New Hampshire","New Hampshire","state",NA,"January",2020,781000,757090,23910
"33","NH","New Hampshire","New Hampshire","state",NA,"February",2020,780420,756460,23960
"33","NH","New Hampshire","New Hampshire","state",NA,"March",2020,764210,743130,21080
"33","NH","New Hampshire","New Hampshire","state",NA,"April",2020,713760,590890,122870
"33","NH","New Hampshire","New Hampshire","state",NA,"May",2020,722490,617960,104530
"33","NH","New Hampshire","Belknap County","county",33001,"January",2020,31230,30240,990
"33","NH","New Hampshire","Belknap County","county",33001,"February",2020,31040,30060,980
"33","NH","New Hampshire","Belknap County","county",33001,"March",2020,30340,29450,890
"33","NH","New Hampshire","Belknap County","county",33001,"April",2020,29270,23230,6040
"33","NH","New Hampshire","Belknap County","county",33001,"May",2020,29370,24340,5030
"33","NH","New Hampshire","Carroll County","county",33003,"January",2020,23990,23230,760
"33","NH","New Hampshire","Carroll County","county",33003,"February",2020,23720,22970,750
"33","NH","New Hampshire","Carroll County","county",33003,"March",2020,23040,22360,680
"33","NH","New Hampshire","Carroll County","county",33003,"April",2020,21690,16420,5270
"33","NH","New Hampshire","Carroll County","county",33003,"May",2020,22020,17570,4450
"33","NH","New Hampshire","Cheshire County","county",33005,"January",2020,41020,39720,1300
"33","NH","New Hampshire","Cheshire County","county",33005,"February",2020,41510,40210,1300
"33","NH","New Hampshire","Cheshire County","county",33005,"March",2020,40450,39330,1120
"33","NH","New Hampshire","Cheshire County","county",33005,"April",2020,37120,31640,5480
"33","NH","New Hampshire","Cheshire County","county",33005,"May",2020,37640,33000,4640
"33","NH","New Hampshire","Coos County","county",33007,"January",2020,14860,14250,610
"33","NH","New Hampshire","Coos County","county",33007,"February",2020,14740,14120,620
"33","NH","New Hampshire","Coos County","county",33007,"March",2020,14260,13750,510
"33","NH","New Hampshire","Coos County","county",33007,"April",2020,13710,10670,3040
"33","NH","New Hampshire","Coos County","county",33007,"May",2020,13840,11370,2470
"33","NH","New Hampshire","Grafton County","county",33009,"January",2020,50130,48850,1280
