"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"34","NJ","New Jersey","Atlantic County","county",34001,"January",2020,120200,112100,8200
"34","NJ","New Jersey","Atlantic County","county",34001,"February",2020,121300,113600,7700
"34","NJ","New Jersey","Atlantic County","county",34001,"March",2020,120300,113500,6800
"34","NJ","New Jersey","Atlantic County","county",34001,"April",2020,122500,81100,41400
"34","NJ","New Jersey","Atlantic County","county",34001,"May",2020,123200,83300,39900
"34","NJ","New Jersey","Atlantic City city","city",NA,"January",2020,14700,13300,1400
"34","NJ","New Jersey","Atlantic City city","city",NA,"February",2020,14700,13500,1200
"34","NJ","New Jersey","Atlantic City city","city",NA,"March",2020,14700,13500,1200
"34","NJ","New Jersey","Atlantic City city","city",NA,"April",2020,17100,9600,7500
"34","NJ","New Jersey","Atlantic City city","city",NA,"May",2020,17500,9900,7600
"34","NJ","New Jersey","Egg Harbor town","city",NA,"January",2020,20100,18900,1200
"34","NJ","New Jersey","Egg Harbor town","city",NA,"February",2020,20400,19200,1200
"34","NJ","New Jersey","Egg Harbor town","city",NA,"March",2020,20200,19200,1000
"34","NJ","New Jersey","Egg Harbor town","city",NA,"April",2020,21300,13700,7600
"34","NJ","New Jersey","Egg Harbor town","city",NA,"May",2020,21300,14100,7300
"34","NJ","New Jersey","Galloway town","city",NA,"January",2020,16800,15900,900
"34","NJ","New Jersey","Galloway town","city",NA,"February",2020,17000,16100,900
"34","NJ","New Jersey","Galloway town","city",NA,"March",2020,16800,16100,800
"34","NJ","New Jersey","Galloway town","city",NA,"April",2020,17100,11500,5600
"34","NJ","New Jersey","Galloway town","city",NA,"May",2020,17300,11800,5500
"34","NJ","New Jersey","Bergen County","county",34003,"January",2020,490100,473000,17200
"34","NJ","New Jersey","Bergen County","county",34003,"February",2020,494000,477300,16700
"34","NJ","New Jersey","Bergen County","county",34003,"March",2020,494800,480000,14800
"34","NJ","New Jersey","Bergen County","county",34003,"April",2020,477500,403400,74100
"34","NJ","New Jersey","Bergen County","county",34003,"May",2020,483400,411600,71900
"34","NJ","New Jersey","Bergenfield","city",NA,"January",2020,15000,14500,500
"34","NJ","New Jersey","Bergenfield","city",NA,"February",2020,15100,14700,500
"34","NJ","New Jersey","Bergenfield","city",NA,"March",2020,15200,14700,400
"34","NJ","New Jersey","Bergenfield","city",NA,"April",2020,14500,12400,2100
"34","NJ","New Jersey","Bergenfield","city",NA,"May",2020,14600,12600,2000
"34","NJ","New Jersey","Cliffside Park","city",NA,"January",2020,13500,13100,400
"34","NJ","New Jersey","Cliffside Park","city",NA,"February",2020,13600,13200,400
"34","NJ","New Jersey","Cliffside Park","city",NA,"March",2020,13600,13300,400
"34","NJ","New Jersey","Cliffside Park","city",NA,"April",2020,12900,11100,1800
"34","NJ","New Jersey","Cliffside Park","city",NA,"May",2020,13200,11400,1800
"34","NJ","New Jersey","Englewood city","city",NA,"January",2020,15400,14800,600
"34","NJ","New Jersey","Englewood city","city",NA,"February",2020,15500,14900,600
"34","NJ","New Jersey","Englewood city","city",NA,"March",2020,15500,15000,500
"34","NJ","New Jersey","Englewood city","city",NA,"April",2020,14800,12600,2200
"34","NJ","New Jersey","Englewood city","city",NA,"May",2020,15100,12900,2200
"34","NJ","New Jersey","Fair Lawn","city",NA,"January",2020,18400,17800,600
"34","NJ","New Jersey","Fair Lawn","city",NA,"February",2020,18500,17900,600
"34","NJ","New Jersey","Fair Lawn","city",NA,"March",2020,18600,18000,500
"34","NJ","New Jersey","Fair Lawn","city",NA,"April",2020,17800,15200,2600
"34","NJ","New Jersey","Fair Lawn","city",NA,"May",2020,18000,15500,2600
"34","NJ","New Jersey","Fort Lee","city",NA,"January",2020,20000,19400,600
"34","NJ","New Jersey","Fort Lee","city",NA,"February",2020,20200,19600,600
"34","NJ","New Jersey","Fort Lee","city",NA,"March",2020,20200,19700,500
"34","NJ","New Jersey","Fort Lee","city",NA,"April",2020,19100,16600,2500
"34","NJ","New Jersey","Fort Lee","city",NA,"May",2020,19400,16900,2500
"34","NJ","New Jersey","Garfield city","city",NA,"January",2020,16300,15300,1000
"34","NJ","New Jersey","Garfield city","city",NA,"February",2020,16400,15500,900
"34","NJ","New Jersey","Garfield city","city",NA,"March",2020,16400,15600,900
"34","NJ","New Jersey","Garfield city","city",NA,"April",2020,17100,13100,4000
"34","NJ","New Jersey","Garfield city","city",NA,"May",2020,17100,13300,3800
"34","NJ","New Jersey","Hackensack city","city",NA,"January",2020,24600,23500,1100
"34","NJ","New Jersey","Hackensack city","city",NA,"February",2020,24800,23700,1100
"34","NJ","New Jersey","Hackensack city","city",NA,"March",2020,24900,23900,1000
"34","NJ","New Jersey","Hackensack city","city",NA,"April",2020,24400,20100,4300
"34","NJ","New Jersey","Hackensack city","city",NA,"May",2020,24600,20500,4200
