"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"35","NM","New Mexico","Bernalillo","county",35001,"January",2010,323673,299362,24311
"35","NM","New Mexico","Catron","county",35003,"January",2010,1213,1044,169
"35","NM","New Mexico","Chaves","county",35005,"January",2010,28118,26029,2089
"35","NM","New Mexico","Cibola","county",35006,"January",2010,9193,8338,855
"35","NM","New Mexico","Colfax","county",35007,"January",2010,6278,5745,533
"35","NM","New Mexico","Curry","county",35009,"January",2010,21537,20333,1204
"35","NM","New Mexico","De Baca","county",35011,"January",2010,867,811,56
"35","NM","New Mexico","Dona Ana","county",35013,"January",2010,91329,84127,7202
"35","NM","New Mexico","Eddy","county",35015,"January",2010,25503,23751,1752
"35","NM","New Mexico","Grant","county",35017,"January",2010,12289,10942,1347
"35","NM","New Mexico","Guadalupe","county",35019,"January",2010,1619,1461,158
"35","NM","New Mexico","Harding","county",35021,"January",2010,305,282,23
"35","NM","New Mexico","Hidalgo","county",35023,"January",2010,2162,1953,209
"35","NM","New Mexico","Lea","county",35025,"January",2010,25785,23459,2326
"35","NM","New Mexico","Lincoln","county",35027,"January",2010,9165,8409,756
"35","NM","New Mexico","Los Alamos","county",35028,"January",2010,9455,9067,388
"35","NM","New Mexico","Luna","county",35029,"January",2010,10698,8390,2308
"35","NM","New Mexico","McKinley","county",35031,"January",2010,25551,23132,2419
"35","NM","New Mexico","Mora","county",35033,"January",2010,2392,2111,281
"35","NM","New Mexico","Otero","county",35035,"January",2010,25005,23154,1851
"35","NM","New Mexico","Quay","county",35037,"January",2010,3506,3162,344
"35","NM","New Mexico","Rio Arriba","county",35039,"January",2010,17785,16157,1628
"35","NM","New Mexico","Roosevelt","county",35041,"January",2010,8097,7530,567
"35","NM","New Mexico","San Juan","county",35045,"January",2010,53946,48750,5196
"35","NM","New Mexico","San Miguel","county",35047,"January",2010,11002,9928,1074
"35","NM","New Mexico","Sandoval","county",35043,"January",2010,60040,55159,4881
"35","NM","New Mexico","Santa Fe","county",35049,"January",2010,73670,68537,5133
"35","NM","New Mexico","Sierra","county",35051,"January",2010,3834,3444,390
"35","NM","New Mexico","Socorro","county",35053,"January",2010,6848,6317,531
"35","NM","New Mexico","Taos","county",35055,"January",2010,15825,14301,1524
"35","NM","New Mexico","Torrance","county",35057,"January",2010,5884,5195,689
"35","NM","New Mexico","Union","county",35059,"January",2010,1903,1764,139
"35","NM","New Mexico","Valencia","county",35061,"January",2010,30915,28091,2824
"35","NM","New Mexico","New Mexico","state",NA,"January",2010,925396,850237,75159
"35","NM","New Mexico","Bernalillo","county",35001,"February",2010,324067,299669,24398
"35","NM","New Mexico","Catron","county",35003,"February",2010,1197,1032,165
"35","NM","New Mexico","Chaves","county",35005,"February",2010,28163,26098,2065
"35","NM","New Mexico","Cibola","county",35006,"February",2010,9196,8330,866
"35","NM","New Mexico","Colfax","county",35007,"February",2010,6222,5693,529
"35","NM","New Mexico","Curry","county",35009,"February",2010,21546,20384,1162
"35","NM","New Mexico","De Baca","county",35011,"February",2010,837,786,51
"35","NM","New Mexico","Dona Ana","county",35013,"February",2010,92840,85516,7324
"35","NM","New Mexico","Eddy","county",35015,"February",2010,25396,23680,1716
"35","NM","New Mexico","Grant","county",35017,"February",2010,12359,11075,1284
"35","NM","New Mexico","Guadalupe","county",35019,"February",2010,1603,1448,155
