Date,Geo Name,Geo Name County,Type,E,E-OTY#,E-OTY%,LF,LF-OTY#,LF-OTY%,Number of Records,Pmur,Pyur,U,U-Oty#,U-OTY%,UR,Ur-Oty#,UR-OTY%
10-Jan,Bernalillo,Bernalillo,County,299362,,,323673,,,1,,,24311,,,7.5,,
10-Jan,Catron,Catron,County,1044,,,1213,,,1,,,169,,,13.9,,
10-Jan,Chaves,Chaves,County,26029,,,28118,,,1,,,2089,,,7.4,,
10-Jan,Cibola,Cibola,County,8338,,,9193,,,1,,,855,,,9.3,,
10-Jan,Colfax,Colfax,County,5745,,,6278,,,1,,,533,,,8.5,,
10-Jan,Curry,Curry,County,20333,,,21537,,,1,,,1204,,,5.6,,
10-Jan,De Baca,De Baca,County,811,,,867,,,1,,,56,,,6.5,,
10-Jan,Dona Ana,Dona Ana,County,84127,,,91329,,,1,,,7202,,,7.9,,
10-Jan,Eddy,Eddy,County,23751,,,25503,,,1,,,1752,,,6.9,,
10-Jan,Grant,Grant,County,10942,,,12289,,,1,,,1347,,,11,,
10-Jan,Guadalupe,Guadalupe,County,1461,,,1619,,,1,,,158,,,9.8,,
10-Jan,Harding,Harding,County,282,,,305,,,1,,,23,,,7.5,,
10-Jan,Hidalgo,Hidalgo,County,1953,,,2162,,,1,,,209,,,9.7,,
10-Jan,Lea,Lea,County,23459,,,25785,,,1,,,2326,,,9,,
10-Jan,Lincoln,Lincoln,County,8409,,,9165,,,1,,,756,,,8.2,,
10-Jan,Los Alamos,Los Alamos,County,9067,,,9455,,,1,,,388,,,4.1,,
10-Jan,Luna,Luna,County,8390,,,10698,,,1,,,2308,,,21.6,,
10-Jan,McKinley,McKinley,County,23132,,,25551,,,1,,,2419,,,9.5,,
10-Jan,Mora,Mora,County,2111,,,2392,,,1,,,281,,,11.7,,
10-Jan,Otero,Otero,County,23154,,,25005,,,1,,,1851,,,7.4,,
10-Jan,Quay,Quay,County,3162,,,3506,,,1,,,344,,,9.8,,
10-Jan,Rio Arriba,Rio Arriba,County,16157,,,17785,,,1,,,1628,,,9.2,,
10-Jan,Roosevelt,Roosevelt,County,7530,,,8097,,,1,,,567,,,7,,
10-Jan,San Juan,San Juan,County,48750,,,53946,,,1,,,5196,,,9.6,,
10-Jan,San Miguel,San Miguel,County,9928,,,11002,,,1,,,1074,,,9.8,,
10-Jan,Sandoval,Sandoval,County,55159,,,60040,,,1,,,4881,,,8.1,,
10-Jan,Santa Fe,Santa Fe,County,68537,,,73670,,,1,,,5133,,,7,,
10-Jan,Sierra,Sierra,County,3444,,,3834,,,1,,,390,,,10.2,,
10-Jan,Socorro,Socorro,County,6317,,,6848,,,1,,,531,,,7.8,,
10-Jan,Taos,Taos,County,14301,,,15825,,,1,,,1524,,,9.6,,
10-Jan,Torrance,Torrance,County,5195,,,5884,,,1,,,689,,,11.7,,
10-Jan,Union,Union,County,1764,,,1903,,,1,,,139,,,7.3,,
10-Jan,Valencia,Valencia,County,28091,,,30915,,,1,,,2824,,,9.1,,
10-Jan,Albuquerque,Albuquerque,MSA,387807,,,420512,,,1,,,32705,,,7.8,,
10-Jan,Farmington,Farmington,MSA,48750,,,53946,,,1,,,5196,,,9.6,,
10-Jan,Las Cruces,Las Cruces,MSA,84127,,,91329,,,1,,,7202,,,7.9,,
10-Jan,Santa Fe,Santa Fe,MSA,68537,,,73670,,,1,,,5133,,,7,,
10-Jan,United States,United States,Nation,136809000,,,152957000,,,1,,,16147000,,,10.6,,
10-Jan,Alabama,Alabama,State,1871780,,,2135155,,,1,,,263375,,,12.3,,
10-Jan,Alaska,Alaska,State,324513,,,356118,,,1,,,31605,,,8.9,,
10-Jan,Arizona,Arizona,State,2763335,,,3107217,,,1,,,343882,,,11.1,,
10-Jan,Arkansas,Arkansas,State,1203292,,,1322432,,,1,,,119140,,,9,,
10-Jan,California,California,State,15863115,,,18178352,,,1,,,2315237,,,12.7,,
10-Jan,Colorado,Colorado,State,2458883,,,2699042,,,1,,,240159,,,8.9,,
10-Jan,Connecticut,Connecticut,State,1701235,,,1880550,,,1,,,179315,,,9.5,,
10-Jan,Delaware,Delaware,State,388069,,,428070,,,1,,,40001,,,9.3,,
10-Jan,District of Columbia,District of Columbia,State,305965,,,340540,,,1,,,34575,,,10.2,,
10-Jan,Florida,Florida,State,7978905,,,9020311,,,1,,,1041406,,,11.5,,
10-Jan,Georgia,Georgia,State,4268234,,,4790880,,,1,,,522646,,,10.9,,
10-Jan,Hawaii,Hawaii,State,587486,,,633059,,,1,,,45573,,,7.2,,
10-Jan,Idaho,Idaho,State,674721,,,754144,,,1,,,79423,,,10.5,,
10-Jan,Illinois,Illinois,State,5784712,,,6586885,,,1,,,802173,,,12.2,,
10-Jan,Indiana,Indiana,State,2776388,,,3147520,,,1,,,371132,,,11.8,,
10-Jan,Iowa,Iowa,State,1546023,,,1666883,,,1,,,120860,,,7.3,,
10-Jan,Kansas,Kansas,State,1385202,,,1500669,,,1,,,115467,,,7.7,,
10-Jan,Kentucky,Kentucky,State,1803060,,,2038389,,,1,,,235329,,,11.5,,
10-Jan,Louisiana,Louisiana,State,1871324,,,2038340,,,1,,,167016,,,8.2,,
10-Jan,Maine,Maine,State,622508,,,685834,,,1,,,63326,,,9.2,,
10-Jan,Maryland,Maryland,State,2778615,,,3024802,,,1,,,246187,,,8.1,,
10-Jan,Massachusetts,Massachusetts,State,3128488,,,3460619,,,1,,,332131,,,9.6,,
10-Jan,Michigan,Michigan,State,4111710,,,4805847,,,1,,,694137,,,14.4,,
10-Jan,Minnesota,Minnesota,State,2660407,,,2908573,,,1,,,248166,,,8.5,,
10-Jan,Mississippi,Mississippi,State,1109475,,,1257140,,,1,,,147665,,,11.7,,
10-Jan,Missouri,Missouri,State,2710887,,,3022843,,,1,,,311956,,,10.3,,
10-Jan,Montana,Montana,State,452688,,,494428,,,1,,,41740,,,8.4,,
10-Jan,Nebraska,Nebraska,State,927304,,,980564,,,1,,,53260,,,5.4,,
