"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"32","NV","Nevada","Mesquite","city",NA,"January",2019,7843,7535,308
"32","NV","Nevada","Reno","city",NA,"January",2019,135084,129795,5289
"32","NV","Nevada","Sparks","city",NA,"January",2019,56190,54011,2179
"32","NV","Nevada","Elko","city",NA,"January",2019,10707,10279,428
"32","NV","Nevada","Henderson","city",NA,"January",2019,161306,154429,6877
"32","NV","Nevada","Boulder City","city",NA,"January",2019,7488,7142,346
"32","NV","Nevada","Las Vegas","city",NA,"January",2019,311497,296692,14805
"32","NV","Nevada","North Las Vegas","city",NA,"January",2019,113761,108089,5672
"32","NV","Nevada","Fernley City","city",NA,"January",2019,8635,8110,525
"32","NV","Nevada","Sparks","city",NA,"January",2020,57908,56027,1881
"32","NV","Nevada","Elko","city",NA,"January",2020,10567,10213,354
"32","NV","Nevada","Mesquite","city",NA,"January",2020,8052,7778,274
"32","NV","Nevada","Reno","city",NA,"January",2020,139316,134639,4677
"32","NV","Nevada","Henderson","city",NA,"January",2020,165300,159414,5886
"32","NV","Nevada","Boulder City","city",NA,"January",2020,7674,7372,302
"32","NV","Nevada","Las Vegas","city",NA,"January",2020,319070,306268,12802
"32","NV","Nevada","North Las Vegas","city",NA,"January",2020,116721,111577,5144
"32","NV","Nevada","Fernley City","city",NA,"January",2020,8721,8291,430
"32","NV","Nevada","Eureka County","county",32011,"January",2019,1064,1036,28
"32","NV","Nevada","Humboldt County","county",32013,"January",2019,8064,7775,289
"32","NV","Nevada","Elko County","county",32007,"January",2019,27349,26329,1020
"32","NV","Nevada","White Pine County","county",32033,"January",2019,4481,4310,171
"32","NV","Nevada","Esmeralda County","county",32009,"January",2019,413,397,16
"32","NV","Nevada","Lander County","county",32015,"January",2019,3179,3052,127
"32","NV","Nevada","Washoe County","county",32031,"January",2019,250704,240654,10050
"32","NV","Nevada","Churchill County","county",32001,"January",2019,10797,10325,472
"32","NV","Nevada","Clark County","county",32003,"January",2019,1118227,1066729,51498
"32","NV","Nevada","Storey County","county",32029,"January",2019,2000,1904,96
