SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 06",1585399,NV,Sparks,2020,June,Not Adj,Nevada,"49,153","53,813","4,660",8.70%
"2020, 06",1585400,NV,Reno,2020,June,Not Adj,Nevada,"118,121","129,806","11,685",9.00%
"2020, 06",1585401,NV,North Las Vegas,2020,June,Not Adj,Nevada,"90,385","110,175","19,790",18.00%
"2020, 06",1585402,NV,Mesquite,2020,June,Not Adj,Nevada,"6,301","6,906",605,8.80%
"2020, 06",1585403,NV,Las Vegas,2020,June,Not Adj,Nevada,"248,098","298,452","50,354",16.90%
"2020, 06",1585404,NV,Henderson,2020,June,Not Adj,Nevada,"129,136","151,382","22,246",14.70%
"2020, 06",1585405,NV,Elko,2020,June,Not Adj,Nevada,"12,084","12,572",488,3.90%
"2020, 06",1585406,NV,Boulder City,2020,June,Not Adj,Nevada,"5,972","6,763",791,11.70%
"2020, 06",1585407,NV,Fernley City,2020,June,Not Adj,Nevada,"8,607","9,334",727,7.80%
"2020, 06",1585414,NV,"Carson City, Nevada",2020,June,Not Adj,Nevada,"22,981","25,080","2,099",8.40%
"2020, 06",1585415,NV,"White Pine County, Nevada",2020,June,Not Adj,Nevada,"5,440","5,607",167,3.00%
"2020, 06",1585416,NV,"Washoe County, Nevada",2020,June,Not Adj,Nevada,"219,009","239,542","20,533",8.60%
"2020, 06",1585417,NV,"Storey County, Nevada",2020,June,Not Adj,Nevada,"1,734","1,900",166,8.70%
"2020, 06",1585418,NV,"Pershing County, Nevada",2020,June,Not Adj,Nevada,"2,792","2,887",95,3.30%
"2020, 06",1585419,NV,"Nye County, Nevada",2020,June,Not Adj,Nevada,"18,470","20,058","1,588",7.90%
"2020, 06",1585420,NV,"Mineral County, Nevada",2020,June,Not Adj,Nevada,"2,357","2,462",105,4.30%
"2020, 06",1585421,NV,"Lyon County, Nevada",2020,June,Not Adj,Nevada,"23,171","25,007","1,836",7.30%
"2020, 06",1585422,NV,"Lincoln County, Nevada",2020,June,Not Adj,Nevada,"2,269","2,364",95,4.00%
"2020, 06",1585423,NV,"Lander County, Nevada",2020,June,Not Adj,Nevada,"3,616","3,748",132,3.50%
"2020, 06",1585424,NV,"Humboldt County, Nevada",2020,June,Not Adj,Nevada,"9,249","9,630",381,4.00%
"2020, 06",1585425,NV,"Eureka County, Nevada",2020,June,Not Adj,Nevada,"1,146","1,180",34,2.90%
"2020, 06",1585426,NV,"Esmeralda County, Nevada",2020,June,Not Adj,Nevada,450,465,15,3.20%
"2020, 06",1585427,NV,"Elko County, Nevada",2020,June,Not Adj,Nevada,"30,951","32,305","1,354",4.20%
"2020, 06",1585428,NV,"Douglas County, Nevada",2020,June,Not Adj,Nevada,"24,728","26,683","1,955",7.30%
"2020, 06",1585429,NV,"Clark County, Nevada",2020,June,Not Adj,Nevada,"892,014","1,088,462","196,448",18.00%
"2020, 06",1585430,NV,"Churchill County, Nevada",2020,June,Not Adj,Nevada,"12,339","12,919",580,4.50%
"2020, 06",1585431,NV,Nevada,2020,June,Not Adj,Nevada,"1,272,714","1,500,295","227,581",15.20%
"2020, 05",1585357,NV,Nevada,2020,May,Not Adj,Nevada,"1,035,134","1,382,240","347,106",25.10%
