"state_fips","state_short","state","area","area_type","fips","period","year","employment","labor_force","unemployment"
"36","NY","New York","New York","state",NA,"January",2020,5250900,5499300,248300
"36","NY","New York","New York","state",NA,"February",2020,5248700,5485800,237100
"36","NY","New York","New York","state",NA,"March",2020,5215200,5455000,239800
"36","NY","New York","New York","state",NA,"April",2020,4491000,5308600,817500
"36","NY","New York","New York","state",NA,"May",2020,4782300,5407900,625600
"36","NY","New York","New York","state",NA,"January",2019,5171100,5421300,250100
"36","NY","New York","New York","state",NA,"February",2019,5177200,5423100,245900
"36","NY","New York","New York","state",NA,"March",2019,5199100,5424800,225600
"36","NY","New York","New York","state",NA,"April",2019,5195200,5386700,191500
"36","NY","New York","New York","state",NA,"May",2019,5214600,5404700,190100
"36","NY","New York","New York","state",NA,"June",2019,5279000,5484100,205100
"36","NY","New York","New York","state",NA,"July",2019,5288800,5514700,225800
"36","NY","New York","New York","state",NA,"August",2019,5254500,5479000,224500
"36","NY","New York","New York","state",NA,"September",2019,5249500,5449800,200300
"36","NY","New York","New York","state",NA,"October",2019,5266800,5470300,203400
"36","NY","New York","New York","state",NA,"November",2019,5240300,5445700,205400
"36","NY","New York","New York","state",NA,"December",2019,5212300,5438300,225900
"36","NY","New York","New York City","city",NA,"January",2020,3885600,4028500,142800
"36","NY","New York","New York City","city",NA,"February",2020,3942200,4080800,138600
"36","NY","New York","New York City","city",NA,"March",2020,3815700,3976700,161000
"36","NY","New York","New York City","city",NA,"April",2020,3184200,3731100,546900
"36","NY","New York","New York City","city",NA,"May",2020,2992000,3655500,663500
"36","NY","New York","New York City","city",NA,"January",2019,3891600,4094200,202600
"36","NY","New York","New York City","city",NA,"February",2019,3931100,4118900,187800
"36","NY","New York","New York City","city",NA,"March",2019,3929400,4104400,175000
"36","NY","New York","New York City","city",NA,"April",2019,3912000,4062700,150700
"36","NY","New York","New York City","city",NA,"May",2019,3897500,4052500,155000
"36","NY","New York","New York City","city",NA,"June",2019,3896500,4054900,158400
"36","NY","New York","New York City","city",NA,"July",2019,3907800,4082300,174500
"36","NY","New York","New York City","city",NA,"August",2019,3891800,4060900,169100
"36","NY","New York","New York City","city",NA,"September",2019,3912600,4055000,142400
"36","NY","New York","New York City","city",NA,"October",2019,3922000,4072900,150900
"36","NY","New York","New York City","city",NA,"November",2019,3905500,4041500,136000
"36","NY","New York","New York City","city",NA,"December",2019,3904000,4030000,126000
"36","NY","New York","New York State","city",NA,"January",2020,9136600,9527700,391100
"36","NY","New York","New York State","city",NA,"February",2020,9190900,9566600,375700
"36","NY","New York","New York State","city",NA,"March",2020,9030900,9431600,400800
"36","NY","New York","New York State","city",NA,"April",2020,7675200,9039700,1364500
"36","NY","New York","New York State","city",NA,"May",2020,7774300,9063400,1289100
"36","NY","New York","New York State","city",NA,"January",2019,9062800,9515500,452700
"36","NY","New York","New York State","city",NA,"February",2019,9108400,9542000,433700
"36","NY","New York","New York State","city",NA,"March",2019,9128600,9529100,400600
"36","NY","New York","New York State","city",NA,"April",2019,9107200,9449400,342200
"36","NY","New York","New York State","city",NA,"May",2019,9112100,9457200,345100
"36","NY","New York","New York State","city",NA,"June",2019,9175500,9539000,363400
"36","NY","New York","New York State","city",NA,"July",2019,9196600,9597000,400300
"36","NY","New York","New York State","city",NA,"August",2019,9146300,9539800,393600
"36","NY","New York","New York State","city",NA,"September",2019,9162100,9504800,342700
"36","NY","New York","New York State","city",NA,"October",2019,9188800,9543200,354400
"36","NY","New York","New York State","city",NA,"November",2019,9145900,9487200,341400
