"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"39","OH","Ohio","Ohio","city",NA,"June",2020,5849201,5198929,650272
"39","OH","Ohio","Adams County","county",39001,"June",2020,11000,9800,1200
"39","OH","Ohio","Allen County","county",39003,"June",2020,48500,43100,5300
"39","OH","Ohio","Ashland County","county",39005,"June",2020,26800,24500,2200
"39","OH","Ohio","Ashtabula County","county",39007,"June",2020,44500,39800,4700
"39","OH","Ohio","Athens County","county",39009,"June",2020,27600,24900,2700
"39","OH","Ohio","Auglaize County","county",39011,"June",2020,25600,23200,2400
"39","OH","Ohio","Belmont County","county",39013,"June",2020,30100,26400,3700
"39","OH","Ohio","Brown County","county",39015,"June",2020,19700,17700,2000
"39","OH","Ohio","Butler County","county",39017,"June",2020,197200,177700,19600
"39","OH","Ohio","Carroll County","county",39019,"June",2020,13000,11500,1500
"39","OH","Ohio","Champaign County","county",39021,"June",2020,20100,18300,1800
"39","OH","Ohio","Clark County","county",39023,"June",2020,64600,57900,6800
"39","OH","Ohio","Clermont County","county",39025,"June",2020,107500,97400,10100
"39","OH","Ohio","Clinton County","county",39027,"June",2020,18100,16100,2000
"39","OH","Ohio","Columbiana County","county",39029,"June",2020,48200,42400,5700
"39","OH","Ohio","Coshocton County","county",39031,"June",2020,14400,12600,1700
"39","OH","Ohio","Crawford County","county",39033,"June",2020,18900,16600,2300
"39","OH","Ohio","Cuyahoga County","county",39035,"June",2020,633400,537100,96400
"39","OH","Ohio","Darke County","county",39037,"June",2020,26100,23900,2100
"39","OH","Ohio","Defiance County","county",39039,"June",2020,18500,16600,1800
"39","OH","Ohio","Delaware County","county",39041,"June",2020,107800,99600,8200
"39","OH","Ohio","Erie County","county",39043,"June",2020,38100,33300,4800
"39","OH","Ohio","Fairfield County","county",39045,"June",2020,77000,70000,7000
"39","OH","Ohio","Fayette County","county",39047,"June",2020,14000,12700,1400
"39","OH","Ohio","Franklin County","county",39049,"June",2020,701500,626800,74700
"39","OH","Ohio","Fulton County","county",39051,"June",2020,21900,19800,2000
"39","OH","Ohio","Gallia County","county",39053,"June",2020,12700,11500,1200
"39","OH","Ohio","Geauga County","county",39055,"June",2020,48200,43600,4600
"39","OH","Ohio","Greene County","county",39057,"June",2020,82800,75500,7300
"39","OH","Ohio","Guernsey County","county",39059,"June",2020,18900,16900,2000
"39","OH","Ohio","Hamilton County","county",39061,"June",2020,425400,379100,46200
"39","OH","Ohio","Hancock County","county",39063,"June",2020,43100,39200,3800
"39","OH","Ohio","Hardin County","county",39065,"June",2020,14500,13000,1500
"39","OH","Ohio","Harrison County","county",39067,"June",2020,6900,6100,800
