SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 06",1594337,OH,Ohio,2020,June,Not Adj,Ohio,"5,198,929","5,849,201","650,272",11.10%
"2020, 06",1594344,OH,ADAMS COUNTY,2020,June,Not Adj,Ohio,"9,800","11,000","1,200",10.70%
"2020, 06",1594350,OH,ALLEN COUNTY,2020,June,Not Adj,Ohio,"43,100","48,500","5,300",11.00%
"2020, 06",1594356,OH,ASHLAND COUNTY,2020,June,Not Adj,Ohio,"24,500","26,800","2,200",8.30%
"2020, 06",1594362,OH,ASHTABULA COUNTY,2020,June,Not Adj,Ohio,"39,800","44,500","4,700",10.60%
"2020, 06",1594368,OH,ATHENS COUNTY,2020,June,Not Adj,Ohio,"24,900","27,600","2,700",9.80%
"2020, 06",1594374,OH,AUGLAIZE COUNTY,2020,June,Not Adj,Ohio,"23,200","25,600","2,400",9.40%
"2020, 06",1594380,OH,BELMONT COUNTY,2020,June,Not Adj,Ohio,"26,400","30,100","3,700",12.40%
"2020, 06",1594386,OH,BROWN COUNTY,2020,June,Not Adj,Ohio,"17,700","19,700","2,000",10.30%
"2020, 06",1594392,OH,BUTLER COUNTY,2020,June,Not Adj,Ohio,"177,700","197,200","19,600",9.90%
"2020, 06",1594398,OH,CARROLL COUNTY,2020,June,Not Adj,Ohio,"11,500","13,000","1,500",11.70%
"2020, 06",1594404,OH,CHAMPAIGN COUNTY,2020,June,Not Adj,Ohio,"18,300","20,100","1,800",9.10%
"2020, 06",1594410,OH,CLARK COUNTY,2020,June,Not Adj,Ohio,"57,900","64,600","6,800",10.40%
"2020, 06",1594416,OH,CLERMONT COUNTY,2020,June,Not Adj,Ohio,"97,400","107,500","10,100",9.40%
"2020, 06",1594422,OH,CLINTON COUNTY,2020,June,Not Adj,Ohio,"16,100","18,100","2,000",11.10%
"2020, 06",1594428,OH,COLUMBIANA COUNTY,2020,June,Not Adj,Ohio,"42,400","48,200","5,700",11.90%
"2020, 06",1594434,OH,COSHOCTON COUNTY,2020,June,Not Adj,Ohio,"12,600","14,400","1,700",11.90%
"2020, 06",1594440,OH,CRAWFORD COUNTY,2020,June,Not Adj,Ohio,"16,600","18,900","2,300",12.30%
"2020, 06",1594446,OH,CUYAHOGA COUNTY,2020,June,Not Adj,Ohio,"537,100","633,400","96,400",15.20%
"2020, 06",1594452,OH,DARKE COUNTY,2020,June,Not Adj,Ohio,"23,900","26,100","2,100",8.20%
"2020, 06",1594458,OH,DEFIANCE COUNTY,2020,June,Not Adj,Ohio,"16,600","18,500","1,800",9.80%
"2020, 06",1594464,OH,DELAWARE COUNTY,2020,June,Not Adj,Ohio,"99,600","107,800","8,200",7.60%
"2020, 06",1594470,OH,ERIE COUNTY,2020,June,Not Adj,Ohio,"33,300","38,100","4,800",12.60%
"2020, 06",1594476,OH,FAIRFIELD COUNTY,2020,June,Not Adj,Ohio,"70,000","77,000","7,000",9.10%
"2020, 06",1594482,OH,FAYETTE COUNTY,2020,June,Not Adj,Ohio,"12,700","14,000","1,400",9.70%
"2020, 06",1594488,OH,FRANKLIN COUNTY,2020,June,Not Adj,Ohio,"626,800","701,500","74,700",10.60%
"2020, 06",1594494,OH,FULTON COUNTY,2020,June,Not Adj,Ohio,"19,800","21,900","2,000",9.30%
"2020, 06",1594500,OH,GALLIA COUNTY,2020,June,Not Adj,Ohio,"11,500","12,700","1,200",9.60%
"2020, 06",1594506,OH,GEAUGA COUNTY,2020,June,Not Adj,Ohio,"43,600","48,200","4,600",9.50%
"2020, 06",1594512,OH,GREENE COUNTY,2020,June,Not Adj,Ohio,"75,500","82,800","7,300",8.80%
"2020, 06",1594518,OH,GUERNSEY COUNTY,2020,June,Not Adj,Ohio,"16,900","18,900","2,000",10.50%
"2020, 06",1594524,OH,HAMILTON COUNTY,2020,June,Not Adj,Ohio,"379,100","425,400","46,200",10.90%
"2020, 06",1594530,OH,HANCOCK COUNTY,2020,June,Not Adj,Ohio,"39,200","43,100","3,800",8.90%
"2020, 06",1594536,OH,HARDIN COUNTY,2020,June,Not Adj,Ohio,"13,000","14,500","1,500",10.20%
"2020, 06",1594542,OH,HARRISON COUNTY,2020,June,Not Adj,Ohio,"6,100","6,900",800,11.70%
"2020, 06",1594548,OH,HENRY COUNTY,2020,June,Not Adj,Ohio,"11,800","13,000","1,200",9.40%
"2020, 06",1594554,OH,HIGHLAND COUNTY,2020,June,Not Adj,Ohio,"15,400","17,300","1,900",11.00%
"2020, 06",1594560,OH,HOCKING COUNTY,2020,June,Not Adj,Ohio,"11,600","12,900","1,200",9.50%
"2020, 06",1594566,OH,HOLMES COUNTY,2020,June,Not Adj,Ohio,"19,900","21,000","1,100",5.00%
"2020, 06",1594572,OH,HURON COUNTY,2020,June,Not Adj,Ohio,"25,500","28,600","3,000",10.70%
"2020, 06",1594578,OH,JACKSON COUNTY,2020,June,Not Adj,Ohio,"11,700","13,100","1,400",10.90%
"2020, 06",1594584,OH,JEFFERSON COUNTY,2020,June,Not Adj,Ohio,"24,600","28,300","3,600",12.80%
"2020, 06",1594590,OH,KNOX COUNTY,2020,June,Not Adj,Ohio,"29,100","31,600","2,500",8.00%
"2020, 06",1594596,OH,LAKE COUNTY,2020,June,Not Adj,Ohio,"111,300","126,400","15,100",12.00%
"2020, 06",1594602,OH,LAWRENCE COUNTY,2020,June,Not Adj,Ohio,"22,000","24,800","2,800",11.30%
"2020, 06",1594608,OH,LICKING COUNTY,2020,June,Not Adj,Ohio,"81,300","89,500","8,200",9.20%
"2020, 06",1594614,OH,LOGAN COUNTY,2020,June,Not Adj,Ohio,"20,800","23,000","2,200",9.50%
"2020, 06",1594620,OH,LORAIN COUNTY,2020,June,Not Adj,Ohio,"134,600","155,900","21,300",13.70%
"2020, 06",1594626,OH,LUCAS COUNTY,2020,June,Not Adj,Ohio,"184,400","213,300","28,800",13.50%
"2020, 06",1594632,OH,MADISON COUNTY,2020,June,Not Adj,Ohio,"18,700","20,300","1,600",7.80%
"2020, 06",1594638,OH,MAHONING COUNTY,2020,June,Not Adj,Ohio,"88,500","102,000","13,400",13.20%
"2020, 06",1594644,OH,MARION COUNTY,2020,June,Not Adj,Ohio,"26,000","28,700","2,700",9.50%
"2020, 06",1594650,OH,MEDINA COUNTY,2020,June,Not Adj,Ohio,"86,300","97,000","10,800",11.10%
"2020, 06",1594656,OH,MEIGS COUNTY,2020,June,Not Adj,Ohio,"7,900","9,000","1,000",11.60%
"2020, 06",1594662,OH,MERCER COUNTY,2020,June,Not Adj,Ohio,"21,900","23,700","1,900",7.90%
"2020, 06",1594668,OH,MIAMI COUNTY,2020,June,Not Adj,Ohio,"49,100","54,100","5,000",9.20%
"2020, 06",1594674,OH,MONROE COUNTY,2020,June,Not Adj,Ohio,"4,600","5,400",700,13.50%
"2020, 06",1594680,OH,MONTGOMERY COUNTY,2020,June,Not Adj,Ohio,"228,000","257,900","29,900",11.60%
"2020, 06",1594686,OH,MORGAN COUNTY,2020,June,Not Adj,Ohio,"6,000","6,700",700,11.10%
"2020, 06",1594692,OH,MORROW COUNTY,2020,June,Not Adj,Ohio,"15,000","16,500","1,500",8.90%
"2020, 06",1594698,OH,MUSKINGUM COUNTY,2020,June,Not Adj,Ohio,"36,500","40,400","3,900",9.70%
"2020, 06",1594704,OH,NOBLE COUNTY,2020,June,Not Adj,Ohio,"4,300","4,800",500,10.80%
"2020, 06",1594710,OH,OTTAWA COUNTY,2020,June,Not Adj,Ohio,"18,600","20,800","2,200",10.60%
"2020, 06",1594716,OH,PAULDING COUNTY,2020,June,Not Adj,Ohio,"7,900","8,700",800,9.50%
"2020, 06",1594722,OH,PERRY COUNTY,2020,June,Not Adj,Ohio,"14,100","15,700","1,700",10.60%
