"state_fips","state_short","state","area","area_type","fips","period","year","employment","labor_force","unemployment"
"41","OR","Oregon","Oregon","state",NA,"January",2019,1992467,2092729,100262
"41","OR","Oregon","Oregon","state",NA,"February",2019,2002557,2098128,95571
"41","OR","Oregon","Oregon","state",NA,"March",2019,2002317,2096772,94455
"41","OR","Oregon","Oregon","state",NA,"April",2019,2012456,2092686,80230
"41","OR","Oregon","Oregon","state",NA,"May",2019,2020585,2092575,71990
"41","OR","Oregon","Oregon","state",NA,"June",2019,2030176,2113944,83768
"41","OR","Oregon","Oregon","state",NA,"July",2019,2040655,2126411,85756
"41","OR","Oregon","Oregon","state",NA,"August",2019,2041350,2123490,82140
"41","OR","Oregon","Oregon","state",NA,"September",2019,2044416,2109356,64940
"41","OR","Oregon","Oregon","state",NA,"October",2019,2045517,2109185,63668
"41","OR","Oregon","Oregon","state",NA,"November",2019,2042492,2103774,61282
"41","OR","Oregon","Oregon","state",NA,"December",2019,2028614,2089779,61165
"41","OR","Oregon","Oregon","state",NA,"January",2020,2009543,2088894,79351
"41","OR","Oregon","Oregon","state",NA,"February",2020,2021682,2100525,78843
"41","OR","Oregon","Oregon","state",NA,"March",2020,2022174,2104141,81967
"41","OR","Oregon","Oregon","state",NA,"April",2020,1789587,2101238,311651
"41","OR","Oregon","Oregon","state",NA,"May",2020,1818599,2110532,291933
"41","OR","Oregon","Baker County","county",41001,"January",2019,6595,7102,507
"41","OR","Oregon","Baker County","county",41001,"February",2019,6646,7101,455
"41","OR","Oregon","Baker County","county",41001,"March",2019,6592,7022,430
"41","OR","Oregon","Baker County","county",41001,"April",2019,6689,7039,350
"41","OR","Oregon","Baker County","county",41001,"May",2019,6796,7083,287
"41","OR","Oregon","Baker County","county",41001,"June",2019,6821,7131,310
"41","OR","Oregon","Baker County","county",41001,"July",2019,6799,7108,309
"41","OR","Oregon","Baker County","county",41001,"August",2019,6904,7202,298
"41","OR","Oregon","Baker County","county",41001,"September",2019,6938,7171,233
"41","OR","Oregon","Baker County","county",41001,"October",2019,7007,7256,249
"41","OR","Oregon","Baker County","county",41001,"November",2019,6898,7170,272
"41","OR","Oregon","Baker County","county",41001,"December",2019,6788,7056,268
"41","OR","Oregon","Baker County","county",41001,"January",2020,6601,7010,409
"41","OR","Oregon","Baker County","county",41001,"February",2020,6635,7007,372
"41","OR","Oregon","Baker County","county",41001,"March",2020,6672,7045,373
"41","OR","Oregon","Baker County","county",41001,"April",2020,6191,7129,938
"41","OR","Oregon","Baker County","county",41001,"May",2020,6081,6971,890
"41","OR","Oregon","Benton County","county",41003,"January",2019,46499,48107,1608
"41","OR","Oregon","Benton County","county",41003,"February",2019,47167,48788,1621
"41","OR","Oregon","Benton County","county",41003,"March",2019,47094,48747,1653
"41","OR","Oregon","Benton County","county",41003,"April",2019,47087,48457,1370
"41","OR","Oregon","Benton County","county",41003,"May",2019,47186,48453,1267
"41","OR","Oregon","Benton County","county",41003,"June",2019,47477,49120,1643
"41","OR","Oregon","Benton County","county",41003,"July",2019,44474,46188,1714
"41","OR","Oregon","Benton County","county",41003,"August",2019,44812,46439,1627
"41","OR","Oregon","Benton County","county",41003,"September",2019,45697,47015,1318
"41","OR","Oregon","Benton County","county",41003,"October",2019,47733,48875,1142
"41","OR","Oregon","Benton County","county",41003,"November",2019,48079,49105,1026
"41","OR","Oregon","Benton County","county",41003,"December",2019,47530,48517,987
"41","OR","Oregon","Benton County","county",41003,"January",2020,47268,48517,1249
"41","OR","Oregon","Benton County","county",41003,"February",2020,47852,49214,1362
"41","OR","Oregon","Benton County","county",41003,"March",2020,48072,49525,1453
"41","OR","Oregon","Benton County","county",41003,"April",2020,42747,47671,4924
"41","OR","Oregon","Benton County","county",41003,"May",2020,42766,47359,4593
"41","OR","Oregon","Clackamas County","county",41005,"January",2019,209499,218408,8909
"41","OR","Oregon","Clackamas County","county",41005,"February",2019,210512,219196,8684
"41","OR","Oregon","Clackamas County","county",41005,"March",2019,210569,219230,8661
"41","OR","Oregon","Clackamas County","county",41005,"April",2019,211039,218551,7512
"41","OR","Oregon","Clackamas County","county",41005,"May",2019,210914,217809,6895
"41","OR","Oregon","Clackamas County","county",41005,"June",2019,210926,219038,8112
"41","OR","Oregon","Clackamas County","county",41005,"July",2019,212948,221108,8160
"41","OR","Oregon","Clackamas County","county",41005,"August",2019,213326,221315,7989
"41","OR","Oregon","Clackamas County","county",41005,"September",2019,213403,219773,6370
"41","OR","Oregon","Clackamas County","county",41005,"October",2019,213713,219951,6238
"41","OR","Oregon","Clackamas County","county",41005,"November",2019,214357,220206,5849
"41","OR","Oregon","Clackamas County","county",41005,"December",2019,213308,219024,5716
"41","OR","Oregon","Clackamas County","county",41005,"January",2020,211458,218686,7228
"41","OR","Oregon","Clackamas County","county",41005,"February",2020,212442,219763,7321
"41","OR","Oregon","Clackamas County","county",41005,"March",2020,212263,220069,7806
"41","OR","Oregon","Clackamas County","county",41005,"April",2020,188315,218466,30151
"41","OR","Oregon","Clackamas County","county",41005,"May",2020,190703,219326,28623
"41","OR","Oregon","Clatsop County","county",41007,"January",2019,17847,18822,975
"41","OR","Oregon","Clatsop County","county",41007,"February",2019,18002,18942,940
"41","OR","Oregon","Clatsop County","county",41007,"March",2019,18198,19065,867
"41","OR","Oregon","Clatsop County","county",41007,"April",2019,18494,19217,723
"41","OR","Oregon","Clatsop County","county",41007,"May",2019,18806,19465,659
"41","OR","Oregon","Clatsop County","county",41007,"June",2019,19002,19754,752
"41","OR","Oregon","Clatsop County","county",41007,"July",2019,19510,20228,718
"41","OR","Oregon","Clatsop County","county",41007,"August",2019,19344,20046,702
"41","OR","Oregon","Clatsop County","county",41007,"September",2019,19268,19849,581
"41","OR","Oregon","Clatsop County","county",41007,"October",2019,18856,19446,590
"41","OR","Oregon","Clatsop County","county",41007,"November",2019,18556,19154,598
"41","OR","Oregon","Clatsop County","county",41007,"December",2019,18030,18634,604
"41","OR","Oregon","Clatsop County","county",41007,"January",2020,17888,18656,768
"41","OR","Oregon","Clatsop County","county",41007,"February",2020,18103,18847,744
"41","OR","Oregon","Clatsop County","county",41007,"March",2020,18294,19071,777
