Area,Adjusted,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec
United States (Not Seasonally Adjusted),n,154964000,156167000,156441000,156710000,157152000,157828000,158385000,157816000,158478000,159067000,158945000,158504000,156994000,158017000,155167000,133326000,137461000,142811000,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Oregon (Not Seasonally Adjusted),n,1992467,2002557,2002317,2012456,2020585,2030176,2040655,2041350,2044416,2045517,2042492,2028614,2009543,2021682,2022174,1789587,1820027,1914937,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Albany, OR MSA (Not Seasonally Adjusted)",n,55835,56043,55918,56364,56217,56215,55461,55811,56235,56887,56836,56468,56167,56384,56490,51431,51652,53629,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Bend-Redmond, OR MSA (Not Seasonally Adjusted)",n,90007,90280,89878,91298,92455,93317,94019,94469,94109,93551,92618,92333,91416,91731,91919,78664,81882,86568,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Corvallis, OR MSA (Not Seasonally Adjusted)",n,46499,47167,47094,47087,47186,47477,44474,44812,45697,47733,48079,47530,47268,47852,48072,42747,42668,43923,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Eugene, OR MSA (Not Seasonally Adjusted)",n,171779,172254,172514,173107,173668,173266,171416,171686,172882,175810,175938,174928,174094,175338,175268,151235,158037,167324,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Grants Pass, OR MSA (Not Seasonally Adjusted)",n,33306,33501,33444,33694,34163,34309,34035,34442,34610,34422,34207,33918,33639,33851,33969,30441,31160,32290,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Medford, OR MSA (Not Seasonally Adjusted)",n,97011,97743,97688,98110,98748,98781,98246,99699,101039,100828,100344,99167,96756,97723,97103,86475,89349,94057,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Portland-Vancouver-Hillsboro, OR-WA MSA (Not Seasonally Adjusted)",n,1264873,1270921,1270915,1271605,1271401,1271507,1281120,1283090,1285366,1291393,1295296,1294803,1284477,1289809,1282631,1139957,1148988,1201260,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Salem, OR MSA (Not Seasonally Adjusted)",n,189261,190844,191025,191474,193001,195165,196382,196091,196753,195909,195628,193502,190988,193516,193989,172493,175729,183310,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Baker County (Not Seasonally Adjusted),n,6595,6646,6592,6689,6796,6821,6799,6904,6938,7007,6898,6788,6601,6635,6672,6191,6103,6238,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Benton County (Not Seasonally Adjusted),n,46499,47167,47094,47087,47186,47477,44474,44812,45697,47733,48079,47530,47268,47852,48072,42747,42668,43923,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Clackamas County (Not Seasonally Adjusted),n,209499,210512,210569,211039,210914,210926,212948,213326,213403,213713,214357,213308,211458,212442,212263,188315,190353,199744,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Clatsop County (Not Seasonally Adjusted),n,17847,18002,18198,18494,18806,19002,19510,19344,19268,18856,18556,18030,17888,18103,18294,14437,14529,16567,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Columbia County (Not Seasonally Adjusted),n,23114,23238,23236,23274,23232,23217,23380,23396,23436,23480,23567,23505,23353,23468,23441,20768,20930,21959,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Coos County (Not Seasonally Adjusted),n,24479,24892,24777,24648,25057,24988,24788,25063,25057,24936,24988,24819,24517,24866,24794,21810,22190,23051,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Crook County (Not Seasonally Adjusted),n,8764,8828,8751,8964,9081,9257,9314,9373,9383,9210,9078,8989,8909,8961,8956,7912,8144,8580,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Curry County (Not Seasonally Adjusted),n,7937,8219,8263,8186,8425,8569,8658,8899,8816,8634,8347,8231,8108,8224,8184,7114,7299,7648,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Deschutes County (Not Seasonally Adjusted),n,90007,90280,89878,91298,92455,93317,94019,94469,94109,93551,92618,92333,91416,91731,91919,78664,81882,86568,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Douglas County (Not Seasonally Adjusted),n,43705,43714,43497,43424,43868,44006,44278,44504,44806,44551,44373,44025,43840,43890,44000,39342,40331,42547,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Gilliam County (Not Seasonally Adjusted),n,896,910,940,971,963,971,964,934,882,846,832,837,840,853,853,795,796,813,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Grant County (Not Seasonally Adjusted),n,2750,2793,2810,2817,2978,3166,3115,3161,3127,3054,2942,2859,2773,2776,2833,2726,2748,2943,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Harney County (Not Seasonally Adjusted),n,3180,3237,3257,3337,3431,3439,3512,3537,3501,3473,3417,3320,3221,3217,3265,3166,3161,3312,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Hood River County (Not Seasonally Adjusted),n,13316,13025,13137,13567,13253,14065,15890,15965,15124,13991,13416,13399,13215,12958,13250,11641,11556,12642,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Jackson County (Not Seasonally Adjusted),n,97011,97743,97688,98110,98748,98781,98246,99699,101039,100828,100344,99167,96756,97723,97103,86475,89349,94057,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Jefferson County (Not Seasonally Adjusted),n,9323,9314,9330,9641,9838,9940,9817,9808,9762,9675,9516,9390,9373,9398,9368,8441,8434,8916,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Josephine County (Not Seasonally Adjusted),n,33306,33501,33444,33694,34163,34309,34035,34442,34610,34422,34207,33918,33639,33851,33969,30441,31160,32290,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Klamath County (Not Seasonally Adjusted),n,26717,26882,26805,27468,27955,28006,27866,27943,28057,27961,27303,26852,26319,26367,26581,24517,24928,26008,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Lake County (Not Seasonally Adjusted),n,3224,3227,3193,3316,3417,3480,3655,3663,3645,3533,3441,3398,3282,3336,3333,3165,3276,3486,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Lane County (Not Seasonally Adjusted),n,171779,172254,172514,173107,173668,173266,171416,171686,172882,175810,175938,174928,174094,175338,175268,151235,158037,167324,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Lincoln County (Not Seasonally Adjusted),n,19392,19363,19437,19806,20216,20583,20568,20770,20525,19898,19601,19208,19150,19359,19338,15469,16327,17972,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Linn County (Not Seasonally Adjusted),n,55835,56043,55918,56364,56217,56215,55461,55811,56235,56887,56836,56468,56167,56384,56490,51431,51652,53629,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Malheur County (Not Seasonally Adjusted),n,11282,11368,11491,11820,11801,11941,11845,12126,12135,12131,11997,11712,11461,11633,11802,11448,11385,11809,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
