Area,Adjusted,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec
United States (Not Seasonally Adjusted),n,7140000,6625000,6382000,5387000,5503000,6292000,6556000,6203000,5465000,5510000,5441000,5503000,6504000,6218000,7370000,22504000,20514000,18072000,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Oregon (Not Seasonally Adjusted),n,100262,95571,94455,80230,71990,83768,85756,82140,64940,63668,61282,61165,79351,78843,81967,311651,294470,243315,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Albany, OR MSA (Not Seasonally Adjusted)",n,3144,3109,2959,2604,2316,2687,2792,2607,2103,2056,1993,1978,2535,2494,2690,9293,7934,6554,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Bend-Redmond, OR MSA (Not Seasonally Adjusted)",n,5287,4962,4972,3751,3299,3783,3679,3524,2823,2818,2831,3053,4008,3897,3827,17585,15440,11667,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Corvallis, OR MSA (Not Seasonally Adjusted)",n,1608,1621,1653,1370,1267,1643,1714,1627,1318,1142,1026,987,1249,1362,1453,4924,4601,4038,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Eugene, OR MSA (Not Seasonally Adjusted)",n,9037,8648,8734,7576,6720,7915,7961,7804,6138,5982,5730,5563,7019,7060,7413,28781,26275,21268,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Grants Pass, OR MSA (Not Seasonally Adjusted)",n,2452,2260,2171,1824,1618,1834,1830,1833,1375,1396,1383,1402,1866,1813,1855,5487,4837,4061,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Medford, OR MSA (Not Seasonally Adjusted)",n,5948,5561,5565,4802,4170,4815,5322,4668,3408,3311,3208,3228,4519,4578,4788,16412,14970,12278,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Portland-Vancouver-Hillsboro, OR-WA MSA (Not Seasonally Adjusted)",n,55919,53765,53953,47692,44343,50589,50689,49971,40577,40298,38933,37717,45816,46168,47819,189218,186868,154040,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
"Salem, OR MSA (Not Seasonally Adjusted)",n,9826,9480,9414,8190,7384,8591,8961,8539,6637,6471,6149,6187,8088,8015,8198,26191,24713,20401,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Baker County (Not Seasonally Adjusted),n,507,455,430,350,287,310,309,298,233,249,272,268,409,372,373,938,867,736,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Benton County (Not Seasonally Adjusted),n,1608,1621,1653,1370,1267,1643,1714,1627,1318,1142,1026,987,1249,1362,1453,4924,4601,4038,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Clackamas County (Not Seasonally Adjusted),n,8909,8684,8661,7512,6895,8112,8160,7989,6370,6238,5849,5716,7228,7321,7806,30151,28895,24017,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
Clatsop County (Not Seasonally Adjusted),n,975,940,867,723,659,752,718,702,581,590,598,604,768,744,777,4626,4300,2914,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê,Ê-Ê
