"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"42","PA","Pennsylvania","Adams County","county",42001,"January",2020,54600,52500,2100
"42","PA","Pennsylvania","Allegheny County","county",42003,"January",2020,650900,620000,30900
"42","PA","Pennsylvania","Armstrong County","county",42005,"January",2020,32800,30400,2400
"42","PA","Pennsylvania","Beaver County","county",42007,"January",2020,84700,79900,4800
"42","PA","Pennsylvania","Bedford County","county",42009,"January",2020,23800,22200,1600
"42","PA","Pennsylvania","Berks County","county",42011,"January",2020,216800,206000,10900
"42","PA","Pennsylvania","Blair County","county",42013,"January",2020,59600,56400,3200
"42","PA","Pennsylvania","Bradford County","county",42015,"January",2020,28900,27300,1600
"42","PA","Pennsylvania","Bucks County","county",42017,"January",2020,346300,330900,15300
"42","PA","Pennsylvania","Butler County","county",42019,"January",2020,100400,95500,4900
"42","PA","Pennsylvania","Cambria County","county",42021,"January",2020,58200,54400,3800
"42","PA","Pennsylvania","Cameron County","county",42023,"January",2020,2000,1900,200
"42","PA","Pennsylvania","Carbon County","county",42025,"January",2020,32500,30500,2000
"42","PA","Pennsylvania","Centre County","county",42027,"January",2020,81800,78700,3100
"42","PA","Pennsylvania","Chester County","county",42029,"January",2020,284700,274600,10100
"42","PA","Pennsylvania","Clarion County","county",42031,"January",2020,17000,15900,1200
"42","PA","Pennsylvania","Clearfield County","county",42033,"January",2020,36700,34100,2600
"42","PA","Pennsylvania","Clinton County","county",42035,"January",2020,18300,17000,1300
"42","PA","Pennsylvania","Columbia County","county",42037,"January",2020,33500,31400,2100
"42","PA","Pennsylvania","Crawford County","county",42039,"January",2020,38400,36100,2300
"42","PA","Pennsylvania","Adams County","county",42001,"February",2020,55500,53400,2100
"42","PA","Pennsylvania","Allegheny County","county",42003,"February",2020,653900,623100,30800
"42","PA","Pennsylvania","Armstrong County","county",42005,"February",2020,33000,30600,2400
"42","PA","Pennsylvania","Beaver County","county",42007,"February",2020,85300,80400,4900
"42","PA","Pennsylvania","Bedford County","county",42009,"February",2020,23700,22100,1600
"42","PA","Pennsylvania","Berks County","county",42011,"February",2020,219300,208400,10900
"42","PA","Pennsylvania","Blair County","county",42013,"February",2020,59600,56400,3200
"42","PA","Pennsylvania","Bradford County","county",42015,"February",2020,29100,27500,1600
"42","PA","Pennsylvania","Bucks County","county",42017,"February",2020,347100,331600,15500
"42","PA","Pennsylvania","Butler County","county",42019,"February",2020,101000,96000,5000
"42","PA","Pennsylvania","Cambria County","county",42021,"February",2020,58700,55000,3800
"42","PA","Pennsylvania","Cameron County","county",42023,"February",2020,2100,1900,200
"42","PA","Pennsylvania","Carbon County","county",42025,"February",2020,32600,30500,2000
"42","PA","Pennsylvania","Centre County","county",42027,"February",2020,82200,79100,3100
"42","PA","Pennsylvania","Chester County","county",42029,"February",2020,286500,276500,10000
"42","PA","Pennsylvania","Clarion County","county",42031,"February",2020,17400,16300,1100
"42","PA","Pennsylvania","Clearfield County","county",42033,"February",2020,36700,34200,2600
"42","PA","Pennsylvania","Clinton County","county",42035,"February",2020,18600,17300,1300
"42","PA","Pennsylvania","Columbia County","county",42037,"February",2020,34300,32400,1900
"42","PA","Pennsylvania","Crawford County","county",42039,"February",2020,38600,36300,2300
"42","PA","Pennsylvania","Adams County","county",42001,"March",2020,54800,52500,2200
"42","PA","Pennsylvania","Allegheny County","county",42003,"March",2020,647300,611200,36100
"42","PA","Pennsylvania","Armstrong County","county",42005,"March",2020,32700,30000,2600
"42","PA","Pennsylvania","Beaver County","county",42007,"March",2020,84400,78800,5600
"42","PA","Pennsylvania","Bedford County","county",42009,"March",2020,23500,21900,1700
"42","PA","Pennsylvania","Berks County","county",42011,"March",2020,217300,204800,12500
"42","PA","Pennsylvania","Blair County","county",42013,"March",2020,59100,55600,3600
"42","PA","Pennsylvania","Bradford County","county",42015,"March",2020,28900,27100,1800
"42","PA","Pennsylvania","Bucks County","county",42017,"March",2020,343400,325900,17500
"42","PA","Pennsylvania","Butler County","county",42019,"March",2020,99800,94200,5700
"42","PA","Pennsylvania","Cambria County","county",42021,"March",2020,58300,53900,4400
"42","PA","Pennsylvania","Cameron County","county",42023,"March",2020,2100,1900,200
"42","PA","Pennsylvania","Carbon County","county",42025,"March",2020,32400,30000,2400
"42","PA","Pennsylvania","Centre County","county",42027,"March",2020,80800,77300,3500
"42","PA","Pennsylvania","Chester County","county",42029,"March",2020,282600,271300,11300
"42","PA","Pennsylvania","Clarion County","county",42031,"March",2020,17400,16100,1300
"42","PA","Pennsylvania","Clearfield County","county",42033,"March",2020,36600,33800,2800
"42","PA","Pennsylvania","Clinton County","county",42035,"March",2020,18500,17100,1400
"42","PA","Pennsylvania","Columbia County","county",42037,"March",2020,34100,31900,2200
"42","PA","Pennsylvania","Crawford County","county",42039,"March",2020,38500,35900,2600
"42","PA","Pennsylvania","Adams County","county",42001,"April",2020,54000,46100,7900
"42","PA","Pennsylvania","Allegheny County","county",42003,"April",2020,630100,532700,97400
"42","PA","Pennsylvania","Armstrong County","county",42005,"April",2020,31700,26200,5500
"42","PA","Pennsylvania","Beaver County","county",42007,"April",2020,84000,68700,15300
"42","PA","Pennsylvania","Bedford County","county",42009,"April",2020,23500,19300,4200
"42","PA","Pennsylvania","Berks County","county",42011,"April",2020,219900,182100,37800
"42","PA","Pennsylvania","Blair County","county",42013,"April",2020,61400,50800,10600
"42","PA","Pennsylvania","Bradford County","county",42015,"April",2020,27700,24200,3500
"42","PA","Pennsylvania","Bucks County","county",42017,"April",2020,334200,284600,49600
"42","PA","Pennsylvania","Butler County","county",42019,"April",2020,96900,82200,14800
"42","PA","Pennsylvania","Cambria County","county",42021,"April",2020,58600,48400,10200
"42","PA","Pennsylvania","Cameron County","county",42023,"April",2020,2200,1700,500
"42","PA","Pennsylvania","Carbon County","county",42025,"April",2020,33100,27000,6200
"42","PA","Pennsylvania","Centre County","county",42027,"April",2020,79800,72000,7700
"42","PA","Pennsylvania","Chester County","county",42029,"April",2020,268200,237800,30400
"42","PA","Pennsylvania","Clarion County","county",42031,"April",2020,17100,14300,2900
"42","PA","Pennsylvania","Clearfield County","county",42033,"April",2020,36800,30500,6300
"42","PA","Pennsylvania","Clinton County","county",42035,"April",2020,17800,15000,2800
"42","PA","Pennsylvania","Columbia County","county",42037,"April",2020,34900,29700,5200
"42","PA","Pennsylvania","Crawford County","county",42039,"April",2020,37900,31700,6200
"42","PA","Pennsylvania","Cumberland County","county",42041,"January",2020,133200,128100,5000
"42","PA","Pennsylvania","Dauphin County","county",42043,"January",2020,145700,139200,6500
"42","PA","Pennsylvania","Delaware County","county",42045,"January",2020,301000,287600,13400
"42","PA","Pennsylvania","Elk County","county",42047,"January",2020,15600,14500,1100
"42","PA","Pennsylvania","Erie County","county",42049,"January",2020,129000,121500,7500
"42","PA","Pennsylvania","Fayette County","county",42051,"January",2020,58200,53500,4700
"42","PA","Pennsylvania","Forest County","county",42053,"January",2020,1800,1600,200
"42","PA","Pennsylvania","Franklin County","county",42055,"January",2020,78800,75300,3500
"42","PA","Pennsylvania","Fulton County","county",42057,"January",2020,8200,7600,500
"42","PA","Pennsylvania","Greene County","county",42059,"January",2020,16800,15700,1100
"42","PA","Pennsylvania","Huntingdon County","county",42061,"January",2020,19900,18200,1700
"42","PA","Pennsylvania","Indiana County","county",42063,"January",2020,38800,36200,2600
"42","PA","Pennsylvania","Jefferson County","county",42065,"January",2020,20700,19400,1300
